Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Kazakhstan,,,,,,,,,,,,,,,,,,,,42.5,,40.79999924,41.40000153,40.29999924,41.09999847,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,81.09999847,,,,,,,
"Korea, Rep.",36.90000153,37.70000076,38.70000076,39.09999847,40,42,42.59999847,42.5,43.20000076,43.90000153,44.70000076,45,46.70000076,48.40000153,49.09999847,49.59999847,50.70000076,51.79999924,54.90000153,56.09999847,55.90000153,57,57.70000076,57.59999847,58.29999924,58.5,59.09999847,59.90000153
Kuwait,,,,66.40000153,,,,,65.30000305,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,35.40000153,35.59999847,35.59999847,34.20000076,35.29999924,35.59999847,35.09999847,37.59999847,38.40000153,37.70000076,37.40000153,
Laos,,,,,,,,,,,,,,,,14.39999962,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,45.59999847,43.5,45.09999847,47.79999924,49,46.90000153,46.70000076,46.90000153,47.70000076,49,47.70000076,47.20000076
Lesotho,,,,,,,,,,,,,,,,,21.60000038,17.79999924,,12.80000019,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,42.09999847,42.5,43.40000153,44,44.40000153,44.5,44.29999924,46.09999847,46.29999924,45.70000076,45.90000153
Luxembourg,,,,48.59999847,50.09999847,51.20000076,51.90000153,52.79999924,53.29999924,53.90000153,54.79999924,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,57.29999924,62.79999924,,65.5,65.80000305,71.59999847,69.5,74,74.59999847,69.09999847,71.80000305,73.30000305,72.19999695,73.19999695,74.09999847,75.09999847,72.90000153,72.19999695,72.69999695
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,16,,13.39999962,,
Malaysia,39.90000153,39.59999847,46,44,45.40000153,45.90000153,46.40000153,46.20000076,46.09999847,45.70000076,46.29999924,43.20000076,46,45.70000076,,45.59999847,45.79999924,45.5,45.79999924,45.90000153,45.40000153,48.20000076,48.59999847,49,50.09999847,50.20000076,49.5,50.79999924
Maldives,,,,,,,,,,,49.79999924,,,,,52.70000076,,,,,55.79999924,,,57.09999847,,,62,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,32.40000153,,,
Malta,,,,,,,,,,,,,,,,,,,,,60.29999924,60.79999924,63.5,61.5,62.70000076,60.5,63.29999924,64.80000305
Marshall Islands,,,,,,,,,,,,,,,,,,,,55.70000076,,,,,,,,
Martinique,,,,,,,,,,,63.59999847,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,48.09999847,,48.70000076,46.09999847,50,51.20000076,51.29999924,51.79999924,,50.90000153,52.40000153,53.29999924,54.09999847,55.09999847,54.70000076,53.90000153
Mexico,,,,,,,,,,,38.70000076,41.40000153,,42,,44.90000153,46.70000076,45.90000153,47.40000153,45.79999924,47.20000076,48.09999847,49,49.90000153,50.20000076,47.20000076,47.29999924,49.70000076
Mongolia,,,,,,,,,,,,,,36.59999847,35.20000076,33.29999924,32.40000153,29.70000076,30.5,31,32.59999847,33.5,37.09999847,38.90000153,38.59999847,38.09999847,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,56.59999847,,65,,
Montserrat,,,,,,,,,,,,45.79999924,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,63.79999924,63.09999847,63,64.40000153,36.29999924,62.5,59.79999924,61.90000153,62.90000153,62.59999847,,65.19999695,39.40000153,40,39.09999847,39.5,40.79999924,
Namibia,,,,,,,,,,,,33.79999924,,,,,,42.5,,,49.40000153,,,,47.09999847,,,
Nepal,,,,,,,,,,,,19.60000038,,,,,,,,18.29999924,,25.39999962,,,,,,
Netherlands,54.70000076,,57.20000076,,57.09999847,,59,,59.59999847,59.20000076,59,59.79999924,59.79999924,60.40000153,61.20000076,61.59999847,61.59999847,61.20000076,62.59999847,63.20000076,63.5,63.59999847,64.40000153,64.59999847,61.5,61.29999924,,
Netherlands Antilles,,,,68.30000305,68.5,68.5,69,,,,,,64.90000153,64.59999847,65.19999695,64.40000153,65.40000153,66.69999695,68.40000153,,69.19999695,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,56.90000153,,,,,,,,,,,
New Zealand,,,,,,,50.29999924,51.70000076,53,53.79999924,54.20000076,54.79999924,55.59999847,55.70000076,53.40000153,54.20000076,53.70000076,55.90000153,55.90000153,56.20000076,56.29999924,56.09999847,56.59999847,57.5,58.20000076,59.09999847,58.29999924,58.40000153
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,38.09999847,38.40000153,38.09999847,37.90000153,
Nigeria,,,,51.70000076,,,37.59999847,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,58.90000153,,,,,,
Northern Mariana Islands,,,,,,,,,,,49.29999924,,,,,78.30000305,,,,,,,,,,,,
Norway,50,49.79999924,51.5,52.59999847,51.79999924,52.70000076,53.09999847,53.29999924,54.5,55.5,56.40000153,57.79999924,58.29999924,58.90000153,58.70000076,59,58.29999924,58.40000153,58.59999847,59.90000153,61,61.09999847,60.90000153,61.29999924,62.29999924,62.5,62.5,63.09999847
Oman,,,,,,,,,,,,,,81.19999695,,,84.40000153,,,,82.40000153,,,,,,,
Pakistan,,,,,,30.39999962,28.5,32.20000076,31,31,30.89999962,34.59999847,34.70000076,35.90000153,35.09999847,36.40000153,36.40000153,39,38,38,,36.09999847,,40.09999847,,40.5,,40.5
Panama,,,39,39.90000153,39.90000153,37.59999847,39.09999847,,,,,,45,46.59999847,49.20000076,48.5,49.5,50.40000153,52.29999924,52.29999924,53.70000076,53.09999847,54.09999847,53.20000076,54.40000153,56,54.40000153,53.79999924
Paraguay,,,63.09999847,58.79999924,60.09999847,58.5,59.59999847,61.90000153,62.09999847,60.59999847,,,,,,34.79999924,,41.5,41,39.70000076,40.59999847,40.09999847,39.5,42.09999847,,,,42.59999847
Peru,,,,,,,,63,,,66.09999847,,,,,66.69999695,64.30000305,62.70000076,65.69999695,67.30000305,66.69999695,64.90000153,44.70000076,43.79999924,44.59999847,44.59999847,44.70000076,46.40000153
Philippines,24.60000038,26.5,25.39999962,26.39999962,26.5,27.29999924,27.70000076,28.10000038,29.10000038,30.10000038,30.5,28.70000076,29.29999924,29.60000038,30,31.20000076,47,48.29999924,49.90000153,48.40000153,37,36.70000076,36.79999924,37.20000076,37.79999924,38.5,38.70000076,38.70000076
Poland,,,,,,,,,,,,,,,35.09999847,36.09999847,36.79999924,38.29999924,39.29999924,41.09999847,40.40000153,40.40000153,42.09999847,42.79999924,42.90000153,43,43.5,43.59999847
Portugal,33.90000153,34.40000153,34.5,37.79999924,39.09999847,39.29999924,41.09999847,39.90000153,40.5,42.09999847,43.70000076,44.59999847,49.29999924,48.90000153,49.09999847,49,49.29999924,47.09999847,43,44.29999924,43.90000153,44.5,44.29999924,45.20000076,47,47.79999924,47.79999924,47.90000153
Puerto Rico,64.5,64.90000153,67,66.69999695,66.90000153,67.30000305,67,67.59999847,67.59999847,66.69999695,,67.80000305,67.40000153,67.30000305,68.30000305,69,70.5,69.5,68.5,68.69999695,69.09999847,69.19999695,70.69999695,70.90000153,70.40000153,71.59999847,71.5,71.59999847
Qatar,,,,,,,,,,,,,,,,,,57.40000153,,,,52.70000076,,,49,,48.29999924,
Moldova,,,,,,,,,,,,,,,,,,,,,30.29999924,30.5,30.89999962,35.20000076,37.79999924,37.90000153,40.70000076,39.29999924
Romania,26,26.70000076,26.5,26.20000076,26.29999924,26.20000076,26.20000076,26.10000038,26.39999962,26.29999924,26,28.29999924,27.60000038,25.79999924,26.89999962,28.10000038,29.20000076,28.79999924,28.79999924,28.60000038,29,29.89999962,31.60000038,31.79999924,33.5,33.59999847,35.09999847,34.70000076
Russia,,,,,,,,,,,,,,,,,,47.90000153,49.40000153,48.20000076,48.20000076,49.70000076,50.20000076,48.40000153,50.09999847,49.59999847,50,51
