"Foreign direct investment, net outflows (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Japan,,,,,,,,,,,,,,,,,,0.236062192,0.2413249657,0.2837045324,0.2231565694,0.4139245684,0.4125733319,0.300786624,0.4672446793,0.4758908342,0.7260796441,0.8289831383,1.19366854,1.548234398,1.651288163,0.9073823137,0.4581076045,0.3180172056,0.3785127366,0.4275435993,0.505046692,0.6114454389,0.6384346969,0.509679407,0.6756103619,0.9399964935,0.817115413,0.6801968992,0.6721288941,0.9981551161,1.150023389,1.678592811,2.680773344,1.482693635,1.048251121,
Jordan,,,,,,,,,,,,,0.2130680319,0.5804581501,0.285196044,0.4588213102,0.1644134269,,,,0.07722264766,-0.1570607717,0.07059150064,0.09504212778,0.05199893058,-0.01461644866,0.06385998072,0.01776785189,-0.001830582595,0.4046342955,-0.7831101757,0.3262345321,-0.06400438825,-0.9460700208,-0.3710049905,-0.4057559818,-0.6249618297,,,0.05536866105,0.1016514177,0.3518070511,0.1442189938,-0.03596023238,0.1594427976,1.296305701,-0.8825675164,0.2707285566,0.05647530344,0.2885118277,0.103181196,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001472442716,,0.006315998786,0.03659322428,0.02133862261,0.02385125868,-0.1156083573,1.730713794,-0.3935139092,-2.963838645,-0.2553410444,-0.4749002043,3.007180414,0.9021559126,2.739147496,5.245867254,
Kenya,,,,,,,,,,,,,,,,0.04178154701,0.1238304158,0.05914295873,0.04390820313,0.09441250732,0.01483955184,0.08546183206,0.149470531,0.2424857692,0.11093376,0.08828340164,0.06810800132,0.3858008996,0.02630092111,0.01645414479,,,,,,0.1255220449,0.02290564399,0.0453894629,0.08602996663,0.1904633425,,,0.05639756944,0.013924872,0.02743584136,0.05169859966,0.1064678132,0.1322946715,0.1434070064,0.1503834572,0.004900513923,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04943530657,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,0.02030130379,0.05537063569,0.05476750483,0.02898030058,0.04088707643,0.06646215435,0.1985090234,0.1537085241,0.05589469187,0.6116762926,1.102190963,0.3677710239,0.3429778414,0.259379457,0.3986701091,0.4830214971,0.3520914733,0.3700269889,0.5812237315,0.6868836722,0.8374703731,0.8618142567,1.224610039,0.8521791503,0.8402013872,0.4351490022,0.5250995301,0.642364337,0.7826861038,0.7535304502,1.174081885,1.879424735,2.174270137,2.061840981,1.895507071,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,0.7743036566,0.8333972895,0.3702515028,0.6097137399,-0.7602559301,1.42100277,-0.6012188628,0.4990100445,1.15066603,0.4358269559,0.3255841523,1.383869166,3.465239405,2.303746438,4.087969348,1.298069765,-1.693407383,6.096536106,2.726101642,-6.113780718,-3.758334316,5.525356939,-3.193302837,-7.195930957,0.07634220191,-0.8037987885,-5.484861863,-0.2010193264,-10.3598717,4.342609108,6.36375196,8.084319272,8.52861052,6.109957352,7.888935231,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.374408861,0.4850738296,0.3285410258,0.3999702314,,,1.986505662,,,-0.004811592798,-0.002489111883,-0.005697192357,-0.000537242515,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04360615189,-0.1007388725,-1.276918691,-1.241013705,0.05351554728,0.09918095122,0.8160850137,0.2332433686,0.1544733091,0.2129183008,0.03542755228,0.4469692206,0.7956941223,0.7991601749,0.8668151383,1.288340513,0.7882535906,-0.2191238187,0.08329973418,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001096477556,3.042142469,3.795724429,3.272992695,3.898001212,3.38468132,3.279897122,3.223426819,1.247622999,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01381407358,,,,,,,,,,,,,,0.0075017678,0.0001358284088,0.07406287966,-0.06484400045,0.2332783722,-0.1190116019,-0.1117122055,-0.1103424172,-0.1040716206,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3640713915,0.5433532365,-0.444397303,-1.56343651,0.09029792889,0.268726634,0.1871922171,0.760477582,0.9386192508,0.7412126196,0.289114535,0.6157565713,-0.6853968254,0.2618181818,0.8566820276,0.2909090909,0.8391701245,5.477187215,6.320001333,1.868171355,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01268201412,0.001483397812,0.2656066425,0.03731989817,0.07856809197,0.03235906316,0.05839187942,0.1247723181,0.1998800369,1.164654734,1.321122227,0.9623168425,1.5558254,0.7524308908,0.5446442565,0.2266009417,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9883212437,-0.02884476526,-0.7906732071,0.5119098947,3.527446104,0.01782895823,-0.4452135671,-3.325336395,-1.78622984,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002828025154,0.008245310096,-0.01680628651,0.02537683443,0.00275635834,0.006243758664,0.02103490701,0.04624856978,0.002949455174,-0.01296725873,-0.1377664599,0.1241390833,0.02065901275,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0541482704,0.06488503567,0.05207030738,0.04604068605,0.0415066374,-0.4720446752,-0.4067527074,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.797090029,2.160207182,0.2875951205,1.888766822,1.242689884,1.652364318,2.154597057,3.846057274,6.068392109,6.825500583,4.1539862,5.682575959,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,0.07302027218,0.810945209,0.7637887349,0.7248712842,-0.1915245761,,,,,,,,,,,,,,,,,0.05933692999,-0.2741075343,-0.0005874642595,0.03222526698,0.1656480682,0.6565869055,0.04708350376,0.03261744805,0.01603909432,-0.6898617556,-0.5882327223,-0.1639719037,-0.5493285903,-0.3446962205,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03340747795,-0.03432762768,0.0325799471,1.985813773,0.935562183,0.5463394379,1.511032499,0.5388129783,0.2464626109,-0.6859375887,11.51665193,0.1306197156,-0.4078703104,0.4693391508,0.2104955414,3.570323348,1.644641757,1.056228649,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1691367348,0.02677932786,0.09853853608,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,-0.06350870089,-0.09149360805,-0.01591269463,-0.2085479435,,,,,,,,,0.006943600251,0.02693498789,0.02281947262,0.3801693808,1.343166729,1.017503743,0.02973137028,0.089683971,0.06047968596,0.0759855532,0.3288635076,0.1498936584,0.2826359918,0.0632199631,0.1824463909,-0.1072696567,0.4977774033,0.7473882207,0.1473879787,0.7645548765,0.5437835526,0.4287542657,1.330702115,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7079262375,0.1372405672,0.1789832646,0.5833163737,0.7625908682,0.6047067664,0.7969982205,0.1057250102,0.795477673,1.310014935,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02966351341,0.03303580493,0.02331519909,-0.04513578901,0.005124766507,0.006209154325,0.008104510995,0.02707877484,0.005553027095,0.1239304519,-0.005354443361,-0.027285096,0.3943217736,0.2655741527,0.1242775046,0.06042560091,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3010889881,0.111013409,1.173810161,0.7520388235,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08169651478,0.1140349697,0.08627078489,0.07876438729,0.04437190655,0.08267078892,0.02575814836,0.05099054366,0.0454348239,0.1580710027,0.2572695312,0.07009285575,0.02531676337,0.05429882258,0.1245134534,0.6869151153,0.8401044351,0.3554441203,0.5269300418,0.6387105261,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005707337458,-0.003900588205,0.0004466673411,0.02895689831,-0.008082856395,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05755632668,0.2557396106,-0.05560360481,0.304235687,-0.1879275826,-0.100739808,-0.6208779987,0.01790937984,-0.06386715439,-0.0218506077,0.04350328231,-0.3529338755,,-0.23356118,-0.3437794832,-0.1687239451,-0.1578082804,0.03105078942,0.06951071092,-0.03243752496,0.03625506342,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001049602845,
Netherlands,,,,,,,,4.130285107,3.90666379,4.111570783,3.724951104,3.194466654,3.237188788,3.162431799,3.522249283,2.701813583,2.312875343,2.557126083,2.329652912,3.774625723,3.273770163,2.977277696,2.222667822,2.698360374,3.634006079,2.02975028,2.200051627,3.814299648,2.933532854,6.209318992,4.652227104,4.230825523,3.799935323,3.039470075,5.006211147,4.818426633,7.640753392,6.338183305,9.173774788,13.89003323,19.34956406,12.67036311,7.253826163,8.292724017,4.730235673,20.34940639,9.456112789,6.866566094,7.758455256,3.261564677,6.321485455,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,0.03784649327,0.1500064074,0.1521498749,0.1702945191,0.2666104541,0.2103000478,0.306584895,0.3654859252,0.4684810408,0.4320266419,0.2932566612,0.3126467395,1.985515605,1.279117968,1.974939842,1.101745596,0.8445322566,4.40875385,3.582715342,1.648778721,-2.387214664,2.321069516,3.105699193,-0.7648647506,-2.274407282,-0.1216243532,1.621920437,1.322477225,1.432835872,-2.03810653,0.5831184429,1.056859113,-0.4309023518,-1.355562695,0.1438499266,2.633229178,0.7674275334,-1.104178316,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,0.0303647809,0.6020050658,-0.1324854616,-0.2833406769,-0.3808714904,0.5317698241,-0.1688674848,-0.02746213393,0.16274448,0.09809316916,0.01801089419,0.1348881661,1.544885187,0.4558164504,0.2052406114,0.071623468,0.0007402999103,0.1122204422,1.736907505,0.3580819227,-0.1155653323,0.3800608537,0.375570213,0.08791156906,0.007835592124,-0.01183005003,-0.03452064299,-0.1862556388,-0.07919090387,0.0001259841839,0.4284474131,0.2719781013,-0.02686253372,0.1877158854,0.4538659971,1.700772086,,
Nigeria,,,,,,,,,,,,,,,,,,,,0.01050959805,,,,,,,,,,,,,,,,,,,,,,,,,,0.01303815382,0.2197806117,0.5228579302,0.5077255661,0.9047647079,0.4519278454,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,0.526682429,0.5416873209,0.3045808916,0.1428620878,0.08308064641,0.397437868,0.2754350166,0.4939610297,0.5848100988,0.983226049,2.029507605,2.07226685,0.9446472679,0.9777649235,1.347720807,1.250167367,1.489252362,-0.09368955014,0.6078958853,1.739266368,1.919977751,3.674860486,3.162237189,2.117022918,3.65133097,5.605018658,0.4938339998,2.805830812,2.691326213,2.01912018,7.176341115,6.128901325,3.277164974,5.223260046,8.041233865,2.934593912,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01297185098,0.4104792916,0.168651838,0.7557014161,0.746237009,-0.08875923211,0.9648746058,0.1564927845,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,-0.01503735485,-0.02525620482,-0.002036590344,0.05764940403,0.03311824117,0.1072489761,0.004869438212,-0.008222427916,-0.02380968359,-0.004183236561,0.001862679911,0.0006769127112,0.0107160506,-0.03894468994,0.08039624956,0.03334717203,0.01487443778,0.04287112699,0.0387238712,0.02282424818,0.0571558244,0.0401459854,0.08549019608,0.06844952887,0.02989779372,0.04387617415,0.026573254,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,-0.1246390248,0.1080530296,0.2496186226,0.1407237424,0.6180751658,0.02471187327,0.07487052548,0.04386572819,0.08897947878,0.03787972072,-0.3290214827,-0.7071499722,0.9254741345,-0.5038422741,0.0008323441317,,,,,,,,,,,,,0.2317091529,0.01580367558,0.1341710773,0.01928274904,0.1220126715,0.00138704543,0.05594831103,0.002327472321,
Paraguay,,,,,,,,,,,,,,,,,1.47148815,,0.1953233935,,,,,,,,,,,,,,,,,0.06322984288,0.05946657026,0.06424637678,0.07075054341,0.07679608438,0.08060791447,0.08998156292,0.1090070416,0.09906975872,0.08633391057,0.08563899533,0.07331370382,0.0589084493,0.0237062952,0.0505632137,0.03927721826,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01490477172,-0.03044235306,0.1435256121,0.1093212872,0.2484977766,,0.137941875,,0.09780473177,,,,0.06115355248,0.5801795737,0.3136812255,0.1369448499,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6879023233,0.4712524814,0.5383172011,0.2196788974,0.1651600379,0.2215850959,0.1602503364,0.1542709074,-0.1835776698,0.07989413875,0.3611089016,0.6336786273,0.1833776906,0.08428065937,2.367435655,0.1491913712,0.2132670644,0.2440008759,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,0.001408356311,0.02977379758,0.01252399034,0.03196562792,0.02189476389,,-0.008368182507,0.01408526553,0.01915622993,0.02675148858,0.03020240672,0.03382602335,0.02863436324,0.1827629797,0.0184741816,0.00934164094,-0.0472637269,0.1160564472,0.1406820802,0.3778153197,1.116111648,2.683291338,1.331698485,0.8713627696,1.059569484,1.177998985,
Portugal,,,,,,,,,,,,,,,,0.04239802744,0.02557137604,0.01250837193,0.02622784746,-0.03065659967,0.0421562069,0.05214233465,0.02819940316,0.06785431951,0.03566166337,0.08102840369,-0.0006680336579,-0.02142961865,0.1434638828,0.1409814165,0.2099162753,0.5263230478,0.6475624923,0.1571471139,0.2916333646,0.5905186777,0.5999071281,1.793572221,3.287510094,2.40597801,6.976576152,5.175933268,-0.1589757111,4.060501507,3.978932655,1.174050753,3.555496978,2.358214686,1.101280117,0.3273807669,-3.571658939,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04699848593,0.01039974586,0.01594241357,0.02655421644,,0.005637446415,,-0.02550594696,-0.02136980748,0.04495349649,-0.02968749614,-0.04230882113,0.03491579738,0.06553812739,0.09272820101,-0.03045088157,0.3444347711,0.1642225353,0.1384508065,-0.05462095773,-0.01361186823,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07112365527,0.1529599049,0.235371368,0.7865819677,0.4686242455,1.126878512,1.22320796,0.8260131483,1.023628614,2.260294664,2.331918339,1.671133487,2.338649149,3.532770396,3.347302093,3.573268335,3.549259204,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4609148459,-0.3460525254,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03012621636,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1139216162,0.4961158468,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78721529,4.942562935,4.353280387,0.1106920542,0.1582338879,0.0544742328,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1109509294,-0.01083797988,-0.03502168789,0.7340572675,0.584245625,0.8988164403,
Senegal,,,,,,,,,,,,,,,0.1954093709,-0.3067895424,-0.01661532487,0.1245243917,0.01881293942,0.1223794869,0.04458432284,0.4645325588,0.5774028764,-0.05770275098,0.06851673247,0.105198652,-0.1109581001,-0.03696613863,0.2761296061,0.1748229276,-0.1670448385,-0.3407705964,0.8550102103,0.005596853671,0.4487479328,-0.06816013659,0.03870436865,-0.01873816631,0.2037459259,0.2146409669,0.01383038718,-0.1443167844,0.6377432619,0.03876221307,0.1626782708,-0.088882511,0.1055670217,0.2182416322,0.943235019,0.6039772618,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.458464118,0.5902538491,0.1366122632,0.490255164,
Seychelles,,,,,,,,,,,,,,,,,4.102842796,3.509126259,3.126577395,2.461410036,2.587779443,4.696118159,3.340814339,2.211192721,2.588445688,6.253562103,2.778926431,2.162045122,1.509754623,0.2987604899,0.3054138156,0.3026627885,0.2702780943,0.2117607369,2.737330331,3.338567061,2.479801616,1.756432005,0.4935494955,1.442176789,1.707791108,1.372044343,1.251825975,1.15445817,1.086024578,0.8427072619,0.8273954112,1.748766383,1.404824749,0.6772502609,0.6567577869,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6091150966,,,,,,
Singapore,,,,,,,,,,,,,0.7451253253,0.7050847754,0.5742272397,0.6740024536,0.7107091404,1.290200979,1.512289843,1.804168641,0.822931426,-0.1038286878,1.899253604,0.2779314484,0.4704502697,1.248230671,0.9785041279,0.9886356185,0.4654489786,2.898613608,5.634847271,1.220982723,2.685322319,3.587437058,6.611323218,8.4012252,8.396902071,10.42795459,2.259329947,9.309183265,6.166823864,21.90350201,2.570893352,2.886411827,9.880001109,9.083131719,13.55807272,19.44256699,-0.1442649648,9.796306508,9.455377177,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375554635,0.07034656299,0.03994297148,0.1746676776,0.3523920783,0.4948338635,-1.255826195,0.07488040206,,0.009410216081,0.05144211959,-0.02339753114,0.2358915117,0.5336217956,0.4795199118,0.255913564,0.4695722774,0.3655695368,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01437408493,0.01025799716,-0.08967359462,-0.04775351969,0.03404270099,0.151320469,-0.02529041964,0.2138084946,0.3268355328,0.6473509571,0.6535170172,1.632130982,1.625108061,1.760750008,2.324561241,3.80496192,2.706605392,0.4962525881,-0.1559464133,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01354891157,0.1821231098,0.328390234,0.008031511512,0.003735468015,0.38078219,1.038277915,2.078533864,0.5843910156,0.4962159442,0.3376665361,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,0.07061195862,0.08928161697,0.1077893031,0.05632513121,0.1302551849,0.02497387818,0.1717090746,1.485696402,0.2238504024,0.9283589089,1.65036267,0.7291170075,1.561413067,1.216723235,1.189473259,0.2085968719,-2.966545424,-0.3620696887,0.3284662489,0.5958313152,0.3681071138,2.271508282,1.04208041,-0.7699770002,0.4637591667,-0.0443222358,
Spain,,,,,,,,,,,,,,,,0.1524944101,0.167441052,0.08980600335,0.06525591631,0.06374731437,0.1375082125,0.1377175664,0.2685707599,0.1464974684,0.1486485387,0.1425352024,0.1547343954,0.2408292559,0.3380612163,0.3658725276,0.6760933335,0.7926658461,0.3577558044,0.6253168428,0.7862938888,0.7905821037,1.134708312,2.498445793,3.390460195,7.129642783,9.886967685,5.399583638,4.903990067,3.254463593,5.889496127,3.70935942,8.380786826,9.677557621,4.640885661,0.6001593904,1.460610615,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,0.02280364079,0.008356430702,0.01999848678,0.03007692169,0.02919452789,0.01023869841,0.05025940201,0.0167515465,0.06671806137,0.07044962636,,,,,,,,0.0669487915,0.144636899,0.0280217434,0.1573397065,0.1036529326,0.1700092324,0.1515402717,0.04754211328,0.08617253456,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1537253786,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,1.656584947,0.9316765519,-0.529064881,-0.01613569626,0.9754143614,0.746940508,0.5030315277,1.14295059,1.763546728,2.237791415,0.6828858035,2.160578439,2.57977864,2.044420567,4.555214258,1.212160827,-0.3994756972,-0.6976519684,1.516750024,0.8552004171,1.120021665,-1.311629936,-0.04638136459,0.8824124038,-0.05977079123,-0.8525041076,-0.02084811141,0.7585485678,-0.2629649256,0.2378688258,0.1056481105,
Sweden,,,,,,,,,,,0.6019897841,0.4544784242,0.5814845402,0.5308400675,0.7012274283,0.5639328666,0.7178827387,0.8397286262,0.4280107478,0.5385545709,0.472913585,0.6847630681,1.140267809,1.492489609,1.474372705,1.697898773,2.816102121,2.787126442,3.855641819,5.038553802,5.985316927,2.81744681,0.1568263471,0.7278825053,3.073125915,4.493395426,1.849080337,4.786560948,9.565537599,8.535129857,16.70155603,3.436255766,4.253094781,6.76192535,6.198829316,7.593797106,6.563562474,8.16177416,6.584737402,6.582878918,7.007843483,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,0.4789325483,1.16126885,4.596942968,1.024087221,0.7131049668,4.500467211,4.929992273,2.32144118,2.263635063,2.292768569,3.33822067,3.977765454,3.573176396,5.300045898,6.701794681,6.883767094,12.39894173,17.60151075,7.206525403,3.081119698,4.822192195,7.181365922,13.65024505,19.56770404,11.97854627,8.661777614,5.730914735,12.41388905,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,0.02531974138,0.01431599691,0.009370701577,0.00669663912,0.005822457747,0.003583104654,0.001393840382,0.002210753509,0.002467794832,0.3362822948,0.0391412032,0.0687404403,0.1642510975,0.170101407,0.1314944821,0.1864513454,0.3416511894,0.5270617317,0.511797513,0.3842394919,0.1163182373,0.2819443976,-0.01872210407,0.3701891284,0.1345676617,0.4366887963,0.04751546764,0.2842161344,0.4706140885,1.220531444,1.501694611,1.582829429,1.733819116,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4427958559,0.1899720691,0.1634489593,0.6674067595,0.1831206234,0.03381609085,-0.5460719797,0.183896426,-0.3601680625,-0.5708118661,-0.7031338243,-0.6538306233,-0.02786479725,-0.4168491629,1.185379634,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006886478513,0.01808249691,0.001641680858,0.000526592035,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,0.04647585061,0.044588178,0.1106733403,0.152378077,-0.0387913302,,,,,,,,,,,,3.87870359,0.3090388228,1.699741236,1.181136428,2.004279025,0.1971328456,2.133612364,2.014129289,,2.579890311,,,
Tunisia,,,,,,,,,,,,,,,,,,,-0.04025918918,,,0.02402670745,0.02081434173,-0.01764268295,-0.0155947182,-0.07124267936,0.0139657149,0.01244504851,0.01154648803,0.04171051303,-0.009263362826,0.02481550419,0.02918362477,,0.03794326385,-0.02932086735,0.005244811206,0.0305096335,-0.004027703336,0.01102277638,0.00679508422,0.001574968046,0.002127581474,0.005088748319,0.004892183918,0.03199236822,0.08829257998,0.04249497516,0.08427026742,0.1613158144,0.1498471961,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01032432259,,,-0.01061879071,0.0178759116,0.04085609145,0.007759573182,0.03749325534,0.0666721967,0.06061422423,0.1322203303,0.1362857708,0.2582567373,0.3263713302,0.2540747767,0.06149623502,0.1584130692,0.1988952263,0.2202990505,0.1740440451,0.3254242912,0.349016724,0.2527036188,0.1993560495,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01522372549,0.02074092035,-0.0112213099,0.08374808607,-0.009550359186,0.02216547926,0.003198820033,0.06051143543,-0.01179442894,0.02593104764,0.006164937281,0.3192402572,-0.1234303587,0.4715559619,0.5611347853,0.1381925121,0.5336066734,
