"Total GNI, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
China,,,,,,,,,,,,,,,,,,,,245336975496,282252731579,327513493645,378792345524,453158411461,528347598516,586042948566,672703012734,775004836938,838143807836,905054886886,1021150490170,1188786860085,1380078685394,1594345231736,1783306434470,1999710650244,2234548338745,2430883045954,2653267494674,2951384780048,3261412516522,3631368542722,4101327143071,4656288582816,5325984094862,6228116323465,7349675594702,8247191419485,9079478616626,10080232286787,11360732897191
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,67530500477,75107510723,78928156882,82904637494,88503314537,93138515930,101832222422,109604444815,118809495431,126046568989,138646250002,147742750916,158856078311,167678641004,183987680012,198203100311,205009595668,215887231410,221149797195,215024684315,228101448904,236415177194,245669367145,258733198336,279947716980,302675324717,333641595004,366289452416,386258157600,397749812451,417655285976,452398505761
Comoros,,,,,,,,,,,,,,,,,,,,190277339.6,215543921.9,244004994.6,263292927.7,284029366.4,298053494.3,310684676.4,326463602.3,344885824.7,352502266.2,380979889.1,372953421,420171145.7,438968123.2,422381940.9,448686559.6,449479340.8,476373096,487888856.1,505889690.7,524574746,555186346.7,583952100.6,607279835.6,624806286.5,674997705.9,708139656.1,734539696.1,755253456.4,775765458.2,798881848.3,841900462.8
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,6102042076,11495418904,11947328248,15172784731,14476823605,14803326781,14738387889,16094230835,15354885960,14407102469,13123117990,11936695878,10972115240,11085579492,12084624368,11600484304,11619184636,11036280221,10422833421,10461662433,11411470484,12594708146,13642764180,14782725096,16411845184,17752967331,18222373821,19873614051,21560130698,23379621246
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,2293464831,3075782747,3999976084,4312965796,4917796330,4978962330,5148208947,5306838964,4737306523,4964493885,5093707056,5432393846,5928229175,5926946663,5681942432,4100626440,4294713740,5432945647,6063575931,5517403853,6132849411,6463455576,7138253178,7439011390,7287706243,7913759490,8643148137,9116691188,10574004417,11299620048,12841419379,13581360382
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,6816465118,6801962439,6340439822,7350051077,8259736513,8664006361,9458076463,10395084124,11112870151,12077003571,13362427564,14295219306,15944827306,17503946735,18928941423,20005317135,20616077096,22099673628,23949473818,24062696525,26074712066,28024597322,29477653400,31872412233,34132224550,37439330120,42346282025,47212580729,49731269998,49490491073,52577979037,56493675843
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,10116498748,11292082859,11882697379,11497723802,11977739141,12540235399,13566940335,13720422417,14287643406,14437501834,14733825367,15531967755,16002574457,16264925561,17315243808,19050661279,21215061064,23208926052,24700181539,25318541268,24840763577,25597656858,25665097782,25984804130,27367136979,28700361365,29805867220,31202009515,32728449363,34261490564,35504429000,34771857752
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45404176017,37128207813,33098213943,31189905799,33755022048,37291242997,40379033529,44015471179,45123904847,44441141924,47433274220,50829719097,54928436715,57608295798,63052737645,66326420036,72499560123,80951442514,87126312313,84319491778,82545810307,85195805775
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,2624282294,2935121878,3297104712,3575338673,4043110672,4376581292,4632659565,5165372265,5805373984,6518755692,7271174567,7577391927,8429202899,8690642159,9361788068,9821063970,10233518369,10609406034,12382524845,11920225370,12613012673,13881387772,14679610346,15404554138,16421927125,17728792730,19372103214,20714947868,23626918417,24599847627,24843738452,
