Total sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Kyrgyzstan,90.96,89.853,90.254,90.988,91.558,93.465,94.148,94.56,95.72,96.875,97.254,97.299,97.427,97.534,97.556,97.47,97.303,97.147,97.054,97.018,97.007
Laos,97.109,96.759,96.785,97.08,97.565,98.16,98.734,99.393,100.065,99.847,100.015,99.185,99.702,100.092,100.37,100.547,100.636,100.656,100.602,100.512,100.389
LATIN AMERICA AND THE CARIBBEAN,100.017,100.071,99.962,99.883,99.852,99.71,99.557,99.165,98.834,98.478,98.174,97.81,97.524,97.315,97.128,96.889,96.623,96.338,96.044,95.755,95.483
Latvia,76.166,78.186,78.251,82.195,84.183,85.063,85.244,85.838,86.933,85.64,84.983,85.197,85.586,86.229,87.011,87.792,88.438,88.965,89.448,89.964,90.597
Least developed countries,102.062,101.72,101.402,101.111,100.809,100.541,99.981,99.773,99.56,99.471,99.429,99.495,99.635,99.777,99.868,99.92,99.931,99.905,99.842,99.747,99.618
Lebanon,101.323,101.326,101.168,101.49,101.462,101.387,98.265,96.579,95.008,97,96.043,96.072,95.893,95.8,95.743,95.738,95.773,95.809,95.854,96.013,96.235
Lesotho,88.331,88.231,87.035,85.439,85.954,85.737,85.631,86.132,86.557,87.474,87.887,88.548,89.646,91.013,92.389,93.604,94.472,95.058,95.462,95.638,95.494
Less developed regions,104.826,104.441,103.658,103.853,103.841,103.968,103.849,103.734,103.666,103.589,103.496,103.419,103.302,103.173,102.999,102.773,102.505,102.219,101.934,101.665,101.412
"Less developed regions, excluding China",103.325,103.309,103.337,103.306,103.152,103.122,102.842,102.701,102.578,102.386,102.201,102.058,101.919,101.8,101.671,101.507,101.309,101.088,100.855,100.628,100.402
"Less developed regions, excluding least developed countries",105.197,104.806,103.962,104.223,104.252,104.438,104.393,104.305,104.275,104.231,104.161,104.094,103.966,103.823,103.631,103.38,103.083,102.766,102.454,102.164,101.902
Liberia,98.005,97.541,97.289,97.16,97.107,97.083,97.174,97.304,97.423,97.693,98.033,98.44,98.836,99.161,99.411,99.581,99.687,99.755,99.79,99.793,99.752
Libya,106.521,104.341,105.327,107.836,110.226,112.678,114.767,113.463,111.6,110.162,108.899,107.791,106.841,105.995,105.212,104.451,103.685,102.931,102.206,101.533,100.939
Lithuania,82.162,83.97,84.857,87.178,88.415,88.995,88.92,89.037,89.768,89.042,87.962,87.39,88.109,88.517,88.904,89.272,89.572,89.72,89.874,90.116,90.461
Luxembourg,100.001,100.657,97.483,96.674,96.282,98.466,95.741,94.642,95.82,96.312,97.004,97.874,98.553,99.117,99.56,99.881,100.042,100.024,99.912,99.806,99.788
Madagascar,105.87,105.13,104.292,103.519,102.85,102.063,101.392,100.816,100.282,99.805,99.429,99.226,99.158,99.174,99.172,99.135,99.062,98.959,98.837,98.704,98.557
Malawi,93.18,92.609,92.457,92.512,92.681,93.072,93.805,94.923,96.647,97.606,98.108,98.368,98.89,99.434,99.934,100.45,100.941,101.409,101.857,102.252,102.535
Malaysia,106.026,103.99,103.368,102.896,101.903,101.31,101.373,101.514,102.985,103.256,103.491,103.323,103.094,102.781,102.443,102.074,101.698,101.353,101.058,100.821,100.638
Maldives,116.969,115.385,114.128,113.112,112.238,111.558,110.803,107.64,104.694,103.999,103.149,102.492,101.908,101.42,101.038,100.733,100.445,100.136,99.802,99.447,99.08
Mali,104.974,104.249,103.54,102.809,102.014,101.356,100.421,99.493,98.656,98.048,97.56,97.471,97.589,97.859,98.158,98.448,98.701,98.907,99.058,99.146,99.159
Malta,97.47,93.827,93.789,93.037,93.134,93.38,94.814,96.721,97.493,98.173,98.28,98.781,99.327,99.773,100.083,100.224,100.191,100.044,99.879,99.76,99.68
Martinique,91.375,92.327,96.105,93.056,96.084,93.921,94.125,93.798,93.422,91.659,89.864,88.119,88.381,88.596,88.814,89.04,89.258,89.48,89.758,90.165,90.79
