"Murder per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19,14.198,9.059,14.31,8.453
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2005,,18.65348244,18.65348244
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.81684,,16.07437325,16.07437325
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.128921,2.356529,,,2.316711,1.958233,2.566922,2.874228,4.228209,2.747349,1.537011,0.217166,,0.2386294,0.0271983,0.558767,1.922272,4.130165,3.626255,3.072853,3.708992,3.500809,,3.372169733,4.894723005
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9758563,1.105856,1.124522,1.152961,1.148717,1.136796,1.077464,0.8856388,0.8661771,0.8778646,0.7330402,0.6831061,0.7247784,0.6584057,0.6259494,0.54845
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6842,,14.09178352,11.67912194
Greece,,,,,,,,,,,,1.296326,1.180469,1.097806,0.9747109,1.069118,0.8674839,0.7421071,0.7321204,0.7257317,0.5592464,0.5893175,0.4950963,0.748117,0.565596,0.7973255,0.6665012,0.6227863,0.6635472,0.7040728,0.6899464,0.8041955,0.8940259,0.7901525,0.8885385,1.013459,0.9069457,0.7472506,1.066684,0.7603136,1.009821,1.369589,1.123254,1.191074,1.050133,1.170185,1.407876,1.413615,1.171927,1.057041,0.9715257,0.8845677,0.6569903,0.9716066,0.81206,0.9168984
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.573865,0,4.71316433,4.71316433
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494,4.456,4.877,4.655,3.942,5.152
Guatemala,,,,,,,,,,,,,,15.96898,15.62052,14.17648,19.88171,31.98454,25.44836,18.78264,26.29148,26.15359,,,1.776679,,,1.560335,,28.44678,73.14865,130.9823,,,4.298609,,25.64307,30.1117,30.3069,24.46996,25.06569,24.75729,24.15801,23.56605,27.39782,26.43426,28.12424,37.70043,34.02543,24.08603,24.62864,25.19448,28.89205,33.41443,32.97674,41.17918
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.59962,,20.49188805,20.49188805
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.77847,,21.19964027,21.19964027
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.679,11.486,,,,,,4.365,10.643,,10.493,10.55486,28.207,23.80722046,25.76643348
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.113,,2.521,14.55608,2.865,6.842729568,6.842729568
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.23169,,26.43181038,29.05707608
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.767,1.05,0.975,0.517,0.674
Hungary,,,,,,1.954076,2.298501,4.002379,2.661581,2.851068,1.58053,2.245844,2.051224,1.81973,1.823524,1.600376,1.987606,1.943749,2.303277,2.222982,1.939902,2.076242,2.129073,2.182671,1.869547,1.942553,2.025588,1.876476,2.15244,2.174687,2.479076,2.476072,2.358611,2.397657,2.449656,2.557451,2.682133,2.452827,2.659323,2.653157,2.901622,3.631829,3.597965,3.724967,3.11295,3.137214,2.894431,2.951418,2.945004,2.612514,2.379586,2.082933,2.281126,1.73142,1.856074,1.623754
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443,1.204,0,0.542,2.104,0.732,0.5809463,0,0.9975113273,1.04
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.583668,,6.542599678,6.271878578
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38724,,9.675540924,9.675540924
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.045862,,2.772690535,2.772690535
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.063911,,8.52824688,8.52824688
Ireland,0.3403187,0.2061602,0.2670122,0.417658,0.3086415,0.2100847,0.0851871,0.2059321,0.273401,0.3192212,0.120057,0.2033886,0.3483064,0.2111171,0.5924091,0.2458326,0.4360373,0.4172949,0.3749435,0.293438,0.3741891,0.5294019,0.7164317,0.3609782,0.7091985,1.061734,0.3568293,0.9202332,0.8066373,0.90758,0.7604075,1.940579,0.6540342,0.8345723,0.6019096,0.7085915,0.8601283,1.133504,0.844779,0.6673363,0.6665852,0.623838,0.7959415,0.6456851,0.6944076,0.767134,0.931271,0.8420752,1.058841,0.9792913,1.029732,1.022907,1.065051,0.8853595,0.5714058,0.89559
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,1.607678,1.756672,1.563992,1.716988,1.931447,1.899441,2.037252,1.853345,2.135818,1.601342,2.323689,1.939542,1.456802,1.40348,2.636051,1.902282,1.280315,1.241497,2.421053,2.321698,1.460459,1.042703,0.5413063,0.502186,2.1433,3.123014,5.798099,7.764957,5.056236,3.574071,2.958549
Italy,,1.476622,1.448375,1.360527,1.373572,1.453677,1.518175,1.361192,1.342072,1.219561,1.295163,1.122978,0.962364,0.9493679,0.8685103,0.8693211,0.7921233,0.9054814,0.8752434,0.8210068,0.8244619,0.9978059,1.041235,1.162252,1.145232,1.285933,1.376574,1.434576,1.446413,1.594569,1.867034,1.898741,2.088256,1.907432,1.621727,1.449972,1.209202,1.542632,1.769266,2.157495,2.550751,2.732039,2.108842,1.61293,1.472518,1.417469,1.367755,1.156991,1.193191,1.158323,0.9749168,0.9009612,0.9151503,1.061044,0.8970595598,0.8970595598
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5422887,25.14149419,37.65297318,42.59419611
Japan,2.23226,2.035293,2.010711,1.96841,2.195122,2.362226,2.053286,2.01737,2.147084,2.018102,1.885767,1.7016,1.570583,1.55365,1.533082,1.433104,1.450051,1.391437,1.442551,1.370678,1.332323,1.301274,1.252671,1.253148,1.247624,1.285108,1.259189,1.220872,1.159771,1.040724,0.9622996,0.9972613,0.9354674,1.006346,0.9808344,0.8520962,0.867942,0.7743408,0.7745713,0.6522996,0.6127847,0.555252,0.6257048,0.6541326,0.6261536,0.5515338,0.5386051,0.5574386,0.618821,0.5743886,0.5748762,0.5454463,0.5275312,0.5315602,0.4762617,0.4393612
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1967,,7.423037052,4.873558983
