HIV Incidence % (Ages 15-49),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Tanzania,1.41,1.48,1.47,1.37,1.22,1.06,0.92,0.81,0.73,0.67,0.64,0.62,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.6,0.59,0.59
Thailand,0.49,0.49,0.4,0.29,0.2,0.15,0.12,0.1,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,
Togo,0.27,0.37,0.47,0.55,0.6,0.61,0.58,0.54,0.49,0.44,0.4,0.37,0.35,0.33,0.31,0.3,0.3,0.29,0.28,0.27,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0.06,0.11,0.13,0.15,0.17,0.18,0.19,0.19,0.19,0.18,0.16,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.12,0.11,0.1,0.06
Tunisia,,,,,,,,,,,,,,,,,,,,,,0.06
Turkey,,,,,,,,,,,,,,,,,,,,,,0.06
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Uganda,1.34,1.19,1.04,0.91,0.79,0.7,0.64,0.62,0.62,0.63,0.66,0.69,0.72,0.78,0.81,0.82,0.83,0.87,0.89,0.9,0.88,0.84
Ukraine,,,,,,,,,,,,,,,,,,,,,,0.06
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,0.06
United States,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Uruguay,,,,,,,,,,,,,,,,,,,,,,0.06
USSR,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,0.06
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.06
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,0.06
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,
Zambia,2.27,2.2,2.11,2,1.89,1.81,1.76,1.73,1.71,1.71,1.71,1.72,1.72,1.71,1.63,1.51,1.36,1.19,1.14,1.17,,
Zimbabwe,3.78,4.03,4.37,4.95,5.27,4.98,4.73,4.41,3.95,3.32,2.6,2.11,1.87,1.6,1.5,1.48,1.43,1.44,1.44,1.36,1.25,1.05
Åland,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,0.33
