Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Tunisia,19.95340107,20.38441075,20.49935064,21.00797927,20.76414271,20.48581381,19.83761925,18.44103315,19.18316383,19.13116645,19.29236853,19.59749767,19.54062466,18.74521178,18.67219383,18.87750472,18.51075594,19.06412722,20.49120738,20.01725435,20.09917924,
Turkey,,,,,,,,,,,,,,,,,19.6971247,18.72830763,18.58659043,18.91177163,20.47515878,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,10.02476801,11.45015911,10.44395295,10.43958534,11.17998339,11.26113571,10.68891871,11.75955267,12.25196,12.39380707,12.90342908,12.1667963,,
Ukraine,,,,,,,,,,12.99175088,14.10037044,12.06136442,13.09870182,13.65447799,13.27565613,17.12308473,17.74754527,16.48459689,17.88311028,16.41083052,,
United Arab Emirates,0.3787777032,0.3313112952,0.4344288642,0.2952987267,0.714623649,0.8495307547,0.9734152844,0.992336344,1.075872392,1.122447005,,,,,,,,,,,,
United Kingdom,,,,,,26.32769009,26.27762157,26.73934023,27.77233061,28.03263316,28.44188462,28.21602839,27.05594736,26.34291727,26.57060639,27.24477235,27.95919304,27.63765155,28.84487436,25.98930734,,
United States,,,,,,,,,,,,12.50940502,10.37529036,9.849339898,9.97618584,11.19832746,11.89362787,11.89038942,10.3240143,8.476902023,9.293538807,
Uruguay,16.2025864,16.79324032,17.24085747,19.38949411,19.03440938,16.87875803,17.35110223,16.78079245,16.98284177,15.27828517,14.69913704,15.30598158,15.77767622,17.2060059,17.84620462,17.89692196,18.98805557,18.41050909,18.24184127,19.47721617,19.48278535,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,21.52087153,,,,,19.08248484,19.79847395,19.28499157,17.73499163,17.1253469,,,,,,,,,,,,
Venezuela,18.10471198,18.26549952,13.60484741,13.44993308,14.05830411,12.92333777,13.95644576,17.47080232,12.6968412,13.49214082,13.28660355,11.79627601,10.9504582,11.5341551,12.9281172,15.51372891,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",9.281688047,11.39883724,8.605326113,8.43372571,7.534901965,8.561664982,10.73959068,10.93642557,13.00110348,9.206820652,,,,,,,,,,,,
Zambia,19.48288367,17.49383062,18.71092611,15.04017144,18.8343653,17.17531493,17.71562216,17.66273766,17.69106959,18.43213806,,18.62140073,17.42503687,16.6532434,17.51903151,17.17169775,16.34405901,16.88944558,17.39439216,14.96165407,16.57942302,
Zimbabwe,21.5669493,19.96286734,22.05425779,22.96862102,19.84775422,23.1574756,22.59958937,26.05342112,,,,,,,,,,,,,,
