"10-14 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
United Arab Emirates,8000,9000,11000,15000,20000,35000,61000,107000,139000,194000,261000,242000,276000,323000,323000,338000,328000,324000,339000,365000,385000
United Kingdom,3348000,3570000,4247000,3783000,4116000,4644000,4541000,3874000,3421000,3641000,3840000,3831000,3589000,3481000,3735000,3791000,3899000,3946000,3900000,3855000,3902000
United States,11574000,14009000,17302000,19404000,21106000,20726000,18160000,17080000,17406000,19100000,20809000,21616000,21079000,21634000,22612000,22610000,22652000,22523000,22449000,22719000,23111000
Uruguay,200000,204000,220000,231000,251000,258000,241000,264000,278000,257000,266000,271000,261000,250000,243000,237000,232000,225000,218000,213000,208000
Uzbekistan,772000,584000,671000,1084000,1591000,1907000,1953000,2140000,2344000,2740000,3157000,3218000,2791000,2546000,2553000,2704000,2738000,2622000,2417000,2232000,2186000
Vanuatu,6000,7000,8000,10000,11000,13000,15000,17000,18000,22000,24000,27000,29000,31000,34000,36000,36000,37000,38000,39000,39000
Venezuela,568000,718000,926000,1138000,1359000,1705000,1874000,1971000,2282000,2494000,2713000,2734000,2771000,2853000,2925000,2940000,2908000,2858000,2804000,2744000,2670000
Vietnam,2607000,2587000,2909000,4274000,5254000,6192000,6983000,7340000,7775000,8551000,9249000,9247000,7771000,7340000,7132000,7128000,7076000,7006000,6707000,6442000,6294000
Virgin Islands (U.S.),3000,3000,4000,5000,7000,10000,13000,11000,10000,9000,10000,9000,8000,8000,7000,6000,6000,6000,5000,5000,4000
West Bank and Gaza,124000,132000,141000,143000,128000,153000,193000,240000,282000,318000,408000,475000,586000,654000,710000,758000,801000,841000,875000,896000,905000
Western Sahara,2000,2000,3000,5000,8000,10000,16000,18000,23000,31000,36000,45000,46000,50000,58000,64000,67000,65000,61000,58000,58000
"Yemen, Rep.",495000,554000,640000,755000,839000,949000,1122000,1343000,1647000,2108000,2543000,2927000,3177000,3393000,3845000,4213000,4477000,4591000,4626000,4659000,4688000
Zambia,283000,322000,376000,417000,498000,605000,734000,873000,1024000,1143000,1312000,1482000,1736000,1974000,2222000,2424000,2586000,2702000,2791000,2878000,2957000
Zimbabwe,322000,379000,399000,562000,669000,805000,950000,1152000,1400000,1622000,1722000,1732000,1635000,1607000,1697000,1816000,1923000,1904000,1832000,1792000,1800000
