Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.59664478,-24.2230364,-32.25244524,-20.22417919,-14.10106027,-12.0726689,-11.86741842,-11.50599982,-13.00710533,-11.03988866,-15.32583476,-8.476308997,-5.178249828,-9.157813993,-17.19831045,-10.33209395,-17.44300926,-20.06131672,,,,
Dominica,,,,,,,,,,,,,,,,,,-19.75560081,-22.13840603,-62.95986622,-70.56464248,-44.1299849,-28.32322402,-19.41612604,-32.77134259,-23.40897137,-5.888962327,-8.108108108,-14.14071213,-31.26705344,-25.99149261,-18.84519069,-13.3211036,-12.45356679,-13.7380953,-14.59579909,-10.02349373,-14.52660448,-7.963716487,-8.88089639,-12.0867036,-13.51088513,-10.22132756,-11.52416215,-12.11455757,-18.53847266,-14.50850095,-21.49257517,-27.77800976,-23.64422997,-22.96521843,
Dominican Rep.,6.781680155,6.91025668,-0.3154957045,-5.250851055,-8.336587624,-3.963517765,-8.994816254,-6.928875145,-8.154943693,-7.631044489,-7.365019206,-8.125300048,-4.810547051,-3.8000585,-11.29682691,-2.300447248,-7.301210626,-4.168210707,-6.82808311,-6.354114641,-9.772281613,-4.197056173,-4.909592208,-3.897007597,-4.636800858,-8.950018811,-9.104859351,-11.86053478,-8.726575539,-11.05839619,-9.864800184,-2.938116766,-6.923623157,-5.305690142,-4.852212559,-3.555177927,-2.964718883,-3.984419724,-7.726189818,-6.755874189,-8.819297562,-7.267865467,-7.854355348,-0.3384526809,0.7717509346,-5.473587307,-7.984077013,-9.096837929,-13.75262758,-8.004151391,-11.74586927,
Ecuador,-2.636058586,-3.960987437,-2.664133733,-2.66363153,-4.412027936,-3.637833656,-2.550637782,-4.249485763,-5.455712452,-7.652474108,-6.989247312,-12.10623794,-5.644743469,0.925568862,5.043300905,-6.194880705,-2.938073039,-3.106039699,-6.456593233,-1.158180968,-2.143758408,-1.90435189,-5.406429708,0.2950902023,2.442668687,5.247147833,-1.931101944,-10.81912991,-5.26720726,-6.920085959,0.9854133167,3.376532479,4.845300083,-1.594048884,-1.712163441,-2.530201815,2.294529313,-0.08461776675,-6.87163914,6.573107883,6.068784086,-4.391853932,-7.502357203,-2.445322876,-1.856300977,-1.09658597,0.886816737,0.6417013982,0.07180420555,-2.433461579,-5.669076932,
Egypt,-0.5751286031,-3.478430604,-5.866734167,-6.550946679,-4.550272106,-3.807529437,-2.946883414,-3.115462404,-3.80923237,-3.302868801,-4.567748888,-5.100121266,-5.784831356,-5.17825639,-16.73196663,-21.10003639,-11.72885471,-10.71428418,-15.27309671,-18.60684906,-12.35133782,-15.43302845,-14.8982263,-10.94745588,-13.46126903,-12.12725002,-9.862863667,-10.20757513,-17.84274222,-14.45792414,-12.66568768,-7.980088793,-2.516175413,-4.25257732,-5.485714286,-5.147058824,-5.448997384,-6.05490786,-9.498956159,-8.257477243,-6.615701264,-4.850850293,-4.35471097,-2.586826349,-1.359983508,-2.265552469,-1.618908859,-4.578410311,-5.594639866,-6.639800422,-4.782032156,
El Salvador,-4.533248082,0.06915629322,0.4758667573,-1.811943974,-3.550411249,-2.424463488,-5.116617812,-3.019874328,-1.754871088,-2.607204085,0.2859877805,-1.982935981,0.9685689574,-3.022905817,-8.4135714,-5.169519897,-1.273044375,0.692130464,-9.26354732,-0.1697639778,0.9166306801,-6.909112825,-5.692932727,-5.420766989,-6.782395403,-7.563005887,-4.377798004,-7.11001366,-6.474340679,-10.45271971,-12.67057492,-13.30626454,-16.3451082,-14.75269423,-15.24171503,-16.12042926,-12.85549684,-11.65771376,-12.2936977,-12.34503243,-15.0333317,-15.80279768,-14.71059014,-15.90647783,-17.24742536,-18.52192023,-20.48494127,-22.41194933,-22.81694741,-15.47795363,-17.46854775,
Equatorial Guinea,,,16.77702505,28.31325301,24.17413309,9.060722284,12.97448512,9.709390977,14.43080829,15.8740278,-9.392229497,-3.025400062,-9.588128983,-15.21063645,-16.50281675,-7.831576838,-5.485457194,-5.661404464,,,,,,,,-9.483701299,-21.93522425,-37.58480091,-41.6509361,-32.19584453,-37.44003341,-29.65098987,-34.21506225,-35.70742639,-48.97135268,-49.01000565,-82.83897544,-22.54408378,-71.73670509,,13.19483182,9.266355738,47.27651193,20.42428126,35.14159861,43.81067963,53.65854486,51.60525984,47.25471255,12.16221402,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.52997668,-40.9466198,-54.84245237,-60.5465899,-58.14997959,-56.18513108,-65.2585997,-77.19042108,-66.64370983,-55.2010254,-57.25455477,-61.12423487,-54.02039871,-48.77547393,-31.46117495,-29.41554431,-21.6998115,-15.90990297,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.892230613,-4.066116572,-10.38393079,-7.574269847,-10.98876568,-10.86652706,-10.03057726,-4.900889674,-3.606332653,-2.475557525,-7.357522535,-7.490116449,-7.054960021,-6.499454921,-10.24723177,-10.55925702,-4.130706506,6.114121037,6.68121116,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,-4.298496471,-5.575535836,-4.82083588,-6.272869751,-5.663344731,-5.328776434,-5.683058225,-5.6877307,-3.942179515,-3.285858863,-5.111400844,-4.40627471,-8.619860264,-6.978898057,-6.036966363,-7.014376481,-6.501247335,-7.639023624,-12.31231925,-11.9378706,-11.7259935,-14.00011419,-14.09735404,-16.67763827,-20.37986158,-22.70375164,-19.29816202,-19.43085406,-18.33138349,-21.06902027,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,-1.793721973,-10.11840689,-3.176229508,2.431906615,5.845323741,-7.876712329,-4.511278195,-2.675840979,-4.458161866,-4.331450094,-3.232533889,-7.786691836,-9.299655568,-13.47915668,-5.222222222,-0.6401136523,-4.731372835,-2.757202839,-4.414710339,-5.433019479,-4.940539927,-14.41016777,-6.404395046,-5.428112461,-1.066415745,-0.379785188,2.189231716,3.276003276,3.149415974,2.314341105,-4.813131313,-3.19294809,-2.997002997,-7.071187785,-3.030983386,0.4438990942,4.002677376,2.599980153,2.500227846,-0.3973544559,-5.104892998,-8.051566007,-2.43933791,-8.379358308,-16.60118855,-12.19226288,-19.73949011,-15.38713218,-20.94572551,-13.57656603,-11.90011434,
Finland,-1.131034581,-1.372217174,-1.517670703,-0.3345914779,-2.228949192,-2.033469817,-1.934080645,-1.264782854,1.071688109,0.4244378644,-1.702132456,-2.333994851,-0.4898809485,-1.314858661,-3.899451054,-6.138306138,-2.200166235,1.328400125,3.131927929,1.056178995,-1.317015967,0.9896249002,0.1749408983,-0.01061413378,2.406939883,0.6804976357,1.102821927,0.26588154,-0.6246435818,-1.888695116,-1.554032872,-0.9669432156,0.8132236184,4.552279715,5.701099498,7.481470686,6.99982851,7.402682064,8.080184514,9.138250995,9.139528727,9.368359083,9.233810896,6.821227093,6.522795634,4.092638586,4.720538111,5.123171885,3.752356331,1.640988187,1.304800218,
France,1.827110167,1.580375924,0.7161012725,0.1286773967,-0.4125964573,0.6550878925,0.03967513529,0.04088543868,-0.2872435217,-0.7903837958,0.2428847847,1.067302699,0.9014832963,0.7891721102,-0.9308629551,1.122147847,-0.8021130864,-0.03193125017,1.076224868,0.4054605039,-1.576275943,-1.522079638,-2.539281803,-0.3251413335,0.08198055113,-0.4471527242,-0.1974601247,-1.196478336,-0.7614234136,-0.7884586875,-0.8876140127,-0.406750129,0.5935097328,1.619250081,1.395479348,1.473698378,1.620330608,2.873959842,2.533933932,2.132786171,0.9954060959,1.136636339,1.525541445,0.8948912729,0.4043318229,-0.6332190349,-1.045483557,-1.548289314,-2.104754036,-1.811901244,-2.346076396,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.6738071,-23.69283164,-22.16611182,-21.04679924,-22.29419181,-21.48418688,-21.88078714,-24.64891341,-19.21270487,-19.33221256,,,,,,,,,,,
Gabon,1.543777221,-0.4511190931,0.9458577549,1.709333034,5.940388169,5.945945946,0.1655794976,0,-0.8230313243,0.6045957987,11.73184095,13.98658421,0.8295576037,1.179404097,14.28571429,1.621972318,-0.514532054,0.333236743,14.83679525,21.08284207,33.09002433,22.66793711,21.92783245,17.7822487,18.89217324,5.291569477,-19.51302282,-2.524586838,-5.060852809,4.597529015,15.17956312,13.99198004,12.28226363,14.24619048,23.42459316,23.63930187,29.65558912,24.0717571,-1.162079395,21.49355625,36.36242448,25.9896952,19.22183754,24.2505061,30.1810771,37.03771686,30.12096408,29.36635796,34.56033611,17.61407974,25.42584035,
Gambia,,,,,,,-7.406652312,-6.668387398,-11.00292478,-10.69878002,-3.117301514,-4.814064629,-6.982685811,-7.27846875,-4.742462477,1.093996639,-5.298016385,-10.78161771,-26.20676339,-28.29566419,-20.86227172,-22.79594408,-15.30376653,-11.99395318,-13.6642467,-10.0517614,-9.474170504,-9.868818042,-8.087565036,-10.21743692,-11.67994025,-11.29599286,-12.87523032,-16.96601837,-15.30138984,-24.12535529,-15.93986566,-4.812607896,-6.575827637,-6.825480295,-8.858501784,-5.40770965,-8.332837223,-9.245929385,-21.11104437,-22.81349932,-17.17817748,-16.31178668,-18.646875,-19.68145015,-19.4,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125175809,-4.021813224,-2.717770035,-5.744822979,-3.289817232,-30.58571237,-24.86140673,-51.35840935,-16.82488676,-19.04426174,-26.5324622,-20.6491908,-19.04070257,-16.67258164,-14.40719582,-13.17052765,-14.58449232,-16.62655086,-17.81945798,-24.15114819,-26.74486718,-29.78360513,-19.19459721,-17.49617285,
Germany,,,,,,,,,,,-1.474675421,-1.769446425,-1.664929126,-0.9754781748,-0.4026947594,-1.712596123,-2.290877661,-2.202184372,-1.948503963,-3.748573794,-4.862507582,-4.099164359,-2.728022724,-3.104071211,-2.877782501,-2.055851618,-0.2662959438,-0.2193970884,-0.241614162,-0.5259123117,-0.06391180926,-0.3779486511,-0.4046347974,0.1732571159,0.3344181349,0.5945361104,0.9605333333,1.289867196,1.374189927,0.8789121088,0.3076923077,1.982967791,4.497701904,3.918509895,5.044860409,5.214439849,5.620381175,6.999382335,6.232112539,4.990945462,5.46875,
Ghana,-7.246376812,-10.32480103,-4.255319149,-6.271586984,-3.963759909,-9.59492635,-4.992096944,-2.512796596,-0.4705328962,-0.6097865649,-1.367680197,-4.475105036,5.484123162,5.055409759,-3.476320179,0.9293956045,-0.3386345599,-1.056130121,-1.328497795,0.07086579489,-0.6884160967,-0.5672895678,0.3562714647,-0.4330625665,-2.726608666,-2.934988309,-3.559581612,-6.52294678,-5.878658312,-7.60060592,-8.972353155,-8.56126806,-11.54168794,-16.16127476,-11.50387777,-8.430211656,-7.980584383,-20.581252,-12.85684051,-17.54842483,-18.4439149,-19.57982183,-12.25673902,-15.92906036,-21.06368391,-25.27308021,-15.5375757,-16.30408231,-19.45528955,-13.01066114,-11.77270449,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,-7.647431632,-7.209972229,-7.272052075,-8.032108101,-9.841584583,-11.27137547,-7.64596677,-7.520409196,-8.839993104,-9.018907565,-8.45318512,-8.290845949,-8.334151783,-9.97007204,-8.215181372,-8.209666661,-7.899671987,-7.804240406,-6.760589799,-5.948963715,-6.77316183,-4.827871901,-8.622156379,-9.59085385,-8.465392093,-9.47364608,-8.406589101,-6.957728396,-8.098078518,-10.4094959,-12.46017718,-12.01612063,-10.63966428,-10.49422649,-8.483817123,-9.673924411,-10.39615815,-9.906677567,-11.02592609,-11.47388061,-13.87721649,-13.53078025,-13.93715193,-12.61059835,-10.33077703,-9.289875057,-10.81150914,-13.47060246,-14.41034919,-11.35253535,-8.877114398,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,-10.48829617,-8.443908323,-21.18704185,-32.02515946,-44.83775811,-42.74268824,-32.38555085,-26.67608428,-25.68102496,-20.46652695,-20.82964564,-17.92308927,-20.09456265,-20.35718529,-21.01833681,-15.52393663,-19.0602371,-14.13412564,-10.45978338,-20.90602846,-25.74877836,-28.10258639,-12.71220266,-15.23444187,-16.78114564,-18.85485307,-23.02919246,-21.36530872,-36.20702835,-35.23625764,-33.55917789,-32.83971861,-25.19822843,-28.84500637,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,-1.897278767,-1.541748071,-1.635187128,-1.647133354,-2.701870725,-2.824095073,-0.1941468281,-3.302373508,-1.682707267,0.3730908382,0.7930672269,-1.410721483,0.3711987874,0.6772535861,-3.257947276,-1.810252597,-6.011041315,-1.800931082,-5.786908788,-4.50265105,-2.732683909,-6.511762408,-3.900424601,-1.558010276,-2.148891544,-1.035786876,1.459780263,-6.445146705,-5.83256361,-5.166648277,-3.814443586,-3.6150443,-9.230270207,-8.372865939,-7.331002801,-6.171342281,-4.772718359,-5.639735111,-8.080526721,-8.350658604,-8.755519114,-13.12966992,-13.43396092,-14.41226678,-15.12711871,-15.93928433,-16.95473426,-16.76794897,-14.68870777,-9.129829301,-10.88623424,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,3.019481725,0.927603034,-4.201969911,1.307632638,-2.366547428,-0.254705147,-1.198665839,-1.56537124,-3.11018311,-3.406564521,-5.149970949,-3.292894741,-5.637266567,-4.394012394,-4.266109494,-1.404050624,-2.275401468,-0.09063134968,-2.313151991,-1.281803344,-3.337043368,-4.566609985,-5.305472505,-4.660814396,-4.447667766,
Guinea-Bissau,,,,,,,,,,,-26.1886121,-30.15387973,-31.27443315,-34.66666667,-34.22994159,-20.76178237,-22.66271511,-23.29782102,-28.31842926,-34.25423883,-29.15428116,-24.52546184,-33.44497697,-26.24453134,-37.88023548,-47.95151413,-26.59987963,-27.58914775,-38.72730153,-37.29879653,-27.09852444,-27.80863541,-45.20939597,-23.84742789,-17.85496348,-23.47609368,-21.31136345,-18.86637142,-21.3991469,-17.95529425,-19.80121331,-34.34832578,-21.40335936,,,,,,,,,
Guyana,-8.224811515,-0.9102322662,11.75942549,16.79389313,3.593890386,-2.4,-5.169753086,-2.351281448,3.09031556,3.810669876,-0.5414488424,3.722744405,-1.301518508,-16.7028536,1.927306943,-0.02526585195,-24.92738386,-15.55971006,-0.01578165221,-9.418593697,-12.35411353,-23.38760469,-17.30290456,-18.6989079,-7.197833036,-13.79487508,-6.907835984,-11.19424256,-4.3015982,-7.192643853,-17.15289291,-22.12597234,-25.25041903,-19.84587506,-12.97803822,-10.90602935,-6.094912687,-9.81653892,-11.97766538,-8.042369331,-14.60865452,-16.42550363,-12.68834588,-9.97704208,-9.864297137,-34.58365244,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.18459921,-17.39466564,-27.06156636,-18.29218686,-19.58064279,-17.56849462,-15.98926025,-16.7198438,-17.45025558,-20.71925754,-23.77946324,-23.87373974,-32.04044824,-28.65578722,-28.89993156,-30.53305812,-25.70214893,-31.46015404,-29.69681983,-45.19979029,
Honduras,-1.638611727,0.3930376193,0.4126369914,-2.632862019,-2.27571116,0.4521773322,-1.454677656,-2.023073119,-1.20593689,-2.889221418,-6.196403873,-0.8207934337,1.058530553,-0.8767123595,-11.93813436,-8.985765125,-4.451038787,-4.432464895,-4.120240131,-3.686432742,-6.819951902,-6.064905125,-1.377646549,-3.071174293,-6.32720699,-4.767140185,-1.719837192,-2.86574355,-2.637552697,-3.338494249,-2.743878121,-3.052592865,-4.106382979,-9.021993036,-10.02356039,-4.380515637,-5.114837845,-5.63102363,-7.656378659,-14.95538031,-12.44774645,-13.17972439,-12.53625895,-14.06023795,-18.6158361,-18.47796614,-21.0225471,-28.05262951,-33.09840808,-18.92892845,-20.73790778,
"Hong Kong, China",-9.613725784,-9.786855326,-10.29386065,-9.218538639,-9.619444179,-3.441353599,-3.537405436,4.65416936,5.38447577,8.82973794,7.705627706,4.206852554,7.955110669,6.31963957,4.800169617,5.594447919,10.68244089,6.539018328,1.015192887,1.294731323,-0.4783754759,-1.485271587,0.6064234832,1.854119778,8.108574518,10.16642403,9.230590918,10.51377112,9.022772948,11.54870326,8.640955005,6.903569918,5.299460179,6.776861107,1.230870574,-4.446559634,-1.44906672,-3.352028975,0.5558632511,5.266652351,4.444503472,4.493780105,8.293653714,9.236605303,8.867633752,12.42667747,11.39866487,10.82804007,10.25962263,7.458938484,5.611122006,
Hungary,-2.210884354,-0.1446646802,-0.5634480359,-1.574316799,-2.874988433,-0.734760358,0.9959991475,-1.885028787,-0.7748683522,2.195613786,-2.313350253,-6.228955762,1.216748516,4.569633059,-4.423006673,-7.406999711,-4.2511733,-4.452233523,-9.12171195,-3.443226564,-2.158714396,-1.055247259,0.7992961193,1.91294414,3.156299312,2.070510749,-1.416054372,-0.4823177345,2.683835475,3.331953823,2.611815463,-0.7183478095,-0.02476096542,-8.040973721,-6.283275918,0.3007073011,0.6654669615,1.220527298,-1.269693793,-2.516324805,-3.449624713,-1.032620851,-1.852802797,-3.84304502,-3.600461417,-2.10692178,-0.9149449756,0.8914867317,0.4542213302,4.858067009,6.501300936,
Iceland,-4.270799104,3.11875453,3.450665566,-1.193384138,-1.449144975,1.278216142,-1.012643369,-7.808232662,-7.804548817,2.043924568,1.733500219,-6.417049893,-1.776949385,-2.023682034,-9.687306668,-8.341445164,0.3895478405,-0.7613448022,2.977963538,1.175864006,0.01981883153,-1.457690526,-4.704502512,2.175556095,-0.0288778109,0.1854691108,3.865016717,-1.028781469,-0.8847039261,2.260642025,1.313026315,-1.229522185,-0.07536665318,3.165435858,5.154301272,3.613644237,0.6078522975,0.5249431993,-4.438029071,-4.690423006,-7.278656432,-1.055851662,1.554531147,-3.061467563,-5.623315254,-12.26339798,-18.21158812,-10.66715104,-2.768206271,8.420131176,10.03482409,
India,-2.630363415,-1.659528473,-1.900173027,-1.658989777,-1.954833221,-1.927470017,-2.56062565,-1.936283091,-0.9154714678,-0.3210309945,-0.09729940107,-0.3392363144,0.3223974648,-0.5208646956,-1.203682452,-1.011624179,0.578506022,0.1196544613,-0.2765531422,-1.435880643,-3.141638577,-2.665612833,-2.184142071,-2.038789132,-1.459473338,-2.418156613,-1.847428339,-1.391042891,-1.436173095,-1.148899697,-1.415495134,0.0007636747418,-0.7557890009,0.01709391838,-0.3054843448,-1.193140199,-1.172769522,-1.252653622,-1.682561491,-1.94694255,-0.9226499942,-0.8904531557,-0.9950862904,-1.292192283,-1.754791255,-2.745549406,-3.159603249,-4.014939758,-5.110053106,-5.21354002,-3.243456652,
Indonesia,3.150791262,-2.192178226,0.7028956388,1.305886306,1.378305632,0.103917377,-7.518596958,-6.748415373,-3.334913983,-4.548207933,-1.519018866,-1.02513696,1.38082393,2.409145323,9.333755443,2.985416342,3.005904159,5.649769531,3.206676654,8.008661201,13.96862489,5.0174754,1.245446432,-1.517851517,3.509259189,1.751398003,-0.9993897418,1.536811056,2.685789462,2.879690961,1.595132509,1.695132788,2.933124953,2.986237718,1.145754095,-1.334260352,-0.615638918,-0.2753707479,9.750076482,8.084344453,10.5177411,8.27106119,6.295778747,7.33881745,4.672094235,4.146599287,5.412305814,4.042186992,1.055168703,2.807285807,1.63451715,
Iran,,,,,,1.372737974,0.4921390885,-0.3555729977,-0.9532319064,-0.8910080009,-0.5860015762,4.129331392,3.827963774,15.66157817,26.92090211,9.509521964,12.70578362,5.04938062,3.774002829,12.95011778,-12.65956952,-13.17331664,-1.80018704,-7.639005527,-3.8262033,-4.166083975,-5.913164569,1.389019062,-5.877888594,-7.219781915,-8.611315789,-14.63124842,-12.11987767,7.568620511,17.31523259,8.592628195,5.87312638,2.145395208,-2.038776698,6.545212239,5.275053927,1.716596671,3.809916973,1.530195245,3.119061302,8.398374394,8.036158088,10.64072966,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,-5.746677626,-5.546783335,-6.930568843,-7.494730891,-7.848918562,-9.235640593,-6.343659364,-3.624402214,-6.811650725,-9.228613487,-8.342603488,-7.64017352,-5.790001988,-7.26115705,-14.74299146,-6.62645217,-8.485399399,-9.656722528,-10.42355147,-16.58575046,-13.79978791,-14.47140827,-7.938345182,-3.716915946,-1.471853184,0.5966096952,1.355009126,4.534697071,6.441454956,5.86415828,4.801789208,5.157782191,7.797201192,10.78172909,10.08184471,11.66477544,11.77674934,12.8995773,11.63458612,13.87850592,13.33065855,15.41127879,17.09886745,15.9388987,14.82215722,11.66586182,9.609124603,8.982729777,9.05820227,15.48296348,19.08565955,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,0.789602956,0.3118817171,1.058904126,2.644051281,1.35595276,-13.06642402,-9.7319933,-13.73862696,-18.03420654,-21.7287966,-24.53863745,-22.39073781,-19.09621477,-26.22523731,-28.2545357,-34.68126751,-29.98614468,-20.97289785,-26.43082754,-24.07057766,-15.55657098,-17.46533709,-19.53812491,-18.03079141,-14.54950033,-13.60903085,-12.90308169,-17.8940114,-13.05766348,-8.911793696,-10.69157384,-15.48626359,-13.70426271,-16.12050771,-15.34838682,-8.133987832,-7.493086735,-4.972183588,-2.71325255,-2.758154544,-0.2968700849,-2.469326635,-3.053677487,-0.7313019391,0.02814374417,-0.3037344398,0.4893436947,-1.317765047,-1.558319773,2.43980847,2.041331172,
Italy,-0.3656267322,-0.07064382643,-0.5343769472,-2.178687346,0.1048210792,2.162132541,1.690979282,0.9645772847,1.967491528,1.297632867,0.2560435471,0.8143123182,0.857080395,-1.910188013,-3.886289737,0.08948907784,-1.123568229,1.014762562,2.201389248,1.130754216,-2.682527136,-2.004987572,-1.294651655,0.5204088358,-0.4183572267,-0.403166505,1.318293792,0.4440098893,0.06810919396,0.002286989743,0.1954082953,0.0978968442,0.06777416356,3.188411432,3.448565716,3.840559291,4.720600582,3.922182635,3.222959631,1.91854822,0.9534404997,1.383107253,0.9368271445,0.5400155964,0.7022180326,-0.06035313241,-0.8152340788,-0.2502253728,-0.8320573256,-0.5282650326,-1.909514979,
Jamaica,-4.808726181,-1.701177518,-1.905835253,0.1276818942,-5.520354916,-3.585829493,1.582844013,-0.7577579986,-5.236935341,-6.698901769,-4.185887808,-7.119463506,-8.289903228,-9.581952261,-10.2306395,-10.34840722,-8.845126069,1.384423834,3.221490821,-0.8248234284,0.02723529763,-8.617082869,-10.60149156,-7.331406146,-6.031949326,-9.832712669,2.956465471,0.3343539238,-4.155228007,-8.785689052,-3.813821025,-1.184111501,-0.9452386371,-8.234126618,-6.17758225,-10.25987815,-11.49549186,-12.7750112,,,,,,,,-18.07175539,-19.55043703,-25.65792167,-29.21847637,-17.86716796,-17.70903266,
Japan,0.4349804253,-1.623718491,0.1401588596,-0.8384768165,-0.1967707243,1.382670463,1.547598038,0.203991982,1.098430756,1.576223723,1.246079702,2.669306837,2.262560224,0.005600149904,-0.7646160714,0.01489562319,0.7644211862,1.592599578,1.6967234,-0.9175690551,-0.9138164551,0.7351718823,0.6747137584,1.707440197,2.652397938,3.39254319,3.899729709,2.981927898,2.163979946,1.520790633,0.9424975326,1.607722522,2.162639762,2.225602104,2.023337891,1.405126165,0.5027209265,1.1165647,1.870449395,1.586002091,1.454402961,0.6377485159,1.305056133,1.626677055,1.931657919,1.386390887,1.251269304,1.674502115,0.1458431144,0.3050303788,1.146238543,
Jordan,,,,,,,,,,,,,,,,,-49.10485934,-50.81312833,-47.32452201,-52.08970438,-44.32771329,-54.12781597,-52.05455294,-44.49062175,-39.00272535,-35.6994357,-26.13237197,-25.51390021,-22.03232644,-18.75974875,-30.81362665,-23.29165353,-31.17937175,-29.8183005,-22.60784265,-21.14071232,-25.29772189,-22.23513621,-19.45765043,-17.84527397,-26.66433368,-25.00274842,-19.19239486,-20.95734676,-30.2434563,-41.50082978,-32.71990643,-36.14103307,-30.01491528,-21.46213666,-21.38337344,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.326699834,-8.843731626,-10.05226359,-4.574685217,-0.7359634263,-2.525837361,-4.515776164,2.345039662,7.505160965,-1.059031285,-0.05040413743,5.370711764,8.591621149,8.816487143,10.67296837,6.689114238,20.10637542,8.222601868,14.74042077,
Kenya,-2.574356836,1.58721851,1.912655952,3.070182971,4.177182621,0.7014592316,1.538831265,-0.9086778737,0.1034511297,1.439953921,-0.8381936926,-6.54975281,-2.139250598,-1.275179324,-7.221636655,-4.68789588,0.6948335168,3.365772353,-9.752503988,-5.857866278,-6.38286756,-3.360423117,-4.900805246,-2.262840604,-5.30411221,-4.847568603,-4.044674994,-5.092325238,-5.232555,-7.090318415,-5.635701713,-1.514434604,-0.4101217243,4.948778975,2.814436432,-6.562339198,-6.910906801,-8.684342155,-8.558720285,-6.526804592,-10.13390211,-10.0836833,-5.376727035,-5.958635285,-6.256486198,-7.460805736,-9.892348533,-10.92069072,-14.11608618,-12.4581634,-10.34427071,
Kiribati,,,,,,,,,,,,,4.698962813,13.29973904,45.59879419,39.78658174,20.69859793,17.60009158,8.701265823,1.691670164,-86.76884197,-92.78516253,-107.3834684,-87.30639731,-66.54106547,-104.8143775,-125.3013614,-109.6432439,-95.98226726,-106.0647405,-135.6006703,-77.85742683,-69.16368748,-48.96772134,-34.00218909,-60.35934878,-52.00234634,-41.96387005,-27.42693436,-40.39351642,-39.93230867,-43.85121386,-44.75393487,-64.49630805,-67.07310767,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",-9.441676986,-9.661256329,-11.61317286,-11.07078903,-7.676146843,-7.615652615,-10.10795491,-10.89527611,-13.02232041,-12.21435242,-10.19211983,-10.60849732,-4.805709002,-3.163048262,-11.16139733,-8.524855335,-1.997273585,-0.8427624303,-3.738189342,-7.058196956,-7.900471697,-5.399741539,-2.527206685,-1.10175399,-0.2752701454,0.5913555735,5.063586596,7.071369277,7.143091571,2.059533387,-1.075307407,-2.656106545,-1.158138188,0.391020227,-0.7422513625,-1.092750259,-3.474526323,-0.6036428288,12.86947731,6.686388432,2.857024448,2.262259155,1.475284679,2.268346922,4.157818784,2.702056109,1.38680451,1.510554218,-1.177571124,3.704735836,2.789487138,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.68665619,-38.56294118,-41.43849235,-38.48289333,-42.79384542,
Kuwait,,,45.94180704,44.62444772,45.81081081,44.59279039,41.33489461,31.07798165,35.6466877,34.58038423,35.70106407,47.68418226,47.93716066,49.76622704,71.11723256,54.45942338,45.37854224,28.58342015,30.67326385,49.15348727,44.05115344,31.02006935,2.14091304,9.777200589,15.47185493,10.93033727,-1.825932729,15.41712319,4.624814902,11.03193346,-13.13310099,-108.8088749,-13.7475315,3.485336022,8.523034659,10.38945112,13.09747091,13.26236828,-7.234004823,6.500092612,26.32670811,15.76487999,8.006900293,17.6280928,24.53616487,35.70974442,41.37767221,35.09714251,40.45660274,28.33650794,,
