Population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guyana,2.842674401,2.760448399,2.688318739,2.647244564,2.643444527,2.650650658,2.686377395,2.675604453,2.519763354,2.185002616,1.744183882,1.248935598,0.8224557643,0.562004416,0.5317136159,0.6557163327,0.8464241951,0.9629403866,0.9254327164,0.6705897884,0.271718982,-0.1632264307,-0.5258849565,-0.7920897912,-0.9101512827,-0.9089316186,-0.8847811805,-0.8662743138,-0.7860608167,-0.6378050209,-0.4426472978,-0.2047807263,0.0230812343,0.1786646744,0.2263926763,0.1962145128,0.1387812867,0.1032402869,0.09793173093,0.1420017558,0.219173007,0.3031815935,0.3643431404,0.394067596,0.3796139452,0.3345018951,0.2791466301,0.2331838784,0.2011127135,0.1907495705,0.196350857,0.2048284335
Haiti,1.961845818,1.978715385,1.990878798,1.998161061,2.000282039,1.997079504,1.99897965,1.996733374,1.971490513,1.917995643,1.850034105,1.778577203,1.726442808,1.710948288,1.742513162,1.807829237,1.874659773,1.935567532,2.009771403,2.097197245,2.187825211,2.281722113,2.357856584,2.391466103,2.372679195,2.318373454,2.253243702,2.196395726,2.148281597,2.115009993,2.091653826,2.064926794,2.032552597,2.004316085,1.981127493,1.959766121,1.940213245,1.915096145,1.87584787,1.818897034,1.750413652,1.681033583,1.616998288,1.556299422,1.500845674,1.450766333,1.400970668,1.3550059,1.322122347,1.305174249,1.299336703,1.297823847
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,3.179396804,3.274965129,3.331993225,3.309135198,3.191286287,3.019743504,2.838550182,2.699164663,2.622140331,2.625318138,2.68396811,2.748639925,2.800924117,2.862245571,2.929496206,2.996840392,3.06542057,3.123470252,3.155164892,3.155207181,3.133340742,3.101975648,3.072595121,3.047128405,3.029060441,3.013526153,2.992607455,2.96209314,2.924260007,2.878416746,2.825246351,2.774075911,2.718651911,2.644449571,2.548290717,2.440400018,2.331420088,2.235401184,2.1596764,2.109995901,2.079758493,2.055251862,2.031337866,2.01448533,2.004056596,1.99847046,1.993674444,1.989966197,1.990487083,1.99538027,2.001349552,2.008024247
"Hong Kong, China",4.450990508,2.963040924,4.236494673,3.44066885,2.417271694,2.627395063,0.8854757764,2.527097364,2.123526741,1.596569535,2.431443203,2.156424527,1.917085484,2.821398831,2.159649224,2.89703973,1.256197195,1.44371142,1.811706419,5.465453784,2.670080965,2.348226768,1.55249627,1.519407906,0.9829735669,1.074258772,1.245826983,1.185788201,0.6614334916,1.03591232,0.3213150332,0.8292283364,0.8396500315,1.717770734,2.252030431,1.980132777,4.438607795,0.8325128548,0.8348088073,0.9551258143,0.8815940759,0.7369626681,0.4428468273,-0.1974041265,0.7799185623,0.4368714061,0.6422704829,0.9983395695,0.7451342051,0.371923126,0.911067667,0.05375051405
Hungary,0.2675057968,0.453239644,0.322661285,0.2601829258,0.3156014497,0.2772877135,0.3022447583,0.3721555831,0.3830621867,0.4175045173,0.3797814023,0.2861760987,0.2981025153,0.3222770279,0.4463256619,0.588081809,0.5501829888,0.4645810426,0.3449237331,0.1807473819,0.06509372933,0.006777771712,-0.05895211551,-0.1502407528,-0.2000978495,-0.1818471634,-0.1705791452,-0.1677987882,-0.1532729356,-1.088983893,-1.033117297,-0.005668183389,-0.03913658327,-0.1140355944,-0.1368831043,-0.1392200036,-0.1717716086,-0.2014589363,-0.2326793369,-0.2832606105,-0.2597649083,-0.2293791833,-0.2847513772,-0.2864332681,-0.2214393787,-0.1988788432,-0.1557164847,-0.1549151581,-0.1750973675,-0.154908814,-0.2260138757,-0.2906513145
Iceland,1.795326707,1.948719743,1.853365244,1.77978836,1.777772399,1.732678311,1.693452457,1.613441336,1.36770413,0.9292236689,0.5242688078,0.8087032791,1.463775579,1.509090126,1.352920811,1.27890789,0.9928573593,0.7444264873,0.7805382111,0.9784796456,1.058896411,1.140583261,1.336610409,1.32404443,1.06362548,0.7876676144,0.7325888909,1.095629101,1.566217581,1.238396064,0.7776621986,1.15914942,1.256632077,1.016811928,0.8668359466,0.5424679978,0.5399130166,0.8191970915,1.070859043,1.209238786,1.369192833,1.329295255,0.8925963775,0.6924976205,0.8779361577,1.582891978,2.34742243,2.530085489,1.859572171,0.341241979,-0.1439030003,0.3010797498
India,1.992444637,2.012818831,2.033512509,2.056205674,2.081807177,2.109406642,2.135579194,2.160799486,2.188534749,2.219350679,2.251156352,2.28074138,2.30613551,2.327629317,2.344549454,2.356793591,2.36625096,2.371482914,2.369171189,2.358471908,2.341474244,2.320487866,2.298382352,2.27651919,2.256026172,2.235671251,2.213830336,2.188727337,2.159917803,2.1268793,2.090641763,2.053056862,2.015012719,1.975973293,1.936182444,1.895836065,1.855906615,1.815872348,1.774463318,1.731418521,1.687896609,1.64464105,1.603670294,1.566765621,1.534929002,1.507002837,1.479789626,1.452879794,1.428626953,1.407235784,1.387477694,1.368789058
Indonesia,2.421184341,2.44856174,2.470116208,2.490909086,2.51369873,2.535948183,2.553020359,2.562307991,2.565284767,2.561632423,2.55226292,2.539273796,2.522964847,2.502052667,2.476590293,2.447563584,2.413593255,2.377912949,2.345379567,2.317611439,2.291241221,2.265214044,2.232549742,2.186418706,2.123845659,2.050565914,1.974869481,1.903382685,1.8365925,1.776793643,1.722440745,1.670765001,1.619575382,1.569255197,1.519357911,1.471092703,1.422480117,1.378017243,1.344559117,1.324664409,1.313506794,1.307325474,1.297202154,1.276084217,1.239716737,1.193457884,1.144040364,1.100057544,1.065195906,1.042990038,1.02934786,1.018141701
Iran,2.501406983,2.621084533,2.666507319,2.703492768,2.728031784,2.74704617,2.769635637,2.791982663,2.827797699,2.88241725,2.946836105,3.194439279,3.076676723,3.037076502,3.066674053,3.157215617,3.19379213,3.182475737,3.229341272,3.326926685,3.468013835,3.555028664,3.594079652,3.675235324,3.791840714,3.937505634,3.585611381,3.233717128,2.881822875,2.529928622,2.178034369,1.607866397,1.607866397,1.607866397,1.607866397,1.607866397,1.557412447,1.857234863,1.882402136,1.797808352,1.641769419,1.475439879,1.347015388,1.255012377,1.21446915,1.21001585,1.211694966,1.201854374,1.188108258,1.166041901,1.137226009,1.109047651
Iraq,2.4867179,2.576544847,2.683251632,2.809990695,2.954895623,3.103468099,3.252993684,3.377175917,3.447668454,3.454212663,3.417451507,3.357026717,3.301996222,3.267606813,3.263118752,3.270542993,3.17090367,3.170911746,3.17090561,3.170903092,3.170909096,2.634370401,2.634369302,2.634369503,2.634373333,2.634375128,3.010300101,3.010299553,3.010299552,3.010300729,3.010307081,2.815994294,2.815995949,2.815995997,2.815992377,2.815996492,3.067720208,3.067716073,3.067719021,3.067717245,3.067719425,2.566818355,2.566825655,2.566819961,2.566823305,2.566820586,3.023602387,3.023598996,3.023599714,3.02360054,3.023599003,2.8655481
Ireland,-0.2803052016,-0.1484833487,0.4124769863,0.5853211333,0.4872662261,0.3750152622,0.3996802558,0.4725145389,0.4513428311,0.5865102639,0.8388317733,1.176768958,1.497301181,1.616806889,1.670474246,1.658964143,1.520590679,1.363474931,1.428919627,1.341203328,1.157465728,1.177918425,0.9498986389,0.711457915,0.6216316299,0.160201652,0.04544835309,0.01036813958,-0.4267727893,-0.3954667146,0.08444865849,0.5765836628,0.6845894515,0.5010917736,0.39496558,0.5140115854,0.7944101721,1.007859772,1.048535847,1.133677522,1.341967292,1.604893758,1.699427584,1.642290702,1.845129802,2.202610053,2.385480304,2.24187064,1.565670641,0.7486901328,0.3450912596,0.2821896238
Isle of Man,-0.8181938581,-0.1818144754,0.4703852208,1.042198645,1.471982581,1.780450657,2.074281421,2.326907113,2.414067815,2.303179557,2.062847026,1.747776807,1.461964053,1.296053698,1.291118385,1.392869925,1.561297985,1.656531688,1.552911919,1.183464169,0.6594988309,0.03071158772,-0.4801782189,-0.6391874858,-0.3078935069,0.371530931,1.199946535,1.859162271,2.164515783,1.984478512,1.501697537,0.9201910962,0.4807836742,0.2507197246,0.3351771196,0.6379141481,0.9993811252,1.25938696,1.396103428,1.355800076,1.193242489,1.002728961,0.8586718399,0.7562772382,0.7203822623,0.7327326954,0.7522203448,0.7478356989,0.7300601134,0.68228048,0.6185449463,0.5511578611
Israel,3.746722308,3.302447832,4.824517228,3.681922512,3.95601622,3.493804916,2.542509676,4.317752649,2.09091959,2.605781074,3.315976138,3.144392562,2.541555331,4.046614721,2.97542592,2.283471438,2.232490975,2.239108238,2.108800456,2.568359311,2.400950252,1.991385568,1.878106919,1.819125762,1.306891703,1.763629967,1.5471475,1.615171144,1.657057446,1.69646915,3.094602814,6.017008404,3.455466681,2.658091611,2.589262685,2.668286788,2.616505777,2.498394886,2.286878546,2.546433726,2.642331746,2.357117151,2.014058394,1.805519759,1.767623642,1.762897661,1.767805874,1.776100869,1.776579106,2.390207338,1.82675241,1.846790156
Italy,1.993928406,0.6683828744,0.6766229897,0.7295532422,0.8226236999,0.8421086169,0.7773044073,0.7237781728,0.6317372528,0.5660585087,0.5288770317,0.4664528723,0.5677124986,0.6781876476,0.6543889356,0.5972472186,0.4988510583,0.4247220574,0.3563129504,0.2891472076,0.2059997519,0.1200543201,0.07408185999,0.03629463667,0.0223509131,0.02889993921,0.005449281897,0.01020511955,0.04832059705,0.07500900454,0.08370857296,0.06923118895,0.06792443308,0.061135853,0.02037207395,0.001588562309,0.02810440801,0.05290695026,0.02877401588,0.01682084446,0.04530363114,0.06163835874,0.3157484468,0.7794461841,0.9857605436,0.7393839151,0.5690532555,0.7332720082,0.7665496884,0.6007422682,0.4817649944,0.4727546927
Jamaica,1.225462387,1.396716994,1.594565292,1.68676945,1.612222736,1.44428882,1.305352095,1.157877785,1.092436503,1.15741127,1.295893911,1.414715911,1.545963836,1.593205995,1.510589318,1.35778629,1.220334684,1.058471715,1.010128548,1.139163783,1.362230188,1.364302965,1.733034279,1.833012993,1.72986363,1.359201845,1.063084252,0.6316169456,0.2464415793,0.7820300178,0.6338034206,0.6689702264,0.7041370322,0.739303838,0.7744706438,0.8096374496,1.199368383,0.9573937617,0.8922490745,0.6824846191,0.584824601,0.5929759935,0.4866311383,0.3129687871,0.4711433921,0.4651610921,0.4780285757,0.4757543297,0.4251358259,0.3121054774,0.2482448152,0.258870989
Japan,0.8896090256,2.606188325,0.9319946901,1.017429511,1.041943684,1.074694267,0.9130644841,0.9326053181,0.3330263849,2.067320348,1.13052183,1.287379355,1.400779181,0.8278139131,1.908956846,1.60110038,0.7396200348,0.9636757511,0.904880694,0.8424094746,0.784007592,0.7388166525,0.6785372735,0.681511043,0.6344132914,0.6113686745,0.6092998713,0.4918251335,0.4266385444,0.4093946604,0.3413705966,0.3103559458,0.2482370809,0.2468194126,0.3406857887,0.3817896011,0.2563695672,0.2620588194,0.2526724011,0.189678394,0.1735563705,0.2196686958,0.2325271871,0.2139809488,0.03366225827,0.009392096558,-0.01330573048,0.01154477957,-0.05222433221,-0.1144565326,-0.08431016327,0.2873988372
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,4.767308778,5.469819855,5.631059387,5.798579639,5.981853275,6.123579759,6.211670402,6.305894661,6.106727377,5.553220174,4.856297206,4.273828718,3.723814106,3.39290066,3.361687472,3.502025462,3.596083462,3.681219337,3.754559983,3.796418954,3.817381281,3.878256585,3.99918268,3.993377675,3.811168024,3.568957299,3.712378553,3.64977875,3.521247244,3.597989471,3.662471427,11.1806565,5.167403669,4.528387378,3.889371087,3.250354797,3.052920503,3.052920503,3.053917632,1.791401552,2.469000707,2.470532238,2.420890665,2.470229505,2.410677289,2.270807288,2.292651909,2.232434885,2.18368359,2.187747484,2.207078386,2.191778939
Kazakhstan,4.242267767,4.068206872,3.848355733,3.562876459,3.208765172,2.822774553,2.42144811,2.064255221,1.806777164,1.677735891,1.637802294,1.629294821,1.60028619,1.544243279,1.4437328,1.317490101,1.025632112,1.025632112,1.025632112,1.025632112,1.149883304,1.149883304,1.149883304,1.149883304,1.149883304,1.149883304,0.7329674228,0.7329674228,0.7329674228,0.7329674228,0.604342663,0.6250306184,-0.06935220169,-0.6632784666,-1.450854034,-1.752256205,-1.514558831,-1.579965566,-1.726093752,-0.9525110418,-0.3005488384,-0.1700695263,0.004125545395,0.3364089138,0.6949094843,0.8888980427,1.057671309,1.143851233,1.21835923,2.641105833,1.417845541,1.43043505
Kenya,3.068689661,3.109440159,3.14934873,3.187059159,3.222180962,3.256445994,3.288785168,3.323791042,3.367209074,3.420624998,3.479047469,3.536024279,3.586420101,3.629700518,3.664404231,3.692106862,3.710957663,3.72656135,3.746097242,3.771453518,3.796140824,3.813831895,3.816813584,3.801873572,3.767084037,3.717267869,3.659029955,3.597040707,3.531158027,3.462779202,3.390849761,3.325851279,3.255897638,3.160512609,3.034949156,2.895904856,2.754269558,2.636592206,2.56362862,2.545889758,2.565274051,2.597608449,2.620534376,2.629839509,2.618476941,2.595259834,2.567850252,2.551392077,2.555218074,2.584335131,2.627211329,2.671892519
Kiribati,1.957713577,1.957713453,1.948858399,1.928291942,1.899088705,1.864051592,1.825731512,1.786450574,1.748326018,1.7132929,1.683124149,1.716070161,1.628593877,1.596266872,1.615628763,1.683392983,1.41042086,1.679791955,1.872491694,1.992290473,2.043878012,2.131071841,2.250553306,2.304551127,2.298459939,2.237523683,2.204487985,2.171452287,2.138416589,2.105380891,1.392636784,1.817880801,1.492301784,1.289736254,1.269376091,1.38170555,1.519823189,1.62134268,1.706530301,1.759117295,1.784667925,1.816516096,1.849534763,1.851999523,1.810580006,1.74359905,1.66668728,1.600441421,1.554513882,1.536839134,1.537689796,1.542103636
North Korea,2.678213197,2.46689963,2.2749319,2.211324491,2.331586124,2.56301575,2.789577402,2.928190298,2.989037266,2.952303187,2.844384221,2.741368011,2.640492209,2.475217942,2.236817395,1.961485478,1.661533581,1.406257228,1.266802995,1.279806435,1.396581396,1.548878336,1.664338097,1.722045294,1.695530515,1.613800196,1.513891033,1.441249451,1.412442932,1.444015669,1.511146152,1.590640951,1.638347699,1.624868544,1.531621291,1.385198078,1.223463234,1.082334127,0.9692749191,0.8981662055,0.8572508362,0.8235550537,0.7817292746,0.7364909246,0.6839046477,0.6275794559,0.5732897041,0.5267841753,0.4891384385,0.4625300826,0.4447936389,0.4305799771
South Korea,3.153936956,2.564349278,2.728383919,2.624498677,2.535278891,2.459354284,2.381975692,2.303332627,2.236532192,2.180589309,2.13462897,2.085718345,2.034133636,1.991788529,1.957998924,1.932142794,1.597109725,1.558271799,1.518133298,1.516746524,1.559681621,1.558973367,1.545213899,1.474104132,1.235136973,0.985084063,0.9220701992,0.9449193665,0.9575177885,0.9602349877,1.147240116,0.9264377766,0.9087729774,0.8960490418,0.8970899286,1.429457257,0.9534601794,0.9379270542,0.7220247973,0.7104137344,0.8352518519,0.7396843983,0.5580195362,0.496434865,0.3753993021,0.2058704991,0.4849247923,0.4661243873,0.7196561962,0.474876314,0.4625129959,0.7440375491
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,2.02673604,1.986474103,2.857337244,2.777956411,2.702867239,2.631730832,2.564243061,2.588274783,2.43702226,2.379041684,2.323756013,2.27098162,2.455568926,2.320289708,2.342381367,2.21574796,2.239169031,2.120220765,2.076199145,2.101060006,1.992097749,2.017640848,1.914544758,2.00257005,2.023988135,2.102811036,2.059502036,2.075002402,2.144551714,1.990115432,1.897590146,1.914952133,1.77550356,1.693650953,1.615380911,1.589700641,1.46773672,1.302792853,-5.924733485,-10.95514942,-3.582127645,0.06785932329,0.06793079312,0.06788467852,0.06783862649,0.06790988537,0.803200286,0.8032618329,0.8032134776,0.8031718448,0.8032489613,1.043319754
Kuwait,9.759287022,11.69712334,12.820464,12.93511914,12.19952188,11.11057368,10.10621987,9.34471525,8.70938326,8.211415872,7.802807577,7.424481803,7.05071169,6.697854235,6.362290683,6.050618314,5.746715665,5.478201349,5.281758311,5.162320154,5.083231729,4.871259225,4.617079988,4.538523981,4.66451268,4.828741556,5.240917978,5.381280653,4.582842643,2.694123325,0.1983584896,-2.75265025,,,,,0.01283771563,3.066042548,4.932350574,5.166922453,4.401391498,3.483668027,2.95299885,2.715220553,2.905443639,3.347298771,3.788898765,4.016868376,4.024946784,3.771066421,3.360736031,2.927780972
Kyrgyz Republic,3.071216677,3.776249233,3.3777425,3.383440848,3.324812257,3.078015946,3.136852074,3.012208894,2.945413469,2.678215772,2.223945997,2.086264695,2.157026598,2.101967808,2.19837318,2.102497532,1.993721223,1.92262579,1.829019298,1.84403799,1.824471061,1.873206267,1.974517144,2.079679038,2.014330426,1.869355155,1.891626258,1.90236035,1.764962711,2.090178019,1.924484883,1.635307708,1.153816119,0.02878621824,-0.03543036863,0.998300396,1.480089704,1.458502175,1.534038154,1.486072263,1.191125924,0.9488566136,0.9178993169,1.048444924,1.210105425,1.127864459,1.075051294,0.9535869643,0.9502201448,1.207265644,1.192864429,1.087367101
Lao,2.308014494,2.305598095,2.305970019,2.309425925,2.316212316,2.325776258,2.312845418,2.297629233,2.322688525,2.398657693,2.493480092,2.631892976,2.72026821,2.635807303,2.338046018,1.921495979,1.457869797,1.100188456,0.9644551284,1.126417333,1.493715667,1.91149308,2.25273285,2.511628078,2.648613583,2.697559929,2.725079355,2.764534706,2.792136772,2.812980579,2.821775184,2.820583368,2.794811967,2.728125573,2.615469583,2.473045914,2.326131113,2.188925242,2.057183522,1.935416708,1.824688744,1.712744456,1.609994859,1.540423906,1.511743123,1.51111471,1.521920915,1.525780522,1.51618522,1.485785207,1.441602702,1.395546413
Latvia,0.69012433,1.483626751,1.333809317,1.335613098,1.3345686,1.122646396,0.7604997244,0.7854003684,0.9686466983,0.8380109691,0.6801325232,0.7274789646,0.8082502258,0.8373749152,0.8805735031,0.7742845401,0.6031534877,0.5683560017,0.5156750528,0.3210315407,0.2291111549,0.306890036,0.4616975904,0.5881731505,0.6278727721,0.6545933444,0.8117423909,1.02138562,1.017088826,0.5082722,-0.1427363976,-0.473114694,-1.376795066,-1.971932096,-1.673828701,-1.425810812,-1.126375096,-0.9967622888,-0.9429189371,-0.8139612039,-0.7346362929,-0.7603257951,-0.6982676149,-0.5695597226,-0.5399998159,-0.533541998,-0.5476360871,-0.5191893957,-0.4405807496,-0.498128848,-0.704344542,-0.852571475
Lebanon,3.115705566,3.089840221,3.034113302,2.93231032,2.780427312,2.603076071,2.377029699,2.174364087,2.095870971,2.177089686,2.342914024,2.569367787,2.698753391,2.579257812,2.147949595,1.52897541,0.8409230081,0.2684083715,-0.07638453597,-0.09643155674,0.1192278047,0.4535546995,0.7249226039,0.8396042121,0.7196282925,0.4611931196,0.1030146598,-0.1273809838,0.00214918908,0.6238386791,1.554532767,2.600862018,3.402199804,3.730937645,3.480242202,2.873218715,2.175515466,1.631455117,1.293144146,1.250649635,1.407274378,1.605657756,1.710314656,1.714999571,1.578687656,1.350949226,1.105230384,0.908983536,0.7719581128,0.719164783,0.7266144836,0.7495732635
Lesotho,1.666116142,1.731644497,1.795051378,1.850232476,1.894066786,1.929679165,1.96952226,2.010764223,2.037610126,2.047421797,2.049524807,2.039855588,2.043505472,2.091987412,2.197279358,2.334934312,2.470031275,2.574769272,2.64681314,2.677477826,2.67363131,2.667724677,2.650676744,2.585329989,2.464788158,2.311596419,2.148132392,2.005271275,1.901372405,1.84911859,1.834154681,1.814419221,1.786850705,1.785430522,1.813735364,1.854506172,1.914703338,1.94871965,1.898213748,1.740455828,1.515645777,1.270236295,1.064111156,0.9266667899,0.8847005507,0.9116086976,0.9543559037,0.9813306785,1.005502692,1.018992765,1.023821129,1.032044405
Liberia,2.355403543,2.389098284,2.420343433,2.453368008,2.490268914,2.530002382,2.56774581,2.603245744,2.640028061,2.678594339,2.717755629,2.750910919,2.781151837,2.817452817,2.861460699,2.906602,2.887277729,2.846579369,2.882562907,3.015929488,3.172708731,3.395216063,3.485767196,3.200129353,2.462591285,1.459290115,0.4440031216,-0.390614925,-1.038459802,-1.405694901,-1.500881345,-1.694642818,-1.793592652,-1.154937105,0.4584688143,2.644673575,5.082891933,6.86908941,7.361464614,6.481115516,4.906374239,3.180243218,1.913533821,1.370040195,1.80454489,2.862801994,4.039151595,4.815568762,5.081578438,4.736935415,4.041213236,3.310780413
Libya,3.744468345,3.678564303,3.623585863,3.627926488,3.713583662,3.847067842,3.978584229,4.076083933,4.146674107,4.184583144,4.200959345,4.217570172,4.239266513,4.254490593,4.26337339,4.270772652,4.220303558,4.172021092,4.230559433,4.415570766,4.641287463,4.8877221,5.001481871,4.844099347,4.380308151,3.74905161,3.096778495,2.564122883,2.188098029,2.017644469,1.990890688,1.996927148,1.972442584,1.946771399,1.905711884,1.858052432,1.819078278,1.801828516,1.804576832,1.829749412,1.869040535,1.895857967,1.913225515,1.945674982,1.996428777,2.047117906,2.126878537,2.170384228,2.079601767,1.821584143,1.465339568,1.059027181
Liechtenstein,2.352187133,2.357121988,2.366215648,2.407149543,2.498741886,2.608937754,2.735132162,2.79889099,2.757110604,2.582542439,2.3257413,2.043772043,1.804799528,1.639930405,1.578575156,1.584105837,1.605895691,1.605466965,1.600562178,1.579375514,1.550852459,1.523261697,1.511949717,1.478056965,1.445318546,1.406305064,1.357727029,1.325192261,1.300779197,1.294561999,1.302169554,1.316079041,1.319146475,1.315237439,1.30143675,1.275021339,1.24301011,1.21198222,1.191236657,1.177213099,1.172647885,1.168082034,1.157569196,1.123740238,1.050162494,0.9585801959,0.8580787608,0.7714132844,0.7204743895,0.7041393603,0.7241968033,0.752049552
Lithuania,1.55001939,1.606574959,1.399730954,1.235633443,1.242699159,1.227445511,1.224197913,1.201180912,1.125231323,0.920478953,1.036281026,1.245582855,1.081907096,0.954349569,0.9037956492,0.8442847145,0.8148073017,0.7891478331,0.7269411555,0.5408612054,0.4510329412,0.5768222324,0.7033862634,0.8070197354,0.8290190188,0.8595911571,0.9650164726,1.041052831,1.063956866,0.7958834834,0.3679990303,0.1701168694,-0.1085863249,-0.4741075427,-0.6940039629,-0.7697280178,-0.7603434082,-0.7378303581,-0.7244362066,-0.7094892341,-0.7033854405,-0.5226899026,-0.3516942743,-0.429421707,-0.5403366163,-0.621529776,-0.5940338713,-0.545490813,-0.5198614029,-0.5571885173,-1.588738747,-2.583266138
Luxembourg,0.7872419862,0.9115255365,1.224930819,1.039010665,1.11990125,1.137668698,0.7198762668,0.3289034046,0.2549025372,0.49008786,0.4938894667,0.9536569183,1.213040312,1.104666566,1.304058168,1.092447839,0.4949425192,0.173662847,0.1794391971,0.2342512691,0.3559809318,0.2947731355,0.08210742849,0.02653365208,0.1027856081,0.1932568187,0.4486709991,0.6480833935,0.7256145785,0.9726277461,1.251745707,1.33968317,1.328347571,1.342387029,1.361840137,1.404742464,1.361143941,1.253502484,1.243870803,1.350621285,1.344082996,1.190456345,1.047660816,1.21520088,1.421332565,1.530054663,1.595051918,1.544386847,1.787496632,1.85177523,1.825405804,1.962457738
"Macao, China",0.8016884746,2.123116632,3.308467717,4.154033109,4.568692876,4.64298016,4.702890076,4.678365074,4.251872724,3.391870127,2.291845476,1.142475695,0.1578246506,-0.5667279323,-0.911822381,-0.9371328049,-0.9301376042,-0.8937274329,-0.5224414368,0.2520999354,1.292893298,2.415856507,3.376239487,4.038267116,4.321369895,4.32852737,4.295846356,4.250072644,4.03779295,3.656887699,3.182071252,2.683642445,2.246076714,1.915194455,1.727750774,1.649976951,1.5891096,1.530198097,1.541398195,1.62930539,1.769577303,1.925914787,2.069674219,2.196962042,2.295969002,2.367488142,2.43728572,2.491079545,2.490726039,2.426052004,2.318750843,2.196767033
"Macedonia, FYR",0.6990633289,0.9642327607,1.217405294,1.372212552,1.380856535,1.289980171,1.180932207,1.115110771,1.087021784,1.115029314,1.181401131,1.236985944,1.271578995,1.317812558,1.377348612,1.435234185,1.518199017,1.570804527,1.506049622,1.292125734,0.9868404444,0.6330382939,0.3370962042,0.1869877608,0.2419252213,0.4402647819,0.6878900035,0.8798258714,0.9834446821,0.956386993,0.8385533161,0.7004493783,0.5958474362,0.5196721443,0.4889937626,0.4906377859,0.4978206857,0.4909170669,0.4734126029,0.4394057324,0.3946373807,0.3470170924,0.3060673508,0.2747605846,0.2570886682,0.2490699243,0.2441440005,0.2361763331,0.2244634819,0.2066049566,0.1842941533,0.1614758758
Madagascar,2.359698329,2.38662152,2.412577047,2.436496482,2.458064892,2.478594607,2.496524723,2.516200048,2.543833766,2.581429154,2.624067167,2.663049809,2.694837575,2.722615842,2.745524912,2.762184412,2.785207454,2.801275332,2.785540238,2.731782569,2.658334861,2.57897772,2.522668017,2.510540754,2.55395381,2.634014183,2.721904132,2.797005482,2.860743571,2.907185818,2.941273147,2.97028872,3.000855548,3.033118966,3.068419865,3.102733045,3.134431106,3.156177512,3.161368428,3.147512154,3.120910828,3.089828841,3.060982709,3.035145558,3.014409798,2.996795579,2.979348656,2.959646814,2.937869572,2.913549707,2.888047569,2.861632169
Malawi,2.248335808,2.309583655,2.366977975,2.412500869,2.443048887,2.467340998,2.483986311,2.513852494,2.581030009,2.694076287,2.833026438,2.970247493,3.083656813,3.1710327,3.225856871,3.254549194,3.324317616,3.392314697,3.359632475,3.207143513,3.007186209,2.675673567,2.438632863,2.613831893,3.299518628,4.227610478,5.262705739,5.921315289,5.833408675,4.920930025,3.577474678,2.138846689,1.017707642,0.4111873498,0.5185664647,1.131358722,1.876926125,2.437818527,2.801973031,2.878466644,2.767462151,2.641684256,2.600602787,2.60121755,2.66367585,2.765843287,2.865467812,2.942746809,3.01321058,3.073823092,3.125694616,3.170804542
Malaysia,3.151918561,3.236507453,3.284008858,3.260816334,3.154164516,2.996786446,2.828422548,2.68619124,2.578869495,2.518778337,2.49170255,2.477132244,2.456835886,2.429509861,2.390217356,2.347672565,2.308581446,2.287898618,2.29635502,2.339593946,2.406864888,2.471647607,2.530815264,2.602243281,2.686386393,2.771824783,2.859918158,2.925773711,2.940007418,2.892471289,2.805393098,2.704723638,2.618396157,2.55596244,2.526942667,2.518633726,2.508200031,2.484043015,2.453186917,2.413253817,2.364760914,2.320566153,2.271973287,2.19819412,2.093906042,1.972519576,1.845100854,1.733366597,1.652979767,1.613653338,1.602940081,1.60022846
Maldives,2.626074875,2.712461448,2.759699972,2.739812173,2.637855027,2.498174475,2.320570529,2.191801672,2.202050257,2.386430977,2.676910277,3.008564499,3.263623725,3.370115193,3.28755937,3.096116115,2.869504142,2.715718186,2.692697458,2.837633423,3.082273706,3.33095207,3.505405335,3.603175746,3.602207036,3.533196879,3.450387667,3.369319125,3.25997078,3.119972598,2.962710424,2.80127845,2.643853511,2.492874562,2.350054705,2.218121381,2.088117375,1.965900938,1.860940465,1.777809577,1.711260652,1.653314178,1.598085637,1.546439785,1.49677426,1.450655569,1.405534532,1.366617284,1.339416036,1.326203582,1.321192405,1.319586546
Mali,1.256730807,1.254870769,1.259203684,1.275363036,1.306395655,1.349131648,1.392064199,1.4358601,1.491192699,1.559836482,1.635099014,1.715489658,1.786893008,1.833891169,1.849475949,1.844345936,1.823256522,1.808759764,1.821756108,1.872192919,1.941971497,2.037347229,2.108959986,2.097120169,1.979387638,1.803166917,1.601535675,1.458760974,1.44326508,1.59444439,1.856553931,2.150094547,2.396184626,2.575345969,2.661441902,2.685008136,2.693735781,2.72283984,2.768846723,2.840469842,2.924962916,3.004125343,3.063379922,3.102678044,3.118527699,3.116977179,3.109422987,3.100099629,3.084458236,3.063406161,3.038554389,3.010408863
