Per capita government expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Norway,2506.679137,2573.073006,2453.14198,2593.1206,2745.125977,2603.035363,2785.236665,3455.977031,4132.797737,4542.518377,4962.985986,5234.250633,6149.787313,6803.230155,6334.996177,6788.388756
Oman,186.8962724,199.3716268,192.0388582,185.5623707,198.6718436,215.5124282,215.5585108,231.903915,243.2019382,253.4745365,272.1925865,278.2535872,323.0091688,365.9088972,409.9510139,460.2108719
Pakistan,3.87462001,4.07465808,3.67884395,3.12340038,2.96883224,3.16096413,2.66868932,4.16518423,3.65398093,4.3236873,4.81190674,6.38281942,6.91919772,7.38773949,6.99433464,8.37996789
Palau,527.413933,616.0280321,606.9970202,493.8451571,505.1917779,531.6607553,535.563344,513.6156951,538.3287643,632.5809221,610.1175525,662.3856879,691.2565861,650.8309933,665.9843679,657.0083516
Panama,154.9538538,157.9592037,176.3759549,181.7621645,179.5051039,207.7381005,203.0116493,221.6919225,208.8261106,253.4910807,248.5856096,245.5545222,255.2321547,340.8791347,421.8206313,462.9190419
Papua New Guinea,30.99662551,33.42173076,27.15980649,23.34588091,22.10713233,21.18566994,20.87422812,19.18306222,19.91103479,24.88154,24.55736507,23.67643581,23.15285428,30.10771824,30.85227659,35.35712942
Paraguay,40.25249279,50.57363934,48.25130265,49.68473131,48.60363103,49.55174977,37.28952481,26.03428651,23.18990199,27.74886477,31.16275087,41.58155161,49.16243024,66.32466498,57.40573189,59.29724131
Peru,54.851164,56.78147288,54.25343626,57.04028653,55.66268159,56.82417976,55.75879556,59.24122842,60.34586368,65.7056062,76.33859239,84.26717884,113.2640887,159.697794,136.0242258,145.1914845
Philippines,14.59464811,16.97642343,17.7143462,13.39195848,15.66634674,16.00153621,12.79107991,11.26704328,13.31829361,13.98412564,16.51698283,17.1293996,19.91601287,20.94124521,23.21940185,27.3305837
Pitcairn,,,,,,,,,,,,,,,,
Poland,145.0179292,176.4780423,165.5403775,174.4022553,178.8484228,173.1049966,209.7119241,233.7363675,247.7188308,281.6806268,342.925356,388.2770185,508.0484956,702.4991314,599.9148133,666.0193831
Portugal,547.1565505,612.6912193,585.7773891,626.4036924,666.3786381,704.0198523,715.8537898,804.5485633,1026.031779,1190.654007,1262.857574,1264.511324,1435.37791,1551.666832,1604.255773,1612.751273
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,376.6332058,428.8759178,467.3306174,424.276441,424.4295097,473.2498806,554.368936,631.6059824,1256.123349,1347.603942,1375.073014,1351.689017,1314.775767,1299.770669,1264.302784,1153.075989
Reunion,,,,,,,,,,,,,,,,
Romania,39.91796451,38.74886835,52.58117265,52.86432279,53.88967865,58.63183117,64.21854648,79.60156466,123.7756452,143.3921859,203.8365757,231.4459155,341.8159403,424.0663943,341.0694719,334.3174612
Russia,83.48835391,104.7314571,137.3976759,79.01816852,47.69007248,57.45885249,69.82822769,83.73846319,97.98340427,126.5747251,171.585844,231.3833653,313.1829744,360.5817621,301.5799923,326.0920296
Rwanda,3.77488908,4.43135155,5.38807199,7.28630357,5.05454535,3.5416133,4.2246297,4.21005855,6.97107664,7.72612677,10.33545499,16.48278871,17.16117675,20.89012863,25.0534302,27.79632932
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,171.7819023,177.924184,183.9228059,193.898229,203.59417,234.2793719,222.8805527,212.4029879,201.6351848,193.1086681,212.3266984,298.3871627,291.8625691,270.1930924,257.4958635,404.9887833
St. Lucia,116.0947303,134.5581254,120.4888392,132.6452619,137.6986837,142.9047629,150.8344682,151.0701814,146.3855789,159.4893841,163.8638184,197.5792117,195.285158,238.7735721,293.7698626,281.482474
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,93.20338315,98.03689684,105.9876869,99.53424836,106.4381337,112.658283,117.5038559,138.0113354,142.53428,145.3342586,149.844111,178.526979,201.9695331,251.3664873,240.9575387,240.4478875
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,39.65397118,51.61768683,56.42210043,54.14429419,62.82643541,60.61066827,58.28576571,65.42060675,73.51462076,86.45526889,92.6897135,109.8586729,141.8995889,144.2330694,131.7999864,178.8139595
San Marino,1830.586561,2007.197714,1850.230009,1941.244875,2057.919715,1855.142937,1874.619598,2578.444334,2431.291277,2907.625426,2913.939451,2940.099316,3310.543191,3595.697633,3290.863622,3120.0243
Sao Tome and Principe,21.62219232,19.37667023,19.2896553,14.72322593,20.47246441,19.65152003,19.09655648,21.38432091,39.91569675,36.98282916,43.27685393,32.3140711,32.9850024,35.59100619,37.30462157,34.44734077
Saudi Arabia,118.7262097,135.6153519,151.8350991,147.301495,230.4655198,286.8971888,288.1663327,271.4616442,278.267668,285.5431886,338.6134758,401.4368557,408.8935855,375.3277997,379.4532029,427.2219771
Senegal,7.46119076,8.75025119,7.5613982,8.06337422,8.96292746,7.85098909,8.40541797,10.37986738,13.92972312,16.22136241,23.88553565,27.96901832,31.67709105,35.51729159,32.49709906,32.46603794
Serbia,55.08246243,91.01452576,103.4859415,82.22490917,89.85631072,42.00202499,78.78807453,129.8669301,163.3393494,188.9716012,202.6037018,233.9332656,335.4710228,417.4132618,356.6351793,337.8304584
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,300.4457824,311.4779028,372.326822,348.0031571,355.9927275,311.3836826,308.6843374,330.3861082,372.9918723,400.5709771,410.6519805,428.177085,380.8392813,331.8198447,279.4709052,338.5427218
Sierra Leone,3.01513619,3.17987434,3.30137126,2.11283101,3.0535106,3.1758823,3.99473143,4.47891199,4.7311251,3.19768393,4.38020894,4.00711816,2.82082599,4.58217921,4.7467426,4.81695556
Singapore,367.6878915,375.1798799,366.9065615,379.1082745,331.7601412,297.7708683,272.563439,241.4079758,319.610943,282.8202494,301.7501,322.7879837,366.6574779,457.6832422,553.1065129,629.0965942
Slovak Republic,196.0285442,224.744242,210.6889493,215.0037505,195.7094842,185.687227,192.8541454,228.0320327,317.8412607,416.8701975,465.9715821,519.5901815,720.1692589,947.8056856,968.0139713,930.2932263
Slovenia,609.9974503,618.4661056,598.245748,646.9996838,663.5946372,614.3349643,646.303848,733.4824108,903.6036188,1032.86244,1083.105655,1159.844646,1318.374821,1657.993079,1637.800466,1586.851233
Solomon Islands,43.91018373,42.95620461,45.95967609,39.90736477,42.98942087,45.76841336,58.72476572,46.02412065,42.19648565,42.60468762,67.98503174,58.95872236,63.86744674,65.84194079,95.46393185,99.56021589
Somalia,2.007823,2.19197256,2.61450737,3.42458112,3.34163662,3.03587225,1.72263628,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,107.407441,97.42166554,111.1613137,104.2388104,107.5240572,101.7264402,90.48802947,81.44960646,126.0849689,151.0697234,174.5228649,183.9063962,202.1969702,203.0555642,227.8991828,286.1000647
South Ossetia,,,,,,,,,,,,,,,,
Spain,814.1213525,851.4576443,768.8593468,799.3380815,815.472304,744.8085202,770.8664634,858.6886931,1207.957055,1413.598881,1522.881746,1669.622827,1947.677222,2273.560984,2232.16442,2099.095912
Sri Lanka,11.46072596,12.12612982,12.3347859,15.79579721,14.45388887,15.77176928,14.34706248,14.75355905,16.03928131,20.62963277,23.37103342,27.85828458,29.35771437,31.67796793,30.07473532,31.30579168
Sudan,2.07942249,2.76897773,3.09173441,3.22299532,2.39644639,3.32121574,3.71702989,4.22295779,5.54278344,7.59122205,9.77208554,14.89219311,23.06922902,32.04436732,25.9328582,25.01653433
Suriname,42.58001262,61.25277872,69.11406651,94.94524716,77.47575117,73.99003122,62.59149302,79.86725679,87.6659947,100.1109014,124.6269249,165.2795878,171.3886544,185.8637853,238.2923281,235.3541923
Svalbard,,,,,,,,,,,,,,,,
Swaziland,49.93276657,49.78117669,47.95046176,44.13809345,44.34494916,42.3947245,36.55738802,34.52024706,63.63768054,68.92683821,82.0100062,97.62497814,97.87603725,104.2630958,112.1915102,129.3058133
Sweden,1983.369454,2229.035462,1971.455075,2003.741972,2053.305977,1935.180766,1837.134334,2112.830606,2682.286646,2977.233844,3018.049137,3190.283223,3667.941643,3966.023203,3542.782415,3820.116794
Switzerland,2287.440129,2324.082571,2033.813289,2104.560598,2105.323261,1950.616538,2110.101008,2390.604461,2882.586789,3213.200029,3313.13469,3292.756151,3586.185573,4164.21968,4290.42584,4610.77461
Syria,20.51337292,21.13241267,20.94113061,21.69606751,22.54335177,23.95333577,25.52427313,26.21895287,29.15275587,29.07131555,31.60035514,32.17127143,38.94114241,41.82282367,43.9025242,44.42910481
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,1.26796789,2.30983103,2.48281699,2.49941534,1.85269545,1.31954275,1.64696084,1.76117486,2.23321252,3.06441209,4.09852371,4.89757769,6.67231721,10.58100067,10.85271123,13.08033555
Tanzania,2.69100329,2.86141118,3.86061295,4.06253464,3.8329873,4.38215131,4.77269898,4.60818282,5.87900438,5.18299026,6.87143215,13.79696161,14.96415511,16.50957144,17.935686,20.80846017
Thailand,46.76155844,54.71482033,53.38915694,37.14918122,37.70558429,37.04532973,33.80109831,46.12850548,49.85893655,55.71091522,60.41669254,78.17882959,99.10426928,120.6416187,119.4447566,134.4334055
Timor-Leste,31.29192123,23.60343593,38.52041305,24.70925903,22.22408445,23.89261874,25.50068854,24.39705483,26.0843422,28.11024802,39.37183222,44.19350087,42.97399785,44.37236716,42.63445724,31.74442236
Togo,5.98969424,5.94910657,5.2459546,6.00659037,5.00622835,4.0760665,3.33228247,2.64229195,4.66110173,6.16070309,7.41416295,8.98786089,9.61979178,13.21661836,17.56904368,17.96115138
Tokelau,,,,,,,,,,,,,,,,
Tonga,56.40098922,63.83993448,66.77756647,62.51534514,75.2081817,64.50970769,72.58090781,69.89765482,88.09097697,95.26627072,145.6254915,138.3130151,174.2226034,175.6902731,114.9735783,140.0159492
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,94.26218324,90.09833557,86.64868359,68.52874022,100.0107387,105.4684626,133.3622003,168.4382979,207.9867097,233.1757212,363.7051774,370.868758,387.0333888,444.3957654,513.8457802,515.6432446
Tunisia,64.10270161,65.26624517,61.12469002,63.95520592,66.23708964,67.23838171,65.50305826,67.27868146,79.97758776,92.54257544,93.34450009,101.4064105,113.430761,133.167342,133.1164144,129.1450428
Turkey,67.14680445,80.69988323,93.00962453,111.4168709,113.7351986,128.6884164,105.0691847,132.6971868,173.7337511,220.7062636,259.3314397,301.3745787,375.4009631,455.44953,432.3737731,509.9637435
Turkmenistan,26.02883207,12.60969629,21.51263867,22.79813341,20.68114646,35.86475902,42.92528663,45.98571236,66.57246174,73.18861115,73.11018436,68.86366881,74.17088586,41.10773108,54.68129555,62.99335327
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,64.34333532,152.0510947,116.539518,119.7997678,135.5887286,231.4395569,245.1993099,237.8487261,410.0334129,370.3215902,402.2066953,447.005438,474.8981476,623.2485918,402.310645,567.4513122
Uganda,4.47225376,4.64992748,4.99637613,4.26097307,4.90468307,4.19208651,4.64300201,5.20036305,5.27805713,5.92297374,7.25685404,7.01639587,7.32491688,7.78474969,9.58457551,10.15830802
Ukraine,30.0241936,34.25791041,34.05254112,29.73822432,18.82180679,18.5137196,24.10154515,31.01435983,42.53842304,53.10846255,69.97515955,89.83861439,121.2023232,149.6985246,110.0695521,132.7123382
United Arab Emirates,582.7494561,579.53421,588.178377,564.7569799,558.8921616,576.7488035,637.7671571,578.2356148,611.0674685,588.3172591,607.500304,658.4885879,717.9980244,1007.943614,1310.87815,1078.239253
United Kingdom,1142.361045,1190.348424,1236.954931,1331.428825,1422.588336,1392.935201,1438.30008,1639.444191,1941.456504,2392.048021,2554.011382,2778.884258,3156.501937,3130.586837,2894.527943,2938.424005
United States,1683.124404,1753.8401,1811.228438,1843.058284,1916.391915,2031.765381,2231.182833,2404.820625,2608.07098,2785.60295,2953.582404,3174.434494,3356.070268,3554.238744,3794.852087,4436.607049
Uruguay,410.2539456,361.6943197,258.4166088,288.0808698,460.8099385,422.0544112,379.7607472,238.882058,178.3512636,172.326203,219.1260382,261.9543203,306.9429883,459.6498331,513.9789144,669.4095328
USSR,,,,,,,,,,,,,,,,
Uzbekistan,15.78740212,21.79116215,20.55628017,18.23412762,19.57472723,13.97249003,11.8547919,9.2626198,9.45909681,10.57956357,12.5558759,15.93992915,19.34177596,26.31500891,33.12630874,39.13216983
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,31.70008714,26.62308771,35.81556034,44.78802042,39.03848476,40.22642925,37.94598408,39.24583068,43.44063664,45.75535198,44.37377079,50.80490573,77.49118913,97.95105059,110.1447889,142.5648294
Venezuela,61.2279607,45.01083023,51.83227723,57.11821019,85.7757641,113.5625661,120.024889,81.65673723,72.46413609,99.02271731,128.2119954,161.5750793,221.6761816,268.9268716,275.4895807,231.5186022
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,4.9253403,5.35786243,5.6593029,6.11679125,6.32316244,6.46622166,7.21324206,6.82460938,8.14594661,8.37313093,9.83805766,15.35333919,23.34571095,23.80215849,28.94738283,31.35985546
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,12.42190055,10.96688242,9.43751868,10.12901083,10.84934234,13.60351098,14.32208869,14.20221815,16.65132689,14.4603234,14.30365029,16.30562847,17.08513791,21.1315877,16.7946704,15.26963994
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,13.23782123,13.04177451,16.83173958,13.57040056,9.018808,9.2260366,11.7288767,14.71169463,16.21507513,18.40720659,24.04921197,35.028628,31.10667411,43.1885424,36.66427176,43.93203745
Zimbabwe,28.05200411,29.34739993,30.08015822,29.43777179,17.63531414,31.48725574,25.3661501,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,
