Ratio of girls to boys in primary and secondary education (%),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.256,104.25,,107.759,104.312,102.303,101.325,98.598,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,96.384,,101.781,101.159,100.534,99.718,99.514,99.176,98.941,98.45,98.269,99.214,99.408,99.624,99.587,99.503,99.468,98.356,
Luxembourg,,99.274,98.908,99.768,100.088,100.965,100.37,101.344,99.772,99.818,100.928,87.409,97.353,95.489,95.442,,99.225,99.863,101.916,,,,,,,,,,,102.901,103.56,103.155,102.815,102.564,102.391,102.841,102.284,101.789,101.961,,102.208,
"Macao, China",,95.914,108.565,112.122,106.804,,,,,,,,,,,,,,,,98.665,,100.282,100.547,,,,,,100.582,100.422,101.426,100.864,100.798,99.592,99.517,100.276,98.227,97.204,96.754,95.443,95.006
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,98.799,98.806,98.609,97.833,97.932,97.463,97.817,97.86,98.314,99.061,98.949,98.858,98.882,,98.655,98.56,99.073,100.128,
Madagascar,,84.469,85.079,,85.373,,,,,,,,,,,,,,92.494,94.679,95.569,,,,,,,,,,,,,,,95.832,96.077,96.576,96.624,97.038,,
Malawi,,,56.698,56.26,,59.668,61.16,62.686,63.595,64.763,65.981,67.103,69.111,70.892,71.599,72.976,75.581,77.745,79.76,80.583,81.324,82.502,,89.148,92.333,88.518,88.554,,,90.716,92.792,93.439,93.557,96.178,98.881,98.874,100.047,99.813,99.367,99.977,101.26,101.628
Malaysia,83.203,,,,,,,,,,96.413,97.467,98.21,98.341,99.295,99.676,,100.134,100.516,100.799,101.976,101.461,102.19,102.43,103.038,103.182,,,103.382,102.387,103.515,103.381,103.818,105.246,105.13,103.971,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,99.56,100.019,99.536,100.471,101.212,101.393,101.482,101.332,102.585,101.359,101.751,,,,,,,
Mali,,52.039,52.94,57.181,54.341,,52.626,,53.292,53.984,53.699,54.855,54.984,55.185,55.386,,,57.698,57.28,59.255,58.717,58.924,57.681,60.231,61.562,65.188,64.379,63.836,67.145,68.432,71.07,,,72.097,74.351,75.563,76.926,78.92,79.361,80.206,81.893,83.018
Malta,,98.158,92.705,94.788,93.07,93.485,93.416,94.154,92.875,92.109,93.248,91.962,92.958,92.621,93.652,95.103,95.823,95.988,96.181,95.972,95.074,94.827,94.471,94.806,93.773,94.95,100.08,,,92.254,100.246,98.267,98.788,98.731,95.351,96.615,,100.348,98.127,92.601,93.633,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.946,,,97.591,104.26,98.73,114.939,100.177,99.019,103.106,101.142,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,49.845,,,,,,62.371,65.371,65.637,67.382,69.898,73.182,76.683,79.086,79.967,81.097,,91.101,93.372,93.14,92.785,94.839,96.919,98.452,100.664,99.394,100.409,101.648,101.136,101.218,
Mauritius,,92.82,92.501,93.112,93.519,93.592,93.762,94.061,94.613,95.086,96.627,96.309,95.831,95.717,95.336,96.494,96.837,97.636,99.513,99.772,100.626,,,,,,101.745,,100.59,99.271,98.083,98.646,100.043,99.704,99.165,99.166,99.051,99.167,99.212,100.077,100.133,100.044
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,88.245,86.995,,88.911,87.253,86.22,91.675,91.75,93.121,94.171,95.169,95.152,93.809,94.398,94.531,95.907,96.177,96.339,96.89,96.69,97.511,96.359,96.879,96.842,97.218,97.04,97.18,97.862,98.724,99.524,100.272,100.805,101.619,101.077,100.904,101.158,101.479,101.932,102.328,102.361,
"Micronesia, Fed. Sts.",,,89.762,94.59,96.513,,100.17,97.167,,,,,,,,,,,,,,,,,,,,,,,,,,,101.767,102.084,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,105.174,105.314,105.358,105.967,105.672,102.082,,,,98.731,100.997,101.479,101.672,102.133,102.957,102.45,102.707,101.683,101.387,101.138,101.461,101.149
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,101.213,100.201,,,103.913,101.798,,,105.285,,,,,,,,106.146,,115.243,119.323,119.664,117.762,116.325,114.926,111.742,110.836,110.603,109.858,107.654,106.144,106.069,105.552,,,103.4,102.565,101.708
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.808,100.131,101.099,100.826,100.394,108.598,99.979,100.207,100.026
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,52.132,53.441,,56.642,56.971,58.146,57.85,58.272,58.823,59.239,60.134,61.69,63.28,63.793,64.592,64.921,65.328,65.414,65.843,68.749,69.626,70.001,71.017,72.27,73.65,74.703,75.722,77.517,80.255,82.593,84.835,86.2,87.35,87.743,87.821,,88.69,,,,
Mozambique,,,,52.262,,,,66.957,67.249,67.328,68.894,70.369,71.461,70.509,,73.051,73.882,74.479,,,72.726,70.618,71.098,70.255,69.184,69.386,,,73.365,73.646,74.949,76.475,78.192,,82.003,83.052,84.741,85.501,86.588,88.302,88.962,90.064
Myanmar,,83.023,85.049,,,,88.946,88.271,89.21,,,,,,,,92.71,92.247,92.799,93.479,94.252,96.079,96.378,96.202,96.707,,,,,98.718,101.277,97.856,98.185,98.414,98.18,100.175,99.763,,,100.624,102.276,
Namibia,,,,,,,,,,,,,,,,,,,,111.945,111.457,107.018,106.227,105.377,104.602,103.818,103.769,103.907,104.027,103.668,103.674,104.002,103.904,103.666,104.054,103.92,104.638,104.374,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,21.691,17.29,18.145,18.931,25.504,28.09,30.069,34.448,36.363,36.652,37.839,38.95,41.368,42.302,43.241,44.415,47.472,53.334,56.651,59.441,62.486,63.852,66.265,68.135,70.873,,,75.014,77.039,80.279,82.386,,,,,,,,,
Netherlands,,94.1,94.754,95.484,95.695,95.937,96.725,96.843,97.348,97.973,98.267,98.708,98.93,99.06,99.023,99.601,98.271,98.142,97.23,97.349,96.96,97.013,97.006,98.654,95.477,96.375,96.132,96.881,97.158,96.665,96.949,97.488,97.533,98.018,97.842,97.787,97.966,98.038,98.23,98.52,98.948,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,98.106,98.005,98.494,98.925,99.008,99.421,99.735,99.949,,100.445,100.407,100.432,100.779,100.42,100.453,100.715,100.285,100.232,100.257,100.049,99.48,99.87,99.256,99.896,101.247,99.041,102.674,102.335,103.011,102.757,103.305,,105.907,105.503,102.974,102.962,102.286,101.316,102.629,101.763,102.832,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,101.438,101.736,102.338,102.954,,106.214,,103.709,,108.386,108.167,,107.956,108.954,111.285,123.466,120.441,120.095,121.108,118.842,,,,,,,,,106.217,105.131,105.224,105.045,103.58,102.501,102.118,101.907,102.07,102.349,102.328,,101.61,
Niger,,54.013,53.534,53.816,54.687,54.696,54.164,53.05,51.945,54.205,51.643,51.636,,,,,,,52.138,52.61,52.641,52.867,54.602,56.591,,59.709,60.761,61.913,63.041,64.391,65.053,65.839,66.212,67.459,68.028,69.72,70.606,,,75.578,78.582,79.255
Nigeria,58.283,61.643,63.395,66.09,,,,72.394,75.556,74.815,74.633,75.498,75.079,70.481,68.014,,80.275,81.779,,83.732,78.674,,,,,,,,,82.847,82.042,83.287,81.715,82.591,83.395,84.572,85.524,86.152,87.881,89.132,90.09,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,105.036,99.399,99.682,99.948,100.803,100.222,100.382,101.275,101.864,101.831,102.572,103.166,102.303,103.377,103.027,102.771,102.863,102.603,102.833,102.208,101.658,100.732,98.782,98.519,97.231,97.24,98.062,100.287,101.005,101.286,101.129,101.066,100.927,101.422,100.599,100.169,99.471,99.065,98.957,99.156,
Oman,,16.144,14.972,20.54,29.115,34.476,38.201,40.674,42.833,46.038,47.155,50.162,53.653,57.497,63.068,68.901,74.318,77.816,80.648,82.852,84.723,88.614,90.942,93.749,96.021,96.916,95.554,98.547,99.384,99.491,98.566,98.566,97.202,95.836,,,,,,98.032,99.541,98.358
Pakistan,,34.2,35.236,37.941,38.233,39.017,40.185,39.391,43.825,45.065,45.296,46.012,46.821,45.482,45.561,46.421,47.96,48.023,49.03,48.692,48.958,,,,,,,,,,,,,73.371,73.385,75.499,76.837,78.694,79.051,80.671,79.614,79.011
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99,100.441,,,,99.724,,,,,,,
Panama,98.887,99.044,98.818,98.412,99.545,99.122,99.691,100.052,100.359,100.619,101.217,101.244,101.229,100.944,100.422,100.383,100.649,100.102,100.248,100.11,99.294,,,,,,,,,100.405,100.196,100.585,100.434,,100.873,100.742,101.298,100.992,101.08,101.241,100.671,101.564
Papua New Guinea,57.03,,,,56.862,59.285,59.494,61.831,64.966,68.124,,71.972,75.349,,78.285,,79.729,79.775,80.097,80.499,81.653,82.372,82.335,83.727,83.509,84.561,,,83.654,,,,,,,,,,,,,
Paraguay,92.873,93.174,94.092,93.853,,94.542,94.465,94.544,94.838,,,,,,,95.273,95.636,95.861,96.057,97.752,97.458,98.031,,98.301,98.22,99.102,98.969,99.193,98.903,98.44,98.38,98.221,98.072,98.226,98.623,98.998,99.265,99.237,99.473,99.615,99.413,
Peru,85.268,,,,,,,92.943,93.403,92.602,92.282,93.514,92.238,,,94.222,,,,,,96.142,,,,96.11,,,97.118,97.241,96.957,97.097,97.022,97.326,98.739,98.735,99.027,99.116,99.427,98.907,99.267,98.97
Philippines,,,,,,,,,,,,103.881,102.215,102.123,101.743,102.04,101.432,100.009,101.024,101.007,99.995,,,,,,,,102.474,102.907,,103.04,102.672,102.566,102.686,103.111,102.757,102.326,101.899,101.176,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,99.673,100.05,99.715,,,,,,,,,,,,,,,101.228,101.483,101.467,100.86,99.507,99.238,,,98.317,98.258,98.119,97.931,97.858,97.574,97.11,100.025,99.025,98.636,98.693,98.859,98.932,98.897,
Portugal,,92.459,93.844,94.132,94.926,96.516,96.428,96.429,97.112,98.492,88.568,,,,,,100.632,,95.978,,97.061,102.738,,104.04,101.637,101.498,102.085,,101.666,101.849,101.086,101.937,100.438,101.582,101.754,101.761,101.314,100.311,99.495,100.045,99.696,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.114,104.435,103.834
Qatar,,88.553,100.031,106.634,110.819,116.047,115.349,109.985,108.081,105.113,104.07,103.981,98.359,96.922,95.938,96.123,95.511,105.881,105.694,106.627,106.067,104.185,102.211,100.099,95.456,93.019,93.509,,100.464,107.317,109.283,112.279,102.669,94.365,,,,,112.793,112.966,108.836,102.764
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,95.8,95.414,95.707,96.085,,,,,,,,,,,,,,,97.783,97.733,99.347,99.931,99.276,100.967,101.05,100.451,99.329,100.006,100.208,100.291,100.195,100.341,100.398,100.273,100.289,99.953,99.293,98.949,99.255,98.931,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,101.405,,,,,,,,,99.662,,98.934,98.667,98.257,97.918,98.483,,
Rwanda,,77.477,,,,,84.358,86.364,88.031,89.148,89.61,89.996,90.62,90.811,90.881,91.313,92.316,93.332,93.852,94.434,95.076,95.509,94.433,,,,,,,98.194,96.552,98.638,99.586,99.36,100.625,100.867,102.517,100.895,100.996,101.242,101.909,102.927
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,97.108,89.058,80.68,100.784,101.239,100.801,,,98.704,99.998,,,,,,,99.973,103.45,102.287,104.171,105.962,102.909,,100.449,103.357,104.229,99.797,102.772
St. Lucia,,,113.401,101.348,,,,102.72,,,,110.515,106.035,104.771,104.768,108.576,107.973,106.279,,,103.933,103.576,104.908,107.244,,,,100.967,,103.417,106.392,104.246,106.157,103.498,95.428,103.03,100.559,101.312,100.136,99.472,97.325,97.509
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,98.938,102.139,,103.048,105.574,103.921,,,,,,107.679,,104.432,,105.5,106.427,,,,106.557,,,,,,,,,106.275,102.263,101.002,100.999,100.029,101.544,,101.926,99.977,97.89,97.063,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,98.805,,,,,107.877,99.601,101.855,99.519,100.698,98.116,,,,,,,,,,,,,,,103.674,102.504,,107.564,103.956,106.126,105.949,105.044,105.596,105.754,,,,,106.636,107.5,108.757
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.646,106.396,
Sao Tome and Principe,,85.003,101.698,,,,,94.804,,,,,,94.751,,,,,95.519,,,,,,,,,,,,,,,99.989,98.587,98.949,99.526,101.241,99.927,103.187,100.296,101.551
Saudi Arabia,,,,,,,,,,60.555,,,,,,,,,,,,,,,,,,,,,,,,,,96.634,,,93.903,94.07,97.154,
Senegal,,58.813,59.576,,,,,,61.791,62.697,62.875,62.92,63.124,63.324,63.59,64.268,64.363,,66.008,66.612,67.69,,69.614,,,,75.527,77.288,79.484,78.78,82.256,84.007,85.436,,89.759,91.242,92.908,,95.92,,99.948,101.502
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.39,101.077,101.12,101.645,102.382,102.1,102.167,102.435,101.898,101.752,101.433,101.182,100.955
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,110.126,110.182,108.329,110.917,110.156,115.122,109.419,,108.734,106.02,104.858,103.366,104.248,101.725,,99.393,96.957,96.174,97.101,96.945,,97.961,98.266,98.938,100.591,99.498,100.372,,99.033,101.605,103.012,103.26,101.937,102.441,103.808,101.279,,105.937,107.543,106.264,103.95,
Sierra Leone,,54.661,55.517,53.331,54.695,54.134,55.114,55.782,56.151,,,,,,59.928,60.178,,,61.354,63.642,62.092,63.878,,,,,,,,,,67.778,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,102.253,102.264,103.135,102.118,,101.07,101.007,100.831,100.678,100.536,100.154,100.583,100.378,100.403,100.458,100.551,100.7,100.475,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,103.245,103.009,102.852,102.673,102.374,102.258,101.846,103.106,101.373,100.087,99.484,99.953,99.614,99.747,99.269,99.285,99.39,98.978,
Solomon Islands,62.822,57.041,,,,64.429,,,,,,,,,,,80.655,,,,83.646,83.222,83.208,83.414,85.315,,,,,89.693,90.478,91.602,91.633,91.625,93.138,93.013,93.625,93.585,,,95.942,
Somalia,,29.421,29.852,32.147,36.82,,50.576,52.714,54.939,54.064,55.001,52.884,52.597,52.372,54.316,53.075,51.632,,,,,,,,,,,,,,,,,,,,,53.434,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,102.719,103.429,103.75,,,101.993,,,,102.604,102.208,100.371,100.949,100.382,99.931,99.849,99.704,99.574,99.487,99.17,99.283,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,92.619,93.432,94.849,94.728,97.849,98.292,98.874,99.067,97.24,101.756,101.977,99.716,103.175,101.739,101.963,103.765,104.522,103.752,103.609,102.841,103.734,104.4,104.685,104.822,104.919,105.271,102.787,103.116,102.949,102.823,102.585,102.923,102.432,102.888,102.746,102.644,102.817,102.54,101.874,100.81,
Sri Lanka,,,,,,,98.181,,,,,101.085,101.809,101.67,101.929,101.886,102.275,102.217,102.098,102.02,101.979,102.474,102.442,102.651,103.331,102.457,,,,,,,103.05,103.245,,,,,,,101.64,
Sudan,,58.638,49.598,46.866,46.563,,54.334,57.289,67.277,66.068,66.62,67.477,68.896,70.155,71.607,70.952,71.225,,,,,77.518,78.784,,,,,,,,,88.016,87.632,88.078,88.221,88.917,89.339,87.652,89.191,89.502,,
Suriname,,99.717,100.095,101.857,100.582,96.082,101.122,97.352,99.131,98.679,,,,,,,106.027,108.15,109.341,108.476,115.834,107.447,106.332,102.724,,,,,,,,106.576,112.692,110.326,,108.626,109.348,108.868,107.661,105.427,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,90.527,90.382,89.464,90.161,91.778,92.968,94.067,95.388,,,,,,,,,,,,,,,,,,,,,96.752,96.683,96.144,96.989,95.91,97.184,95.361,96.03,95.8,92.745,,94.505,94.028,
Sweden,,100.059,99.42,100.637,100.756,100.658,104.365,103.76,104.084,103.536,104.898,105.2,106.246,106.158,106.117,106.61,,101.809,101.207,101.941,102.287,102.39,102.286,108.12,107.838,108.78,109.902,110.882,115.034,115.147,115.102,114.61,112.333,110.718,101.353,99.649,99.676,99.528,99.452,99.351,99.16,
Switzerland,,,,,,,,,92.876,93.737,94.132,94.245,94.351,94.515,94.533,94.722,94.89,95.373,95.752,96.332,96.54,96.981,97.232,95.554,96.1,96.374,96.81,,95.625,96.089,96.727,97.482,97.187,97.015,96.501,96.732,96.762,97.054,97.333,97.639,98.238,
Syria,,50.73,53.143,55.473,57.458,58.873,60.362,62.297,63.865,65.775,69.57,71.65,73.841,75.455,77.338,79.424,81.277,82.629,83.482,83.893,84.829,85.37,86.382,87.964,88.332,88.992,90.059,90.941,91.76,91.756,92.307,92.533,92.719,93.864,94.3,94.953,95.673,97.448,98.493,99.136,99.139,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.979,89.061,87.163,87.665,88.035,88.454,88.323,87.842,88.711,90.531,91.323,90.377,90.663
Tanzania,63.315,63.368,63.654,65.286,67.245,70.804,74.825,78.146,82.661,85.414,,89.981,92.239,95.074,,,98.828,98.052,97.802,97.252,97.061,96.662,95.818,96.099,96.874,97.217,97.681,97.882,,99.186,97.794,,,,,,96.535,,,,97.509,
Thailand,,88.616,,89.271,89.305,90.023,90.799,91.647,92.384,,,,,,,,,,,,,97.787,97.975,98.08,,,,,,,,97.929,98.92,98.959,102.053,101.141,102.438,103.174,103.07,103.492,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.25,94.343,,,95.969,96.024,97.545,
Togo,,42.913,44.493,45.311,46.559,47.348,49.051,50.124,51.938,53.785,54.794,,57.088,57.659,57.063,56.337,55.452,55.693,56.187,56.797,58.096,58.963,59.628,,59.858,61.216,61.941,63.476,,67,69.047,69.936,71.218,71.967,73.304,74.155,75.342,75.18,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,98.589,98.435,97.691,98.186,99.131,99.291,,,99.831,,,96.037,96.872,,101.685,103.715,100.766,,,,98.797,100.846,,99.491,,,,,104.428,103.495,102.145,101.974,102.045,,99.402,,98.106,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,98.947,98.397,99.09,,,,99.14,99.522,99.864,,,100.175,101.777,100.877,100.843,,100.438,100.275,100.745,101.966,100.923,100.495,100.852,,,,,,103.156,103.216,102.128,103.759,101.867,101.014,,,,100.772,,,
Tunisia,,60.003,59.532,60.208,60.866,62.337,64.728,66.086,67.333,68.98,69.799,71.504,73.376,74.643,76.571,78.243,79.362,80.383,81.051,82.351,83.49,84.797,86.316,87.663,89.275,90.289,91.464,92.669,,95.559,97.566,98.053,97.805,99.911,,101.206,101.372,,101.15,101.223,,
Turkey,,67.506,67.987,69.171,70.424,,71.353,71.196,71.023,71.791,,,74.972,,77.291,78.258,77.773,77.708,78.04,77.999,78.58,78.848,79.348,79.529,80.646,80.031,,,,80.243,82.373,82.394,82.455,82.644,85.732,89.334,90.095,91.017,92.957,94.686,95.042,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,97.01,101.12,99.527,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.349,,,,,,,,,,
Uganda,,,,,,64.982,67.703,68.438,69.135,70.889,,72.546,72.318,,,,79.972,,,,77.667,,76.216,,89.164,,,85.473,,,91.074,93.199,95.176,94.775,95.164,95.763,96.848,96.734,97.395,97.512,98.503,
Ukraine,,,,,,,,,,,,101.887,,,,,,,,,101.804,101.754,101.315,104.254,104.497,,,,,102.018,100.269,99.072,100.033,99.598,98.775,94.514,98.69,99.551,98.755,98.64,98.622,98.541
United Arab Emirates,,,,82.845,92.165,92.901,94.322,101.48,105.267,103.748,100.3,96.269,98.529,98.273,97.605,97.833,99.638,103.407,105.218,106.076,106.064,105.315,105.046,104.578,102.669,101.139,,103.531,104.392,103.428,101.883,101.172,103.495,103.441,101.966,101.34,102.223,,,,,
United Kingdom,,99.911,99.842,99.956,100.218,100.462,100.736,100.901,101.022,101.288,101.525,101.827,101.811,101.721,101.472,101.596,102.094,101.502,101.461,101.679,101.881,102.184,101.821,,,,,,100.254,100.384,100.546,100.479,100.787,101.894,101.541,101.556,101.828,101.543,101.189,101.006,100.475,
United States,,,,,,,,,,,,100.308,99.837,98.935,99.399,99.49,100.044,99.449,,,99.577,99.96,,99.181,99.48,100.498,99.716,,103.381,,99.805,100.628,100.034,100.163,100.683,100.266,99.999,100.195,99.931,100.971,100.079,
Uruguay,101.608,104.881,104.421,105.968,,,,,107.504,102.751,,,,,,,,,,,,,,,106.911,107.487,,,112.096,106.343,105.141,105,104.532,105.616,105.594,105.473,105.656,97.904,103.893,103.82,104.15,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.983,98.018,97.728,97.38,97.385,96.632,97.2,97.498,98.037,98.342,98.727,98.256,97.616
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,85.782,91.272,91.692,90.747,89.164,90.683,89.44,89.116,89.849,,92.674,91.934,,,,,,,,,,93.055,,,,,,,,95.289,100.718,96.626,97.779,95.059,94.62,,,,98.992,99.148,97.317,
Venezuela,,102.909,102.88,103.372,104.214,104.247,,,,,,,,,106.164,106.053,105.641,105.712,105.767,106.097,,105.188,104.619,104.665,,,,,,104.954,104.509,104.019,103.753,103.534,103.318,103.246,102.993,102.562,102.18,101.863,101.861,101.955
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,97.379,98.176,99.536,,101.237,102.311,103.703,103.104,102.872,102.681,102.631,103.771,104.055,104.4,104.322,104.404,106.109
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,98.829,97.587,,,,,,,,,,,,,,,,,,,,,92.13,91.485,92.969,93.077,93.406,93.571,94.637,96.205,97.663,99.204,,101.195,102.053,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.292,54.999,54.946,,60.278,62.355,65.379,,,72.39,,75.068,75.488
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,77.229,,78.546,,79.68,,,,,84.137,84.545,85.642,85.574,,,,86.744,,87.177,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,81.032,81.721,81.378,81.853,82.8,84.001,84.801,86.358,86.884,87.159,,90.988,90.332,89.789,89.354,89.338,89.754,90.81,91.242,92.261,96.506,92.212,93.86,,,94.061,94.377,,,,,,,,,,,,,,,
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
