Female 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Canada,20.06501182,20.04640969,20.31020038,20.74217951,20.91624248,20.64700285,20.37699058,20.54099746,22.0591394,24.54551598,27.63005034,29.8792078,29.64045601,28.62749495,27.11170929,25.7219889,25.44242242,25.54911606,25.05821413,24.22085775,23.42182084
Cape Verde,17.72151899,17.20430108,16.34615385,14.87603306,13.04347826,14.09395973,13.63636364,13.4502924,12.16931217,11.53846154,12.12121212,14.4,17.22846442,18.24561404,19.20529801,21.06918239,23.4939759,26.1627907,27.19546742,27.29805014,26.64835165
Central African Rep.,17.6820208,17.48942172,16.77588467,16.44815256,16.12903226,15.88693957,15.51126516,14.77869467,14.08450704,13.78091873,13.73165618,13.82113821,13.95551679,13.94884093,14.26459719,15.12027491,16.36655949,17.73607748,19.28919461,20.6708481,21.76746611
Chad,17.12662338,16.99779249,16.58925017,16.29982153,15.6517094,14.98340446,14.14529915,13.30309902,12.59715026,12.53125868,12.43804579,12.30677765,12.20186657,12.0030349,12.19903692,12.70496638,13.4913974,14.47827316,15.62393162,16.9375,18.31907398
Channel Islands,26.92307692,26.78571429,27.11864407,25.80645161,25,22.72727273,24.24242424,22.53521127,22.97297297,24.65753425,27.02702703,29.87012987,32.89473684,33.33333333,32.05128205,28.57142857,26.31578947,25,25.67567568,25.33333333,24
Chile,18.27361564,17.715959,16.96844283,16.24771481,16.04454527,16.20905132,16.5019414,17.27791361,17.96523824,19.15156507,21.54774127,24.09228901,25.67239986,26.38138304,25.62526494,24.96927489,25.32351185,25.93061781,26.25011997,25.61300133,24.54115421
China,19.56295088,18.18348491,17.70972754,17.00645789,16.23232921,16.16196546,16.41075684,16.41505293,17.0842701,19.48929027,21.44071916,24.77857614,28.46689104,29.93984501,29.90114568,29.19235846,28.72057408,27.51598162,27.21068435,26.04023344,23.80562146
Colombia,14.46822631,14.3474503,13.91239423,13.55732074,13.08123249,12.85631181,12.78518519,13.01465226,14.1507742,15.97048931,18.07623585,20.41947154,22.27183805,23.0426125,23.77659175,24.14224446,24.36819396,25.04630855,25.31400966,25.41516701,25.46835128
Comoros,15.18987342,16.09195402,15.46391753,14.95327103,14.28571429,14.07407407,12.80487805,11.39896373,11.36363636,11.47540984,12.99638989,13.7704918,15.11627907,16.05263158,17.61904762,19.69026549,20.94455852,21.53846154,21.62162162,22.01365188,23.41463415
"Congo, Dem. Rep.",14.05188388,14.09414723,14.12935323,14.05613649,13.98414366,13.81660986,13.61475292,13.30788963,12.87798126,12.32744219,11.89309057,11.53614054,11.47943524,11.69007587,12.1285559,12.92456456,14.08545946,15.53326769,17.17353516,18.9299764,20.5162624
"Congo, Rep.",15.57177616,15.48672566,15.45988258,15.23972603,14.7102526,14.21254802,13.69112815,13.2518797,12.94788274,12.91248207,12.92650919,12.79205607,12.76595745,13.39962121,14.81481481,16.56851197,18.45760234,20.15053028,21.25120929,22.22561908,23.10385064
Costa Rica,16.91331924,15.5234657,14.50381679,13.25611326,13.12569522,13.15529179,13.25823224,13.59516616,14.29516876,15.92505855,18.11594203,20.71395021,22.7571116,23.49570201,24.13127413,24.90842491,26.10371409,27.22672065,27.30844794,26.61341853,25.21193093
Cote d'Ivoire,13.84615385,13.84615385,13.8379657,13.61205639,13.4122288,13.20163061,12.90882061,12.79139271,12.66281946,12.73708985,12.94440468,13.00787067,12.96715742,13.17310108,14.08112769,15.34029284,16.85823755,18.46992673,19.82015145,21.19621216,22.43430152
Croatia,23.95833333,24.48192771,22.86931818,23.48837209,24.54756381,25.78302315,27.42578644,25.97571552,25.50364338,25.76509512,26.19863014,27.83326096,27.97723292,27.53430722,27.17488789,27.19817768,27.11234912,26.74253201,25.83616093,24.14307004,23.15145334
Cuba,16.20677611,17.74142812,18.58533792,17.8022541,16.97012138,16.50902837,17.34924882,19.22923323,20.78267477,22.38586156,24.53034682,26.67622804,30.19509576,32.34506162,31.81330472,29.01201363,26.74271229,25.20729685,25.61920968,25.96210197,24.5006115
Cyprus,18.8,19.33085502,19.03114187,18.72909699,19.21824104,18.83116883,19.93464052,20.30769231,21.70087977,22.82608696,25.06265664,26.57342657,27.27272727,27.57894737,27.36418511,27.3255814,27.6119403,27.97833935,27.46478873,25.85616438,24.4966443
Czech Rep.,27.83347864,28.23627985,25.39165819,25.26989204,24.32753165,22.81243964,23.16544048,22.82752121,24.45785404,26.42789821,28.03275567,27.96707504,26.496695,26.75660483,28.4355771,29.0057825,29.48453608,27.99092799,24.73814512,23.0003827,22.09615385
Denmark,24.93036212,25.56995977,25.43327556,25.10425354,23.81144239,22.49608764,22.01233616,22.91987673,25,26.26606198,27.16827279,27.528295,27.32537097,27.5737941,26.85019664,24.81336651,23.22375398,22.79957582,23.1123715,24.04566536,24.41651706
Djibouti,12.90322581,11.42857143,11.62790698,12.06896552,12.34567901,12.38938053,12.86549708,12.93532338,13.30935252,13.09904153,13.89645777,14.85148515,15.6462585,16.59663866,17.66990291,19.0990991,20.67226891,22.4328594,23.61733931,24.5363766,24.72826087
Dominican Rep.,11.09243697,10.9352518,11.00303951,11.16829645,11.62687887,12.30235249,12.82928498,13.20121951,13.61643836,14.38509317,15.86033775,17.6408525,19.34786879,20.5904059,21.35990212,22.06470981,22.79211412,23.67277243,24.26214621,24.7175981,25.02205234
