Storm affected,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,603,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,210,0,0,0,0,60039,1651,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11089,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,5543,0,0,0,0,6420,0,0,0,0,15145,0,504,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106084,0,0,6454,1502,0,0,476827,0,3905,17
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3704,0,0,0,0,0,1722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,1118,1165220,0,0,0,0,0,0,0,870054,0,0,0,0,0,1588122,0,181,0,12219,0,0,0,254,181,324851,28049,15005,115183,246974
Honduras,0,0,0,0,608000,0,0,0,7500,0,0,0,20130,0,0,0,0,0,12,0,0,0,0,0,0,40,1,0,2126600,0,0,86342,0,0,0,103922,0,19501,0
"Hong Kong, China",0,1601,0,277,2401,2059,2530,129,2907,12603,370,0,905,2584,0,614,46,0,104,1664,0,204,442,1326,0,0,0,256,0,495,0,0,0,3537,0,0,0,0,209
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,7,0,4,305,0,0
India,2000,6909718,4530305,0,25120,2501,600270,14494006,4011,1606366,153,132505,5301237,1557582,1335524,105178,3300490,80166,1900074,3700093,4101843,25125,185,72686,428819,12222,9178637,25,4664864,13880386,30000,27099,15394,531478,0,68672,150490,0,0
Indonesia,0,0,0,1650,2010,0,25,3061,0,0,800,0,125,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3719,0,0,0,0
Iran,0,0,60,0,0,14,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,22,3700,0,0,0,94,0,0,0,5503,0,0,0,2500,8000,0,160021,28
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,2,0,0,0,0,0,2,0,2,8,1,0,0,0,200,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0
Italy,235,0,0,5038,0,0,0,0,20,0,0,0,0,0,0,0,0,33,0,0,6,0,0,1008,103,0,0,22,0,0,0,0,0,0,0,0,1,0,0
Jamaica,0,0,0,2516,0,0,0,0,0,0,30015,0,0,0,0,307,0,0,810049,0,0,0,0,0,4,0,800,0,0,0,0,201,1504,0,350142,10402,0,33193,4013
Japan,0,135,50,101,334,243,325276,13077,3106,71,17040,82763,148470,253,0,30249,2375,65018,0,15,147818,91229,445,30576,130,503,5744,67007,49905,27364,193054,9910,100832,2424,331326,273179,12921,41007,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,209,0,30,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea Rep,2539,159,0,0,0,0,0,0,4000,35115,20182,14366,5110,0,0,77,6729,56619,0,75303,27,20822,433,8662,116,5233,0,0,4479,518,744,311,88829,80130,2936,1111,0,622,0
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506,0,0,0,0,0,0,627226,0,7404,0,0,0,0,1649,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9079,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38315,268899,128,0,1000026,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104100,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,2002,0,0,0,0,0,0,4500
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,3500,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macao, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Madagascar,10070,0,2510147,0,0,10057,508892,30010,18070,0,0,118107,70092,13602,100283,0,84408,0,0,55392,0,250036,0,0,540263,0,100009,600174,0,0,1106362,0,528123,162839,1032824,8063,6520,222595,533271
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4446,2117,0,0,500,0,157,0,41001,0,0,0,0
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,5045,0,0,0,0,0,0,0,0,20003,0,0,0,0,0,0,0,0,0,0,1508,0,0,3012,0,0,0,0,0,600,0,0,0,0,0,0,0,7,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0
Mauritius,0,0,25018,0,0,826267,0,0,0,105262,0,0,32500,352,0,0,0,0,0,4508,0,7500,0,0,2302,0,3,0,0,1000,0,0,1053,0,0,0,0,2,0
Mexico,0,17,0,0,13,29,577120,50010,0,0,0,100,50225,282775,10004,0,0,0,125288,0,38,10013,10003,77038,0,66970,19846,804997,5715,4009,30331,6405,509546,9004,20,2969618,270715,203020,500002
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,1000,6009,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25583,0,0,0,0,0,2600000,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,100007,0,0,0,0,0,0,1071023,175016,665003,0,0,0,0,0,52
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0
Mozambique,0,0,0,0,0,0,0,54,105004,0,0,0,0,0,350109,0,0,0,4100,0,0,0,0,0,2502240,0,200011,0,0,0,1436,0,4020,23021,0,0,0,162780,220022
Myanmar,0,0,0,0,0,200,0,0,132000,0,0,0,36011,0,0,0,0,0,0,0,0,0,0,0,64987,0,0,0,0,0,0,0,0,0,25236,0,60140,0,2558366
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,0,0,171,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,250001,0,102,0,0,0,0,4,0,0,1,0,7,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,40002,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,3,0,0,0,0,0,0,0,0,2004,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2001,143,0,0,0,0,0,2,0,100,0,300,0
Nicaragua,0,4685,0,0,0,0,0,0,0,0,0,0,52071,0,0,0,0,0,360408,0,0,0,0,123037,0,15123,10768,0,871560,0,2512,24882,302,0,200,13650,0,188914,1403
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1000,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Oman,0,0,0,0,0,0,0,6703,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,30,0,0,0,20076,0
Pakistan,0,0,0,0,0,0,0,0,0,0,41,656,0,0,0,0,261,0,36,0,0,0,0,609,56,0,0,41,12,536609,0,504,26,2608,0,58,0,1650242,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8762,0,0,0,62,0,0,0,0,0,7503,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40055,0,0,0,7532,0,0,0,0,0,0,0,0,0,162312,0
