"SBP female (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Guyana,122.4556,122.4407,122.3848,122.3169,122.2718,122.2727,122.2988,122.3229,122.3515,122.3925,122.4111,122.4698,122.5485,122.6392,122.7782,122.9095,123.0323,123.1646,123.2942,123.4008,123.6202,123.8592,124.0295,124.1914,124.3252,124.5611,124.7639,124.9501,125.1512
Haiti,123.5132,123.6394,123.7032,123.7468,123.7775,123.7993,123.813,123.8315,123.8408,123.85,123.8697,123.9009,123.8926,123.8643,123.8287,123.8199,123.8064,123.844,123.9049,123.9922,124.1051,124.2164,124.3388,124.4703,124.6187,124.7744,124.9373,125.1519,125.3461
Honduras,123.1705,123.1698,123.1522,123.1076,123.0342,122.9633,122.8852,122.8058,122.7688,122.7403,122.6647,122.5837,122.5141,122.4728,122.4033,122.3277,122.2671,122.239,122.1921,122.1644,122.1437,122.1487,122.2106,122.2818,122.3897,122.5214,122.6677,122.8235,122.9621
"Hong Kong, China",131.1076,130.5881,130.0412,129.4616,128.8902,128.3094,127.7526,127.2529,126.7863,126.2986,125.8042,125.3095,124.8143,124.3285,123.8492,123.3407,122.8521,122.4169,122.013,121.6402,121.3282,121.0254,120.7365,120.4847,120.2492,120.0291,119.8005,119.5678,119.3193
Hungary,135.2492,135.0618,134.8807,134.656,134.439,134.1947,133.9567,133.7054,133.4557,133.1709,132.8666,132.5242,132.1848,131.8669,131.5598,131.283,131.0344,130.7873,130.5672,130.3388,130.167,129.9869,129.7824,129.5987,129.4521,129.2483,129.0895,128.8946,128.6968
Iceland,131.3972,130.6165,129.8537,129.0619,128.3312,127.6155,126.9726,126.4677,126.0469,125.6512,125.2702,124.9067,124.5429,124.1754,123.8033,123.4171,123.0362,122.6361,122.2344,121.8362,121.4423,121.0787,120.6813,120.3,119.9665,119.652,119.3365,119.0416,118.7381
India,120.8993,121.2101,121.5183,121.8378,122.1592,122.4643,122.7837,123.086,123.3856,123.6772,123.9283,124.1256,124.264,124.3741,124.4644,124.5309,124.5619,124.5853,124.5682,124.5451,124.4865,124.4046,124.2951,124.1554,123.9888,123.7865,123.5742,123.3593,123.1274
Indonesia,122.4839,122.7222,122.9043,123.1054,123.3208,123.5187,123.7363,123.9534,124.1953,124.4452,124.6832,124.922,125.1755,125.4101,125.6466,125.8647,126.0343,126.1718,126.2574,126.3232,126.3823,126.429,126.4575,126.4875,126.5029,126.5071,126.495,126.4676,126.4216
Iran,128.0325,127.756,127.5575,127.4151,127.2695,127.1272,126.9426,126.7467,126.5163,126.3199,126.2032,126.1056,126.0196,125.9483,125.8922,125.8417,125.7814,125.7524,125.7044,125.6553,125.6009,125.5572,125.5227,125.4657,125.4186,125.3857,125.324,125.2604,125.1859
Iraq,130.4296,130.3323,130.2041,130.0435,129.8506,129.6215,129.4118,129.2129,128.9923,128.7706,128.5341,127.998,127.5982,127.3135,127.0522,126.783,126.6245,126.4389,126.3541,126.3417,126.3211,126.3209,126.3037,126.221,126.1466,126.0739,126.0201,126.0007,125.988
Ireland,130.4419,130.1528,129.8791,129.5716,129.2945,129.0489,128.8385,128.6471,128.502,128.4411,128.4263,128.3031,128.1688,128.0407,127.9257,127.7329,127.5532,127.3167,127.0496,126.7828,126.5599,126.3026,126.107,125.903,125.6505,125.4265,125.2032,125.0136,124.7801
Israel,130.4035,130.073,129.8073,129.5136,129.1765,128.853,128.6325,128.4518,128.2839,128.0803,127.9229,127.6892,127.4697,127.2128,126.8763,126.5488,126.2408,125.8681,125.4223,124.9664,124.4989,124.0593,123.6205,123.166,122.7319,122.3455,121.925,121.501,121.0838
Italy,135.4398,134.8513,134.2637,133.6617,133.0627,132.5029,132.0325,131.629,131.2637,130.9214,130.5822,130.2435,129.8983,129.5023,129.1035,128.6571,128.1839,127.6784,127.1863,126.7258,126.3037,125.8968,125.5278,125.1617,124.8562,124.5585,124.2896,123.9902,123.703
Jamaica,126.9808,126.8491,126.7083,126.5931,126.4845,126.3633,126.223,126.108,126.0021,125.9037,125.8151,125.7027,125.5989,125.5208,125.4572,125.3714,125.2801,125.1766,125.0722,125.0081,124.947,124.9264,124.9047,124.9209,124.9888,125.0611,125.1657,125.2664,125.3685
Japan,131.1927,130.7396,130.2705,129.7848,129.3111,128.8828,128.5381,128.2575,128.0307,127.8325,127.6517,127.4672,127.2714,127.0317,126.7512,126.4172,126.0566,125.692,125.3248,124.9793,124.6498,124.3224,123.9938,123.6581,123.3409,123.0188,122.6779,122.3211,121.9651
Jordan,125.9781,126.0498,126.1291,126.1891,126.2064,126.2091,126.2043,126.2076,126.1701,126.0384,125.8766,125.6573,125.4879,125.2799,125.0929,124.9085,124.646,124.4016,124.1392,123.8603,123.6107,123.3653,123.1612,122.8795,122.6233,122.3479,122.0584,121.7232,121.3989
