"Proportion of the population using improved drinking water sources, urban",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,
Nicaragua,92,92,93,93,93,94,94,94,94,95,95,95,96,96,96,97,97,97,98,98,98
Niger,57,59,61,63,65,68,70,72,74,76,78,81,83,85,87,89,92,94,96,98,100
Nigeria,79,79,79,79,78,78,78,78,77,77,77,77,76,76,76,76,75,75,75,75,74
Niue,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Norfolk Island,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oman,84,84,84,84,84,84,85,85,86,87,87,88,88,89,90,90,91,91,92,93,93
Pakistan,95,95,95,95,95,95,95,95,96,96,96,96,96,96,96,96,96,96,96,96,96
Palau,73,73,73,73,74,74,75,76,76,77,78,79,79,80,81,82,82,83,83,83,83
Panama,99,99,98,98,98,98,98,98,98,97,97,97,97,97,97,97,97,97,97,97,97
Papua New Guinea,89,89,89,89,89,89,88,88,88,88,88,88,87,87,87,87,87,87,87,87,87
Paraguay,81,82,83,84,85,87,88,89,90,91,92,94,95,96,97,98,99,99,99,99,99
Peru,88,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,91,91,91
Philippines,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
Pitcairn,,,,,,,,,,,,,,,,,,,,,
Poland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Portugal,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Qatar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Reunion,,,,,,,,,,,,,,,,,,,,,
Romania,93,93,94,94,95,95,95,96,96,97,97,97,98,98,99,99,99,99,99,99,99
Russia,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99
Rwanda,95,94,93,92,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
St. Lucia,96,96,96,96,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98
St. Martin,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,
Samoa,97,97,97,97,97,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
San Marino,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,85,85,85,85,85,86,86,86,87,87,88,88,88,89,89,89,89
Saudi Arabia,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Senegal,88,88,89,89,89,89,89,90,90,90,90,91,91,91,91,92,92,92,92,93,93
Serbia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,
