"Foreign direct investment, net inflows (% of GDP)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Germany,,0.4560873699,0.6539561914,0.5453274805,0.5051891661,0.1454303453,0.2627117048,0.1634773863,0.2237708972,0.2031391085,0.03723607841,0.04131020076,0.1012241352,0.231165609,0.07551816371,0.1158796708,0.2213649379,0.1686448425,0.07852186069,0.5180845319,0.1752097641,0.262538712,-0.1025577042,0.01999254689,0.3394030794,0.4750750032,0.2638196207,0.5931869317,1.085123518,2.623437742,11.13683645,1.39142267,2.671464184,1.276251674,-0.3595629894,1.679992479,1.951397591,2.424705337,0.1320873094,1.179761261,1.406095038,
Ghana,,,,,,2.521967062,-0.6603519437,0.6025151539,0.2647439804,-0.06964779452,0.3509381272,0.3851740858,0.4038657593,0.05915300226,0.04532804015,0.1243244826,0.07507503954,0.09261393809,0.09624560662,0.2857719373,0.2514439488,0.3030496638,0.3508703477,2.095310031,4.282678869,1.649259952,1.73271933,1.188258392,2.239758867,3.160907346,3.333005999,1.681999196,0.9562359912,1.793639059,1.569792705,1.352288444,3.119482589,3.472569493,4.278064009,6.48512263,7.822325594,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0.395428178,0.3018505015,0.3415849539,0.290941848,0.2771562159,0.08823125596,1.026720763,1.121857702,1.013870317,1.179936327,1.240064696,1.041755461,0.8371454473,0.9313951432,1.059179365,0.9802579586,0.8760907959,1.090982857,1.247249557,0.9961221433,1.076646284,1.132047604,1.032233249,0.941628647,0.8822951619,0.8067587997,0.7665078273,0.7307666196,,0.4259409642,0.8707731743,1.220717252,0.03633097659,0.6905324497,0.9234424492,0.2739413322,2.060938706,0.6424133018,1.554443532,0.7518133433,0.1428023924,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,-0.187539074,2.072595716,,,,1.995177384,2.470084431,2.543142506,3.206517234,3.111899729,8.803596895,8.118577536,4.919343711,5.82351883,6.322826065,8.999660448,8.090869255,7.376910147,7.23056313,5.75695118,10.98574077,14.28493831,10.94537254,7.197150844,11.31177683,10.0880397,15.13793363,10.94861873,10.05969667,12.80785189,20.6220455,17.13721779,13.47482732,7.785579518,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,1.779034687,2.09534471,1.695013426,1.405054128,1.476619178,0.8844786375,0.497237548,0.401267154,0.6356944082,0.9513322561,2.120151372,4.207047878,0.9059861707,0.6235191766,0.964268129,0.9012682825,1.25000627,0.5021860839,0.5130683034,0.4872769408,0.4744596463,3.469172788,0.8440205537,1.191774224,2.43561265,0.5324101479,0.5977352364,1.235120124,1.869081232,1.957584746,2.18420448,1.926089743,1.592228704,2.139298656,
Guinea,,,,,,,,,,,,,,,,,0.4369081489,0.6294274043,0.6576365331,0.5069840068,0.6697626811,1.285950488,0.5994595529,0.08295051777,0.006207106451,0.02081893189,0.6144688991,0.4572401382,0.496324802,1.833205833,0.3194357913,0.0579807338,0.9825259774,2.291249124,2.670237291,3.574988439,4.430509732,9.167727522,10.10729807,1.19625823,2.246934503,
Guinea-Bissau,,,,,,-0.1192816468,,0.03479129678,,0.194030893,,,,,1.653681601,1.000999245,0.6296792881,0.06903039469,0.4134803744,0.2205086084,0.8279990828,0.8127541323,2.576071725,1.393105187,0.1824966555,0.01575048217,0.3808902369,4.274465839,2.134645515,0.3256353511,0.3259470724,0.1987666914,1.748917602,0.8428700838,0.3303028925,1.517403295,3.063790882,2.717195529,0.6072897662,2.090935404,1.007234822,
Guyana,,,,,,,,-0.3922614548,0.7927743357,0.1108957297,0.09751911378,-0.3116955475,0.9197787002,0.9673024526,1.025753055,0.3993430616,-1.783410323,1.226762591,0.5074915575,-0.5424201843,1.992020501,3.664892123,39.80923462,15.72330444,19.72544772,11.97181358,8.363977242,6.941311175,6.132141832,6.621039224,9.415324815,8.04272446,6.034928575,3.517855204,3.817188386,9.310438944,7.021157129,8.756909516,8.738177035,10.26772749,12.11170752,
Haiti,,,,,,,,,,,,,,,,,,,,,,-0.05177850117,-0.1041959804,-0.1550142469,-0.1317688285,0.2745316542,0.1380069347,0.1233552379,0.2863605831,0.7337289875,0.3615769162,0.1254282396,0.1773142043,0.4882396043,0.1611723244,0.6258660601,3.291158572,1.247637791,0.4650649394,0.5857721264,2.235557802,
Honduras,,,,,-0.1111648139,0.6227758007,0.3894658939,0.5330937509,0.6815237221,1.252498352,0.226032733,-0.1276822132,0.4752884397,0.682482945,0.6161494426,0.7555983098,0.7877116909,0.9307646068,1.216506284,1.431197969,1.426745859,1.697918989,1.392026562,0.7668027238,1.013880674,1.278428027,2.253325796,2.605510347,1.903035293,4.416902304,5.371288935,4.020919368,3.538481675,4.891693313,6.164551918,6.146783275,6.128703244,7.503610356,6.694473054,3.691041047,5.177753783,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.846162177,15.05228688,36.6151413,14.27202506,5.91153213,8.591953895,20.51500459,18.91059903,23.72098495,26.25228146,27.68051874,25.03552042,31.66123825,
Hungary,,,,,,,,,,,,,,,,,,,,,1.675359189,4.286976267,3.891562724,5.96708311,2.700662231,10.54434222,7.160650798,8.928680438,6.97161433,6.854569022,5.972715411,7.480689919,4.538145813,2.606283802,4.20089499,6.912647509,17.34801713,52.05155004,47.03311727,3.259651837,-32.87173471,
Iceland,,,,,,,0.2735968601,0.1930332204,0.3273236949,0.1102746511,0.6694033068,1.540138086,1.13322627,-0.858723767,0.4854702582,0.8027634007,0.2162564632,0.04412951107,-0.2460037319,-0.4902896694,0.3474845911,0.2712337796,-0.1867948461,0.003445841881,-0.02180732278,-0.1326832831,1.137128224,1.991323334,1.806020647,0.7480801559,1.785934843,2.0982229,1.039342671,3.064030942,5.712725404,19.18157541,23.33812319,33.67467428,7.166045527,0.5248985276,2.0479533,
India,,,,,,-0.01064552036,-0.007623550175,-0.03011828748,0.01336263507,0.0321964369,0.04306887749,0.04826358338,0.03646649883,0.00262119244,0.009176334868,0.04613800665,0.04778592848,0.0769264786,0.03112741178,0.08606522502,0.07455587075,0.02748829058,0.1126079695,0.1993824362,0.3008510002,0.6016374344,0.6247186976,0.8705762963,0.6329456334,0.4813996961,0.7788694607,1.145120901,1.109256889,0.7211052699,0.7998213851,0.9120022465,2.137612332,2.051039399,3.569616255,2.58453304,1.398820306,
Indonesia,,,,,,,,,,,,0.1438243985,0.2375543587,0.3420437272,0.2533886764,0.3549393124,0.3222556593,0.5070485162,0.648739068,0.6722179,0.9551983314,1.156294864,1.277348796,1.268299445,1.192251901,2.150079796,2.724197983,2.167798298,-0.2522904473,-1.332573529,-2.75743993,-1.855686195,0.07415163837,-0.2542563258,0.7382439569,2.916114927,1.347942602,1.603010572,1.826272063,0.9042958267,1.892353666,
Iran,0.2644490125,0.4938100347,0.5579136846,2.177260334,0.7297376184,1.010174929,-0.1596653967,0.4620477188,1.244718456,0.1907314381,0.08985883605,0.02906709671,-0.1119836077,-0.05333416002,0.0278896739,-0.02235268584,-0.05656636339,-0.2406142876,0.05205242012,-0.01703462674,-0.311931665,,,0.3454082862,0.002979373084,0.01871638719,0.02351378433,0.05033299504,0.02337771141,0.0334428858,0.03850463214,0.9394405372,3.141247914,1.99237231,1.75424126,1.632990118,0.7387670758,0.5836496057,0.4776788048,0.9111615015,,
Iraq,-0.02533808848,-0.004343048267,-0.001680332404,-0.1010412343,-0.06794307818,-0.2791007395,0.006964841785,0.01881981601,0.001082955471,0.004069304376,0.003216843907,0.01264585551,0.006580280118,0.003920521011,-0.01107436143,0.000882264479,0.004876027603,0.03022726643,0.0005528576206,0.005513973329,,,,,,,,0.01107390876,0.06791654606,-0.03845647401,-0.01214366337,-0.03406193328,-0.008381835867,,1.164818472,1.645434085,0.8495993484,1.705213945,2.144572433,2.226476306,1.736329359,
Ireland,,,,,0.668667547,1.720134545,1.883923476,1.249162652,2.642236013,1.895502773,1.35847274,1.015159017,1.162313125,0.8425923124,0.6225312809,0.7935945731,-0.14509229,0.2713416418,0.2499325335,0.2236614008,1.312466427,2.810623599,2.659119298,2.206023958,1.514302578,2.157824288,3.538532092,3.379967194,12.52284159,19.00285591,26.14832683,9.056118234,23.8492867,14.08410496,-5.880950137,-14.92213726,-2.469250645,9.455843427,-6.196956844,11.90090904,13.1091046,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,0.9120858853,1.022768548,1.58911851,1.612177069,0.6683859674,0.3647568152,0.3767248875,0.5879676742,0.2863679175,0.0628164548,0.234149366,0.4931813963,0.08668151874,0.286125621,0.3436654775,0.4655373642,0.4828048046,0.6316885368,0.6087603147,0.3596430877,0.2876720579,0.5840769266,0.8947683102,0.917549724,0.5914044016,1.405613422,1.325896954,1.507336481,1.58108476,3.74580384,6.450942071,1.439388737,1.40031536,2.793854146,2.323267102,3.589208166,10.48760312,5.268651275,5.380515597,2.271385499,2.370650979,
Italy,0.5712885809,0.4578885989,0.4814841032,0.3926749054,0.3102240101,0.2941523381,0.05019312757,0.4545767723,0.1568151758,0.1095286916,0.1253887524,0.2715884821,0.1499195797,0.2786787611,0.3130235792,0.2459684883,-0.02783693502,0.5377569821,0.7917364872,0.2420477565,0.5656121489,0.2008497354,0.2440743852,0.3653521829,0.2076501492,0.427806087,0.2800070689,0.3086675839,0.2151436596,0.5746542997,1.193504563,1.32365168,1.199758154,1.09196128,0.9674976904,1.099316642,2.082614501,1.882439765,-0.4112333202,0.7813077394,0.4654883892,
Jamaica,,,,,,,-0.02022897253,-0.2984860413,-1.005850618,-1.088630979,1.033821488,-0.3860319591,-0.4797333455,-0.5166798787,0.5139948797,-0.4285226532,-0.1669964436,1.624578111,-0.3134515523,1.296272493,3.002912622,3.243870413,4.027773095,1.592651185,2.626498976,2.535489987,2.814332477,2.720630611,4.222071877,5.930306829,5.198348851,6.742807687,4.971636597,7.667883651,5.935896961,6.119987171,7.358006357,6.720217084,10.08473519,4.301281016,1.597484212,
Japan,,,,,,,,0.002861359903,0.0010182488,0.02347899579,0.02614386587,0.01605013632,0.03998508063,0.03416136173,-0.0007839675828,0.04674774178,0.01119482627,0.04742201706,-0.01621459379,-0.03492082288,0.0581209607,0.03689541342,0.07270533997,0.002728692951,0.01907702298,0.000747134543,0.004472579714,0.07508670518,0.0847311813,0.28173817,0.1762676122,0.1511657862,0.231915888,0.1475078431,0.1694987209,0.07059505022,-0.1554943642,0.5066320595,0.5031251866,0.2351312677,-0.02489369573,
Jordan,,,0.0710226773,0.225733725,0.5703920881,1.881167372,-0.4567039637,0.5466804431,2.213116687,0.8073497967,0.8539349702,3.166781258,1.231516114,0.6922199699,1.503551008,0.487351277,0.3680532118,0.6052998552,0.3922718048,-0.03269532218,0.93642456,-0.2834830708,0.766783023,-0.5984636955,0.04576895148,0.1978176081,0.2239276914,4.97969774,3.917228597,1.937903137,10.79004803,3.046935046,2.485570787,5.363606968,8.209450093,15.76406328,22.65196525,14.75985616,12.45431853,9.670759297,6.17043984,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,0.4014945303,5.431238018,3.104347984,4.732430888,5.40518497,5.961400568,5.201659067,9.406776135,7.011398736,12.79753705,10.51369799,6.784879163,9.633950905,3.450789437,7.750454829,10.60435627,10.73260523,11.48306367,7.162771665,
Kenya,0.8606456536,0.4161064017,0.2989637125,0.6898084868,0.7885631244,0.5264474924,1.334616704,1.258132031,0.6488656685,1.347523968,1.086997173,0.2063983869,0.2021410991,0.3970233319,0.1736841697,0.4701835099,0.4520668588,0.4940691362,0.004720678148,0.7518368875,0.6644619382,0.230995267,0.07740361706,2.532352589,0.1039768294,0.4674739863,0.9021617319,0.4734529646,0.1883759006,0.4028633181,0.8738642587,0.04083174705,0.2100379787,0.5484450314,0.2861805274,0.1132020696,0.2251980666,2.676693866,0.313198871,0.3801707326,0.5770306147,
Kiribati,,,,,,,,,,,,,,-3.060870791,,1.029781899,0.5166284749,0.9160478305,0.8334334589,0.6099534537,1.054951758,0.8947189512,0.8182314214,-1.583458425,0.7675481809,0.6729448529,0.7933200489,0.7405498756,0.6553877097,0.6397369601,1.05776297,0.7700146268,0.7030036409,0.9941382578,1.125167619,4.390062993,0.5185700263,0.9016991861,2.010644569,2.479505248,2.427118047,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,0.2740676011,0.2478495122,0.1740824261,0.05338476423,0.009399327916,0.1427187314,0.09052956125,0.08105491839,0.1182263924,0.2416690598,0.4129173186,0.4401967023,0.5410076668,0.4850022701,0.2989267602,0.382821955,0.2207733276,0.1623976658,0.191056844,0.3434031602,0.4170046906,0.5508994716,1.566818806,2.095512931,1.740472065,0.6991279023,0.4153811275,0.5476399463,1.28068101,0.7466891043,0.3768123487,0.1700666088,0.3554533135,0.2696447268,-0.01479571137,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.464027064,3.575189098,9.444742829,12.89667528,9.514939943,7.404686726,8.661549633,
Kuwait,0.9044282044,0.0002577059001,0.0002246919429,0.00554651217,0.0009225837801,0.002079380514,-0.003883568395,0.009407665606,0.004902100561,0.005171912688,0.002898159112,0.004828793109,-0.0004171078464,0.0001916527416,-0.02778791196,0.03380588412,-0.08115509493,-0.02825376115,0.07887746089,0.01505314444,0.03038890433,0.007266151047,0.1777571349,0.0553523176,0.00004024390261,0.02464481519,1.102950329,0.06516944564,0.2276392921,0.2399326346,0.04321498863,-0.3196153956,0.009490182794,-0.1401782248,0.03996090937,0.2894926461,0.1194409395,0.09722272493,-0.004000299436,1.017319742,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,0.4930248193,2.271138678,5.785004738,2.584742847,4.741314847,6.636141592,3.55569212,-0.1723106391,0.3282859193,0.2903491259,2.373336345,7.933800973,1.730381762,6.422443743,5.467872701,7.334537906,4.03787229,9.479429713,
Laos,,,,,,,,,,,,,,,,-0.06845070571,,,0.3339114011,0.560187369,0.6931929614,0.6711488077,0.6916077457,2.251932238,3.835174608,5.392574003,8.528709494,4.939863362,3.53857084,3.54834841,1.953139386,1.35157902,0.2432853515,0.906725954,0.6747755939,1.019792657,5.367507057,7.59499185,4.158080589,5.393464987,3.821163575,
Latvia,,,,,,,,,,,,,,,,,,,,,,,0.6065378642,1.009917828,4.237485788,3.430626687,6.833912113,8.49556669,5.393717433,4.769140878,5.266135537,1.587865294,2.722553715,2.713103169,4.628105812,4.447744031,8.348111998,8.04986857,4.031557739,0.3613417469,1.536880096,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.975529146,14.24105903,8.714377904,12.00100194,11.91941278,13.47335661,14.40526198,13.75416629,10.97230256,
Lesotho,,,,,,,,0.2277215955,0.007506471137,0.06893164205,1.041579023,1.102954745,0.7563152186,1.148705092,0.6324167004,0,0.637737443,1.557605496,4.964291987,2.980036631,3.158472975,1.24665873,0.3766379407,2.121892337,2.537920264,33.81424995,36.11379097,32.01099225,33.09463172,20.85641777,4.33857889,4.319642816,4.439383876,4.63373218,4.505219877,5.052802796,4.094648107,6.541853882,6.765070569,5.898212198,5.370758583,
Liberia,16.38585242,-9.251555482,5.184213977,17.7931936,10.94000961,29.10705837,12.7861641,22.86899254,17.95639224,4.520730039,7.542039445,30.797641,3.632459587,5.389289076,3.875302966,-1.732667637,-1.781019302,3.95764693,27.94471647,83.4338005,58.59521332,2.416666667,-4.85458613,-33.42892768,13.14674735,3.412462908,-82.89209536,72.26089895,52.92269004,58.00361922,3.708325824,1.528545031,0.5006257611,90.74110111,16.38081137,15.61714636,17.62768098,17.91151188,46.82880349,24.76545533,45.92071911,
Libya,,,,,,,,,,,,,,,,,,,,,0.5497722355,0.287264621,0.2924218102,0.1896698165,-0.2538375112,-0.346442002,-0.4006570262,-0.2212169918,-0.4693096254,-0.4201147863,0.4159709127,-0.4679749942,0.7307539683,0.5942857143,1.069354839,2.359090909,3.654107884,6.530342466,4.412795333,2.198508951,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,0.4064218333,0.4498702528,0.9178805378,1.808558612,3.499980254,8.223928275,4.433879072,3.313524339,3.666557696,5.03003573,0.962879901,3.428386213,3.974305056,6.115908111,5.158137392,4.217848457,0.04361788374,2.061495626,
Luxembourg,21.72386359,28.4214784,20.47112814,27.78465336,36.01910023,30.82471343,25.6818684,33.93289043,30.68896973,20.65872469,25.88094289,27.66901195,32.26118804,28.75021655,8.847661752,23.16861548,11.01020571,28.54313788,55.81784583,70.53694836,63.50758031,68.25522611,73.34540094,68.07862024,48.50547615,51.69521426,68.33143366,64.7968262,117.2402002,564.9162675,437.7926057,436.6729852,524.8799719,307.9186229,234.9506164,305.7717258,305.2227414,377.6212191,176.7643173,398.7452026,389.7557204,
"Macao, China",,,,,,,,,,,,,0.025448911,0.8017032014,,-0.03109471003,0.003633522175,-0.005037122152,0.01676949742,-0.02420518404,0.01605254256,0.3093842977,-0.4256539802,-0.06817900147,0.05929918575,0.03338072558,0.08961268741,0.03460905981,-0.2891791854,0.1592034548,-0.01294700998,2.466280512,5.938843306,6.54334106,7.509980938,15.03605431,18.19785657,27.94256253,14.80318545,8.433115462,12.62472534,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,0.7097924184,0.213288358,0.2534960377,0.4213837868,4.213953097,2.406730766,5.995638661,13.00950509,2.784648834,2.475906769,5.858040173,1.62049074,6.465242544,8.567494877,5.968592929,2.116154488,2.257621096,
Madagascar,0.8994160645,0.09003909583,0.8961039192,0.6654456628,0.7149968101,0.2002966884,0.06329865509,-0.1173373916,-0.1377753432,-0.1900223544,-0.01954456738,-0.02225441308,-0.002552382806,0.1056529712,0.2915539466,-0.006298490946,0.4309108451,0.1352518304,0.119142825,0.513059307,0.7265313062,0.5156734355,0.6987320582,0.4555938084,0.1924112044,0.3072980643,0.2543722069,0.3949988053,0.4449617119,1.570587634,2.13929007,2.054528316,0.3334403979,0.2351886487,1.212482516,1.695798304,5.339997743,10.53151668,12.44696647,12.55964194,9.866189101,
Malawi,2.960197352,2.627320158,2.487175375,1.733050003,4.137646775,3.605678808,1.447091015,0.6868146617,0.9616584088,-0.1156740976,0.7660969841,0.09024465496,0.5084345106,0.2087676815,2.259057185,0.0462749632,-0.2475343995,0.007653735824,1.263837502,0.584201761,1.238844161,-1.302450835,-0.3945481128,0.3863527983,2.114790328,0.4038079031,0.6925657624,0.5582715109,0.6914390048,3.295652409,1.491247441,1.124378673,0.2213751158,3.429405798,4.940853394,1.384298157,2.969438996,1.523422133,4.315063772,1.603727644,2.770000613,
Malaysia,2.197974209,2.215165829,2.125137825,2.11025111,5.651192577,3.543766156,3.243776096,2.904312881,3.001448713,2.654616688,3.745046664,4.966761271,5.12034182,4.108286906,2.307123593,2.186538858,1.730950422,1.313416529,2.039636134,4.293264188,5.298123397,8.137869024,8.762882741,7.482896923,5.829421782,4.703505551,5.035523125,5.127856302,2.997426414,4.921466532,4.038428624,0.5970293183,3.176562382,2.244196681,3.706797624,2.874902861,3.879990262,4.599160151,3.311380122,0.7191861243,3.855055026,
Maldives,,,,,,,,,,,-0.3061447286,-0.0669920142,-6.008030259,0.4150110375,-0.1278497409,0.9515950377,3.805440568,3.610134357,0.7116995407,2.321466091,2.603573341,2.658831511,2.316981633,2.140685595,2.456659133,1.812258378,2.068298726,2.244855085,2.132576077,2.091211574,3.573781899,2.605441423,3.034906209,3.408817011,4.999493685,5.409758574,4.97750757,5.998422045,7.531433041,6.448659281,8.583633064,
Mali,,-0.1395034992,0.6999662341,0.1064421081,-0.02784228698,0.3145488648,0.2740281887,0.2907825133,-0.07248712842,0.1917980824,0.1324050922,0.2463817984,0.1146298253,0.2432718391,0.7678853678,0.2202670733,-0.4989534682,-0.3100759129,0.361975711,0.316938601,0.2366498012,0.04974380399,-0.7684776969,0.1516536349,0.9880763895,4.518365465,1.710247061,2.544700829,0.3415125562,0.08473349611,3.403119834,4.629049216,7.293393538,3.0318056,2.072188849,3.546221758,0.8118478773,0.7522970211,1.506941598,8.014311153,1.595902557,
Malta,,4.36349508,1.509690536,1.490639716,2.828124518,3.340174151,2.673262016,2.952519676,2.713583497,1.61590588,2.130359024,3.140166006,1.69031966,2.102677968,2.382026637,1.697112493,1.524933048,1.107333301,2.020455109,2.437916156,1.79774067,2.799143005,1.308509042,2.083332809,5.058956915,3.614061607,7.984631823,2.264176704,7.432687518,21.94001416,15.43870361,6.235430671,-10.15642819,20.16361012,7.048235403,11.38745799,28.83424007,13.21757853,9.603125439,10.81226647,12.03926102,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,1.274274938,1.212018374,,1.00541921,-4.626588076,-4.158695833,-4.510274405,-15.58014749,-2.741438185,90.26837323,112.8405717,-0.7815746877,-37.6157237,3.688304087,3.127231834,4.725319958,4.325017197,8.147509052,3.605002778,5.256417097,5.312247468,
Mauritania,0.382138369,1.779335484,0.7961981853,2.951471146,0.8727679149,-25.78236184,0.2964842261,0.7628015573,0.5252267851,9.817985243,3.821226992,1.663666602,1.995469649,0.1735629982,1.172893462,1.0215707,0.5593234597,0.1844798141,0.2012406723,0.3533005461,0.6606723648,0.1572216913,0.5155314153,1.287411697,0.1580406592,0.4938454798,-0.03019135409,-0.2375211245,0.009645963296,1.075610907,3.099438979,5.920325712,5.089002949,6.518784062,21.35869576,37.26805007,3.469574661,4.120046128,9.438582066,-1.265270748,0.3771549964,
Mauritius,,,,,,,0.4445609063,0.2744808242,0.429642755,0.1433767111,0.1030510276,0.05852579665,0.1613689737,0.1482450221,0.4715565268,0.7370647544,0.5054905736,0.9085766288,1.10750424,1.634055932,1.546653144,0.6082710092,0.4563578352,0.4514521728,0.5617664174,0.4626554059,0.829075695,1.320107223,0.2918788578,1.150109984,5.796783903,-0.6100582613,0.6727727408,1.116443713,0.2175917331,0.6648369035,1.640639949,4.373219035,3.917874038,2.908481338,4.43287264,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0.8781428555,0.7831456962,0.39484822,0.8268305137,0.7068358375,0.5208980162,0.8216342667,0.3997542067,0.642000947,0.9900377651,1.075341703,1.230791243,1.094284322,1.47245615,0.8779713075,1.075495576,1.572927218,0.8441244742,1.098041413,1.249007508,0.9702721938,1.508011211,1.208165021,1.088553792,2.601813676,3.322758316,2.759192606,3.195625153,3.028565108,2.884549557,3.114753966,4.799707679,3.685465339,2.64709935,3.266474393,2.859517608,2.095319667,2.945592525,2.427167916,1.793970358,1.910669149,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,-32.28520999,0,-0.09996103656,-0.4025396119,,-0.09568690667,,,,0.01599695757,0.2318115795,6.482773574,2.191498218,2.746523552,3.378453808,
Moldova,,,,,,,,,,,,,,,,,,,,,,,0.7329976643,0.5902657777,0.6795454659,1.478041601,1.400482159,4.079641725,4.605070365,3.236290049,9.898944283,3.683500247,5.057713389,3.723052257,3.374987991,6.381827181,7.583202971,12.29438958,11.75033499,2.671782505,3.319620691,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,0.004833955596,,,,,0.467419687,0.1517897688,1.002080076,0.7452876036,0.6748544171,1.181524141,2.116968044,1.680836327,2.874952952,4.723386514,3.391172747,5.570418422,8.242977649,4.663498328,7.315642807,10.12922017,8.801976748,15.02156131,13.60453193,23.4613579,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.46957663,21.24955932,36.87798702,18.49741497,
Morocco,0.5055192048,0.5302258988,0.2562021846,0.08795007411,-0.2657838998,0.05587198923,0.3966368988,0.07234507669,0.08884277298,0.0467413663,0.4750923226,0.3833781588,0.5156190204,0.3308351738,0.368506551,0.1552118876,0.003231518774,0.3178008818,0.3813863696,0.7311882738,0.6394978202,1.140450338,1.484924678,1.833755753,1.815161107,0.2800754742,0.2085558539,0.01068020786,0.02965776519,0.006674041929,0.5962617189,0.3812842332,0.1958648538,4.641830228,1.382056625,2.721181913,3.604668421,3.730931145,2.774759237,2.167372721,1.366260305,
Mozambique,,,,,,,,,,,0.123642776,0.01047536781,0.05338803589,0.07628637481,-0.08657617745,0.007402088913,0.02860723168,0.263396446,0.2149621174,0.1469251282,0.3734920053,0.8347320273,1.284980516,1.578181236,1.618293978,2.002856172,2.280843316,1.716494434,5.016111029,8.581340053,3.276259443,6.267794759,8.273221514,7.215710611,4.294563739,1.639478099,2.166368537,5.322914135,5.981235989,9.118339907,8.230790694,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,0.5892627507,-0.008787131252,-0.07094316388,-0.0221245413,1.258016855,4.832897414,4.166563454,1.941518201,3.012903502,4.368015111,3.685963484,2.502537343,2.831443845,0.04703522714,3.041131753,1.018859637,,0.674005619,1.335243614,2.287573386,-0.3870471507,1.929730337,4.560916972,5.338570364,6.539317261,
Nepal,,,0.002929404831,-0.001028696937,0.02052623402,,-0.002753324113,,0.02555850785,0.01620526666,0.01541689927,-0.01010729857,-0.001252387253,-0.02451806837,0.0368043613,0.02480997491,0.04104138571,0.04700309487,0.01950094948,0.01191412285,0.1637464639,0.05661133593,,,,,0.42374943,0.468752021,0.247611787,0.08641853489,-0.008824258182,0.3470915181,-0.09837486865,0.2334434976,-0.00573756078,0.03015629286,-0.07325741318,0.05586610928,0.007915017004,0.2960040843,0.5585619433,
Netherlands,1.789414313,1.823268016,1.489006757,1.67162142,1.393327178,1.32190176,0.5713082527,0.5094232367,0.7446125212,1.030564858,1.26037153,1.18329265,0.8361675623,0.9554114654,1.287958027,1.129217115,1.681756413,1.334450514,1.97080622,3.576832626,3.620446117,1.853811925,1.840051948,1.94821268,2.029246549,2.91338097,3.972523809,2.854436519,9.342867875,10.00537444,16.3913168,12.97369019,5.814693229,3.797189558,0.7179392779,7.412773639,1.040885035,15.9419168,1.149285115,4.630254337,-2.001260236,
New Caledonia,,,0.001976704487,1.764722593,,0.05020523743,0.0004175484676,0.3812403833,0.3774591791,0.3176649004,0.1691393225,0.1236137115,0.2354580787,0.01456605995,0.3567754133,0.01286814864,0.01165440509,0.07732882712,0.04149105763,0.379392394,1.239468421,0.124350851,-0.006840495219,0.6514315351,0.001316340424,0.0195676364,-0.02384273707,0.303813789,0.0006331505309,0.1458946685,-1.514571902,,,,,,,,,,,
New Zealand,2.268259383,1.402882395,1.337242762,1.639355738,1.825798499,1.087992761,2.066231019,1.013263867,1.498859487,1.717283183,0.7793558719,1.145139713,1.383174302,0.7339522933,5.942384749,5.230347247,4.048437017,3.25072565,3.884007536,3.78425137,3.898760536,3.08414934,4.746985961,5.228124378,4.600009034,5.28135714,3.394253195,3.799133993,2.324327566,1.98569818,7.442956664,-0.5656221324,2.262345064,2.613209238,2.289867622,1.409210292,4.126619257,2.306876153,4.150865182,-0.567679613,,
