Male 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Cyprus,11.11111111,12.84046693,12.5,11.53846154,11.29568106,8.524590164,7.213114754,8.125,9.117647059,8.743169399,8.29015544,6.633906634,5.841121495,5.777777778,5.907172996,6.060606061,6.019417476,5.838041431,5.454545455,5.309734513,5.517241379
Czech Rep.,8.460119871,9.940225814,9.328438782,7.816482583,7.434709351,7.263374486,8.689544451,8.93642543,7.078584283,6.598883573,6.109324759,4.583835947,4.729333594,5.471771075,5.589704187,5.31465848,4.973014649,4.718446602,4.761904762,5.108631826,5.419202827
Denmark,9.447331129,9.718437784,8.362676056,7.969478593,8.1799591,7.947284345,7.351778656,6.391425169,5.367008682,5.891472868,6.747536012,6.534727409,6.213235294,5.98540146,5.613908004,5.57754588,5.802292264,5.907626208,5.850681981,5.651547876,5.527456647
Djibouti,16.12903226,17.14285714,13.95348837,14.03508772,15,15.04424779,14.97005988,14.5,14.6953405,14.5631068,14.32506887,12.75,11.87214612,11.15789474,10.70038911,10.21505376,9.715242881,9.291338583,8.618127786,8.226950355,7.869742198
Dominican Rep.,14.99189627,14.8199446,15.55164319,16.12742658,16.0944206,15.34709193,14.29523492,13.36707353,13.01663983,12.49694899,12.00809535,11.02772566,10.59602649,10.11380323,9.483059728,8.867324745,8.348134991,7.883165829,7.484247733,7.095209218,6.745971992
Ecuador,12.88598575,13.18795431,14.83318305,14.68992248,14.66666667,14.62712352,14.3071161,13.94230769,13.23529412,12.31466946,11.55526784,11.23492597,10.45533643,9.534246575,8.871808233,8.410282006,7.927710843,7.476854565,7.02882738,6.652311877,6.320998763
Egypt,11.57333832,14.3809132,14.35255164,14.67240071,14.33621367,14.15327253,13.74477833,14.15713556,14.20857123,14.62201076,11.84210526,11.1840919,10.86731331,10.66336827,10.20082108,9.387374353,8.64117286,8.16716603,7.860860944,7.543100005,7.127846702
El Salvador,14.10138249,13.83333333,15.04747991,15.28899938,15.59139785,15.3699284,15.49541685,15.44448996,14.19753086,13.67243867,13.70487206,13.2245748,10.7571086,10.10371362,9.977324263,9.679427326,9.294680215,8.446630026,7.772458462,7.249173098,6.906825569
Equatorial Guinea,11.00917431,11.20689655,12.29508197,12.12121212,12.67605634,15.78947368,15.09433962,9.74025974,12.3655914,15.24663677,15.05791506,13.90728477,13.37209302,13.36760925,13.30275229,13.04347826,12.45283019,11.5916955,11.02236422,10.56547619,10.15299026
Eritrea,14.69026549,14.99202552,14.26553672,14.94396015,15.2173913,15.20912548,16.33825944,17.44186047,14.77419355,16.06914213,15.15659955,13.67365542,14.23017107,14.33389545,13.43956705,12.1253406,10.92855365,10.21998167,9.8621421,9.57278481,9.12824342
Estonia,9.594882729,9.940357853,9.22787194,8.756567426,8.507223114,7.56429652,8.24742268,8.016877637,8.027210884,8.695652174,6.309148265,5.161290323,5.519480519,6.451612903,6.980519481,6.796116505,6.219312602,5.490848586,5.378151261,5.752961083,6.12244898
Ethiopia,14.17934961,14.49880668,13.85234899,13.82751247,14.31259146,14.51918957,14.50042699,14.34394029,14.52178267,15.05372543,15.44795379,14.9989223,14.26814559,13.96343754,13.34758762,12.63062701,11.83279449,11.01178782,10.22512482,9.546559793,8.910570609
Fiji,14.56953642,15.20467836,15.7635468,16.10169492,15.15151515,12.96928328,13.00309598,13.37047354,12.87671233,11.53846154,11.54791155,11.42857143,10.34482759,9.750566893,9.090909091,8.533916849,8.137044968,7.872340426,7.462686567,6.852248394,6.479481641
Finland,10.02087683,12.4137931,10.54358013,9.396277803,8.760107817,7.864674868,6.617647059,6.99241786,6.897976043,6.476267096,6.606012658,5.921308921,5.646699733,5.699287589,5.77350111,5.739514349,5.665930831,5.533013648,5.407407407,5.441669773,5.495327103
France,6.857284933,9.674032358,9.09255079,8.80134822,8.820918409,8.266480642,8.094351806,6.99881376,7.14492439,6.906469711,6.463414634,6.39568224,6.605167263,6.431921866,6.041285272,5.848135129,5.695580009,5.644866642,5.701064602,5.724270909,5.650617989
French Guiana,8.333333333,14.28571429,12.5,15,12.5,14.28571429,11.76470588,10.86956522,11.47540984,10.95890411,12.79069767,11.76470588,12.28070175,10.6870229,9.722222222,9.375,9.039548023,8.90052356,8.252427184,7.798165138,7.456140351
French Polynesia,16.66666667,14.70588235,14.63414634,15.2173913,14.03508772,14.92537313,12.65822785,12.08791209,11.53846154,12.5,9.756097561,9.022556391,8.695652174,8.108108108,7.792207792,7.547169811,7.185628743,6.432748538,6.358381503,6.214689266,6.179775281
Gabon,9.090909091,9.051724138,10.08403361,10.12145749,10.89494163,11.37931034,12.5748503,13.29923274,13.97379913,14.01869159,14.37908497,12.90322581,11.88251001,11.19221411,10.63829787,10.17653167,9.611650485,8.982584785,8.442123586,8,7.612179487
Gambia,13.00813008,13.13868613,11.03896104,11.47540984,12.79620853,13.38582677,13.90728477,14.40443213,14.22121896,14.10018553,14.39628483,14.53104359,14.18685121,13.69168357,13.15789474,12.53051261,11.86440678,11.23066577,10.60136392,9.994256175,9.442060086
Georgia,7.555282555,8.150646431,10.57791538,11.92179304,11.92950746,9.722222222,9.235936188,8.810572687,8.905165767,9.140008309,8.051601423,6.021811285,6.04534005,6.624934794,6.574024586,6.280720918,5.826330532,5.49132948,5.495818399,5.682520074,5.708787684
Germany,8.316397815,7.018082461,7.954646116,8.153450397,8.956274536,8.293140407,5.988457925,5.453466095,5.719133386,6.014204402,5.351304131,5.022207886,4.652838157,4.324878683,4.240416709,4.347156641,4.37339886,4.326910228,4.273340277,4.279431664,4.377739716
Ghana,14.54112038,15.01367989,13.79813302,14.35056747,14.87191113,15.17132105,15.15260323,14.93150685,14.67089611,14.33975241,13.87259858,13.20126069,12.66017843,12.32324712,11.95463642,11.35042526,10.77427747,10.18615902,9.739429695,9.379622781,9.026107491
Greece,9.031733116,9.670781893,9.153543307,9.139009139,8.383791337,8.826185102,7.671174979,7.530182116,6.750549231,5.576631259,5.167958656,4.929706043,4.849468181,5.03133393,4.803571429,4.572245044,4.405444126,4.366576819,4.45928868,4.613987284,4.7330765
Grenada,17.64705882,18.42105263,16.66666667,20.93023256,20.45454545,13.63636364,13.95348837,12.24489796,14.28571429,14.58333333,12,9.615384615,9.615384615,9.090909091,9.433962264,9.259259259,7.142857143,7.272727273,5.660377358,5.769230769,6.12244898
Guadeloupe,12.87128713,14.7826087,14.92537313,15.43624161,14.46540881,14.81481481,11.875,10.52631579,8.90052356,9.230769231,8.780487805,7.762557078,8,7.522123894,6.986899563,6.986899563,6.52173913,6.086956522,6.113537118,6.222222222,5.829596413
