General government expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Djibouti,60.01943955,58.28247061,61.50574161,66.05656403,70.7787424,67.76532372,64.87408805,64.53936965,67.01573401,61.71336458,68.43291894,66.73871971,69.18511627,67.99748686,69.31628277,65.28680263
Dominica,70.36042838,70.43664809,71.25307125,70.55961071,69.93006993,68.96551724,67.72009029,67.26457399,66.07929515,65.14246125,62.1297878,64.24215322,62.47741039,62.23915204,65.23919142,69.64479868
Dominican Republic,20.90152918,23.19870399,26.32801833,30.83058048,33.7679168,34.53544997,31.08054867,32.27364568,33.06314199,28.67554095,31.58028476,36.97099243,35.94553537,37.05156348,41.39639618,43.35231438
East Germany,,,,,,,,,,,,,,,,
Ecuador,55.36115735,58.62327218,53.25429268,38.95515381,39.38936529,31.24509053,34.48887308,33.71900361,22.14983863,22.99228353,22.31534895,23.80842577,24.26998566,26.52633554,34.88001485,37.21468417
Egypt,46.50467694,41.56055809,38.70412852,39.95252373,40.36761865,40.46788229,40.46987926,40.2637723,40.37185411,40.45894165,40.64448141,44.18346859,41.21183813,42.19460594,39.49422123,37.40552522
El Salvador,38.51566316,40.99513942,38.56418174,42.51388188,43.38198289,45.21788881,45.44949542,46.64298078,47.26413379,49.3166287,52.63762409,62.01720221,59.08299018,59.41372016,60.27797577,61.70212766
Equatorial Guinea,57.02678911,52.40587301,47.99093891,47.38627436,45.71466049,46.31589248,59.91912957,78.36207303,66.21064213,57.24546839,58.80126959,66.34318347,69.90765259,55.7249584,76.03193142,75.93221144
Eritrea,47.90419162,37.26708075,42.17728513,43.12763872,42.77807676,47.63034572,52.68194677,49.26996478,47.18824412,46.213068,45.9531944,45.57452841,45.27736132,50.54615927,47.70321038,48.235223
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,89.7652589,88.37398874,89.16671277,86.34950391,72.38862185,67.76993651,69.11144218,67.33133619,68.24336979,66.77197758,76.95543825,73.6572691,76.45362279,79.03485997,78.35701918,78.67698929
Ethiopia,40.02671883,38.14649707,40.87393515,43.75561884,46.58250879,53.55807051,57.12357533,54.01841026,57.90743633,57.18582159,60.90900135,55.29117733,56.74354724,51.89165101,53.55330881,53.54058229
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,79.87803928,81.61823635,82.68182841,82.27759204,80.3866166,84.07491368,80.70385455,82.54021623,81.20273607,80.72620679,81.38165642,78.5154455,74.55337477,75.49314935,69.79770053,70.12890252
Finland,71.68456249,71.62227637,72.10915321,72.47020033,71.45795301,71.26240075,71.96791436,72.45525806,74.55629241,74.97279139,75.38840786,74.84484773,74.36074736,74.44809278,74.70780348,75.05422993
France,79.68528394,79.56294611,79.64358705,79.51801171,79.44941812,79.38474318,79.38448088,79.66153175,78.92494762,78.81998598,78.83525488,78.74474652,78.33684193,77.69751645,77.93378862,77.84911661
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,37.85389631,40.2738452,39.99832562,40.34698717,35.61537575,41.97086932,42.02862344,36.31310743,43.77305457,45.71728725,42.28436102,42.66759887,43.88017142,43.70352198,47.91504673,52.92710697
Gambia,29.1367752,29.65736191,29.70139126,34.0025924,34.8917497,33.76854889,37.43637522,37.51963428,50.3408442,57.78652965,55.04674713,56.84419545,48.20022893,47.99472646,53.44670245,50.8455735
Georgia,5.21534117,11.67026382,18.66476721,18.26069612,18.1209876,17.01327833,17.76065003,16.05296399,14.81745698,15.32329946,19.17127461,21.10573205,17.74907536,19.79245951,22.27005815,23.63550071
Germany,81.35821542,81.93095898,80.62612645,79.86818959,79.78828579,79.4981005,79.2821669,79.01028963,78.43589372,76.71525654,76.60837925,76.42892265,76.42307435,76.55402902,76.86324525,77.07899598
Ghana,57.45174194,57.32245151,54.62783346,55.59850467,50.32068102,48.69636504,57.01623181,49.66733894,51.29509084,61.89565911,66.35325946,56.50579664,62.35916398,58.03915746,56.7108493,59.48581281
Gibraltar,,,,,,,,,,,,,,,,
Greece,52.04108164,52.95235832,52.84066173,52.05852674,53.41734891,60.01117527,60.7555659,57.99298246,59.78832543,59.12454144,60.11151619,62.03166486,60.34805646,59.94445963,61.65993367,59.39862521
Greenland,,,,,,,,,,,,,,,,
Grenada,43.52821532,43.38826167,43.5319114,42.90651706,47.63182106,52.03277205,58.84972997,52.81380924,49.12099537,46.9333942,47.74584519,49.77578623,47.33273634,45.11738051,49.18356034,44.96887404
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,35.95649392,34.08695652,37.05708661,47.52591434,48.86723395,39.69369761,37.44401314,35.42424423,36.84706479,34.25105494,33.77613702,33.13984481,33.38108122,34.52740193,36.25908547,34.86793114
Guernsey,,,,,,,,,,,,,,,,
Guinea,20.45556538,18.85837183,20.2586027,16.80356354,18.38616921,18.65576184,21.48125768,21.29353243,24.17002721,16.88673775,11.30035405,12.7915348,8.0237033,13.87181078,8.18651247,11.28812123
Guinea-Bissau,24.74882675,30.3192717,33.47413876,31.25398209,25.34487673,16.19120598,16.15193653,36.09630085,23.06365466,15.65578016,15.93207329,15.37846846,16.15794073,15.30488074,10.59464418,10.03446826
Guyana,79.23560942,79.60070565,80.13727043,79.76439713,79.21996891,82.43505871,81.2743459,81.8611368,79.39385531,73.3298609,65.44221348,65.73620104,56.98413468,90.80502567,86.62593258,85.39809027
Haiti,40.89219331,38.11107416,39.41475067,33.90728477,30.02043945,27.72340426,26.15002072,22.73556231,20.62166963,22.61886444,21.29354577,23.78325474,23.86987287,25.25599818,21.77706348,21.44774649
Holy See,,,,,,,,,,,,,,,,
Honduras,53.69959582,49.58523256,48.58372725,51.92240389,50.97280671,66.80598125,66.35362948,64.33099898,73.98971132,65.04191901,64.81569638,60.96553373,61.47804265,61.21460607,66.32240865,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,83.96091516,81.60386863,81.28369272,74.78126267,72.37444121,70.73619129,68.97776916,70.21206533,72.83486959,72.3877517,72.30078492,72.54135205,70.32259784,70.97502133,69.71138485,69.37603631
Iceland,84.36471449,83.55720012,84.92612916,80.89119003,83.09077498,81.50432168,81.38316637,82.32588813,81.99344363,81.4592196,81.6825235,82.24617824,82.92523647,83.52811116,82.18056053,80.69110498
India,26.04087826,25.69881305,25.12280806,25.58923226,27.96701137,25.97065764,23.86523994,23.1800153,22.7858853,22.72125098,23.90499263,24.81939639,25.80146643,27.64208654,30.27467011,29.17267615
