"Murdered women, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,0.8693895,0.8968199,0.8066973,1.020947,1.229434,1.19403,1.118727,1.32877,1.485637,0.9187008,1.428998,0.9136338,0.8903238,0.9567435,1.924801,1.054607,1.074695,0.7550775,1.161835,0.9258093,0.6279951,0.4467518,0.2149359,0.2076186,0.6369847,1.533169,3.116657,4.920001,2.722715,1.841787
Italy,,0.6614943,0.781904,0.7464789,0.7723457,0.686467,0.8804331,0.7158201,0.7128981,0.6883878,0.6493086,0.5724282,0.5955898,0.5418138,0.5281146,0.5529897,0.4628665,0.5577398,0.5673031,0.528638,0.548274,0.5992656,0.5888233,0.6345539,0.5708033,0.5570544,0.5482531,0.5908761,0.5549176,0.5935028,0.7710233,0.5768088,0.5822567,0.6352317,0.5824397,0.5813531,0.4535676,0.4763614,0.5302722,0.4500628,0.5483076,0.6152375,0.5829161,0.5401095,0.4225229,0.5359359,0.544658,0.4624288,0.5075285,0.4897898,0.4543306,0.3980885,0.4821636,0.5438738,0.4761264026
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83885765
Japan,1.734957,1.504202,1.42278,1.455623,1.420473,1.627131,1.418655,1.363695,1.514327,1.326036,1.191312,1.101772,1.043764,1.043039,1.031262,1.021849,1.035775,1.015445,1.0986,0.9123391,0.9813361,0.9431974,1.055934,0.9922991,0.9858348,1.005097,1.037841,1.01025,0.9944563,0.9192914,0.8033629,0.8522424,0.7857349,0.8293654,0.8900264,0.7300881,0.6815212,0.6543688,0.6946973,0.5132495,0.5190724,0.4709312,0.5253438,0.520469,0.463177,0.472128,0.4780082,0.4486897,0.473056,0.4363851,0.4982094,0.446219,0.4021125,0.4209572,0.441067
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.789406419
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.330458,5.4951,,,5.027864,3.216952,3.511732,3.498455,4.346965,4.858188,4.940462,5.743421,6.979999,7.29664,8.891614,8.630754,8.628188,9.016026,7.922948,0,7.195329,6.74205,6.862993,7.449572
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.791102409
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.088446617
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7013016,0.6575924,0.7599897,0.5153804,0.9503627,1.038804,0.9280007,0.9379467,1.172552,1.090088,1.279272,1.404899,1.594517,1.761003,1.342676,1.519576,0,1.46698,1.5027,1.658503
