"Traffic mortality men, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.55723953
Netherlands,12.66688,15.55589,15.35006,17.5001,20.14081,21.68515,22.38274,24.55437,22.14398,24.46609,26.59413,26.83166,27.79171,26.94483,30.89343,30.66977,32.04884,33.85078,32.61789,34.40627,35.5993,35.30475,34.80921,33.04145,27.43998,24.10616,25.06136,26.10587,23.65858,19.99738,19.03285,17.38061,16.09003,16.57814,16.12996,13.88662,13.97152,13.10656,11.99831,12.86286,11.87695,11.86658,11.53188,11.39503,11.27146,11.09958,10.72716,10.04918,9.364925,10.23206,10.17266,9.201758,9.3263,9.405352,7.233447
New Zealand,20.8922,26.10002,25.59694,26.46017,27.63495,28.86308,26.3975,30.07108,29.47072,26.41047,22.7931,27.10398,27.57987,26.59023,26.98549,32.89328,33.74505,35.16542,30.11628,31.85506,34.924,34.8028,34.53404,40.99632,34.36436,32.41555,31.71808,39.99964,30.48231,25.72836,26.5502,28.51419,32.50713,26.75554,30.12027,30.20361,33.22832,32.91129,31.59182,31.62745,31.49852,26.13612,25.99371,24.38152,22.75035,22.07162,20.52415,20.03391,19.14217,18.02812,16.21015,16.37163,15.27549,16.64007,15.16043
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57661629
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.31224823
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.32737732
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.36241913
Norway,,7.919534,8.100633,9.764069,9.103258,10.48393,13.25542,14.92455,13.54613,12.97792,12.95495,15.85206,14.0708,16.80728,16.98587,17.3762,17.75907,17.97335,18.59166,19.01814,22.69963,20.11623,19.08938,20.2112,19.02135,18.49044,17.44481,15.83122,15.49271,16.54245,13.62072,13.20019,14.43159,14.21819,15.04982,14.0527,15.58653,13.27544,11.80342,13.0159,11.81915,9.903035,10.08335,8.633167,9.105656,9.773955,7.70382,9.865891,12.0464,10.03382,11.65908,8.799903,11.09906,9.693119,8.795692
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.76004219
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09508514
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.81818771
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0964,33.3239,32.57358,34.74058,23.75396,25.84175,,,,,,,26.33716,32.56591,35.10366,31.76792,25.27399,24.74201,25.00186,24.39987,22.94534
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.59345436
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.86979,17.54039,15.83495,17.8296,15.54877,15.93251,12.73771,14.59001,12.43033,15.16539,15.65571
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.27032852
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.957641,9.655833,,,,12.7259,12.80892,13.06025,12.81544,12.89436,14.07888,14.00896,16.85592461
Poland,,,,,,,,,,8.224866,7.995545,12.05261,12.81273,11.48834,12.84151,14.14633,16.08088,16.02316,19.10752,18.39755,18.96318,20.0755,,,,,,,,,,,,27.53206,25.47196,23.75175,23.38717,23.19993,24.53116,33.1386,36.88163,37.76511,31.87361,29.05562,30.6071,29.67103,27.2797,,,26.62912,25.23934,21.59806,22.59382,21.39518,21.95509
Portugal,,,,,,12.42472,11.99843,11.14396,12.79301,16.53332,15.84475,18.83661,17.52464,19.9318,23.67374,24.46917,28.54557,29.89652,31.75753,33.77049,39.14943,48.70345,42.79135,50.50331,50.7728,61.52595,58.9916,47.29363,49.11972,51.73659,47.38754,56.05823,53.35282,49.52577,44.27579,42.82279,39.07792,41.36559,44.63244,43.94224,42.51564,44.83901,42.61652,36.36679,32.30031,36.57272,32.4505,29.51919,27.91401,22.85589,20.18075,26.01939,29.9618,26.25455,27.94830704
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95233917
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95936,35.18135,27.94082,26.8142,25.2233,30.43744,30.07019,29.66317,28.00162,25.80721,16.56156,16.31524,,15.71523,15.85199,16.23735
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.31659,30.70075,29.28677,27.68073,26.12961,22.22606,20.3761,21.73648,30.60082,38.07581,40.02633,41.62033,39.99032,40.41874,37.16415,34.20465,29.5593,27.47133,29.8232,39.18621,40.22392,41.26873,42.19094,43.66025,41.45836
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.72738647
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.69151115
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9859581
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8238554
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88135529
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.94971085
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.60735703
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.19615936
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.60375595
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.15557,14.49836,13.33847,16.48413,11.33169,9.364098,10.44048
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.22913,15.42711,12.99416,11.78468,15.64272,10.51333,,12.74762154
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.04447746
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.75995636
Singapore,,,,,,,,,,,,,,23.91227,28.69896,29.76942,30.57756,27.78585,40.01346,36.64664,29.89598,32.73238,33.58911,37.70016,27.77019,27.80356,23.17651,20.18612,24.13832,19.52383,18.13473,20.8632,22.11187,23.44894,23.36822,19.59992,17.23657,15.04018,15.98369,15.69754,14.70049,12.7425,11.35128,11.98576,11.24163,10.41857,9.858467,11.96347,8.489905,7.756297,9.159834,9.05141,8.71734,9.170121,7.736077
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.68945,23.72327,22.14101,23.16286,21.45557,26.98457,28.02135,22.14544,22.14008,20.8189,19.08681,20.20703,19.30402
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.20045,34.14628,35.59643,35.26369,34.74118,33.22804,35.36544,33.63266,37.32034,39.61466,27.45279,27.35292,26.53053,21.88861,22.97772,20.33356,22.69008,18.14898,17.1941,19.34407
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14631462
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85361862
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.21189117
Spain,,5.281576,4.769385,5.085992,7.747304,8.713392,9.752266,9.261305,9.73708,10.00704,14.01947,15.78491,15.95082,14.88069,15.42688,17.30354,19.20676,19.98799,16.27514,21.63286,21.62711,21.86207,22.56251,24.28909,21.98675,23.53845,26.00847,27.50905,28.02269,26.81562,25.09767,23.08092,19.08663,20.73548,21.74263,22.22377,23.82627,25.48698,28.22475,31.18764,30.21207,29.07416,24.92865,22.88239,20.58045,20.92696,20.17068,20.88366,22.05348,,,19.95448,18.72749,18.77683,16.2084
Sri Lanka,4.075981,6.12427,5.382809,5.921675,5.930945,5.298877,4.990922,5.990353,5.966607,5.388413,4.073251,3.448982,5.431341,3.946504,4.053867,2.85788,3.459159,3.384768,3.349063,,,,,,,,,5.533653,,,9.103302,10.89791,,14.35317,11.9876,8.204465,6.014195,,,,,,,,,,,,,,,,,,13.37011051
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25531006
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.43532562
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6926384
Sweden,,16.56044,18.16798,21.45616,21.10298,20.66265,19.85706,19.81943,20.36207,20.80593,20.82491,21.90779,22.36771,22.86984,23.81058,23.78386,23.52063,19.86438,22.33123,22.19829,21.91444,21.41761,20.20207,19.82081,20.29841,19.8579,18.8918,17.0231,17.15178,15.32113,14.68585,13.47443,12.4,13.00528,13.83664,12.77638,14.06006,12.54954,12.62132,13.70845,11.30077,10.76188,10.62946,8.741767,7.323981,7.300206,6.989547,7.569612,7.697345,7.667776,8.8957,8.736075,7.982088,7.791086,7.190164
Switzerland,,23.91932,25.19615,27.52681,27.36172,31.07768,31.56199,34.67235,34.44058,32.67579,37.30115,37.92266,37.63365,35.1874,37.2822,33.58887,33.05126,37.28531,34.73994,34.04799,38.26446,43.49909,40.80708,34.11927,33.08358,27.70041,28.6462,30.11133,29.16478,27.98974,28.06194,26.03447,26.33038,25.57792,24.43012,20.00519,23.22005,21.10616,20.49568,20.57169,20.22338,18.32436,15.48327,14.52064,12.67684,15.14038,12.77028,12.76857,,,,11.01245,9.972312,11.38847,10.50416
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.21503258
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.303181648
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.81666565
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.91632843
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.42499161
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.65699768
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.495227814
Trinidad and Tobago,,1.843715,2.751715,28.70603,22.82936,30.61989,21.77533,21.01097,25.8407,,30.03876,33.05928,21.3366,17.67047,,,,32.87352,22.87293,,34.98742,29.814,41.95955,40.47158,34.52655,32.33828,39.68291,37.9823,35.36277,34.68103,31.20474,26.70172,40.18959,27.15091,33.11138,34.61247,26.99339,29.13529,18.97397,22.02978,17.77946,20.34738,15.99867,19.98059,16.44179,14.28021,23.3044,17.48354,19.57757,23.88231,19.16878,24.1215,22.91916,,23.43052292
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.90161133
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.83006668
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.91696,21.08368,,,22.82251,18.82247,24.97132,29.79935,27.84733,28.05366,29.25984,30.14512,27.37085,18.86175,13.46174,12.14536,12.42949,12.57305,,,,,,15.11594296
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.54009247
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.32167435
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.17458,24.27586,,,18.97679,20.62277,21.06371,29.24163,36.95152,38.35323,34.83884,31.74113,26.74013,25.80217,25.09528,21.18109,18.46608,17.87654,16.54381,17.43243,22.23421,24.86153,24.29468,24.82528
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.61935425
United Kingdom,15.13009,16.50179,15.00605,16.12905,16.36228,17.66782,17.64455,17.56434,18.89247,20.51373,21.85174,21.75844,20.0914,20.37939,22.85932,22.86507,22.88352,21.31921,18.84751,20.02635,20.36579,20.56784,20.41895,20.66567,19.04234,17.8309,18.17868,17.83324,19.66085,18.0106,17.11424,12.65599,15.38357,14.77162,14.51161,13.7081,13.70591,13.42492,12.94371,13.42394,13.89497,12.39979,11.29401,9.373545,9.038802,8.80067,9.115021,9.124228,8.290602,8.287093,8.373421,8.594023,9.02106,8.849657,8.498826
United States,36.38633,38.4419,39.06667,38.89074,36.02753,38.26235,39.19268,37.3468,34.86486,35.01112,34.49672,33.77908,35.09276,36.83813,38.53749,39.84142,42.39659,41.54604,42.64955,42.35499,40.44959,39.12363,39.70691,38.8646,32.59663,31.26072,31.05676,32.1254,33.75584,33.54545,32.77852,31.34852,27.49454,26.20877,26.80274,26.21674,27.39629,27.13529,27.26886,25.92942,25.45422,23.37274,21.5276,21.78961,21.77603,21.98871,21.58991,21.04053,20.88866,20.79507,20.53219,20.66187,21.06,20.59477,20.35114
Uruguay,,,,,,10.78665,12.79435,10.74109,10.26006,9.882244,7.157987,,,11.48743,10.89657,11.37076,12.44111,9.85903,9.972783,10.60698,11.48526,10.91838,11.7619,11.67704,9.533076,11.80471,8.697986,7.480035,11.38612,,20.26723,20.18539,17.0892,15.15917,13.29576,12.88715,13.98168,14.86529,18.0107,23.52725,17.43196,,,20.51091,20.59333,21.41579,20.55185,21.02815,22.34771,21.35048,16.23323,17.12362,,,16.08073
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.31786,26.01298,25.00233,21.37222,20.61912,21.57336,29.84233,36.92973,38.21194,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.87819,23.10223,,,24.48483,22.28611,22.52173,27.18472,30.7649,31.35011,29.20254,21.76517,16.04769,13.22156,12.94636,15.77526,14.16456,13.10144,14.50717,14.3365,13.7275,9.042347,13.37004,17.31041
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35698795
Venezuela,,,,,,21.91702,21.18458,24.45498,36.83015,36.81563,34.23657,35.75184,31.57849,36.94893,39.52617,41.66621,45.64907,44.80377,48.94004,49.60575,51.74311,52.02181,54.83268,64.33173,68.11871,71.97388,71.31602,72.80759,75.91942,67.58833,69.01402,63.66221,61.64816,56.81106,,44.55998,46.7813,47.63345,44.4502,39.75254,39.6384,,44.54058,42.61117,41.78888,,28.66507,31.72703,36.20409,34.28065,37.03695,41.92409,37.32513,33.75093,35.0083
West Germany,,,25.16446,33.86867,35.92891,39.07525,41.40393,40.03777,35.85747,40.5084,41.78486,40.68478,39.56746,39.11671,43.42648,40.49603,42.49105,43.73987,41.25071,42.41315,48.55924,46.30877,45.36645,38.25568,34.08618,34.35143,34.14431,34.18754,32.65112,30.33977,29.3067,26.08614,25.18314,25.4788,21.64724,18.05765,19.00536,17.162,17.76743,17.23277,16.57453,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.03805923
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.05729675
Yugoslavia,,,,,,,,,,,,,,,,,,,21.63524,25.4402,,,,,,,,,39.36124,38.73886,35.33011,35.94309,33.6725,31.15057,29.63459,26.70947,28.30363,24.41615,23.53154,23.87555,26.03662,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.57919693
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.54073334
