Per capita total expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Egypt,108.51760449,125.76582179,149.23487559,163.16263448,181.87672641,195.66894452,216.96488457,235.38128986,230.99516864,231.88308309,235.68286973,256.73125235,259.27361765,272.09534021,285.99642543,288.56702381
El Salvador,239.754274,291.90460368,330.56546134,349.90566461,352.92547658,367.1559267,372.39619646,378.61411646,375.79491161,387.60382085,406.60335879,403.10267704,405.40913618,408.0200559,438.9108882,450.25277372
Equatorial Guinea,113.01463595,114.15781545,171.76125429,258.62947165,157.86418493,148.18600178,246.11330397,545.53497036,396.62687351,479.58661138,421.24102163,457.61733117,582.38976252,908.3163327,1559.56159204,1544.96076522
Eritrea,25.79121008,22.84065747,28.25887522,29.00802882,30.99511443,29.92731372,30.96985131,26.8690954,21.40364979,18.61359041,19.0797762,18.99229309,19.58627948,20.3268162,15.86027655,16.00678319
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,396.39917098,452.99326583,492.16752779,467.5592471,573.81415448,596.11776888,590.95374986,664.17631745,753.31344683,857.59356635,827.53956345,954.74892834,1101.15820178,1310.7778902,1338.27711017,1226.28120653
Ethiopia,11.64028227,12.88811096,13.84281555,15.42646722,17.2358038,20.09554795,23.865644,23.9083838,24.28217025,24.41036162,26.15083555,29.75563108,38.15275101,38.12065097,42.09573184,50.62922701
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,91.72551805,101.64631053,108.28136108,99.82035078,107.61818657,132.55891174,116.60328878,129.58042582,128.3983076,149.24210126,155.97436807,173.36158602,170.27463698,167.76229907,196.70007852,198.39171019
Finland,1475.46981568,1546.86524756,1615.93118362,1658.53064027,1741.07830454,1852.89504359,1970.27776506,2149.63318161,2250.8397096,2452.43174196,2588.50421684,2763.70254004,2910.11810641,3158.35010103,3225.54211682,3280.90185694
France,2096.15448225,2157.42461372,2224.32490527,2308.1996478,2397.45458355,2545.56260387,2717.82000296,2922.64020365,2983.03005012,3111.65932271,3296.2562376,3484.09043639,3670.6441153,3801.05651019,3969.28449198,4020.72858857
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,361.13217383,365.37104715,328.10506802,467.53922592,358.66020688,293.06584488,342.8997194,380.85580925,407.69588688,373.67130911,338.0636044,372.69637003,408.98501626,383.63291647,511.22705701,521.68275641
Gambia,54.42480388,49.02179764,47.37528336,56.31593767,56.45923044,59.39342812,62.63367121,60.34613579,63.73567095,73.20622832,71.41574214,69.15656598,65.29618723,68.35291394,83.37426858,79.66293599
Georgia,103.92215832,114.94798645,140.03073608,121.479574,123.37713466,143.28766429,175.21549741,212.29285702,237.15389527,262.43767778,302.443916,336.02147603,380.40118718,440.07846533,486.58148296,522.02635834
Germany,2275.50349397,2401.97279863,2417.39460705,2489.91805938,2591.07852252,2679.21359585,2807.1461819,2944.79433626,3097.57642334,3170.22092851,3363.94473803,3565.88674299,3724.18753548,3962.54693538,4218.75053745,4332.33592152
Ghana,41.55531296,42.24212025,45.25950116,45.97569221,45.40111177,44.82545598,54.97151649,48.37029034,51.75555381,69.4068711,84.78341469,68.86803308,83.32704213,83.75310968,76.67461937,84.88655771
Gibraltar,,,,,,,,,,,,,,,,
Greece,1260.32976884,1298.13503036,1353.53327026,1381.53512921,1467.66449499,1450.59192426,1754.44274224,1965.10819629,2027.6562059,2091.11679848,2352.49856484,2607.92640698,2723.73991192,2997.98142,3053.704121,2853.16678312
Greenland,,,,,,,,,,,,,,,,
Grenada,286.12577077,303.38523578,336.38450382,367.32928582,434.14615147,513.83347767,593.81759957,536.69134207,550.04654892,505.70749887,609.21695923,639.81276859,654.84921775,642.4756353,639.38945399,594.09378051
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,109.29852027,110.31849942,119.60999166,139.4917896,160.67147483,194.33701777,218.71139592,216.52128844,230.71866255,239.23061622,250.50460195,317.89582973,331.77494553,329.64474469,321.52196915,324.91868498
Guernsey,,,,,,,,,,,,,,,,
Guinea,35.79240909,37.57072531,38.84636929,41.28477884,43.08194876,44.43820181,47.90755726,51.06979306,49.2197846,49.35289945,48.46994242,53.47785364,55.85603021,60.37848889,60.14408601,56.31577485
Guinea-Bissau,117.19443892,99.38489659,85.9217435,62.05321425,54.26082903,62.81076416,59.88519646,65.72078142,53.38713507,53.41929252,57.00151403,60.10617768,62.02096795,64.60141381,90.65402626,100.06366781
Guyana,86.70282336,91.78070844,105.15503328,105.81722819,99.10653006,123.35250057,129.96498703,135.44716343,132.03431227,190.7546224,233.66483088,164.46640983,143.52277631,169.54989757,182.2557319,166.68909707
Haiti,59.16661489,60.02784482,59.30422375,58.27714707,56.24975219,61.0574085,56.47805796,52.50198608,47.47040244,45.68793303,45.09809339,60.7190605,62.13636101,61.03990043,71.11681351,76.19878214
Holy See,,,,,,,,,,,,,,,,
Honduras,120.36272996,115.24737305,118.70931973,139.79662504,137.76346028,137.66888688,143.58095805,165.26930336,182.24602968,197.32207441,191.08453353,202.2716571,223.90068534,238.81686807,268.06848235,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,658.21376109,657.60246743,678.36604926,763.10791731,809.84993611,852.61495613,970.041297,1113.72947636,1283.14713504,1304.71633333,1411.19524146,1485.90817385,1431.72488947,1495.45687211,1510.35026158,1468.59487252
Iceland,1957.05354578,2016.01830765,2522.72889163,2557.42522154,2921.94288576,2828.72728166,2928.97021929,3239.78653776,3267.35411536,3397.46600707,3382.92155502,3370.86870202,3499.70238806,3655.99304766,3577.35911935,3278.59978944
India,47.11267338,49.09453479,55.75348437,59.66905841,60.26506085,66.6484262,74.26838522,75.38787464,80.06237116,82.33513942,92.05779878,99.13573529,107.56034984,115.68951481,124.17408528,132.19630104
Indonesia,43.06109896,47.55419657,48.41644501,45.28174525,50.11481783,45.49736063,54.31571308,57.02067698,68.27495704,68.06278222,74.36407303,83.55558961,98.3838595,95.26394524,100.44369314,112.0697209
Iran,209.71606896,216.57445197,247.53739075,279.53424283,289.02321386,305.58738185,353.54744993,382.08491117,393.1279571,425.7406244,523.17254954,550.41211036,600.38260343,667.57403411,727.54745561,836.27557402
Iraq,,161.56063466,30.5593578,41.43734103,46.34697327,76.89498483,83.96385256,28.78216843,74.52622644,152.1002995,122.01580485,119.33908873,135.7494273,158.57736315,341.94125494,340.13030572
Ireland,1189.61707545,1272.80244686,1376.04605806,1475.4825478,1572.91685601,1761.68726001,2060.21717388,2334.92050706,2539.65573893,2762.28475339,2939.89607943,3178.01465058,3472.85241069,3766.2677211,3756.90019149,3703.96003074
Isle of Man,,,,,,,,,,,,,,,,
Israel,1397.83820669,1483.01800448,1570.20871595,1586.48630608,1562.50839491,1726.47044758,1845.42787763,1830.25491819,1716.06037916,1795.18770244,1793.18275102,1857.89689218,1974.000617,2073.09468532,2111.18516625,2186.43091364
Italy,1531.43899521,1608.37656424,1728.46342185,1833.3344899,1884.70098095,2063.78056945,2227.87872652,2234.85459403,2264.84551875,2372.54916429,2516.06820005,2725.26996783,2769.54524516,3009.16631798,3071.28205679,3021.71798797
Jamaica,232.49507499,268.01165684,341.01254729,284.08709641,266.47016333,317.46057818,304.39688272,296.16659667,295.7145778,322.86723657,284.78396816,307.65674835,369.36719333,413.06327419,379.35986133,371.64312607
Japan,1554.36997197,1657.90930068,1695.74955056,1745.59434594,1830.40658036,1973.65583335,2073.86556137,2139.77444596,2234.03115089,2345.26785967,2490.78391982,2609.02051976,2749.58706404,2877.61590256,3045.23894826,3203.74409522
