Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Djibouti,21.95263,22.02949,22.11722,22.20435,22.30462,22.40102,22.5014,22.59962,22.70629,22.79155,22.87222,22.93125,22.99171,23.06093,23.12122,23.19854,23.27071,23.33524,23.4057,23.4863,23.56684,23.64807,23.74615,23.85033,23.95265,24.06884,24.18809,24.28393,24.38177
Dominica,24.98288,25.12133,25.27661,25.40247,25.53941,25.67662,25.8256,25.97479,26.12208,26.27425,26.42616,26.56057,26.70031,26.83472,26.97868,27.1092,27.24627,27.37954,27.51322,27.65704,27.83015,27.96251,28.09965,28.22883,28.34005,28.45255,28.55824,28.67354,28.7839
Dominican Rep.,22.64588,22.79814,22.94307,23.08591,23.22059,23.35493,23.48781,23.61556,23.73575,23.86203,23.97277,24.08743,24.22669,24.37787,24.53988,24.69881,24.86623,25.04256,25.22387,25.40646,25.59628,25.77402,25.94998,26.10141,26.25426,26.40703,26.55903,26.71391,26.87005
Ecuador,24.71972,24.8378,24.94091,25.02931,25.1183,25.19925,25.28809,25.36395,25.4516,25.54268,25.61809,25.68769,25.76615,25.83786,25.92154,26.00809,26.09707,26.1944,26.27697,26.35168,26.41458,26.48262,26.55303,26.62253,26.70127,26.78637,26.87529,26.9646,27.06269
Egypt,25.43077,25.63318,25.83357,26.02519,26.20682,26.38088,26.54896,26.71338,26.86903,27.01317,27.16286,27.30697,27.45217,27.59839,27.752,27.91628,28.09558,28.27913,28.46474,28.65712,28.84879,29.03225,29.20828,29.37144,29.52119,29.66619,29.80682,29.95573,30.09997
El Salvador,23.6643,23.79664,23.9182,24.04013,24.16268,24.28476,24.40299,24.52525,24.64966,24.7785,24.91805,25.05858,25.21249,25.36823,25.52531,25.69331,25.86083,26.03133,26.20243,26.36937,26.54081,26.71558,26.8835,27.04576,27.20395,27.36747,27.52055,27.67914,27.84092
Equatorial Guinea,20.08512,20.17828,20.26365,20.34326,20.43541,20.51032,20.58421,20.66468,20.75175,20.84254,20.9441,21.04068,21.14766,21.26046,21.36624,21.49731,21.65067,21.87742,22.10901,22.37173,22.62966,22.91532,23.19161,23.45269,23.71526,23.95374,24.15697,24.34837,24.52837
Eritrea,18.63684,18.71241,18.79083,18.85964,18.92637,19.00152,19.084,19.16122,19.24402,19.32084,19.3935,19.47151,19.56208,19.65939,19.76938,19.87757,19.99555,20.11762,20.23286,20.34381,20.42769,20.51584,20.60579,20.68341,20.75676,20.83406,20.91343,20.9984,21.08232
Estonia,25.99215,25.9235,25.85909,25.79263,25.72062,25.64465,25.57589,25.5024,25.41911,25.33636,25.24596,25.1335,25.00342,24.88368,24.78486,24.72344,24.70892,24.70662,24.728,24.77032,24.8143,24.87022,24.92251,24.97842,25.02737,25.0764,25.1088,25.15141,25.18598
Ethiopia,18.75781,18.81757,18.87934,18.93904,18.98441,19.02616,19.08186,19.12803,19.19111,19.24107,19.29207,19.32588,19.36864,19.42975,19.49796,19.56716,19.65104,19.73613,19.81617,19.90667,19.99806,20.09382,20.1839,20.26137,20.34391,20.43111,20.52046,20.61484,20.71463
Fiji,23.54419,23.77847,23.99169,24.1705,24.36866,24.57865,24.77139,24.94611,25.11844,25.29832,25.49417,25.70165,25.90212,26.11345,26.32099,26.52898,26.74471,26.95052,27.1409,27.35674,27.58021,27.81091,28.05165,28.27612,28.49849,28.71777,28.93759,29.1402,29.33941
Finland,24.98852,24.99879,25.01531,25.02775,25.0422,25.05974,25.08167,25.10498,25.14281,25.19364,25.23017,25.25007,25.26479,25.26404,25.26391,25.26985,25.27653,25.29758,25.31869,25.34276,25.36981,25.39521,25.41902,25.44332,25.4718,25.50081,25.52971,25.55775,25.58418
France,24.14603,24.17227,24.19774,24.21969,24.23314,24.25001,24.26522,24.28881,24.32352,24.36112,24.39446,24.42828,24.45819,24.4818,24.49754,24.51697,24.54057,24.56626,24.59732,24.62642,24.65746,24.69151,24.72699,24.7537,24.77467,24.79473,24.81034,24.82031,24.82949
French Polynesia,26.29414,26.4994,26.71162,26.92477,27.14486,27.36843,27.58765,27.81002,27.98564,28.2151,28.44419,28.62782,28.81255,28.99505,29.21757,29.40362,29.61634,29.82657,30.0442,30.22282,30.4384,30.65485,30.87058,31.07601,31.27705,31.47994,31.67354,31.86938,32.06648
