"5-9 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Ukraine,2870000,3045000,3818000,4192000,4120000,3489000,3625000,3636000,3765000,3668000,2814000,2103000,1974000,2239000,2372000,2276000,2028000,1813000,1749000,1833000,1910000
United Arab Emirates,9000,11000,13000,18000,25000,50000,94000,131000,182000,237000,255000,260000,316000,317000,331000,321000,317000,332000,358000,378000,387000
United Kingdom,3611000,4288000,3792000,4101000,4657000,4550000,3882000,3394000,3632000,3835000,3792000,3549000,3451000,3706000,3753000,3861000,3908000,3862000,3817000,3864000,3957000
United States,13785000,17215000,19281000,20965000,20510000,17928000,16745000,16811000,18378000,19924000,20990000,20522000,21182000,22170000,22157000,22198000,22071000,21998000,22270000,22663000,22956000
Uruguay,204000,219000,232000,254000,267000,250000,267000,280000,260000,268000,278000,264000,252000,244000,239000,233000,226000,219000,215000,209000,204000
Uzbekistan,567000,664000,1067000,1562000,1901000,1960000,2161000,2362000,2779000,3203000,3242000,2812000,2562000,2566000,2716000,2749000,2632000,2426000,2240000,2194000,2225000
Vanuatu,7000,8000,10000,11000,13000,15000,18000,20000,22000,25000,27000,29000,31000,34000,36000,37000,37000,38000,39000,39000,39000
Venezuela,710000,919000,1143000,1364000,1686000,1850000,1971000,2282000,2497000,2716000,2737000,2773000,2855000,2927000,2942000,2909000,2859000,2804000,2744000,2670000,2587000
Vietnam,2692000,3014000,4412000,5404000,6345000,6830000,7461000,8002000,8630000,9326000,9268000,7747000,7366000,7156000,7150000,7096000,7025000,6725000,6460000,6311000,6245000
Virgin Islands (U.S.),4000,4000,4000,6000,8000,11000,11000,10000,10000,9000,10000,8000,8000,7000,7000,6000,6000,5000,5000,4000,4000
West Bank and Gaza,148000,157000,156000,169000,161000,186000,237000,271000,328000,409000,475000,589000,658000,714000,761000,804000,845000,879000,899000,907000,910000
Western Sahara,2000,2000,4000,6000,10000,12000,17000,22000,30000,34000,37000,46000,49000,57000,64000,67000,65000,61000,58000,58000,59000
"Yemen, Rep.",575000,663000,781000,878000,991000,1148000,1366000,1670000,2102000,2570000,2952000,3200000,3413000,3862000,4229000,4490000,4601000,4636000,4667000,4695000,4666000
Zambia,334000,389000,430000,512000,619000,751000,891000,1046000,1168000,1338000,1520000,1781000,2017000,2259000,2456000,2613000,2726000,2812000,2896000,2972000,3025000
Zimbabwe,390000,408000,574000,683000,820000,967000,1163000,1411000,1637000,1741000,1771000,1679000,1624000,1707000,1829000,1934000,1913000,1840000,1799000,1806000,1820000
