Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Jordan,,,,,,,,,,,,,,,,,,,,88.55923806,,,,,,,,,,,,,,,,,,,,,,,,99.58171349,,100.0934843,,99.99446842,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0574521,,,,,,,,,,100.0587853,,,,,,,,,,100.0819418,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1248659,,,,,,,,,101.8305402,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0001915,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,84.96437817,,,,,93.53189308,,,,,92.72416526,,,,,,,,,,96.14596565,,,,,,,,,,100.0969223,99.97674612,100.1107254,100.1767468,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0908285,,,,,,,,,,100.0952412,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.27095386,,,,,83.5327505,90.41530296,,,,88.28574698,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0710429,,,,,,,,,,,100.0653103,,,,,,,,,100.0860584,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6974268,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9371287,,,,,,,,,114.4184659,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,53.67819852,,,,,,,,,,82.92682927,,,,,,,,,,106.6860465,,,,,114.9289806,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,82.0735105,,,,,,,,,,96.88128773,,,,,,,,,,99.5991984,,,,,99.85792776,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0675302,,,,,,,,,,,,100.0804335,,,,,,,,100.0143939,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,99.01488453,,,,,,,,,,,,,,,,,,,,100.3822517,,,,,100.1131289,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.417428,,,,,,,,99.49482304,,,,,,,99.63958732,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.85451994,,,,,,,,97.04512365,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.74391974,,,,,,,,,,,86.12457227,,,,,,,,,,,99.01565002,,
Malaysia,,,,,,,,,,,,,,,,,,,,,96.68763425,,,,,,,,,,,99.28649822,,,,,,,,,100.0612884,,,,,,,,,100.2210585,,
Maldives,,,,,,,,,,,,,,,,,,103.5527143,,,,,,,,101.3582743,,,,,100.2428444,,,,,100.2695557,,,,,100.2695557,,,,,,100.1213521,,,,,
Mali,,,,,,,,,,,,,,,,,50.53191938,,,,,,,,,,,,,,,,,,,,,,52.27924136,,,,,48.62385321,,,65.00311735,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,101.653839,,,,,,,,,,103.6469671,,,,,,,,,,101.6940036,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.91574876,,,,,,,,,90.75204184,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1139817,,,,,,,,,,101.7499213,,,,,,,,,102.1043691,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,97.60842872,,,,,,,,,,98.89515499,,,,,,,,,,99.72213355,,99.31735435,,100.0929396,99.98329352,99.57759647,99.9157144,99.94584577,99.70768548,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0184321,,,,,,,,,,,100.2498513,,,,,,,,,100.3274391,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4776876,,,,,,,,,103.0047558,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,53.25628004,,,,,,,,,,,,64.43428552,,,,,,,,,,74.8649676,,,,81.46139286,83.18503799,,
Mozambique,,,,,,,,,,,,,,,,,,,,,39.27092013,,,,,,,,,,,,,,,,,61.48267851,,,,,,67.29228279,,,,,,81.55114571,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,91.84605668,,,,,,,,,,,,,,,,,97.62379525,,,,,,,,,99.23321301,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5008892,,,,,,,,,,102.5530602,,,,,,,,104.1629877,,
Nepal,,,,,,,,,,,,,,,,,,,,,,33.18822138,,,,,,,,,,47.87720257,,,,,,,,,,74.60531006,,,,,,,,88.28733595,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,100.9887261,,,,,,,,,,,,,100.2068427,,,,,,,100.0943078,,,,,,,,,,,,,100.2727446,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2033666,,,,104.3295621,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9874337,,,,44.22810608,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.80781104,,,,,,,,,,,,77.44906158,,,,,,83.59604428,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.77010328,,,,,99.99063592,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,53.55377004,,,,,,,,,,,,,,,,,64.20621169,,,,,,,69.25945592,73.79134981,,77.12148035,,,
Palau,,,,,,,,,,,,,,,,,,,,,100.1742527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,100.3715958,,,,,,,,,,99.3541244,,,,,,,,,,99.05956078,,,,,,,,,99.62495231,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.65828143,,,,,,,,,108.6482899,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,98.7001802,,,,,,,,,,99.48327817,,,,,,,,,,,,,,,99.96906949,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,93.00655033,,,,,,,,,,,,96.70133333,,,,,,,,,,,97.80475999,98.33174479,98.42141176,98.66546187,,,,
