Angola,,,,,,,,,,,,91.91276751,101.6039346,116.7156962,142.3864997,147.4924476,64.47601925,62.80804916,61.10424133,63.79064559,66.25516014,64.03547515,65.93331724,69.14127246,57.14446382,66.63984891,64.8021528,63.48693686,62.35931519,61.08764057,60.9647291,62.61307551,61.53002729,59.79516989,58.24532385,56.75363273,59.10723184,80.60110443,85.70857471,84.45210788,88.61803973,97.32168634,101.2321572,112.6380619,102.7745691,128.3819952,170.303139,157.2871723,204.210437,225.132287,246.6606688,248.4577927
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,162.2797321,158.7957882,167.3478446,169.2792076,167.2322946,161.876748,158.4288414,148.4678245,142.9970211,150.9253167,135.54886,130.1148544,137.624774,140.7490867,147.3707961,149.7480472,144.86012,144.832373,168.1693541,129.760049,124.2930762,114.0175908,101.4333795,100.1674796,107.7535832,103.9594063,94.85372165,93.16975817,95.62183612,96.89186901,96.06152921,90.37307621,91.01017429,89.16443833,90.71221825,103.5782191,107.5751248,103.9459367,110.2564159,100.946821,105.3158261
"Congo, Rep.",,,,,,,,,,,,55.96434562,57.10031892,62.21086475,62.99734748,65.64116293,68.11244177,69.81035864,71.37177736,75.07498903,82.38644587,69.19031119,103.3897674,98.35021339,147.5004368,111.5967279,173.9870632,177.4320128,166.0184568,168.068096,172.0316051,183.0798277,175.9680932,159.3996953,143.5144498,150.7002231,153.7047125,128.5466275,110.4223503,69.30657946,95.64315061,105.1273445,116.3315131,116.2507901,107.2815776,119.9593437,129.1595334,131.6889332,148.8465681,150.1822462,145.9245108,171.5830537
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,614.8757073,662.9301197,688.7242495,733.1356331,746.0737322,782.2826981,814.043358,866.4146188,874.3141647,947.8685094,979.3641959,948.7165548,932.7591108,1004.356783,1021.634794,1091.667229,1159.703821,1156.839063,1090.232027,1086.225305,1138.15713,1428.453028,1357.0602,1291.852987,1301.248894,1272.919205,1382.441867,1332.058865,1451.948521,1519.497718,1493.464039,1561.370254,1640.796472,1671.087733,1707.356029,1803.303955,1860.7617,1860.255375,1812.917045,1850.87431,1843.940494
Cote d'Ivoire,,,,,,,,,,,,94.21250916,101.0850902,111.1036378,113.6663403,122.3057356,135.4796667,144.2583717,156.9586591,193.1291523,177.7256417,183.773815,181.5731162,173.3387526,128.6389761,147.5679396,148.2411936,166.9912091,171.5215695,157.8840632,157.892921,146.4476119,151.4169375,143.09892,145.8091254,176.1218448,161.969428,173.0470826,188.8385104,178.3923401,177.4806941,187.0260441,182.548868,181.4923783,181.7511042,181.1544836,192.9520745,199.8433233,210.0761641,216.2747182,224.6979278,212.4295911
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2964.644351,2712.416851,2280.536913,2199.353448,2204.086022,2290.426215,2438.807299,2588.8014,2649.633415,2753.623188,2855.851785,2898.648649,3092.342342,3157.657658,3325.523767,3475.911751,3635.810811,3737.601443,3878.439332,3711.673064,3813.662909,3900.621408
Cuba,,,,,,,,,,,,505.7540516,514.9942207,547.3963148,571.7378577,623.2010922,671.2212476,721.6357548,788.6707417,863.7376169,841.273868,964.2707006,1007.795207,1051.921177,1116.70867,1002.870154,1073.57942,1091.394839,1147.52717,1185.274267,1211.884982,1047.747035,902.6862235,837.6802919,895.1336004,915.6593575,970.789084,1036.986737,1043.03024,1078.855442,1136.696636,1156.730391,1183.807708,1191.631529,1172.941916,1151.958036,1222.889807,1296.356628,1316.265291,1326.887313,1296.693922,1326.527997
Cyprus,,,,,,,,,,,,990.5614792,1133.757962,1218.688446,1043.069426,1029.618856,1139.118453,1217.078771,1284.80866,1358.797552,1415.219592,1436.504332,1536.768969,1655.44308,1684.063883,1766.395289,1872.701238,1950.565401,2091.036108,2295.462201,2430.176452,2481.044209,2837.658931,3004.345309,3057.935941,2784.697956,2817.075601,2868.424096,3100.083697,3179.933678,3373.310562,3450.926227,3692.300156,3900.246658,3925.892383,4080.04757,4226.787012,4379.665035,4572.509793,4608.671014,4622.695787,4271.334055
Czech Republic,,,,,,,,,,,,3424.202043,3595.796844,3729.994741,3860.355236,4031.268703,4173.440113,4292.927434,4499.956942,4392.392362,4585.123745,4639.733778,4675.599957,4812.155458,4959.820286,5141.665211,5259.312138,5447.305282,5504.923287,5576.934733,5600.407612,5256.302082,5077.660185,5032.403649,5186.969442,5470.670661,5729.386255,5660.060028,5604.80954,5493.85153,5694.233495,5880.72612,5889.648778,6066.895639,6218.862617,6342.134706,6509.312275,6495.931938,6464.392552,6114.037542,6321.037526,6288.533404
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1089.6141,1192.405296,1355.93162,1497.924104,1624.498737,1818.654796,1984.41608,2128.489455,2339.213502,2620.475647,2893.224397,3059.362184,3346.825344,3428.211175,3245.993249,3414.520001,3793.718246,3999.670625,4314.445536,4541.900301,4599.234008,4589.996977,4678.954475,4739.654345,4979.635611,5351.125048,5618.554627,5794.394565,5858.057563,5853.960005,5944.828367,6217.335513,6236.258477,6306.869562,6539.535706,6424.537292,6646.685948,6607.201412,6504.256329,6508.513381,6482.488628,6490.092993,6533.752014,6602.63638,6615.569959,6659.000427,6824.745939,6668.390266,6534.12385,6219.701092,6327.326201,6121.992499
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,326.1171231,307.0947892,398.2112879,362.9705718,400.8729434,379.9166939,420.00189,408.1450572,469.9977177,439.6026925,441.1222553,326.3728437,363.7598992,441.1118086,472.4315787,479.8671073,473.1418572,376.3346073,330.7502975,385.2244412,394.7303098,535.1160101,503.3690608,520.9105174,491.7293455,626.4650055,629.807124,667.0214264,653.6207529,722.2320144,1030.87769,825.4935138,801.6475665,825.0981902,737.2078701,818.628525,851.7927429,849.1112229,812.6046803,830.5050008,893.3148515
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,145.6736616,150.7135841,164.7030153,175.9274052,198.0171155,225.4502579,254.3571308,294.4506245,330.310675,363.2372084,388.3794311,408.0847172,413.1886923,416.4588281,402.1401802,422.7715374,456.9380732,456.7446828,450.5977931,485.7959027,514.4474805,528.2988532,523.3323062,556.4557444,558.9529684,619.8759539,663.1755524,695.4562583,642.7934576,642.3796468,653.6331763,660.1667639,673.5038147,737.5957483,759.8824458,838.9487277,912.646319,1056.682415,1078.038961,1122.986411,1192.275122
Egypt,,,,,,,,,,,,194.2280202,190.8003201,188.0012549,207.6946689,229.4405531,262.0320678,295.4838718,309.4700797,333.846393,368.2010745,403.977264,443.9324357,489.3924305,508.7169516,486.368967,579.4353211,611.1581119,627.9066418,652.3599236,675.3867032,694.7669469,701.8074407,721.3050538,737.3671849,759.5425461,822.5538536,866.1511433,914.5433315,976.8382721,1016.774527,1073.906271,1129.219758,1202.679259,1250.65008,1327.822279,1403.944943,1492.882008,1539.330261,1607.918763,1670.647739,1742.910971
El Salvador,,,,,,,,,,,,166.5609695,178.2819562,199.8470563,211.7640745,206.0308928,235.3783348,254.8462122,277.0864196,285.2158672,269.4957426,255.7827819,251.8382632,272.1620132,282.2942952,292.3761568,297.1023056,314.9837599,324.4472233,325.2755828,347.47782,365.1415693,378.324767,429.3124462,463.9167359,494.9536475,505.7906746,545.4955966,561.1518065,580.3863811,607.6732977,620.8545304,662.2496716,689.7906015,687.5695524,753.3917449,815.0321519,879.8043819,852.9244238,842.7287917,852.4981928,829.5714904
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9156744,38.27034772,41.89031689,43.42962581,48.65551006,51.96113981,44.43414614,46.3721194,43.66204763,47.29851139,50.44871328,52.09575871,50.36949778,49.85511116,46.07712835,47.02634205,44.96333537,46.78035132,47.37719335,48.71181685
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5890.360151,5782.94949,4742.706076,3953.476543,4316.539876,4310.770871,4648.931826,4878.763304,4786.618534,4517.124219,4628.645907,4770.174642,4898.266212,5269.079913,5482.883591,5567.206524,5883.679544,6272.770096,6347.548809,5950.289158,6464.14871,6255.56
Ethiopia,,,,,,,,,,,,18.87412494,18.71544922,17.75724168,17.01381867,16.48761182,16.02005433,15.02284424,15.71006514,17.24011054,18.01867808,18.89488526,19.61733637,20.38718399,21.31990466,19.83952351,19.83327272,20.26340075,19.23564108,18.64959489,22.52160602,21.872036,21.67851986,23.33301667,23.65944043,24.09532109,24.53450912,23.98312182,23.86376791,23.06773183,22.82496453,26.64925719,26.30512597,28.69856349,30.85080151,33.61025029,37.57792326,39.68140111,41.13956722,42.35128887,51.46088225,51.96152637
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
