GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4622681,-2.170205344,-8.028374224,-2.501908851,-5.53976553,-6.778370258,-3.924514881,-3.26928068,-1.071001104,-2.376638997,-0.3582956082,0.5161291284,1.299541422,1.982359188,1.30254313,2.8512851,3.125521934,3.798923865,3.018444048,,
Dominica,,,,,,,,,,,,,,,,,,,10.52589649,-19.18655209,13.66898965,11.99218079,4.422577024,3.267349811,6.186426706,2.075443732,7.979553763,8.494849488,9.504795629,0.4569794297,5.720879639,0.7272140166,1.874795775,1.368111109,1.191066633,1.954713317,2.901331094,1.975025248,5.61463949,1.281618099,-1.790936491,0.1417890565,-1.600806519,7.736379275,3.484188923,-0.1938717217,4.9884959,5.919255483,7.02583369,-0.09891759503,-0.05673549329,
Dominican Rep.,,-5.523728795,13.23812184,3.082768386,3.393834821,-15.19150284,10.02348254,0.2616463598,-2.6708571,7.74254966,14.94259735,7.857996492,7.458580292,9.960427709,3.309045871,2.582400484,4.141176363,2.492774935,-0.2384619809,2.125755718,5.50440317,1.916590122,-0.5867748108,2.300548515,-0.9703426484,-4.239519659,1.319005208,7.811474977,0.04957930711,2.278479518,-7.349072343,-1.05223691,8.36078172,5.178836084,0.4103861732,3.6096234,5.2898119,6.212884199,5.287307375,5.031206994,4.011210915,0.2424797103,4.182370224,-1.746309787,-0.1812836824,7.6787925,9.093002361,6.9534577,3.80728471,2.061157679,6.338547763,
Ecuador,,-1.366399115,1.528395905,0.8398357241,4.646375889,0.1375277757,-3.030457074,3.844631044,-0.6811489827,2.35840697,4.474794575,3.374923434,1.581469917,12.82921622,5.264864471,5.249208832,4.592868483,-0.5632364281,3.823042195,2.299433692,1.585782368,0.5701877221,-3.220790213,-5.093069974,1.148765495,0.2962510542,1.468328724,-4.543600476,5.768644696,-1.380552539,0.3453666934,2.858782516,-0.6812226642,-1.791629834,2.636311594,-0.1310681714,0.636699569,2.37466449,0.5282499544,-7.754164366,1.163752721,3.599457331,3.338386659,1.519610947,7.004231978,4.030502783,3.113335745,0.4904294942,5.662293474,-1.079538461,2.124843432,
Egypt,,1.682817505,4.095662962,6.259884951,5.391995536,6.470806746,-1.473057257,-1.870341165,0.2121837812,4.263959735,3.148718717,1.110739269,-0.2140734921,-1.476280003,0.2696652962,6.566412635,12.10968309,10.34065688,3.414231624,3.634087804,7.478471661,1.337621009,7.322921906,4.858322366,3.5675577,4.063086296,0.193916979,0.0767568644,2.849296906,2.646538322,3.514656377,-0.855640631,2.57008327,1.158842872,2.24972953,2.902915887,3.231134616,3.717998233,2.268773767,4.272667447,3.512484214,1.67215007,0.4936018495,1.282878874,2.167893641,2.559491757,4.913571499,5.176710631,5.265905775,2.856917581,3.325762852,
El Salvador,,0.4072184298,8.459809311,1.008600435,5.908537689,2.163412695,4.013803683,2.441460847,0.3866464674,0.6856238513,0.2341538792,1.135910551,3.399134777,2.260138092,2.835164398,0.60728137,2.813241659,4.629716945,3.325266556,-5.883390966,-13.2368055,-11.83700146,-7.661756154,0.1432702726,-0.004683784305,-0.6923956925,-1.086041554,1.23456856,0.5950489428,-0.3642645365,3.373362234,2.036398739,5.878021939,5.724729328,4.556549604,5.104014922,0.6876024699,3.394394704,3.061200457,2.871395434,1.650550679,1.270732737,1.960682465,1.954584358,1.508110682,3.191029845,3.501842399,3.39074762,0.7990521719,-3.617269173,0.8926784285,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.939894228,0.5433223903,-0.5172686869,-4.127218751,0.06792495179,-4.371965332,7.011445406,2.728342374,1.609762741,10.51293682,24.96420109,65.69350343,18.02579847,36.96676331,9.910540325,56.82975604,15.74942351,10.45490548,33.83509117,6.508124451,-1.659061446,18.0177983,7.604068991,2.42022347,-1.778098878,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.57882738,21.01131326,2.011819123,7.567462415,5.574569325,-0.9914227022,-3.140182386,-16.14518391,4.739458631,-1.18065332,-6.683306322,-2.604132071,-1.270835593,-4.363301445,-1.801591042,-12.50948492,0.8103048292,-0.8313736124,
Estonia,,,,,,,,,,,,,,,,,,,,,,0.7178850749,4.941889913,2.98981307,2.131954561,-0.1682574264,0.3535362494,2.703086467,2.221426257,2.657658741,-7.125322386,-7.536694459,-19.71743315,-3.282449713,0.4836929618,6.867316449,6.536784515,12.07300304,6.374902703,0.626264677,10.0488855,8.943522324,8.376033632,7.967952222,7.562089691,9.693690941,10.77157595,7.068949554,-4.992918683,-13.87292919,3.125462852,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,-1.88750996,4.913596566,-5.943825797,-13.97677667,6.196206611,10.2604719,-2.69081019,-3.573566532,-0.6436771415,-10.23077683,-11.729552,9.395694748,-0.1302696173,2.850886062,9.112533579,0.2226543522,-6.086142712,2.372124877,3.308388454,5.524315803,-1.039209612,-4.570762114,10.8435411,9.203086523,8.312132192,8.982145384,8.378870447,6.45860198,7.797116897,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,0.01620540063,0.06067302531,2.79006428,1.559924875,-5.518883285,-2.61350229,10.65975941,5.540953914,0.4270514117,10.34821331,4.662063046,5.264670549,9.33669099,0.5544852396,-1.423790564,0.8248689205,4.004175805,0.009797283583,10.02357977,-3.728139751,3.764212523,-8.405919476,-6.370289966,6.075934096,-6.123813299,6.725394884,-7.016439934,0.7998705112,7.193767247,5.221026099,-3.609397738,4.798115788,0.6981464255,3.625326455,1.188308273,3.589751667,-3.242160963,0.3485946408,7.958375417,-2.280195708,1.616676894,3.003292762,0.8760575477,5.073356798,0.2775157345,1.168334562,-1.707980964,0.02848422245,-2.276876459,-0.5769457062,
Finland,,6.847965181,2.284048567,2.557472364,4.654852826,4.952389127,1.989846976,1.617028866,1.845006207,9.656904148,5.733582855,2.227823491,7.096153642,6.377978873,2.697458404,1.354024743,0.04235158225,-0.04050601231,2.62462635,6.848494748,5.061714284,0.8554374921,2.473417537,2.411636027,2.558175172,2.872438008,2.308914695,3.196875032,4.915858281,4.699106415,0.06060305699,-6.511928423,-4.025794035,-1.289469809,3.207898448,3.56643159,3.230256953,5.890425578,4.752582621,3.667462903,5.105319173,2.051125275,1.587601858,1.769467134,3.822982504,2.56443316,4.010656272,4.888049624,-0.1722603774,-8.791558776,3.245568467,
France,,4.129960289,5.197946993,3.882156639,5.121401142,3.548377227,4.150141686,3.777137087,3.452112017,6.195213215,4.929624989,4.500429298,3.702146087,5.778375187,3.939479716,-1.744319563,3.834157353,3.107313239,3.475110518,3.028068392,1.185345402,0.4835674767,1.877092904,0.6703353988,0.9206244005,1.037757448,1.680885869,1.8114361,4.088079116,3.635095144,2.108579831,0.5696625024,1.035078749,-1.079484237,1.834663629,1.637105856,0.6653076967,1.777577211,2.945831459,2.96503898,2.979739991,1.104395202,0.2046017826,0.1939296758,1.799589904,1.068986913,1.762507863,1.662157157,-0.6441685149,-3.264056248,0.9289427106,
French Polynesia,,,,,,,5.796307622,-8.112677293,10.84101889,-6.085106586,-1.804170939,8.367420226,-7.685466697,4.500670988,14.41869674,-7.789988897,4.920285433,-0.9990483102,6.60018471,0.835451178,-2.472492982,5.340295685,6.805298535,2.43896453,2.540765754,2.66635088,5.711415768,4.558262998,0.06998872157,0.7416575698,0.0313303839,2.753759867,-1.091909724,-1.835962688,-1.148033289,-1.462987554,-1.692588218,-0.1387488473,4.11279983,2.057898121,2.203048672,,,,,,,,,,,
Gabon,,14.14130451,6.795181483,5.389388939,3.820082039,7.530786559,3.705233327,3.256055282,1.515488905,6.761051459,6.999051168,8.174607845,8.89902614,7.526477346,35.96205245,16.12416987,32.10298802,-14.88684209,-26.08747882,-2.286195978,-0.3395850487,2.062929618,-5.94256762,2.461742625,4.266600266,-5.307339861,-3.83849792,-19.68744289,9.362931466,5.159644173,1.874139841,2.73030434,-6.185077773,0.6721599717,0.5517815764,1.921157021,0.7626562684,2.957663857,0.8845979221,-11.11532054,-4.139713611,-0.1234131551,-2.382087314,0.378839302,-0.6660952979,1.025542995,-0.7351972953,3.592630441,0.4367743631,-3.222796351,3.810739378,
Gambia,,,,,,,,-2.031666295,7.150936899,-0.05167178366,3.336040102,-2.978450522,-2.914390651,5.68055744,2.44170377,8.858564354,4.101147092,0.3681743056,3.128412365,-4.426063345,2.708652545,-0.3232416412,-4.406077046,6.603120757,-0.7131673946,-5.123833009,-0.6943286517,-2.410188586,-0.4197448471,1.249574602,-0.5371671084,-0.5075952704,0.1289668289,0.03414959149,-2.631016831,-1.913808613,-0.6115655402,2.007302139,0.63682665,3.424930432,2.506743202,2.743249625,-6.087810997,3.720548371,3.922043379,-3.726948491,-1.349995439,2.260479537,2.558281842,3.276417986,2.141878624,
Georgia,,,,,,,6.312988247,5.212909487,3.513145555,3.802346852,15.22915763,1.407736738,-1.953686906,5.549076951,7.867549939,6.591379953,5.335256506,6.170394846,6.80375832,6.582676014,3.698496873,4.40742976,1.14157116,3.389254032,4.530536485,4.025675084,-8.987245288,0.4493249298,4.515580147,-7.43864739,-14.76515734,-21.6530948,-45.32510693,-29.84128956,-9.487702923,5.365472459,14.04016616,12.57986996,4.12278766,3.673265669,2.626624257,5.567647144,6.185551782,11.77900763,6.117175015,8.521537168,8.468018636,12.5897621,2.423743476,-4.366976583,5.38332549,
Germany,,,,,,,,,,,,2.943650192,3.802475979,4.448017218,0.8507602906,-0.4964342352,5.400212127,3.581437082,3.098181647,4.104331333,1.198693931,0.3762425163,-0.3000577891,1.839034162,3.178987218,2.556883567,2.240535045,1.246499636,3.302863728,3.096180032,4.351639056,4.345220043,1.139941479,-1.650766448,2.116937034,1.378609843,0.4994396147,1.58853233,1.846424194,1.805256718,2.918171278,1.343741716,-0.1578559473,-0.4305841174,1.183096804,0.7418388882,3.817037,3.407227583,1.275586365,-4.886323581,3.849245142,
Ghana,,0.2152143781,0.9014058569,1.300452832,-0.6253102228,-1.189854349,-6.401671163,1.004891768,-1.56774178,3.839268281,7.225157891,2.506723554,-5.216213689,-0.03600731253,4.024455444,-14.46551981,-5.402323871,0.5679278778,6.70627897,-4.370288332,-1.904864139,-6.27715091,-9.95596109,-7.852869347,4.963154782,1.746785648,2.105802743,1.899865188,2.821840123,2.299172275,0.5293444748,2.357001352,0.961836051,1.922657111,0.4960995792,1.404720733,2.007938124,1.710146791,2.261369575,1.975912272,1.266161272,1.527305178,1.99537,2.665632515,3.054919275,3.355762809,3.85284692,3.919938785,5.858780737,1.546134107,5.215551209,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,10.27171539,0.9304038426,9.728326022,7.8664928,8.882130472,5.318925595,4.625872829,5.972476229,9.498866605,7.709226055,7.37432709,9.446391571,7.602608326,-6.782085987,5.373056862,5.205082206,1.610302278,5.865272061,2.002457607,-0.3068992817,-2.432461025,-1.740252475,-1.652402163,1.503671636,2.112295,0.1857380341,-2.585123526,3.909777262,3.25972961,-0.663627551,2.100895354,-0.4028977425,-2.499442512,1.154204076,1.318686155,1.643577454,2.99008614,2.806782274,2.966088728,4.143402824,3.888022399,3.085305489,5.597670312,4.00733596,1.89104343,5.121722145,2.588515355,-0.5507517339,-3.642194345,-3.80013144,
Greenland,,,,,,,,,,,,11.14456862,3.759157233,5.280208295,4.638513325,0.4433235861,5.746012005,9.48317891,6.447679387,4.014948698,7.377089023,-0.9137825608,-5.34762575,2.265771064,-6.259164673,2.682173495,6.496776833,4.345641522,4.254659152,5.695172151,-12.19586601,0.06651129193,-4.768523622,-4.855882115,5.351805587,3.170998025,1.348009454,1.287732042,7.565898736,1.377884947,6.911024773,0.9994640098,-1.408584403,-0.6691953007,2.402329976,1.938388888,4.765234563,5.921641869,0.75029982,-5.403589368,,
Grenada,,,,,,,,,,,,,,,,,,,6.744680723,6.614353479,-0.9247762112,-0.8949936953,2.09292373,-0.1733946409,2.168290291,6.495283245,7.99210687,12.00723967,4.819526128,7.379524187,5.83896499,2.118572401,-1.061300637,-3.729134643,1.614267097,1.634072409,3.4953085,4.265123365,6.352442447,9.925884649,12.43026842,-4.109428068,1.918336605,8.188379583,-6.709086408,11.7349945,-2.217524894,5.418485454,1.092919805,-8.673391048,-0.7364481706,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,1.500952748,0.7608986546,6.607751292,1.837003422,1.580370021,2.711796064,1.359656939,5.892532837,1.960847815,2.892667378,2.753439974,4.447568492,3.931434144,3.587398704,-0.6521940794,4.727488267,5.206102294,2.498099504,2.221068974,1.266857449,-1.801705635,-5.894401539,-4.956731554,-1.931721761,-2.963211308,-2.17728003,1.186115653,1.551521123,1.604049844,0.7719918868,1.29747221,2.437108669,1.542720393,1.656031528,2.565846851,0.6391263105,2.023346612,2.627569866,1.470400861,1.185907139,-0.1166165584,1.334180982,0.003494311716,0.6059188803,0.7236327247,2.810965667,3.726250114,0.7765213237,-1.908616032,0.2445110389,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815622989,3.406754519,0.3911429558,-0.2576018155,-2.858482164,-2.839930682,-1.148415699,-1.451490524,0.2426750945,1.980430732,2.337771142,3.14669777,3.22813793,0.4372671954,1.3313977,2.169950027,3.742050163,0.6652930745,1.265146536,0.7085627214,-0.1059944324,2.900698666,-2.344862533,-0.3219047027,
Guinea-Bissau,,,,,,,,,,,,-5.622060328,3.830382496,-1.826916882,1.131527378,4.045656283,0.9991633813,-10.8101563,8.769496546,-1.597993187,-18.50948595,15.19561428,2.03961125,-5.121845194,7.250373328,2.323699088,-2.640106404,0.9319067379,2.55319379,4.000614338,3.994582446,2.999278506,-0.9440773338,0.02846302672,1.119538569,2.323024511,9.410986943,4.433809805,-29.48342194,5.734449446,5.44185531,-1.717089311,-8.877347568,-1.860287955,-1.258525315,2.250309561,0.1019018291,1.122518556,1.122286623,0.888595069,1.36345987,
Guyana,,1.839146572,-1.576887449,-14.57038809,8.455102724,7.649454386,2.44394472,1.5596095,-1.48895537,4.681912307,2.452816448,1.833046341,-4.109579329,0.6773154829,7.131689064,7.774007727,0.6811072727,-3.571711678,-2.710714583,-2.491773779,1.457834648,1.66196975,-12.73241195,-6.051167047,-4.160410149,3.334653159,-0.01989899614,1.777258995,-2.933522513,-4.336206275,-2.607934244,6.201868359,7.806560707,8.020670754,8.277898387,4.780517225,7.733848475,6.117335984,-1.804778544,2.823765724,-1.592685357,1.940465577,0.6834982738,-1.39459386,2.902549976,-2.284319223,4.836552804,6.750783929,1.79507117,3.103143505,3.327346755,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.215130542,-7.302981238,-13.67783437,7.764936776,2.135858613,0.758072099,0.2847779578,0.861369324,-0.882674323,-2.692376823,-1.853750315,-1.187417905,-4.956234992,0.3335772198,0.8304458228,1.952415906,-0.4805609112,1.550935002,-6.275131096,
Honduras,,-1.426047164,2.29883303,0.2089117158,2.105611896,5.79370584,2.424805668,3.155294404,3.839357393,-1.952700862,0.8824058626,1.175482147,2.841084719,4.826119604,-4.079201999,-0.8846044297,7.164773186,6.989370656,6.589024323,1.413596324,-2.436900655,-0.5985288766,-4.374990615,-3.897782411,1.232387056,1.095330894,-2.246902004,2.936701565,1.595083271,1.365726701,-2.691527836,0.4271079539,2.791421306,3.457651063,-3.786561734,1.554160323,1.207946422,2.67272616,0.7030700085,-3.93797468,3.571554457,0.6335455192,1.668009542,2.462022993,4.124557177,3.952521524,4.463349034,4.096133458,2.177408871,-4.06394475,0.7437942432,
"Hong Kong, China",,11.57202162,9.840193813,7.894737823,8.936077748,13.57289327,5.911878471,-0.5887144207,1.068954123,10.19652484,6.879075908,5.116214749,8.89507715,14.13236624,-0.01573061897,-2.338814627,15.00895893,10.04244937,6.518070151,5.701694572,7.398986283,6.780110418,1.334924907,4.368076085,8.847443673,-0.4040579444,9.722337011,12.07416381,7.729759363,1.168670412,3.565174035,4.821707783,5.205993335,4.237147198,3.652545065,0.2876555187,-0.3306722245,4.185295816,-6.8076212,1.581074297,7.003998001,-0.2406035305,1.39098259,3.209552652,7.623950429,6.615312442,6.33462164,5.332491634,1.54682918,-3.021879879,5.996928171,
Hungary,,,,,,,7.075879195,7.100676262,4.498936418,6.454618063,4.303122981,5.89651544,5.784184193,6.556040406,5.428394355,5.577289936,3.031575545,7.101270197,4.040519945,2.514540096,0.1347973069,2.859773123,2.901733414,0.8744065483,2.863669883,-0.07151549373,1.708294076,4.225972869,0.08802720782,1.839423099,-2.494499228,-11.8870466,-3.026235562,-0.462665213,3.088168307,1.630917597,0.3330770058,3.335151019,4.315899046,3.49042828,4.496330068,3.950370288,4.804114961,4.148312212,5.02950548,4.171403006,4.059072317,0.2699121931,1.070969361,-6.654135483,1.487502592,
Iceland,,-2.012883033,6.324752321,8.337935834,7.979744982,5.527347379,6.910046042,-2.847474491,-6.758929123,1.427705267,6.894672992,12.15019809,4.634456241,5.206311577,4.285800444,-0.6328206478,4.912547453,8.015183229,5.192434722,3.839546391,4.634067457,3.082534249,0.7982422524,-3.438184615,3.027443626,2.48243298,5.494860522,7.363170064,-1.642347852,-0.9755004145,0.3856656193,-1.373406641,-4.580531411,0.2885019515,2.714620495,-0.425046308,4.220838765,4.057254504,5.184366308,2.842993763,2.905989382,2.549318088,-0.7508991097,1.727507512,6.893215105,5.546009082,2.279633869,3.337127073,-0.5962333153,-6.990418561,-3.849241528,
India,,1.797852481,1.05526366,4.115034501,5.223325041,19.08099683,-2.147908394,5.52684499,1.135646714,4.200823347,2.81380767,-0.6604582194,-2.816332743,0.9416374522,-1.160015518,6.605038718,-0.721829935,4.74507117,3.233668367,-7.446381714,4.273435074,3.567947326,1.114661682,4.884196524,1.507170541,2.90757328,2.474331947,1.706794821,7.294701107,3.721087999,3.34565798,-0.9901110333,3.376098529,2.717765453,4.608993637,5.549126953,5.579459608,2.182053661,4.325795285,5.543991403,2.28921962,3.500606419,2.116025526,6.68621089,6.628870912,7.683836293,7.66674424,8.233029107,3.443940578,7.580318509,7.30710496,
Indonesia,,3.538420341,-0.5767912647,-4.657750602,0.8834193103,-1.580698386,0.2578709599,-1.433222266,9.196732625,4.759174297,5.426697734,4.314613354,5.194903831,7.063583055,5.608724034,3.616069061,3.460648166,6.083656655,6.674075156,4.639171854,6.262169362,5.725941132,-1.12811496,6.104472601,4.919981851,1.377270937,3.89238379,3.314695055,4.420186287,7.163621534,7.14016258,7.122987689,5.497971245,5.584122441,5.918498078,6.813418929,6.122428085,3.266985634,-14.28696892,-0.5352102166,3.550943852,2.29732739,3.152660289,3.451778366,3.736826457,4.43867224,4.300856191,5.181576822,4.890441967,3.490590305,5.018684916,
Iran,,,,,,,7.511813866,7.678191719,9.498473639,9.917150821,6.96454743,10.06396173,13.29817216,2.781780903,6.43258833,2.764399974,14.26158986,-4.315573556,-10.42241514,-10.21362425,-16.24199102,-8.599990046,8.819610959,8.438154459,-5.221972385,-1.680771172,-12.48358674,-4.94026899,-9.478756999,2.945150807,10.71908344,10.18276755,2.431397076,-3.058425164,-1.82170979,1.023392553,5.236514797,1.482428602,0.824683338,0.1176222615,3.431047197,2.151317018,6.077056944,5.778779112,3.815556458,3.365073972,4.618567002,6.536647677,1.091757082,0.6198631617,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.78779918,21.08544019,-7.148424468,-8.937414757,-10.10738373,-42.76901763,42.8337124,-3.185066884,3.083177058,-1.47888445,6.286326628,1.141874289,-2.115880552,
Ireland,,,,,,,,,,,,2.266206331,4.918883982,3.055443894,2.547111594,3.932409615,-0.124005859,6.755907853,5.676769184,1.708794039,1.899814056,2.122404705,1.320888378,-0.9489430138,3.709825092,2.920737641,-0.4737595725,4.652217004,5.668590497,6.234005456,8.375028454,1.345183448,2.640700051,2.180482408,5.339790169,9.073742704,7.289440467,10.38476711,7.305371451,9.484024739,7.790356955,3.137396031,4.103920984,2.476518505,2.614371485,3.069396829,2.829252457,2.850498284,-4.479393588,-7.688239975,-0.7866496963,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,0.04652791145,17.6848762,7.872070904,9.43480121,4.745793036,2.634092545,0.6743163807,0.3038902384,2.311439227,3.655651708,3.617795126,6.644864382,7.222641347,11.93556286,12.16216596,4.088891604,4.324808938,4.963799614,5.526679179,4.444880997,5.126872015,6.892898087,6.699075157,,,,
Israel,,7.591413612,4.967778431,6.69410253,3.750537251,5.34825012,-2.588105692,-1.357410623,13.836665,10.64465298,3.807393181,7.781368598,10.80848628,-0.7558493817,3.708133484,0.9858308754,-0.9209524087,-2.222017117,2.634181865,3.589779993,4.335924223,3.074669972,-0.08539890904,1.644852472,-0.4063685652,1.63937965,3.182632392,5.470328987,0.3474725119,-0.8276424499,3.579968369,1.410205351,2.0402026,2.788035742,4.198617498,3.865385294,2.901784138,0.3277287679,1.920218568,0.7033660869,6.348921535,-2.371025632,-2.64553591,-0.3047909095,3.15868301,3.262270234,3.846299513,3.460908486,2.425710996,-1.61400847,2.756714073,
Italy,,7.486418839,5.48747777,4.842052489,1.95553271,2.402046147,5.164163281,6.405677604,5.873594596,5.499179506,4.755009601,1.344280443,3.103489706,6.401805938,4.812013853,-2.673183926,6.592319747,2.125827459,2.872936394,5.653224008,3.217170112,0.7232324214,0.3392249576,1.132491165,3.202783036,2.768381435,2.854366911,3.181430293,4.144042086,3.310861991,1.967190464,1.463465629,0.7045179267,-0.9134017125,2.130215485,2.885202328,1.106265395,1.812131831,1.418978669,1.434029232,3.606647864,1.799860344,0.1347626122,-0.8226330384,0.7327710232,0.187749693,1.619009077,0.9401763215,-1.91102147,-5.619368051,1.050097176,
Jamaica,,,,,,,,0.6366172266,4.595231568,4.359784805,10.62154231,1.018787592,16.19821525,-6.979387834,-5.665091902,-1.601248595,-7.825968211,-3.623089059,-1.058204554,-2.180734167,-6.989840923,1.24864382,0.3155763732,0.05808790089,-3.230882263,-4.253902798,0.805227148,7.171300443,3.71838155,6.338445569,3.54219701,4.139242739,1.240157329,8.611160531,0.6012378415,1.524638965,-1.304580004,-2.082418679,-3.20209656,0.3603869773,0.2904618016,0.7457566464,0.4802491028,4.70436271,0.916193983,0.5607738354,2.220527895,0.9473446761,-0.9643625606,-3.347960389,-0.8354404145,
Japan,,9.161193628,7.898662484,7.375594935,10.51914086,4.688558624,9.632958038,10.05100008,12.50716501,10.17648681,3.114405216,3.285453605,6.905499722,7.141982495,-3.092924015,1.45411994,3.208801191,3.389185258,4.323652939,4.599166639,2.014645178,2.175760317,2.069411006,0.9216696842,2.466789177,4.441943958,2.333269187,3.285754116,6.310238699,4.86076282,4.842956078,3.00416464,0.5690700169,-0.07587403965,0.5205350483,1.493424106,2.3744936,1.297758748,-2.296050974,-0.3302421869,2.681773934,-0.03544271873,0.02939086684,1.196766628,2.709681878,1.924519239,2.053047247,2.351024136,-1.113659377,-6.180260885,4.087277715,
Jordan,,,,,,,,,,,,,,,,,19.91871608,2.660371146,16.54518116,5.05505961,14.55424468,0.7244266381,3.175239591,-2.002219956,4.578075632,-0.1708105642,3.114224178,-0.7921541126,-5.247992246,-16.51074326,-2.657481629,-8.947317065,12.6886849,-0.001500763842,0.9811136989,2.790920652,-0.982063175,0.2013806895,-0.08601402204,1.555345208,1.702277428,2.700447166,3.255587658,1.63616208,5.973236999,5.693747956,5.497091602,6.091910818,5.284497072,0.1110280936,0.8562321222,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.55454242,-5.234300686,-8.595741409,-11.32271017,-6.577252981,2.033716829,3.319585738,-0.1920036265,3.682902536,10.13049903,13.69319315,9.795470245,8.932922844,8.841019374,8.729199951,9.53532792,7.661443135,2.049070796,-1.437812068,5.791246174,
Kenya,,-10.59820141,6.063881463,5.36617291,1.636231037,-1.259271794,11.01676155,-0.01781205376,4.407221594,4.328790001,-7.915491138,17.92928095,12.95776753,2.121773003,0.3212557102,-2.774554471,-1.567448775,5.450000233,2.981536025,3.632149842,1.65868506,-0.1096837556,-2.294828917,-2.470293614,-2.006685671,0.4946075471,3.326776742,2.194226593,2.518421816,1.127201161,0.7182830167,-1.879856644,-3.977346365,-2.768881464,-0.4352757782,1.426071181,1.317497286,-2.139593267,0.6758901959,-0.2663184976,-1.948143248,1.118822776,-2.053781322,0.2608009895,2.387887446,3.193472409,3.623450576,4.309600995,-1.033401638,0.02608121653,2.813812154,
Kiribati,,,,,,,,,,,,-3.952556879,10.26871945,18.9951456,42.97408837,3.585901517,-27.79386331,-6.201588602,-0.8151123531,-13.32904566,-45.56806452,-5.506168213,4.410074978,6.500686469,-3.466691555,-6.723212937,-0.6576990567,-5.145118159,15.74162543,-10.46375624,0.7207857377,-6.041338019,1.654615643,1.307523113,3.612944873,-2.589559643,4.430604393,3.779185107,9.096448848,-0.3737977747,5.344425569,-4.818490552,4.245010694,2.584096308,-0.9003993971,-1.433636481,0.21493089,-1.186893998,-2.624093794,-2.168377415,-0.208514,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,2.279617042,-0.2993058452,6.694457287,4.868539675,2.634694192,10.04723283,3.684131323,9.229337833,11.63894952,6.05640322,6.00849594,2.364491554,9.824909795,5.10391374,3.920213052,8.82046251,8.293898348,7.648510314,5.175613507,-3.01281545,4.520797135,5.679404356,9.153930806,6.775302737,5.755602235,9.603548479,10.05922403,9.586865214,5.72439132,7.910070099,8.384406287,4.917881981,5.187021863,7.567199315,7.619522161,5.983279312,3.673995314,-7.524570983,8.711273329,7.583834901,3.207240523,6.553764635,2.293691783,4.227017554,3.74335674,4.832423021,4.760937353,1.98058117,0.03138487064,5.88381326,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.42455397,-1.61562252,4.756646279,2.086508797,3.256603114,5.403489026,5.823585434,6.304456825,2.329916898,3.426997245,
Kuwait,,,,-8.878314996,-3.791696938,-10.07036956,1.5194311,-6.753221123,0.2342363801,-5.363544189,-4.563231307,-0.03308986086,-2.706384171,-10.97756107,-15.12800241,-13.40159184,3.005265708,-5.428710841,1.83602269,8.182721685,-24.54997628,-22.87944928,-16.271292,5.515029779,0.4437010714,-8.771020998,3.021946764,2.476911429,-14.07891692,22.54868746,,,,,,,0.59221237,-0.620873548,-1.326873738,-6.734626627,0.1865005552,-2.719619959,0.002881415546,14.17736111,7.044267122,6.959162355,1.288645048,0.2635618714,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.189779332,10.62126004,0.8476404028,4.472714705,-9.345763441,-14.87847184,-15.48365712,-20.05506908,-6.363299741,5.511193393,8.323653497,0.5671695559,2.126747123,4.178333101,4.326939658,-0.9309122735,5.913982276,5.739501385,-1.297040888,2.002381045,7.510683181,7.376440527,1.653539702,-2.531075041,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,2.273526071,2.065522944,-4.113586878,-4.708366731,11.02323426,3.735699901,1.395892344,2.650503098,3.062186635,5.366825943,4.41678404,4.469736557,4.558158609,1.850653071,5.249519124,3.885790009,3.955584298,4.22711149,4.487258406,4.807450603,5.493762755,6.899156482,5.861285248,6.005512067,5.927092086,6.899195615,
