Debt servicing costs (% of exports and net income from abroad),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Madagascar,,,,,29.87730082,16.58650964,3.28971613,37.75262598,4.802257035,7.863019004,19.35828043,27.58894016,28.73346059,23.03968621,30.96093588,42.23523413,52.26053712,56.71990981,52.4416574,50.17283554,45.8805677,32.88674506,18.78263252,14.89050165,9.916672834,7.703144547,10.23182505,26.23578722,14.68444154,17.10684966,9.646947849,4.994483662,4.866777547,5.798732617,5.741145283,5.809993611,3.504625209,,,2.274577018
Malawi,,,,,,,,10.4200246,19.71484722,17.47120849,27.77583227,36.03492205,35.02134536,29.25751158,31.05950872,39.83473267,53.68528875,37.42444137,30.88258908,30.90279765,29.31016956,24.67613095,24.85878179,22.37802478,22.44413688,24.93951534,15.90851063,14.39074414,14.86314915,13.98021085,13.37089714,9.462289446,7.661830407,,,,,,,
Malaysia,,,,,3.88409669,5.053036646,6.891695079,11.46809227,13.81392093,7.391540843,6.295740446,8.246718297,10.66319987,11.55997915,14.0749355,30.37113023,21.78878876,21.22230796,24.77357908,15.05257193,12.55492145,7.384460487,9.067344324,8.744882665,8.932770994,7.025149122,8.888390473,7.424734519,7.150679265,4.87117006,5.635779741,5.975233473,7.190597924,7.861392112,6.199348616,5.630574614,3.992907411,4.804709977,3.622918488,5.221885353
Maldives,,,,,,,,,5.6875,1.40430622,0.8220858896,3.405369128,5.284415584,9.598965071,22.59128386,11.2428884,12.0952725,6.508691987,7.470714584,6.30640276,4.80304679,3.739571556,3.203435656,3.865079043,3.419123832,3.360601746,3.123006183,6.993150784,3.659195029,3.988824013,4.237632384,4.601109786,4.436819439,3.68886423,4.686745208,7.182946718,5.206872475,6.165354895,6.235614053,8.298954743
Mali,,,,,,4.980756349,6.141513356,6.245032164,6.444700926,6.867720898,6.230272439,10.37619901,10.26723664,9.712752918,13.25650046,22.28309039,22.2729946,20.34354041,24.34783088,19.72205894,15.33444838,9.60793298,12.43643133,16.50377013,21.34633782,16.1344456,21.12125076,12.82374112,12.25944292,14.83846279,13.96471121,8.888148242,7.601939589,6.533296529,7.935826157,6.882342529,4.373172986,3.343420075,2.610407287,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,22.16422216,37.63685067,22.37667991,16.81335549,32.92288043,17.60941882,22.56804991,18.62643498,15.20006109,20.17769441,25.35220128,22.32576439,27.24680266,27.827158,21.12377436,30.70105478,20.01307881,20.27555511,30.16923404,24.72554574,23.1182542,22.70871656,24.68521733,27.83853364,,,,,,,,,,,
Mauritius,,,,,,,2.402118372,2.872302609,3.820056972,5.087358272,7.641773992,15.45426198,17.27499133,23.16817837,25.20499634,23.66575745,14.42069374,10.40615739,14.14923859,9.694967733,8.508033938,8.990368355,9.003357954,6.345078492,7.265953923,8.736712608,6.384072255,7.843229494,8.139369559,6.102132645,16.9493663,5.798151919,7.445930999,5.847628761,5.82778494,5.805716174,5.827736403,2.887060924,2.79553077,2.716808599
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,65.9675239,45.70124651,47.74410374,52.45394134,46.72942382,46.53249925,45.18160546,45.67708649,34.11204245,38.85300188,34.17596566,21.72292907,24.59216035,35.61853931,37.57002621,26.92959861,28.0648724,36.49331606,33.12289142,21.73380798,23.15922378,31.48163529,26.79459311,24.65415393,23.30490135,24.30894245,19.14577822,20.56847662,13.44134425,13.02939041,15.97794173
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,2.081772595,7.879739785,8.194152661,11.15311576,21.54631546,28.66872005,19.18344075,19.12464539,21.9855661,11.36196583,16.74384288,12.22959776,15.67369966,12.50635061,14.78134343,14.90515856
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,17.30373593,6.523688232,10.74061598,10.18208488,10.72182741,10.03985334,5.646374705,4.002608048,6.167118915,6.959598192,7.256470239,33.94500059,3.346562571,2.868953975,2.361045339,2.140884865,2.657523375,4.813315483
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.056733847,3.387006746,4.374617796
Morocco,,,,,,8.471528349,13.46826468,19.0927895,30.91950051,35.83665136,44.20906373,51.04644149,58.43904317,52.87118606,35.88388217,45.2239492,50.99520181,42.42118266,32.36135095,40.72984933,28.3886439,34.43882581,52.4430741,46.07263499,46.74471722,40.43677844,34.44482066,32.42751519,28.48208755,29.18846035,25.22386328,23.18315339,29.53489901,29.37839257,17.48193524,14.00837871,15.13203266,14.21334681,12.07801566,12.4778662
Mozambique,,,,,,,,,,,,,,,7.826860084,34.46325531,54.59947917,23.52136752,27.08320493,29.14622468,26.19146097,22.52752671,22.85410334,32.92411195,31.18057663,34.50956633,26.03701647,19.16669579,18.14798129,16.99057789,12.47534799,8.55319122,6.370661933,5.951867276,3.795310635,3.595779779,1.289511512,0.9175487551,1.104502006,1.647948859
Myanmar,,,,,,,20.84846677,19.851532,24.83413121,29.52339984,28.26842945,24.91511461,27.26642262,38.88714918,41.02906669,58.1530571,70.46443583,74.59150215,58.65183757,67.29194029,18.78165247,25.94336213,8.260133833,12.48834411,14.28568718,18.89008342,11.37192052,7.642313049,5.403201367,5.189836797,1.660765616,1.355771769,2.213698446,1.665562678,2.017603744,1.734958641,1.307325177,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,1.000775704,2.813439456,6.672386009,2.755995056,2.875728751,3.656539812,6.799344136,6.962651826,6.442362572,7.108874606,8.560199144,9.101623944,11.03575124,16.02259489,15.1500818,11.55924269,9.352989052,8.722602445,8.088310766,7.928526019,6.618278565,7.01589449,8.111386634,8.176367153,7.510227285,7.834353647,10.42298697,10.13967516,9.02845842,8.246573616,9.94687132,8.871655111,8.320183555,10.36850572
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,14.57688634,14.6473562,8.238583138,22.31964981,38.4028542,44.21273326,21.2222002,18.42307692,18.47499277,13.76145833,13.46993865,7.402979651,3.245467626,3.908663366,152.266954,33.59848485,36.09205582,41.84077272,43.07704002,29.79573277,35.58451394,26.25584136,18.74996226,25.31017129,29.80628365,13.45574798,14.58391397,7.807775508,8.647177044,6.811921296,14.71806311,14.03655899,17.18346957
Niger,,,,,2.88087037,4.718032648,4.515654176,3.944291707,13.39802176,14.01823517,21.927453,31.89426272,55.61667691,37.13525476,27.04459571,33.96251126,30.56338247,29.50174355,34.93800683,27.7541148,17.84247599,25.34197205,12.51915587,25.19084378,24.24970068,17.06073363,14.69478534,20.1952739,16.2236411,9.389399072,7.798296342,8.192698914,7.544361761,8.631103923,7.642995877,6.690295135,26.61007802,3.268468644,2.539336893,4.464068773
Nigeria,,,,,,,,1.039604923,1.282527489,2.173893893,4.145606408,9.186745174,16.19594382,23.57823836,32.91800456,32.75650558,38.02631368,14.13062759,30.36505095,24.69282355,22.5962905,22.05630969,28.83943685,13.39577281,18.946783,14.73072732,14.79002693,8.711416252,13.07326158,7.544301782,8.709522776,12.90364452,8.132295941,5.964635175,4.508181361,15.31107206,11.17279284,1.7855032,0.6696724277,0.8141697201
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,26.05591881,30.47366723,28.97813344,25.80685302,26.18379865,25.92601112,26.71480175,35.12255743,35.8363083,39.63619914,39.25699407,36.36775222,34.52796934,30.05763953,27.44067281,24.46387207,27.12600436,28.27200157,38.23768952,30.91764773,30.71471844,40.33872226,24.60930706,32.03316967,27.8855231,27.99405774,23.31431108,20.48292602,26.26165777,12.26655706,10.69873477,11.23683838,11.02620861,15.03124699
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,11.87212736,32.99965585,15.83262366,6.209573283,5.672524692,6.781456667,6.647753137,8.540971978,7.3210671,8.301219394,7.628285875,0.6200158437,0.2844132355,6.177484132,5.160305226,12.90832162,3.615446003,4.400547888,3.408465163,10.10222926,15.95557885,7.331630077,8.545141904,9.419187517,12.20421167,19.47007887,11.16349661,14.30859833,17.72576814,22.055885,5.639582818,9.316717477,5.499806691
Papua New Guinea,,,,,,,16.64031618,14.7848822,17.54260174,9.554758293,13.76018525,18.96437246,25.18655335,30.05093505,40.03563227,32.50584375,26.94163447,25.41091592,29.02700423,32.77747387,37.18133683,27.18160021,28.36397785,28.95665579,30.84537483,20.77718367,16.34267708,20.51645376,14.75857974,9.658951596,12.85442965,12.69008851,15.09799962,7.802581708,9.049779899,8.530299561,7.089188514,19.25315415,15.61936446,11.70934016
Paraguay,,,,,,12.89136014,12.15244375,10.24308866,10.26170517,14.14805457,21.01808711,23.44244955,20.85705874,18.12321429,20.45015015,22.9481654,26.87820744,29.19651134,25.94001308,9.013705218,12.35773748,10.14194815,24.84673098,8.168854944,6.338381835,5.793241379,5.288523609,6.851734497,5.849202775,8.321904332,11.07043501,13.33123521,13.00146908,12.28482303,13.07766411,11.30045274,7.65423484,6.099555273,4.956794375,6.066530379
Peru,,,,,,,,52.99668828,49.73657628,33.85439448,44.50741883,59.0404215,48.64849498,34.01366476,29.80100654,27.6859773,21.06801895,13.27490538,9.441138885,8.920314003,11.02825029,25.87907029,21.3117259,62.34777088,19.64704833,17.25835411,37.14539171,38.07764989,26.1306926,30.39455717,27.79584609,24.03236887,35.99969349,23.2631375,18.39406065,28.37030121,13.66385222,26.52630013,13.33492959,11.83278558
Philippines,,,,,,,,15.66147309,28.13065173,25.31955236,27.29137176,34.60925084,43.89376562,37.23396458,33.7190595,32.00943539,34.30130893,36.80161325,31.92338271,26.14939147,27.55488179,23.49485584,24.85148086,26.06903349,19.32804477,16.32127381,13.58024476,9.475790109,10.92261304,15.92539942,16.02237631,24.67989615,24.79829351,24.25210186,24.6506486,20.44548999,23.88295268,15.68328614,19.07904474,18.52963074
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,4.375252357,6.331653786,6.81739043,6.676058667,11.95847808,13.66053352,9.908176754,14.37273181,10.81840077,11.72661996,9.77062043,14.64513516,13.79887852,9.195754533,11.47100837,17.68545805
Rwanda,,,,,,,2.838951823,0.9688857656,1.313278496,2.15108291,3.86695475,4.435417532,4.657761559,5.893862827,6.883173324,10.29957392,8.185084806,13.04567792,12.11877217,17.64669084,13.43692481,15.49297325,19.30562367,20.47133795,8.296189342,20.48618348,19.80543825,14.5785533,17.13088259,26.7063211,25.17578477,11.61502495,14.22567512,15.13958577,12.74362455,9.711204019,8.610347416,5.578123265,3.647779984,4.718886482
Saint Kitts and Nevis,,,,,,,,,,,,,,,1.639000806,1.858578974,1.733456562,2.030563661,1.904095579,2.235599517,3.413363876,3.434955868,3.079389068,4.042380096,5.320714093,5.294790681,5.167658056,4.67535466,7.073224395,11.16309576,12.62387768,13.56530078,24.72241933,25.97873286,23.03826013,19.77606397,18.56494514,19.53381733,18.69343838,20.81830673
Saint Lucia,,,,,,,,,,,,1.442401961,1.418308227,1.299945741,1.112701252,1.203292181,1.119698953,1.421366834,1.431756553,2.060604757,2.206317715,3.529321833,3.522848177,3.373495319,3.164897183,3.080169506,3.586198298,3.737398956,4.152222641,4.900416136,7.900554745,7.616622299,6.291808358,7.614514106,5.033879307,5.952838072,7.542761113,10.28159564,11.13598801,8.227120613
Saint Vincent and the Grenadines,,,,,,,,,0.4557823129,0.6766467066,1.065656566,1.377245509,3.144080589,2.519458545,3.595598349,4.02905569,3.466173608,3.253759838,2.864670074,3.12716567,3.185722529,4.15507472,4.171084712,6.869102025,7.399574414,6.137853674,6.573827936,7.631528616,7.246076078,7.970858234,7.173013329,6.717277248,6.50516985,7.795688292,10.19153613,11.31036981,14.76989032,12.32879874,13.04352844,14.75575201
Samoa,,,,,,,,17.52929497,27.27728492,18.51274706,20.67271388,25.62637786,18.33492776,19.37062567,21.03729458,27.91391022,32.32131304,25.1818281,18.93676525,13.89976726,10.61926736,10.74605647,9.860709129,8.723801905,10.07367664,6.574139292,5.763745501,5.414776074,4.632047179,5.704009235,,,,,5.468452578,4.392551082,4.64196113,4.328973983,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,0,1.961284169,0.006371002008,5.192410535,15.73792821,20.9044596,24.62086717,21.77526774,29.80016236,9.849232089,39.24552405,21.35943895,62.79366679,34.81572482,,,,,,,29.04766091,33.49480821,26.71702291,25.64153288,27.99693574,24.45893452,27.11226687,39.94314205,43.23410306,36.51879022,37.25263544,18.75194533,15.65622398
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,6.550334516,6.05175389,6.339990157,6.788505485,16.53785632,17.67167765,31.23520052,18.24258809,13.65901861,11.96972199,17.63135105,22.15222697,27.82771183,34.42759113,33.43923808,30.2754835,21.09064744,22.47639778,14.55648487,10.27226412,18.09660766,17.75814584,20.21633742,18.68726382,22.01396803,15.73093398,16.21743459,14.53187352,13.91089548,12.76104003,14.99064422,8.267109752,7.312660708,6.249816969,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.64984631,29.99654755,37.05332083
Seychelles,,,,,,,,,,,36.20089038,6.203478149,2.897305218,4.463062659,5.838303402,7.860263605,8.962236312,8.946530867,9.550133803,12.81583518,9.135467296,8.102162825,7.237943514,5.788784075,5.399123659,6.929040556,4.578731323,3.999289341,5.929721082,6.155298274,4.211886892,7.39923428,7.752550656,5.896096488,6.183744673,8.048626932,20.64180889,12.59074511,9.430667055,7.4345034
Sierra Leone,,,,,,,,10.51190676,20.14235436,20.67882472,23.76063747,33.83241448,25.27171231,20.64221887,24.74939474,14.68898071,39.39454849,8.919906551,11.72915403,4.162963486,10.0410201,6.835343837,16.6320667,17.19860825,72.60562552,63.57282757,58.96321856,30.59610557,44.49240381,85.14908641,74.75276637,112.1729413,13.09590373,10.34539473,9.824940497,6.587282129,7.451556207,2.62110922,1.648682261,2.175418793
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,0.03722975852,1.89488616,0.3507638534,0.5986339921,0.6012239038,0.8243786781,2.329105655,4.487568812,5.568028767,10.05530839,6.690480265,9.214834979,11.84223202,11.34439043,5.485773369,5.791232793,8.197666848,3.836547353,3.868201557,2.492921838,5.997955353,4.832839594,7.078529612,7.144264257,10.93122849,9.852928191,13.09036935,9.06032375,2.380910411,5.867050266,5.222523771,4.000297836
Somalia,,,,,,,,3.792377099,2.865614668,2.706712967,6.300379087,18.48725622,7.903084509,13.70295378,20.05696253,15.69000066,65.75042534,39.45177822,9.202462111,47.59190183,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,9.367588654,9.541040281,11.58376788,17.23319185,12.16615601,12.07143492,9.772680096,11.34386397,12.28546611,5.736946514,3.970832753,4.476582484,6.502631125,5.447685699,4.342608792,9.269454285
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,26.47450902,24.8663437,19.12653607,15.03500193,13.58695343,13.36728198,15.4017925,18.14545332,18.89984465,15.24588688,19.46210013,25.19946516,27.74148391,25.84837828,22.11330451,16.11387667,15.98676879,15.13810329,11.56781394,10.11915181,9.335315463,9.269094826,9.245009329,9.866423432,13.21227122,12.06055699,11.81345847,11.72147873,8.852650942,10.18460976,5.276901038,10.52457794,8.489684237,11.91087165,15.58207856
Sudan,,,,,,,,13.23434938,17.17791343,16.18049866,25.60314375,24.00393647,32.27805986,27.93387511,21.79691225,17.97375257,44.47350421,21.11023622,29.86190512,11.61057401,9.710598357,5.797488226,7.20683112,5.384165781,0.5363137776,10.10265046,7.067117463,8.953159041,9.788707614,6.456743869,13.31038234,13.66420195,6.848362229,10.66296849,8.469343421,7.992324799,5.492262562,3.880323867,2.983944962,5.825494961
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,2.165014521,1.769718559,1.164527869,1.404649374,1.576598708,2.397576712,3.910590812,4.115289798,5.318018772,5.630465721,6.282163029,9.685096668,9.087592988,8.799258026,5.762402229,4.362161114,5.394756111,3.032694448,2.318841321,2.267775844,2.22772321,1.527689619,2.577025617,2.291349244,2.227009652,3.003128201,2.220044696,1.82974981,1.425309935,1.331958218,2.008341726,1.574450579,1.625133181,1.901562644,,2.141827905
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,4.545831318,3.854135916,9.361848185,6.887579679,7.675451574,6.757399166,6.0086448,,,,,,,3.547996866,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42657118,8.250430796,8.095528712,5.561460875,4.04783721,3.690581653,7.115808766,38.40155296
Tanzania,,,,,,,3.753123701,5.377701984,13.76045952,11.47028802,18.15812848,18.78164025,24.82687794,29.37774266,24.52432581,38.93680512,34.41372668,39.18403237,31.92391367,32.95285171,32.8936157,39.94747136,40.12423541,26.81445578,18.94240074,17.43155342,18.84895343,13.01534551,19.72990147,18.61925723,12.42093149,7.77542863,5.281530522,3.887791921,4.431771818,4.352079784,2.461007323,1.523275515,1.212538835,3.536397312
Thailand,,,,,,11.95347177,10.45119678,13.68825725,21.07062467,19.66844408,18.86229344,20.26489508,20.60366522,23.98704919,25.69575626,31.89174758,30.09775246,21.90956924,20.17878111,16.34843698,16.9080624,12.97301494,13.73520339,12.95218607,13.37409395,11.58878765,12.63385,15.50699576,18.41276328,21.78471087,16.26979051,25.38180855,23.23700326,15.73032949,11.04646133,13.65557445,9.370920564,11.7623193,7.91920425,6.783610645
Togo,,,,,3.622736236,9.461656225,12.16408897,24.24733845,18.70576506,8.71691088,9.177445826,18.1261019,18.81574172,16.48634158,23.71384595,28.35287445,29.274394,16.91989532,23.41452483,16.20052713,12.31147343,8.07457925,6.225680468,7.051633479,5.608148027,6.203319596,9.660877248,10.25202014,7.549400118,8.530768696,6.520819855,7.467256562,2.68945554,2.659929072,2.734846839,2.439531039,2.974674017,1.551887231,16.1380049,
Tonga,,,,,,,,,,,,,,,,3.21614299,3.548244102,3.501618157,3.998147087,3.059009829,3.486372125,4.351553822,4.693863026,4.458426565,,,,,,,,8.306324593,7.186708955,6.916868704,8.817410585,8.223189308,9.236321261,9.150013195,9.078934557,7.697997436
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,7.547794009,13.39865536,15.51976375,14.51055783,16.22555094,16.7326239,18.13198168,21.59398818,25.24407899,27.50499004,31.95245551,32.85831224,24.59856343,24.74623696,27.0061367,26.43073111,21.94487327,23.07960681,20.86845413,18.27111453,17.83748255,17.12915391,16.68863843,17.36441118,21.90569419,14.29597155,15.34899494,14.50182414,15.64991018,13.5882474,15.49296415,12.10368874,7.815890801,10.12256935
Turkey,,,,,12.37180596,18.66323092,23.2373475,41.59280419,47.90925204,45.15197036,43.77037037,39.86298388,37.44228052,39.49763403,33.04470528,40.30307436,40.95589232,41.20088861,41.91929825,37.56781439,33.79741336,36.06812484,35.89730146,31.62277539,34.10174529,30.07934069,23.3521647,22.29719061,26.40361497,38.88877321,38.88685442,42.3622847,48.51470891,38.7201671,34.51768955,38.31047876,33.55478856,32.50039652,29.88434956,41.60227675
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19603925,22.11165149,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,17.35167826,24.94048923,18.20512821,23.4014142,30.33742042,41.6764232,40.71648873,47.93045564,75.68531731,67.63197695,81.36389201,74.79754103,59.65700738,51.45814581,27.49916805,19.83695015,18.20210635,20.17110624,20.79639175,18.30688497,10.32909802,6.944308222,9.694209377,9.757307462,8.853719686,10.87707848,5.62494765,2.468107326,2.069152269,1.950931426
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,1.966586812,6.557109073,6.147432512,6.611573149,11.40230513,16.32894614,18.61524027,11.29831553,14.80502637,13.44581778,10.94645633,12.93907967,18.10918152,17.46818363,19.68785139,36.1575352
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,64.518952,11.95065684,18.77517726,16.15824533,30.45230039,27.15830606,36.3648845,42.59408018,31.74709846,36.49784667,39.05851232,29.51997101,40.83135068,33.08447131,18.34661187,19.48599031,15.17319021,22.05044617,15.50268125,15.63446322,23.63634261,24.65559624,27.23870722,35.11569518,40.13402688,26.35618477,29.0747767,34.28015609,86.72376218,15.70996968,14.71633024,21.008653
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,0.8937308743,2.114001435,1.620316947,1.573664359,1.97092364,4.242162337,3.017751249,2.548701413,2.285900563,1.494811269,1.425986996,1.512847163,1.405632037,1.30810912,1.18115517,1.395479343,0.842240221,1.000250912,1.064664641,0.9770960528,1.397954015,1.340088414,1.843599021,1.286839693,1.669985817,1.4885771,,
Venezuela,4.233745146,5.142048518,7.768841428,7.324550104,4.860279008,5.86126635,4.364176947,8.376441034,9.012842008,19.09177553,27.16008906,23.24528733,29.5214591,26.84952425,25.17297455,25.04424923,45.35935306,37.82701234,43.7046281,24.61184971,23.25205926,17.90236581,19.45827931,22.2651823,19.10965971,22.86328028,18.3981347,31.90408607,27.82876116,23.34111522,16.83830508,25.42472753,25.5795408,29.6096692,17.19842641,9.380788105,13.07131709,7.094737622,5.711651149,6.402232164
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,4.107491181,7.711644587,9.052106742,9.963851852,7.490864367,6.714425778,6.035139499,3.425991676,2.695009823,2.641565956,2.129982015,2.249708557,1.880412719,1.791121451
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,11.06840796,13.94151529,10.44400817,8.753074671,5.38409114,4.638627156,3.476514909,3.838115397,11.24868481,6.562744338,5.852075084,6.976839417,4.36035647,4.041539438,4.335722893,3.029656561,2.85550081,3.314056252,2.693035444,
Zambia,,,,,,,,,31.16862786,22.07077685,25.22801403,35.88412861,30.92927327,29.11545969,24.98149671,15.72360535,52.07694384,18.99089799,15.10513272,13.31594812,14.73309347,46.87506914,,,,,,19.37202522,20.95571917,16.09398374,20.80404321,17.18924946,19.62691601,43.46401333,22.14493532,11.11267332,3.369119728,2.513801376,3.148239979,3.75301014
Zimbabwe,,,,,,,,0.5896440371,0.8093729552,1.183059492,3.802246627,6.427339432,13.21694257,36.90736814,26.15869236,29.04443525,31.13683215,32.28516642,28.48007015,22.37510266,23.14536184,23.08169039,32.29859595,30.99862351,25.20432838,,,,,,,,,,,,,,,
