Breast Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94,14.87,,,14.66,13.99,14.97,13.92,16.82,16.52,17.9,17.47,15.1,18.03,18.76,19.52,19.13,18.38,18.32,22.33,19.16,18
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
Finland,,,10.7,11.03,11.08,12.98,12.53,14.25,13.76,13.17,13.66,14.04,13.38,12.41,14.37,13.59,15.44,15.09,14.01,14.95,14.13,15,15.29,15.05,16.18,15.59,14.33,16.05,14.62,15.62,15.84,14.6,15.26,16.78,15.85,16.24,16.74,16.42,18.18,16.69,17.32,15.98,16.64,16.54,16.16,17.52,16.35,16.31,16.15,16.74,15.96,16.03,14.62
France,12.88,,13.67,14.01,14.35,14.43,15.5,15.44,15.65,15.99,15.95,15.1,15.89,16.3,16.65,16.94,17.54,17.54,17.53,17.34,17.39,17.68,18.43,18.32,18.71,19.09,18.86,18.49,18.06,18.74,18.56,19.55,19.7,19.74,19.36,19.24,19.81,19.62,20.07,19.92,19.88,19.95,19.85,19.94,19.76,19.54,19.47,19.36,18.98,19.65,18.65,18.34,18.18
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1
Germany,,,,,,,,,,,,,,,,,,,,,,,,18.85,19.28,19.34,19.84,19.23,19.36,,20.02,20.44,20.8,21.06,20.74,21.34,21.77,22,22.02,21.93,21.85,22.35,22.23,22.4,21.73,22.06,22.01,20.88,19.84,19.68,19.53,18.93,18.92
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
Greece,,,,,,,,,,,,4.83,6.75,7.3,7.98,8.21,7.16,9.22,9.34,9.82,9.81,9.77,12.22,11.67,10.93,11.6,12.88,13.13,13.47,14.05,14.96,14.59,15.61,14.66,15.42,15.25,15.1,15.97,15.43,15.58,15.27,14.95,15.48,15.9,16.35,15.81,16.09,14.77,14.38,14.48,14.6,15.21,15.52
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6
Guatemala,,,,,,,,,,,,,,1.91,2.3,2.04,1.96,2.59,1.6,1.81,2.23,2.13,,,2.42,2.14,1.89,1.63,2.25,2.18,1.95,2.61,,,2.28,,2.31,2.68,3.48,2.29,2.97,1.86,3.13,3.63,3.39,3.37,2.83,3.24,4.41,3.75,4.28,3.1,4.1
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
"Hong Kong, China",,,,,,,,,,,9.76,8.57,8.08,8.7,9.86,9.59,8.67,7.87,8.95,7.99,9.2,9.41,9.6,10.15,8.89,9.62,9.21,9.05,9.5,8.84,8.02,8.99,7.65,8.22,9.2,9.2,8.24,8.64,8.4,8.72,8.62,10.05,9.53,9,9.12,7.96,9.29,9,8.6,8.61,8.38,8.05,8.62
