Lung Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7
"Hong Kong, China",,,,,,,,,,,18.92,22.25,22.9,25.48,28.51,30.85,31.16,32.82,33.82,40.35,37.85,40.12,41.79,43.87,44.07,46.51,48.53,53.35,54.54,54.87,60.4,53.45,53.86,55.48,54.56,54.46,57.17,57.4,51.48,56.83,58.06,54.62,55.31,55.48,53.96,51.54,49.24,48.8,49.11,49.37,51.14,46.98,46.38
Hungary,,,,,,21.09,22.64,23.5,23.99,27.88,27.34,30.22,30.01,32.23,32.68,36.12,37.58,39.15,40.03,40.86,40.14,43.08,42.35,43.44,47.65,47.25,49.03,50.51,54.69,56.45,57.1,60.91,63.43,64.69,67.33,67.25,73.45,75.63,73.66,74.87,78.95,80.22,83.14,83.6,84.53,82.91,84.75,84.08,84.93,82.96,81.35,80.22,78.66
Iceland,,6.18,,8.49,6.81,9.75,9.52,8.63,7.08,12.9,9.58,9.1,13.35,11.06,14.52,10.65,11.54,21.18,16.08,11.73,17.18,10,19.06,14.06,14.17,19.49,16.02,23.55,20.85,25.69,15.29,33.64,29.96,27.48,20.53,32.01,24.41,27.62,30.6,26.57,30.4,35.35,27.38,29.74,22.99,29.19,34.24,36.04,29.35,32.93,26.27,30.45,25.06
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
Ireland,10.21,12.5,14.46,16.65,18.09,19.13,21.95,22.1,21.66,24.6,26.37,27.89,28.51,27.59,28.62,31.39,34.38,34.41,38.36,36.31,40.38,40.23,39.57,43.06,43.54,44.72,48.34,46.37,46.35,46.66,44.93,49.81,45.72,50.21,51.93,52.44,51.92,46.78,49.55,47.2,46.57,44.86,45.97,47.26,45.31,43.36,40.01,37.09,39.79,36.67,38.06,35.93,35.14
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,26.18,26.2,25.61,25.37,26.13,27.21,23.28,25.23,24.09,25.17,25.92,24.44,23.5,24.06,26.48,28.3,27.04,26.03,29.51,28.7,27.34,26.8,26.61,27.37,27.23,26.8,27.07,28.12
Italy,,9.45,10.77,12.05,13.96,14.7,16.68,17.77,18.47,19.78,21.65,22.82,24.3,25.13,28.04,29.23,30.57,32.28,34.46,36.21,36.02,38.63,39.66,41.11,43.21,44.79,47.1,48.53,50.44,52.35,55.13,54.76,56.85,58.23,58.26,59.34,58.04,59.78,59.35,57.36,56.13,55.76,55.54,55.02,54.07,52.3,51.15,50.14,49.21,48.2,46.03,45.36,44.23
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1
Japan,2.69,2.69,3.48,3.86,4.89,5.77,6.86,7.35,8.23,9.15,9.8,10.35,11.15,11.95,12.51,12.99,13.73,14.42,14.9,15.66,15.86,16.56,17.69,18.02,18.89,19.59,20.44,21.72,22.43,23.67,24.27,25.34,25.78,26.45,27.32,27.68,27.54,28.71,29.3,30.21,30.35,30.48,30.74,30.86,31.06,31.51,31.95,31.42,31.37,31.01,30.89,30.42,30.22
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,52.67,,,59.51,62.24,63.72,65.08,67.84,70.64,69.87,71.09,70.73,63.97,63.25,59.47,57.33,58.45,54.38,54.61,51.71,52.04
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,19.21,20.39,22.85,25.23,26.51,28.68,32.76,34.74,37.84,37.72,37.36,38.31,37.06,38.46,40.93,40.7,40.27
Kuwait,,,,,,,,,,,,,,,,,,,,,,,15.06,,,17.93,16.83,24.86,20.65,24.6,25.59,16.69,30.2,24.54,26.8,26.09,20.44,18.66,,,,,,11.87,11.79,20.32,19.63,19.29,15.92,11.48,16.99,9.58,12.28
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.77,33.23,,,31.19,32.68,32.19,35.11,38.71,35.14,36.29,36.41,28.15,25.47,25.99,24.04,23.69,22.31,22.84,20.38,19.35,22.15
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.86,51.09,57.91,57.73,56.64,58.81,62.83,64.85,66.08,65.43,63.94,70.83,68.1,63.61,67.22,60.97,62.33,57.23,57.97,61.82,55.5,60.26,56.63
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.29,51.81,,,54.2,56.13,57.88,59.83,59.51,61.46,65.03,62.91,62.96,64.79,63.4,60.33,57.9,60.33,58.69,54.13,55.58,55.21
Luxembourg,,,,,,,,,,,,,,,,,,63.51,65.72,56.77,71.45,69.1,63.32,67.07,54.93,66.74,68.53,71.53,65.46,64.36,67.29,71.75,72.98,70.41,67.46,66.17,72.5,70.25,72.4,63.13,61.6,55.89,62.57,63.51,51.91,58.45,54.84,54.09,53.29,46.41,48.06,41.67,44
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.65,34.93,38.04,41.29,36.43,41.33,41.49,43.11,39.91,41.45,41.64,42.24
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
Malta,,,,,,,,,,,,,,,,38.38,,30.7,38.06,40.92,35.94,44.2,25.01,29.24,30.44,47.36,38.99,31.18,41.25,40.01,39.62,41.53,39.64,40.18,39.89,47.48,47.48,47.77,35.49,45.36,40.48,44.11,43.76,42.54,40.42,43.33,49.16,38.57,32.29,38.19,35.12,40.76,41.35
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Mauritius,,,,,,,,,,,,12.15,9.55,8.57,11.82,4.35,11.11,9.39,16.95,16.24,15.71,11.47,20.94,27.53,10.94,18.63,19.57,11.83,16.91,21.52,22.18,30.83,19.84,15.35,19.29,19.94,17.1,14.3,20.29,18.71,15.59,18.74,17.62,14.93,14.8,17.49,16.45,12.7,16.7,14.02,12.86,19.88,15.87
Mexico,,,,,,3.66,4.28,4.41,5.58,5.54,5.84,5.71,5.47,5.69,5.98,6.64,6.56,7.55,7.12,6.87,7.45,7.79,7.98,8.29,8.62,9.31,9.65,9.79,10.86,11.81,11.06,12.05,12.41,12.97,13.34,14.25,14.47,15.03,15.18,15.83,14.77,14.81,15.28,16.02,15.36,14.91,14.22,14.49,13.7,13.62,12.66,12.65,12.5
