Total agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Thailand,70.80000305,64.19999695,61.5,63.09999847,64.40000153,68.40000153,66.69999695,64.40000153,66.40000153,66.59999847,63.29999924,59.59999847,60.29999924,56.20000076,55.5,51.59999847,49.79999924,50.09999847,51,48.20000076,48.5,46,46.09999847,44.90000153,42.29999924,42.59999847,42.09999847,41.70000076
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,23.89999962,22,16.79999924,19.5,20.10000038,18.20000076
Tonga,,,,,43.20000076,,,,,,,,,,,,,,,,,,,31.79999924,,,,
Trinidad and Tobago,10.19999981,9.800000191,8.699999809,8.600000381,9.300000191,10.80000019,11.10000038,11.69999981,13,13.80000019,,11.69999981,11.5,11.30000019,12.39999962,10.60000038,9.600000381,9.5,8.100000381,8.100000381,7.199999809,7.800000191,6.900000095,5.900000095,4.599999905,4.300000191,,
Tunisia,33.40000153,32.5,31.60000038,,,,,,,25.79999924,,,,,,,,,,,,,,,,,,
Turkey,,,4.300000191,4.800000191,4.400000095,45,,,47.40000153,48.20000076,46.90000153,47.79999924,44.70000076,42.20000076,43.59999847,43.40000153,42.79999924,40.79999924,40.5,41.40000153,36,37.59999847,34.90000153,33.90000153,34,29.5,27.29999924,26.39999962
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,2.900000095,1.700000048,1.399999976,2,1.700000048,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,68.69999695,,,,
Ukraine,,,,,,,,20.39999962,19.70000076,19.10000038,19.79999924,19.29999924,20.79999924,20.70000076,21,22.5,21.89999962,22.10000038,22.60000038,22.70000076,23.39999962,20.89999962,20.60000038,20.39999962,19.70000076,19.39999962,17.60000038,16.70000076
United Arab Emirates,,,,,,,,,,,,,,,,8,,,,,7.900000095,,,,,4.900000095,,
United Kingdom,2.599999905,2.599999905,2.599999905,2.599999905,2.5,2.5,2.5,2.400000095,2.299999952,2.200000048,2.099999905,2.200000048,2.200000048,2,2.099999905,2.099999905,2,1.899999976,1.700000048,1.600000024,1.5,1.399999976,1.399999976,1.299999952,1.299999952,1.399999976,1.299999952,1.399999976
United States,3.599999905,3.5,3.599999905,3.5,3.299999952,3.099999905,3.099999905,3,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.700000048,2.900000095,2.900000095,2.799999952,2.700000048,2.700000048,2.599999905,2.599999905,2.400000095,2.5,1.700000048,1.600000024,1.600000024,1.5,1.399999976
Uruguay,,,,,,,,,,,,,4.5,3.900000095,4.300000191,4.800000191,,,3.900000095,3.900000095,4.099999905,4.199999809,4.199999809,4.5,5,4.599999905,11.10000038,11
Uzbekistan,,,,,,,,,,,,,,,,41.20000076,40.90000153,40.40000153,39.40000153,38.5,,,,,,,,
Venezuela,15,14.60000038,14.5,14.80000019,16.10000038,16.20000076,15.5,14.30000019,13.5,13.39999962,13.39999962,12.60000038,11.80000019,11.30000019,,,,,,,,,,10.69999981,,,9.100000381,8.699999809
Vietnam,,,,,,,,,,,,,,,,,70,65.30000305,64.80000305,65,65.30000305,64,62,59.70000076,57.90000153,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,14.30000019,13.10000038,12.10000038,12.60000038,13.69999981,11.69999981,14.80000019,15.69999981,15.89999962,14.60000038,16.10000038,15.60000038
"Yemen, Rep.",,,,,,,,,,,,52.59999847,,,53.59999847,,,,56.29999924,54.09999847,,,,,,,,
Zambia,,,,,,,,,,,49.79999924,,,,,,,,70,,71.59999847,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,60,,,,,,,,
