Water resources: total internal renewable per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Paraguay,46762.21,40913.28,36039.02,31867.58,27738.29,23992.04,21036.73,18728.84,16873.67,15625.77
Peru,153664.59,133193.31,115832.22,100924.21,88790.09,79130.31,71414.78,65655.86,61395.75,58574.96
Philippines,16639.5,14295.44,12386.73,10788.47,9477.71,8402.8,7468.92,6691.9,6025.92,5552.74
Poland,1760.79,1676.69,1615.73,1548.54,1478.14,1423.8,1397,1389.25,1398.07,1405.34
Portugal,4242.36,4285.82,4338.08,4053.66,3830.54,3794.8,3806.06,3765.84,3672.78,3592.13
Puerto Rico,2901.61,2689.09,2541.22,2332.1,2165.94,2065.04,1975.02,1890.41,1829.42,1789.03
Qatar,1057.6814,664.5385,415.7818,294.2799,202.2376,136.7361,113.5336,101.3231,81.5121,68.1835
"Korea, Rep.",2452.73,2169.274,1947.668,1778.439,1652.627,1556.184,1483.105,1416.367,1371.57,1349.623
Moldova,,,,,,,226.71,232.28,247.96,260.91
Reunion,14103.01,11914.26,10549.1,10203.29,9546.17,8707.11,7975.28,7269.23,6674.72,6279.89
Romania,2269.25,2171.43,2045.95,1953.54,1885.04,1841.12,1832.71,1884.22,1929.02,1964.54
Russia,,,,,,,28881.66,29009.14,29506.86,30112.14
Rwanda,3159.49,2788.44,2363.03,2018.86,1719.14,1399.26,1438.05,1492.92,1084.28,1003.77
Saint Helena,,,,,,,,,,
Saint Kitts and Nevis,470.9391,506.6176,541.4185,546.361,561.6662,581.4376,580.72,542.0543,507.6571,482.1794
Saint Lucia,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,33812.079,32230.879,28349.979,25046.531,22131.53,20094.944,18030.834,16420.484,15023.5,14053.092
Saudi Arabia,553.68,467.66,383.25,297.13,221.7,167.7,140.02,125.04,109.5,99.27
Senegal,7448.28,6429.91,5510.39,4769.97,4149.83,3572.79,3089.49,2702.06,2368.95,2137.09
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,4218.9,4038.62,4126.64,4202.08
Seychelles,,,,,,,,,,
Sierra Leone,68590.75,62718.95,57271.67,52363.28,47666.06,42091.58,38689.62,37948.13,32492.59,27861.48
Singapore,344.25,305.92,278.68,258.85,238.05,212.46,188.56,162.04,144.1,136.92
Slovak Republic,,,,,,,,2341.32,2338.74,2338.47
Slovenia,,,,,,,,9460.368,9378.181,9331.122
Solomon Islands,356013.6,306338.53,258897.8,216349.64,181930.66,155004.88,134620.3,116799.23,102068.07,92351.17
Somalia,2032.69,1793.16,1632.02,1183.77,898.54,913.55,920.76,932.71,800.63,710.44
South Africa,2445.08,2149.36,1887.49,1658.8,1463.25,1304.24,1164.05,1036.17,961.76,927.87
Spain,3579.9,3397.69,3220.9,3047.89,2927.1,2879.79,2847.41,2811.68,2686.74,2533.79
Sri Lanka,4902.89,4344.42,3881.63,3522.14,3250.51,3038.98,2852.3,2721.33,2647.3,2603.15
Sudan,2505.57,2231.61,1956.94,1681.17,1428.03,1238.6,1100.01,966.35,863.25,795.59
Suriname,287136.91,250501,235643.8,245538.45,241370.98,224216.96,215869.34,207690.2,198428.35,193290.61
Swaziland,7125.852,6316.801,5487.55,4702.981,4052.013,3404.896,2910.932,2642.835,2423.574,2328.835
Sweden,22578.55,21748.2,21064.65,20736.56,20545.73,20325.19,19704.64,19310.21,19170.47,18836.38
Switzerland,7265.8,6718.55,6441.17,6382.99,6333.01,6075.11,5800.2,5613.15,5516.25,5419.33
Syria,1451.9035,1237.2437,1047.0532,884.0789,737.1637,615.9366,528.9854,464.8699,409.6176,367.4856
Tajikistan,,,,,,14545.9,12014.08,11166.97,10494.13,9985.18
Thailand,7133.59,6130.04,5351.82,4763.11,4330.79,4018.51,3777.34,3569.59,3404.96,3310
"Macedonia, FYR",,,,,,,2791.83,2722.8,2671.19,2651.76
Timor-Leste,,,,,,,,,,
Togo,7129.79,6144.85,5055.55,4485.25,3844.95,3191.78,2759.63,2373.06,2002.24,1793.95
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,4418.892,4147.979,3883.302,3710.446,3422.71,3196.662,3091.396,2990.619,2931.02,2890.625
Tunisia,958.647,870.0095,787.5527,704.0074,616.8382,545.4244,491.0977,454.7065,428.9247,410.6616
Turkey,7639.53,6756.04,5950.26,5253.91,4667.85,4182.06,3817.1,3495.46,3236.58,3070.81
Turkmenistan,,,,,,421.705,350.075,313.772,293.742,277.581
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,5387.5,4549.07,3897.06,3373.9,2901.79,2448.69,2032.83,1727.49,1483.76,1304.4
Ukraine,,,,,,,1030.63,1056.51,1105.61,1140.52
United Arab Emirates,1379.792,920.629,473.121,208.85,127.071,94.787,72.458,54.863,41.632,35.306
United Kingdom,2728.75,2637.22,2590.63,2576.17,2572.51,2553.17,2520.74,2487.99,2441.55,2396.21
Tanzania,7864.8,6774.01,5794.13,4938.06,4223.97,3618.67,3084.14,2667.32,2358.54,2128.8
Virgin Islands (U.S.),,,,,,,,,,
United States,14600.72,13731.98,13076.51,12481.97,11883.2,11283.02,10701.23,10143.35,9627.55,9245.76
Uruguay,22666.85,21463.52,20922.09,20663.16,19988.36,19367.42,18734.41,18068.54,17736.91,17711.36
Uzbekistan,,,,,,,759.671,689.801,642.004,605.622
Vanuatu,,,,,,,,,,
Venezuela,88420.3252,74345.6164,62962.1001,52874.8602,45194.6168,39545.1858,34936.2646,31398.7944,28520.3709,26569.2847
Vietnam,10367.13,9165.98,8158.45,7339.15,6626.93,5924.81,5302.03,4838.86,4500.22,4251.45
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",385.57,348.04,316.64,278.6,232.38,192.43,154.94,126.24,108.83,96.63
Zambia,24097.23,20688.38,17583.83,14871.65,12638.86,10788.05,9354.23,8232.24,7378.34,6856.95
Zimbabwe,3061.705,2599.675,2201.098,1863.991,1558.002,1287.557,1108.483,1005.356,953.394,926.808
