Surface area (sq. km),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
India,,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,
Indonesia,,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,1904570,
Iran,,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,
Iraq,,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,435240,435240,
Ireland,,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,
Isle of Man,,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,
Israel,,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,
Italy,,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,
Jamaica,,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,
Japan,,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377880,377890,377900,377910,377910,377920,377930,377940,377940,377940,
Jordan,,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,89320,89320,
Kazakhstan,,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,
Kenya,,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,
Kiribati,,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,
"Korea, Dem. Rep.",,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,
"Korea, Rep.",,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99540,99590,99600,99620,99650,99680,99720,99830,99900,99900,
Kosovo,,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,
Kuwait,,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,
Kyrgyzstan,,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199940,199940,
Laos,,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,
Latvia,,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64550,64560,64560,
Lebanon,,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,
Lesotho,,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,
Liberia,,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,
Libya,,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,
Liechtenstein,,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
Lithuania,,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,
"Macao, China",,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,
"Macedonia, FYR",,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,
Madagascar,,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,
Malawi,,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,
Malaysia,,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,
Maldives,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
Mali,,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,
Malta,,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
Mauritania,,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,
Mauritius,,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,
Mayotte,,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,
Mexico,,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,
"Micronesia, Fed. Sts.",,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,
Moldova,,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33840,33840,33850,33850,33840,33840,33840,33840,33840,33840,33840,33850,33850,33850,33850,33850,33850,33850,
Monaco,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Mongolia,,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,
Montenegro,,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,
Morocco,,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,
Mozambique,,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,
Myanmar,,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,
Namibia,,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,
Nepal,,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,
Netherlands,,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41540,41540,41540,41540,41540,41540,
New Caledonia,,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,
New Zealand,,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,
Nicaragua,,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,
Niger,,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,
Nigeria,,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,
Norway,,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323800,323780,323780,323780,
Oman,,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,
Pakistan,,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,
Panama,,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,
Papua New Guinea,,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,
Paraguay,,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,
Peru,,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,
Philippines,,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,
Poland,,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312680,312680,312680,312680,312680,
Portugal,,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92090,92090,92090,92090,92090,92090,
Puerto Rico,,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,
Qatar,,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,11590,
Romania,,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,
Russia,,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,
Rwanda,,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,
Saint Kitts and Nevis,,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,
Saint Lucia,,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,
Saint Martin,,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,
Saint Vincent and the Grenadines,,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,
Samoa,,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,
San Marino,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
Sao Tome and Principe,,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,
Saudi Arabia,,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,
Senegal,,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,196720,
Serbia,,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,
Seychelles,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,
Sierra Leone,,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,71740,
Singapore,,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,690,690,690,700,700,710,710,710,
Slovak Republic,,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49040,49040,
Slovenia,,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,
Solomon Islands,,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,
