Lung Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Netherlands,3.05,3.69,2.8,3.09,3.23,2.79,3.29,3.14,2.96,3.14,3.24,3.66,3.24,3.45,3.46,3.43,3.3,3.67,3.97,3.3,3.69,3.86,4.15,3.81,4.43,4.3,4.6,5.06,5.39,5.41,6.13,6.45,6.97,7.14,8.1,8.22,8.78,8.79,9.87,10.46,10.31,10.75,11.73,12.61,13.36,13.82,13.86,14.75,14.95,15.99,16.85,17.04,18.1
New Zealand,2.55,3.22,3.56,2.99,2.56,3.04,4.46,3.39,4.1,3.89,4.63,5.32,4.39,5.59,5.58,4.78,5,5.91,6.11,7.31,8.99,8.06,9.91,10.85,11.21,10.96,10.58,11.81,12.4,12.66,12.74,14.03,13.88,13.54,13.68,15.16,14.17,17.11,16.46,17.61,17.96,17.56,17.13,17.17,18.23,18.6,17.7,18.96,17.94,19.1,17.2,19.16,18.06
Nicaragua,,,,,,,,,,,,0.12,0.29,0.61,0.61,0.26,,,0.64,2.17,,,,0.65,0.43,1.22,0.29,0.62,,,,,,,,,,,1.68,1.98,1.92,2.3,1.41,1.54,1.93,,3.3,2.74,1.5,2.08,3.24,2.32,2.32
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
Norway,,2.55,3.1,2.32,2.22,2.78,2.3,2.55,2.21,2.86,2.58,2.5,2.61,2.56,3.05,2.19,2.63,3.33,3.45,3.87,3.5,3.86,3.79,4.33,4.04,4.56,4.56,4.89,4.8,5.33,5.84,5.76,6.97,6.67,7.81,8.5,8.83,8.63,10.29,9.99,10.58,10.98,10.71,11.07,13.52,13.05,14.46,16.39,14.21,14.06,15.88,16.62,15.8
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
Panama,,,,,,0.96,1.09,1.64,1.68,2.35,2.21,2.46,2.91,1.96,0.64,2.46,1.16,1.76,0.7,1.93,1.86,2.04,1.75,3.85,2.92,3.19,2.22,3.17,2.45,3.37,4.03,2.82,4.27,3.74,4,3.72,4.24,5.29,3.2,4.33,,,,,,,4.45,4.16,3.86,3.47,5.01,3.69,5.13
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
