"Residential electricity consumption, total (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Luxembourg,49008820,50009000,56010080,60010800,65011700,83014940,96017280,114020520,130023400,158028440,168030240,184033120,196035280,218039240,250045000,285051300,320057600,355063900,394070920,429077220,465083700,510091800,525094500,530095400,555099900,580104400,604108720,623112140,625112500,632113760,575103500,601108180,615110700,646116280,649116820,661118980,661118980,634114120,659118620,659118620,655117900,663119340,668120240,685123300,725130500,728131040,747134460,749134820,761136980
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10164829340,10164829340,10292852380,11339040660,12572262600,13502430000,14514612160,15339760660,16223919780,17619170880,18584344580,19398491100
Malta,,,,,,,,,,,,,,,,,,,,,,,,164029520,198035640,200036000,203036540,210037800,242043560,252045360,262047160,270048600,280050400,283050940,382068760,400072000,433077940,462083160,500090000,541097380,559100620,540097200,570102600,629113220,615110700,623112140,659118620,658118440,645116100
Mexico,,,,,,,,,,,,6899241640,7621371600,8651557000,5509991620,6057090080,6707207080,7363325160,8270488420,9211657800,10039806840,11213017980,12513251980,12981336220,13413413980,14287571300,15081714220,15714828160,16828028500,18816386340,20394670380,21990957660,24059329900,25519592700,27791001480,28472124060,28494128020,29662338260,31680701500,33362004080,36118500160,38113859260,38546937200,39986196220,40860353540,46146304840,48380706960,49885977860,47459541180
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730311400,1839331020,1758316440,1849332820,1683302940,1860334800,1950351000,1767318060,1676301680,1222219960,1219219420,1432257760,1264227520,1487267660,1573283140,1690304200,1763317340,1295233100,1371246780
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,432077760,454081720,459082620,475085500,478086040,472084960,452081360,357064260,406073080,475085500,557100260,422075960,442079560,471084780,498089640,517093060,536096480,552099360,598107640,653117540,710127800,808145440,839151020,886159480
Morocco,,,,,,,,,,,,485087300,567102060,579104220,609109620,630113400,677121860,751135180,836150480,902162360,998179640,1046188280,1223220140,1332239760,1349242820,1485267300,1555279900,1745314100,1893340740,1987357660,2146386280,2426436680,2693484740,2814506520,3127562860,3311595980,3428617040,3607649260,3847692460,3953711540,4144745920,3934708120,4209757620,4652837360,5012902160,5563001160,6131103400,6550178820,7166289700
Mozambique,,,,,,,,,,,,172030960,173031140,202036360,245044100,206037080,234042120,223040140,243043740,152027360,156028080,158028440,216038880,170030600,133023940,150027000,176031680,181032580,181032580,203036540,222039960,258046440,252045360,285051300,260046800,272048960,258046440,304054720,337060660,379068220,392070560,442079560,414074520,412074160,448080640,533095940,577103860,576103680,634114120
Myanmar,,,,,,,,,,,,116020880,125022500,131023580,146026280,148026640,183032940,214038520,236042480,259046620,272048960,265047700,320057600,341061380,374067320,409073620,437078660,481086580,500090000,571102780,628113040,658118440,766137880,883158940,980176400,1026184680,1054189720,1207217260,1132203760,1106199080,1296233280,1245224100,1431257580,1612290160,1662299160,1463263340,1703306540,1549278820,1829329220
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,47008460,61010980,39007020,51009180,49008820,71012780,76013680,84015120,95017100,79014220,92016560,120021600,131023580,158028440,143025740,165029700,190034200,197035460,236042480,266047880,280050400,265047700,280050400,307055260,335060300,362065160,385069300,418075240,475085500,535096300,594106920,627112860,677121860,773139140,820147600,806145080,893160740,931167580
Netherlands,2793502740,3095557100,3553639540,4035726300,4435798300,5020903600,5705026720,6234121940,6971254600,7749394640,8665559520,9328678860,10011801800,10960972620,11244023560,12440238840,13513431980,13634453760,14360584440,14956691720,15149726460,15146725920,14996698920,15306754720,15852853000,16002880000,16202916000,16602988000,15502790000,16002880000,16502970000,17103078000,17503150000,17903222000,18503330000,19704546180,20005600360,20405672360,20807744720,21358843900,21811925440,22114979980,22819106700,23333199220,23535235580,24236361760,24837469940,24298372920,24802463640
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,2450441000,2665479700,2858514440,3214578520,3437618660,3785681300,4053729540,4153747540,5874057140,6113100160,6421155600,6815226520,7385329120,7440339020,7553359360,8404512540,8399511640,8315496520,8182472580,7910423620,8036446300,8266487700,8734571940,8982616580,8999619640,9081634400,9425696320,9424696140,9511711800,9825768320,10265847520,10475885320,10125822320,10257846080,10377867680,10654917540,10868956060,11029985040,11145005740,11224019960,11336040120,11573082780,11691104020,12057169900,12314216160,12173190780,12657277900,12449240460,12434237760
Nicaragua,,,,,,,,,,,,222039960,246044280,203036540,260046800,291052380,329059220,370066600,384069120,324058320,377067860,387069660,403072540,432077760,445080100,380068400,376067680,499089820,490088200,311055980,369066420,402072360,433077940,440079200,401072180,410073800,421075780,459082620,450081000,460082800,448080640,452081360,470084600,515092700,541097380,603108540,643115740,689124020,733131940
Nigeria,,,,,,,,,,,,580104400,638114840,758136440,902162360,1036186480,1360244800,1600288000,2218399240,1944349920,2130383400,2724490320,3018543240,3136564480,2861514980,3259586620,4175751500,4105738900,3888699840,4587825660,3949710820,4024724320,4340781200,5217939060,5037906660,4950891000,4538816840,4452801360,4381788580,4417795060,4431797580,4608829440,7716388700,7670380420,9558720260,10303854360,7833409760,10092816380,10241843200
Norway,8134463940,8453521360,9529715040,10343861560,10962972980,11803124180,12787301300,13073352780,14537616300,14331579220,14965693340,14690643840,15340760840,15959872260,16697004920,17650176460,18931407040,20379667680,20944769380,22349022100,22527054140,23877297140,25084514400,25778639320,28224079420,28916203980,29928386140,30218438340,29299272920,28869195520,30304453820,32619870520,32655877000,32792901660,34021122700,34633232860,35294351840,33984116040,35054308640,35052308280,34647235380,35882457680,34653236460,32028764140,32410832900,34012121080,33652056280,34954290640,34518212160
Oman,,,,,,,,,,,,6001080,10001800,21003780,42007560,71012780,123022140,188033840,217039060,278050040,379068220,484087120,609109620,747134460,931167580,1154207720,1470264600,1568282240,1745314100,1817327060,2083374940,2190394200,2498449640,2871516780,3081554580,3125562500,3043547740,3246584280,3672660960,3785681300,3966713880,4226760680,4414794520,4633833940,4962893160,4759856620,5790042020,6155107720,7031265400
Pakistan,,,,,,,,,,,,635114300,635114300,635114300,740133200,852153360,943169740,1128203040,1296233280,1706307080,2357424260,2696485280,3223580140,3752675360,4535816300,5076913680,5846052100,6807225080,7901422000,8683562760,9361684800,10410873620,13172370600,14082534400,15581804220,17128082500,17760196260,18753375000,19397490920,21458861900,22769097700,23214177800,23628252320,25850652280,27605968180,30725529600,33341000300,33710066720,32287810760
Panama,,,,,,,,,,,,255045900,301054180,337060660,343061740,361064980,393070740,403072540,413074340,445080100,457082260,475085500,499089820,528095040,522093960,560100800,607109260,663119340,655117900,614110520,637114660,673121140,716128880,750135000,789142020,848152640,863155340,937168660,1005180900,1042187560,1118201240,1161208980,1261226980,1341241380,1438258840,1496269280,1534276120,1596287280,1647296460
Paraguay,,,,,,,,,,,,85015300,94016920,116020880,132023760,154027720,176031680,208037440,240043200,276049680,347062460,394070920,437078660,494088920,544097920,568102240,645116100,709127620,808145440,838150840,983176940,1120201600,1283230940,1543277740,1891340380,2185393300,2323418140,2476445680,2564461520,2764497520,2874517320,2907523260,2802504360,2602468360,2664479520,3141565380,3402612360,3352603360,3610649800
Peru,,,,,,,,,,,,1499269820,1778320040,1813326340,2046368280,2441439380,2418435240,2731491580,2685483300,2836510480,3010541800,3231581580,3475625500,3638654840,3638654840,3731671580,3963713340,4301774180,4266767880,4091736380,4266767880,4858874440,4335780300,4556820080,4742853560,4933887940,5393970740,5674021140,4687843660,4729851220,5034906120,5278950040,5612009980,5899061640,6413154160,7005260720,7880418220,6395150920,6952251180
Philippines,,,,,,,,,,,,,,,,1517273060,1593286740,1776319680,2544457920,2462443160,2937528660,3424616320,3589646020,3991718380,4198755640,4482806760,3536636480,4702846360,5105918900,5161928980,5610009620,6250124820,6054089540,6369146240,7283310760,8224480140,9151647000,10478885860,11938148480,11877137500,12896320920,13549438460,13717468700,15359764260,15922865600,16033885580,15832849400,16378947680,16646995920
Poland,2004360720,2204396720,2414434520,2408433440,2421435780,2623472140,2893520740,3189574020,3479626220,3792682560,4144745920,4530815400,5005900900,5481986580,6128102860,6948250460,7919425240,8522533780,9178651860,9912783980,10717928880,12165189340,12629272860,11943149380,14149546460,14926686320,15648816280,17070072060,17830208860,18800383460,20219638880,20209637080,18950410460,18209277080,18209277080,18078253500,19227460320,19774558780,20317656520,20803744000,21037786120,21379847680,21662898620,24856473360,25480585680,25257545540,26471764060,26373746420,27119880700
Portugal,461082980,506091080,558100440,618111240,676121680,749134820,785141300,853153540,934168120,1054189720,1217219060,1415254700,1534276120,1669300420,1841331380,2038366840,2345422100,2591466380,2813506340,3042547560,3275589500,3524634320,3746674280,3680662400,4076733680,4452801360,4687843660,4910883800,5110919800,5671020600,5921065600,6600187820,6798223460,7117280880,7401332000,7865415520,8441519200,8424516140,8785581120,9524714140,10057810080,10626912500,11384048760,11837130300,12434237760,13244383560,13408413080,13865495340,13446419920
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,1495269100,1500270000,1500270000,1510271800,1983356940,2456442080,2928527040,3160568800,3808685440,3305594900,3046548280,3625652500,3680662400,4329779220,3973715140,3511631980,3048548640,2586465480,2123382140,2148386640,3079554220,3554639720,3987717660,4419795420
Romania,,,,,,,,,,,,2513452340,2887519660,3183572940,3257586260,3717669060,4255765900,4801864180,5377967860,5378968040,4889880020,5132923760,5050909000,4994898920,4784861120,4814866520,4992898560,4807865260,4482806760,4296773280,5354963720,6748214460,7597367280,7024264140,6647196280,7117280880,8123461960,7947430280,7918425060,7884418940,7653377360,7725390320,7772398780,8244483740,8044447740,9235662120,10000799820,10390870020,10401872000
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106966250460,116219915820,115795839500,121188810060,126073689180,126086691520,132038762700,132989933880,134598223320,140117216560,140748330140,142563656840,142717684560,142279605720,143340796700,108934604700,112547254860,115950867400,117155084120
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,14803664180,16916044340,19491507840,21114799980,24083334220,25385568580,26876836960,28964212620,29881377680,33990117120,38477924780,40545296840,42161587720,43264786260,45348161200,50986175860,53647654840,56073091340,61351041200,65471782800,70385667140,73378205700,78318094720,86043485040,89919182540,96704403660
Senegal,,,,,,,,,,,,61010980,46008280,51009180,49008820,52009360,58010440,64011520,74013320,84015120,87015660,92016560,90016200,103018540,104018720,109019620,108019440,118021240,116020880,125022500,137024660,139025020,153027540,167030060,182032760,190034200,201036180,232041760,331059580,327058860,397071460,469084420,515092700,579104220,575103500,690124200,646116280,783140940,700126000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10665919520,12110179440,12002160000,15429776860,16006880720,16116900520,16514972160,17472144420,17061070440,15566801520,16302934000,16340940840,16302934000,16302934000,13628452680,14193554380,14064531160,13935507940,14100537640
Singapore,,,,,,,,,,,,462083160,521093780,576103680,559100620,643115740,710127800,779140220,931167580,945170100,1014182520,1093196740,1167210060,1313236340,1336240480,1462263160,1565281700,1729311220,1864335520,1946350280,2392430560,2658478440,2888519840,3124562320,3466623880,3833689940,4163749340,4737852660,5328959040,5344961920,5727030680,5986077300,6349142640,6508171260,6526174500,6751215000,6765217520,6822227780,6750214820
Slovak Republic,,,,,,,,,,,,1350243000,1429257220,1543277740,1617291060,1620291600,1716308880,1816326880,1864335520,2066371880,2385429300,2435438300,2569462420,2657478260,2773499140,2949530820,3061550980,3214578520,3315596700,3593646740,3678662040,3802684360,3701666180,4137744660,4489808020,4998899640,5451981180,5507991260,5595006920,5673020960,5419975420,5222939960,5157928260,5039907020,4817867060,4701846180,4577823860,4602828360,4531815580
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233401940,2427436860,2404432720,2490448200,2585465300,2553459540,2629473220,2684483120,2690484200,2386429480,2601468180,2675481500,2704486720,3008541440,3012542160,2951531180,3055549900,3021543780,3182572760
South Africa,,,,,,,,,,,,8089455840,8389509840,9266667700,9767757880,9992798380,10475885320,11304034360,11720109240,12332219400,13524433960,14740652840,14620631240,14492608200,15698825280,16397951100,17651176640,18679361680,19584524580,21518872700,22447039740,23075152780,19397490920,21545877560,22118980700,24373386420,29557319360,30727529960,30168429340,29516311980,28685162400,34629232140,30423475240,34081133500,36237521580,36976654600,39678140780,41180411140,40289250760
Spain,1965353700,2317417060,2408433440,2901522180,2923526140,3290592200,4134744120,5396971280,6386149300,7565361520,8877597680,9111639800,10071812600,10853953360,11391050020,12405232540,14113539980,14413593980,15986877120,17730190860,19569521880,20376667140,20297652920,21820927060,23470223880,23257185540,24890479480,26560780080,27081873860,29526313780,30215437800,30897560560,31412653260,32367825160,34778258960,35994477840,37521752700,40112218900,41707506000,45451179740,43626851420,49693943300,50645114480,54244762300,58056448280,62595265120,70746732120,71340839040,72053967380
Sri Lanka,,,,,,,,,,,,274049320,227040860,248044640,254045720,270048600,294052920,309055620,351063180,414074520,477085860,526094680,613110340,644115920,748134640,803144540,827148860,885159300,553099540,525094500,658118440,681122580,704126720,826148680,831149580,1302234360,1285231300,1485267300,1662299160,1838330840,2061370980,2130383400,2157388260,2396431280,2599467820,2866515880,3063551340,3187573660,3307595260
Sudan,,,,,,,,,,,,58010440,65011700,100018000,140025200,151027180,148026640,155027900,167030060,171030780,223040140,228041040,290052200,283050940,522093960,567102060,737132660,718129240,551099180,541097380,728131040,665119700,701126180,704126720,747134460,780140400,774139320,664119520,580104400,958172440,761136980,1057190260,1383248940,1428257040,1262227160,1539277020,1719309420,1904342720,2206397080
Sweden,3560640800,3680662400,3920705600,4020723600,4711847980,5719029240,6535176120,7474345140,8615550520,8706566900,11378047680,13207376900,14846671920,15746833920,15319757060,17338120300,20086614940,21427856320,22545057380,24188353120,25722629240,27224899600,29199254920,31535675400,33713067260,39728149780,39919184160,40663318080,38616949800,37999838740,38101857100,41200414740,40217237800,41843530480,42522652700,42395629840,43328797780,42582663500,42503649280,40170229340,42027563600,42187592400,41480465140,42005559640,41382447500,42670679340,41497468200,39645134840,38936007220
Switzerland,3463623340,3663659340,4043727740,4160748800,4520813600,4640835200,4740853200,4960892800,5297953460,5723029960,6031085400,6964253340,6533175760,7308315260,7231301400,7501350000,7859414440,8276489500,8774579140,9515712520,10076813500,10173830960,9974795140,10453881360,11396050920,11962152800,12309215260,12690283840,12670280240,13231381220,13604448360,14271568420,14618630880,14653637180,14708647080,15235741940,15273748780,14861674620,15124721960,15560800440,15729830860,16181912220,16227920500,16681002040,17116080340,17628172500,17706186540,17475144960,17900221460
Syria,,,,,,,,,,,,314056520,337060660,349062820,430077400,535096300,651117180,756136080,919165420,1186213480,1337240660,1570282600,1930347400,2334420120,2603468540,2784501120,2706487080,2731491580,3275589500,3985717300,4072732960,4271768780,4922885960,5000900000,5252945360,5293952740,5842051380,6215118520,6739212840,7316316700,7828408860,8665559520,9651737000,10349862640,12037166300,12694284560,14722649600,15373766780,16094896560
Taiwan,,,,,,,,,,,,2737492660,3084555120,3514632520,3756676080,4383788940,5073913140,5681022400,6542177380,7033265760,7158288260,7284310940,7885419120,8991618200,9415694520,10132823580,10780940220,11910143440,13813485980,14826668320,16396950920,18236281940,19286470940,21785920760,23290191480,25333559220,27584964400,27846011380,32951930280,32517852160,34549217740,35662418080,37197694380,39107038000,39595125840,42313615080,42471643520,43130762140,42694683660
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300234000,1100198000,1189214020,1386249480,1752315360,2017363060,1980356400,2374427320,2882518760,3240583200,3251585180,2876517680,3305594900,3013542340,3073553140,3163569340,3200576000,3209577620,3105558900
Tanzania,,,,,,,,,,,,129023220,141025380,153027540,159028620,166029880,175031500,181032580,183032940,202036360,208037440,220039600,215038700,211037980,222039960,240043200,277049860,289052020,328059040,338060840,446080280,448080640,553099540,545098100,585105300,660118800,927166860,1023184140,1059190620,1126202680,1192214560,1048188640,1120201600,1058190440,1163209340,900162000,871156780,1420255600,1501270180
Thailand,,,,,,,,,,,,795143100,1024184320,1496269280,1284231120,1490268200,1726310680,2006361080,2427436860,2738492840,3005540900,3168570240,3631653580,4188753840,4732851760,5165929700,5796043100,6137104480,6255125720,7026264500,8089455840,9153647360,10260846620,11935147940,12896320920,14624631960,16049888460,17669179880,18871396240,18245283560,19477505320,21073792600,22115980160,23503229820,24738452120,25617610340,27009860900,28046047380,28790181300
Togo,,,,,,,,,,,,57010260,56010080,51009180,68012240,71012780,68012240,105018900,122021960,79014220,67012060,73013140,84015120,79014220,95017100,99017820,101018180,111019980,115020700,126022680,136024480,133023940,144025920,112020160,130023400,132023760,127022860,162029160,158028440,197035460,213038340,228041040,266047880,273049140,320057600,318057240,338060840,334060120,388069840
Trinidad and Tobago,,,,,,,,,,,,160028800,179032220,199035820,213038340,235042300,267048060,311055980,375067500,416074880,477085860,579104220,636114480,737132660,821147780,793142740,825148500,852153360,855153900,835150300,854153720,838150840,906163080,936168480,908163440,1006181080,1018183240,1008181440,1098197640,1152207360,1241223380,1285231300,1321237780,1510271800,1452261360,1594286920,1688303840,2299413820,2368426240
Tunisia,,,,,,,,,,,,146026280,166029880,190034200,215038700,256046080,290052200,337060660,386069480,433077940,493088740,557100260,581104580,643115740,649116820,774139320,834150120,916164880,927166860,1009181620,1095197100,1191214380,1328239040,1490268200,1622291960,1751315180,1838330840,2012362160,2060370800,2068372240,2191394380,2411433980,2513452340,2736492480,2742493560,2855513900,2968534240,3059550620,3381608580
Turkey,460082800,501090180,562101160,610109800,712128160,771138780,809145620,957172260,1061190980,1270228600,1480266400,1500270000,1540277200,1391250380,1495269100,1892340560,2316416880,2674481320,2951531180,3201576180,3499629820,3665659700,3846692280,4025724500,4305774900,4979896220,5663019160,6507171080,7613370160,8266487700,9061630800,10834949940,11484066760,12561260620,13452421000,14494608560,16432957400,18517332520,20037606120,22588065120,23892299840,23561240260,23563240620,25199535100,27623971420,30940568300,34472203880,36483565860,39591125120
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020183600,1030185400,1068192240,1282230760,1060190800,1051189180,986177480,819147420,1101198180,1011181980,1226220680,1296233280,1307235260,1319237420,1456262080,1566281880,1667300060,1817327060,1837330660
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17197094920,19996598740,33097956560,34795262020,34785260220,35966472800,32903921640,31328638140,30973574240,31804723820,30128422140,21599887280,21761916440,23109158900,24234361400,26068691520,27682982040,28256085180,31099596920
United Arab Emirates,,,,,,,,,,,,89016020,205036900,317057060,414074520,602108360,854153720,1300234000,1656298080,2196395280,2775499500,3175571500,3923706140,4462803160,4840871200,5280950400,5639014840,6010081620,6531175400,6714208340,7175291320,7288311660,7850412820,9128642860,9970794420,10561900800,11153007180,11744113560,12335219940,12926326320,13517432700,14108539080,14700645640,16498969280,17464142980,18861394440,21400851460,24682442040,29925385600
United Kingdom,33683061860,38246883200,45696223840,52312414540,52385427680,57265305900,59820765800,62365223720,66666997900,72197993300,77226898340,80688521320,86904640020,91315433820,92642672680,89230058520,85132321060,85917462360,85817444360,89688140960,86122499260,84454199020,82801901660,82967931540,83913101640,88243881040,91842528680,93270785720,92376624800,92286608600,93809882740,98115657640,99499906760,100474082080,101425253260,102228397800,107532352340,104473801900,109429693800,110327855440,111862131560,115357760660,114554616120,115781836980,115546794680,116832025980,116469960820,115071709180,117862211380
United States,201036180000,214038520000,233041940000,251045180000,272048960000,291052380000,317057060000,340061200000,382068760000,427076860000,466083880000,494866059860,561799105640,579372268240,578288073120,588245865200,606561161360,645355143020,674587403880,682941907420,717624149100,722395007700,729651313600,751083170640,777793977720,793970889040,817810179340,849765930340,892285582500,905687994500,924184323240,955588975060,936107469020,994960060580,1008663526760,1042688650180,1082685848380,1075960638060,1127937992300,1145129086140,1192660640280,1202863476460,1265407732400,1276053648320,1292214556760,1359471660860,1351763273600,1392491603380,1380229396580
Uruguay,,,,,,,,,,,,906163080,851153180,871156780,830149400,870156600,932167760,1000180000,1070192600,1059190620,1164209520,1293232740,1360244800,1399251820,1379248220,1412254160,1451261180,1577283860,1711307980,1557280260,1592286560,1769318420,1907343260,2153387540,2209397620,2317417060,2397431460,2461442980,2593466740,2781500580,2895521100,2891520380,2797503460,2610469800,2627472860,2695485100,2720489600,2917525060,2852513360
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3542637560,4172750960,6194114740,7080274220,6886239300,6754215540,7125282320,7072272780,7045267920,6985257120,7222299780,7199295640,7383328760,7395330920,7477345680,7364325340,7620371420,7324318140,7390330020
Venezuela,,,,,,,,,,,,2094376920,2282410760,2517453060,2751495180,3071552780,3560640800,4104738720,4864875520,5543997740,6352143180,7025264320,7486347300,8096457100,8086455300,7795402920,7730391220,8500529820,9654737540,9688743660,9501710000,10673920960,12117180700,13445419740,12746293920,12394230560,12792302200,13515432340,14408593080,15016702520,15181732220,15955871540,16603988180,16615990340,17000059460,18677361320,20529694680,21562880620,25617610340
Vietnam,,,,,,,,,,,,,,,,,,,,,934168120,955171900,1030185400,1093196740,1240223200,1409253620,1583284940,1791322380,1957352260,2560460800,2304414720,2392430560,2541457380,3081554580,3964713520,5105918900,6279130040,7383328760,9005620720,9851773000,11144005560,12814306160,14563620980,15993878380,18224279780,19468503700,21649896280,23484226400,26069691700
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,98017640,117021060,144025920,156028080,182032760,241043380,285051300,298053640,382068760,494088920,606109080,718129240,830149400,942169560,1054189720,1147206460,1141205380,1235222300,1323238140,1379248220,1482266760,1600288000,1766317880,1951351180,2093376740,2000360000,2482446760,2726490680,2990538200
Zambia,,,,,,,,,,,,341061380,366065880,396071280,424076320,427076860,447080460,429077220,428077040,432077760,437078660,468084240,469084420,470084600,461082980,453081540,498089640,536096480,698125640,494088920,580104400,599107820,615110700,740133200,821147780,1003180540,1053189540,1127202860,1056190080,1089196020,1143205740,1217219060,1302234360,1378248040,1461262980,1535276300,1659298620,1983356940,2022363960
Zimbabwe,,,,,,,,,,,,651117180,696125280,732131760,777139860,820147600,851153180,849152820,873157140,890160200,928167040,991178380,988177840,927166860,926166680,1222219960,1278230040,1299233820,1363245340,1447260460,1524274320,1544277920,1572282960,1566281880,1608289440,1672300960,1831329580,1991358380,2098377640,2230401400,2316416880,2349422820,2487447660,2728491040,2884519120,3461622980,3460622800,3684663120,3688663840
