Annual population growth rate (%),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
"Korea, Dem. Rep.",-0.217,2.559,2.37,2.901,2.411,1.402,1.649,1.465,1.505,1.024,0.578,0.389,0.338,0.328,0.261,0.138,-0.001,-0.116,-0.203,-0.273
"Congo, Dem. Rep.",2.184,2.482,2.581,2.949,2.885,2.959,2.895,3.289,3.871,2.471,3.007,2.763,2.645,2.48,2.26,2.028,1.81,1.619,1.439,1.257
Denmark,0.772,0.63,0.758,0.705,0.525,0.248,-0.037,0.102,0.339,0.407,0.304,0.235,0.151,0.122,0.121,0.09,0.02,-0.051,-0.095,-0.104
Djibouti,2.478,3.801,6.367,6.511,6.523,8.356,3.361,6.628,2.148,3.132,1.966,1.762,1.614,1.505,1.566,1.41,1.241,1.092,0.972,0.873
Dominica,2.368,0.57,0.65,1.128,0.979,1.451,-0.388,-0.804,-0.035,-0.185,-0.18,-0.281,0.065,0.113,0.321,0.132,-0.046,-0.152,-0.206,-0.274
Dominican Rep.,3.099,3.342,3.302,3.03,2.698,2.385,2.262,2.107,1.937,1.667,1.533,1.402,1.217,1.046,0.893,0.749,0.607,0.461,0.317,0.178
Eastern Africa,2.255,2.439,2.644,2.791,2.843,2.913,2.91,3.014,2.612,2.784,2.574,2.592,2.592,2.412,2.187,2,1.828,1.668,1.506,1.342
Eastern Asia,1.795,1.54,1.97,2.438,2.111,1.424,1.361,1.485,1.091,0.843,0.645,0.561,0.533,0.422,0.241,0.074,-0.052,-0.149,-0.249,-0.363
Eastern Europe,1.48,1.334,1.035,0.698,0.663,0.636,0.576,0.44,-0.034,-0.372,-0.478,-0.369,-0.336,-0.36,-0.438,-0.522,-0.559,-0.557,-0.551,-0.567
Ecuador,2.625,2.786,2.953,2.978,2.916,2.841,2.672,2.429,2.083,1.525,1.186,1.062,1.158,1.04,0.888,0.739,0.587,0.439,0.299,0.188
Egypt,2.499,2.626,2.546,2.387,2.143,2.303,2.621,2.634,1.999,1.886,1.897,1.813,1.659,1.442,1.244,1.1,0.984,0.859,0.709,0.552
