Male contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Indonesia,,,,,,,,,,,,,,,,,,,,,,,7,8.5,7.5,7.699999809,7.699999809,7.800000191
Iran,,,,,,,,,,,,,,,,,3.400000095,,,,,,,,,7.199999809,,5.400000095
Ireland,,,,,,1.899999976,1.5,2.299999952,2.200000048,2.099999905,2,1.5,1.299999952,1.299999952,1.200000048,1,0.8000000119,0.8999999762,0.8999999762,1,0.8999999762,0.8000000119,0.6999999881,0.6999999881,0.6000000238,0.6000000238,0.3000000119,0.400000006
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.1000000015,0.1000000015
Italy,2.599999905,2.700000048,2.599999905,2.700000048,2.799999952,2.799999952,2.799999952,2.700000048,2.599999905,2.400000095,2.299999952,2.400000095,2.400000095,2.799999952,2.799999952,2.799999952,2.700000048,2.799999952,3,2.599999905,2.799999952,3,3,3,1.799999952,1.200000048,1.299999952,1.299999952
Jamaica,,,,,,,,,,,,2.099999905,2.200000048,1.5,1.700000048,2,1.600000024,1.299999952,1.299999952,1.600000024,1.299999952,1.100000024,0.6999999881,0.6999999881,0.5,0.400000006,0.5,
Japan,3.299999952,3.200000048,3,3,2.900000095,2.799999952,2.700000048,2.599999905,2.599999905,2.599999905,2.5,2.299999952,2.099999905,2,1.899999976,1.799999952,1.700000048,1.700000048,1.700000048,1.700000048,1.700000048,1.600000024,1.600000024,1.600000024,1.600000024,1.5,1.200000048,1.100000024
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,0.8999999762,0.6999999881,0.8000000119,1,,,
"Korea, Rep.",7.300000191,7.400000095,6.699999809,5.800000191,4.699999809,4.400000095,4.300000191,3.700000048,3.099999905,2.799999952,2.5,2.200000048,2.099999905,2,1.799999952,1.600000024,1.600000024,1.5,1.799999952,1.899999976,2,1.899999976,1.700000048,1.299999952,1.299999952,1.299999952,1.200000048,1.200000048
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,6.5,9.399999619,9.600000381,10.10000038,8.800000191,
Laos,,,,,,,,,,,,,,,,29.10000038,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,3.799999952,5.300000191,4.699999809,4.599999905,3.5,4.400000095,4.199999809,3.5,2.900000095,2.5,1.600000024,1.5
Lesotho,,,,,,,,15.19999981,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,2.700000048,3.200000048,3.5,2.599999905,2.799999952,2.799999952,2.799999952,2.599999905,2.099999905,1.299999952,1.100000024
"Macao, China",,,,,,,,,,,,,,,,,0.3000000119,0.200000003,0.3000000119,0.3000000119,0.200000003,0.200000003,0.3000000119,0.5,0.3000000119,0.200000003,0.1000000015,0.1000000015
Madagascar,,,,,,,,,,,,,,24.29999924,,,,,,,,,,29.70000076,,32.09999847,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,2.400000095,,,,3.299999952,3,2.700000048,3,3.299999952,2.700000048,2.299999952,2.099999905,2.200000048,2.400000095,2.299999952,2.799999952,2.700000048
Maldives,,,,,,,,,,,4,,,,,4.099999905,,,,,1.299999952,,,,,,,
Mali,,,,,,,,,,,,,,,61.5,,,,,,,,,,18.39999962,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Marshall Islands,,,,,,,,,,,,,,,,,,,,1.399999976,,,,,,,,
Mauritius,,,,,,,,,,,1.5,,,,,1.600000024,,,,,0.5,,,,0.8000000119,0.8999999762,0.6999999881,0.8999999762
Mexico,,,,,,,,,,,2.900000095,11.10000038,9.399999619,12.19999981,9.899999619,9.199999809,9.100000381,8.899999619,7.900000095,7.400000095,6.099999905,6,6.300000191,6,5.699999809,5.5,5,4.900000095
Mongolia,,,,,,,,,,,,,,,,,,,,,14,,,18.39999962,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,1.899999976,,
Montserrat,,,,,,,,,,,,1.100000024,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,16.79999924,,,,,21.39999962,5.5,5.599999905,22.20000076,21.60000038,23.10000038,22.79999924,17,
