Homicide 45-59 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
United States,5.662168,5.472495,5.589758,5.502373,5.781341,5.469638,5.244102,5.524913,5.747189,5.460973,5.773518,5.744571,5.901101,5.813791,6.127362,6.587969,7.228183,7.675167,8.391946,8.327188,9.331737,9.666848,10.38728,10.46915,10.73866,10.76627,9.448729,9.121107,9.161321,9.944279,10.10573,10.35643,9.27198,7.997106,7.798335,7.533489,7.613116,7.28056,6.669676,6.79858,6.83085,7.472101,6.626348,6.471414,5.815939,5.74509,5.336345,5.030184,4.535029,4.26447,4.297435,5.770768,4.418342,4.424889,4.360837,4.309714,,,
Uruguay,,,,,,5.526636,7.553268,7.426773,5.557525,6.373269,6.701626,,,8.152611,5.012159,3.583369,5.592198,7.166428,6.716821,5.394999,5.72416,5.380144,4.969107,4.648496,4.897718,4.191662,3.007654,3.731325,4.813485,,4.109698,4.353366,4.064592,4.365033,2.610677,4.752566,2.778995,4.214603,4.88379,6.460072,4.887247,,,6.248479,5.853695,6.815281,4.152522,7.190998,7.429513,8.536516,8.37017,6.381625,,,5.117736,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.016173,8.668978,,,7.129625,5.566751,5.568254,8.582981,11.36789,12.64147,11.55113,9.980109,9.133363,11.2469,12.80338,11.12271,8.254534,7.773946,6.501045,5.025951,5.82618,6.305113,3.968284,4.022528,4.384289,,,
Venezuela,,,,,,8.153893,7.159607,5.241374,10.10437,9.697125,10.39378,12.82871,13.63483,15.59874,15.67755,13.23349,12.03796,13.91298,12.21743,12.2323,11.05478,13.13052,11.57798,12.97421,11.44316,9.940905,10.50089,10.50049,11.67947,11.50056,13.32383,11.67685,12.02623,13.56277,,10.04629,8.324253,8.69816,9.022967,9.112313,9.551068,,10.38193,10.60946,11.44106,,11.47889,9.708594,8.803015,12.30811,17.58724,16.5547,19.91129,23.70178,18.99359,18.12472,,20.31975,
Czechoslovakia,,,,1.359221,1.2869,1.13598,0.8911492,0.8442229,1.540806,0.8945069,0.8291308,1.478524,1.310402,0.9759942,1.40555,1.293935,0.9742783,1.207166,1.588117,1.776445,1.620803,1.468724,1.637981,1.030574,1.277814,1.243924,0.9915549,0.8650559,1.077255,0.6920589,1.161482,1.105818,1.298188,1.535214,1.081363,1.458413,1.212331,0.8837797,1.120537,1.363238,1.59961,2.232272,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,0.4576474,0.077753,,,,,,,,,,,,,,,1.048077,1.562962,,,,,,,,,,,,,,,,,,
West Germany,,,0.7064354,0.8307166,0.9470528,0.9130591,0.8150332,0.7281801,0.8141531,0.8711634,0.7419882,0.794975,0.77752,1.019265,0.9551191,0.9106425,0.9936839,1.013273,0.8616367,1.155966,1.449527,1.18916,1.358902,0.9067721,0.9824869,1.189148,1.215969,1.275043,1.040826,0.9095831,1.147637,1.274263,1.15578,1.13796,1.173763,1.230412,1.152873,1.202285,0.9709046,0.9816896,1.145099,,,,,,,,,,,,,,,,,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.70805,12.66379,12.19899,10.8298,7.194542,7.539107,9.451446,12.23902,13.96815,,,,,,,,,,,,,,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,5.364888,4.896066,,,,,,,,,3.312082,2.810331,2.295311,2.999925,2.70124,2.479599,2.807702,2.468119,2.11513,2.358552,2.534581,2.608559,2.328235,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.594536,3.58108,3.89029,2.858159,3.493896,1.682808,,,,,,
