Arms imports (constant 1990 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Korea, Rep.",232000000,234000000,116000000,203000000,282000000,700000000,597000000,130000000,338000000,295000000,82000000,253000000,407000000,269000000,365000000,749000000,469000000,1196000000,333000000,1394000000,1004000000,965000000,695000000,409000000,486000000,737000000,824000000,726000000,1197000000,1677000000,1078000000,884000000,776000000,970000000,993000000,1970000000,1966000000,1215000000,1497000000,1726000000,1422000000,776000000,528000000,754000000,1095000000,796000000,1745000000,1839000000,1802000000,886000000,1131000000,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,44000000,,14000000,32000000,44000000,24000000,8000000,,103000000,97000000,55000000,112000000,30000000,,5000000,98000000,230000000,525000000,522000000,196000000,41000000,13000000,174000000,287000000,458000000,529000000,168000000,61000000,14000000,114000000,314000000,516000000,896000000,694000000,39000000,609000000,1210000000,480000000,50000000,213000000,247000000,55000000,23000000,45000000,1000000,16000000,,279000000,5000000,18000000,17000000,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000,5000000,3000000,2000000,,,,,
Laos,3000000,4000000,10000000,12000000,5000000,5000000,10000000,10000000,3000000,5000000,30000000,4000000,14000000,43000000,1000000,15000000,17000000,134000000,26000000,,35000000,54000000,1000000,90000000,30000000,61000000,,18000000,18000000,6000000,8000000,,,,,,,14000000,21000000,30000000,7000000,36000000,,0,,4000000,,,7000000,26000000,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11000000,12000000,16000000,0,0,0,4000000,3000000,13000000,3000000,26000000,15000000,7000000,11000000,49000000,44000000,12000000,15000000,
Lebanon,,3000000,10000000,15000000,,30000000,67000000,82000000,1000000,,,6000000,44000000,45000000,29000000,12000000,3000000,8000000,2000000,18000000,41000000,8000000,33000000,85000000,160000000,57000000,,,,,,,40000000,40000000,14000000,37000000,22000000,7000000,6000000,4000000,4000000,,,,,1000000,,5000000,1000000,40000000,60000000,
Lesotho,,,,,,,,,,,,,,,,,,1000000,,5000000,3000000,,,1000000,,0,9000000,,,8000000,,4000000,,,,,,,4000000,,,6000000,,,1000000,,1000000,,,,,
Liberia,,,,,2000000,,,15000000,,,,0,1000000,,,,2000000,,1000000,,,,,,,,4000000,6000000,,10000000,3000000,,,,,,,,,1000000,8000000,,,,,,,,,,,
Libya,14000000,17000000,2000000,3000000,12000000,9000000,33000000,20000000,65000000,161000000,332000000,553000000,554000000,693000000,1921000000,1725000000,2246000000,2862000000,4090000000,3659000000,3047000000,3192000000,2571000000,1212000000,710000000,661000000,322000000,181000000,9000000,205000000,5000000,,,,,,,,,11000000,,145000000,,145000000,,,2000000,2000000,,7000000,7000000,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74000000,10000000,,4000000,15000000,,15000000,5000000,5000000,16000000,10000000,1000000,58000000,15000000,45000000,4000000,26000000,26000000,81000000,
Luxembourg,,,,,,,,,,,,,,,1000000,,,,,,,,1000000,,,,,,,,,,,,,,3000000,,,1000000,,,,1000000,,,,,,5000000,5000000,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,1000000,,,9000000,72000000,12000000,121000000,,,,,0,,,,,
Madagascar,,3000000,,2000000,0,7000000,,12000000,1000000,1000000,,0,0,,13000000,7000000,,,,63000000,43000000,0,,8000000,,5000000,,,,,,,,,,,20000000,,,,,,,,,,,,,,,
Malawi,,,,,5000000,,,,,,,,0,,,,3000000,6000000,7000000,9000000,16000000,13000000,,,1000000,6000000,11000000,1000000,2000000,3000000,8000000,,,,2000000,,,,,,,,,,,,,,2000000,,,
Malaysia,5000000,3000000,9000000,59000000,81000000,4000000,42000000,80000000,79000000,77000000,11000000,175000000,90000000,196000000,50000000,81000000,382000000,141000000,70000000,303000000,131000000,121000000,111000000,350000000,641000000,418000000,141000000,22000000,14000000,37000000,,34000000,13000000,10000000,308000000,871000000,33000000,554000000,39000000,725000000,32000000,26000000,150000000,139000000,48000000,49000000,401000000,570000000,541000000,1577000000,411000000,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,15000000,,,,4000000,
Mali,,1000000,10000000,4000000,,,1000000,11000000,,2000000,15000000,,,,,2000000,63000000,,,,,101000000,22000000,6000000,13000000,,,,,,,,,,,,,7000000,3000000,,7000000,,1000000,,,13000000,,8000000,2000000,9000000,,
Malta,,,,,,,,,,,,,0,0,,,,,13000000,,1000000,,,,,,,,,,,,13000000,,,0,1000000,6000000,1000000,,0,0,,,,18000000,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,6000000,,,,,,,,,,,,,,,,,,,,
Mauritania,2000000,1000000,1000000,6000000,1000000,1000000,,,,,11000000,13000000,,0,5000000,5000000,12000000,24000000,18000000,26000000,,18000000,22000000,,0,3000000,,,,6000000,15000000,17000000,,,27000000,3000000,3000000,8000000,3000000,,31000000,,25000000,7000000,,,,,,,4000000,
Mauritius,,,,,,,,,0,,,0,,,2000000,,,,,2000000,,,,,,1000000,,,,,6000000,,,5000000,,,30000000,1000000,,,,,,,6000000,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,9000000,44000000,106000000,60000000,10000000,11000000,21000000,14000000,0,,84000000,51000000,15000000,160000000,70000000,106000000,72000000,39000000,69000000,63000000,75000000,125000000,390000000,17000000,,6000000,122000000,143000000,81000000,70000000,34000000,39000000,19000000,163000000,111000000,47000000,83000000,330000000,50000000,60000000,227000000,142000000,94000000,31000000,322000000,36000000,69000000,5000000,,57000000,188000000,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,13000000,,,,,,,6000000,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000,,2000000,7000000,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,28000000,78000000,106000000,99000000,123000000,115000000,114000000,62000000,15000000,15000000,15000000,13000000,8000000,58000000,76000000,189000000,25000000,24000000,69000000,52000000,40000000,52000000,136000000,102000000,98000000,98000000,,,33000000,,,,,,,,,,,,,,,,,,,,14000000,11000000,13000000,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,21000000,39000000,91000000,11000000,16000000,62000000,147000000,182000000,100000000,39000000,97000000,1000000,,19000000,193000000,205000000,157000000,335000000,407000000,699000000,429000000,772000000,518000000,391000000,52000000,35000000,30000000,34000000,136000000,175000000,127000000,62000000,31000000,99000000,117000000,30000000,86000000,119000000,,60000000,123000000,7000000,159000000,,,87000000,44000000,29000000,46000000,37000000,138000000,
Mozambique,,,,,,,,,,,,,,,,26000000,17000000,153000000,494000000,123000000,54000000,61000000,64000000,58000000,94000000,71000000,1000000,,,,,,,,,,,,,,0,,,1000000,,,,,,,0,
Myanmar,16000000,25000000,13000000,25000000,7000000,18000000,9000000,14000000,6000000,24000000,5000000,22000000,4000000,,,23000000,3000000,2000000,29000000,13000000,50000000,2000000,40000000,3000000,,,8000000,,,25000000,229000000,255000000,85000000,315000000,93000000,243000000,118000000,231000000,154000000,138000000,3000000,140000000,154000000,74000000,18000000,65000000,27000000,7000000,36000000,1000000,76000000,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,4000000,,5000000,7000000,,,21000000,11000000,,13000000,,72000000,6000000,66000000,14000000,,
Nepal,,,,,,0,0,,,,9000000,8000000,3000000,1000000,2000000,15000000,6000000,,,,,1000000,,,3000000,3000000,,,,1000000,,,1000000,,,1000000,,,,,,11000000,8000000,9000000,32000000,5000000,,,1000000,,,
Netherlands,297000000,413000000,377000000,729000000,792000000,751000000,230000000,1072000000,313000000,530000000,673000000,677000000,636000000,,5000000,68000000,276000000,619000000,749000000,826000000,598000000,740000000,1183000000,1278000000,1138000000,854000000,718000000,666000000,420000000,728000000,282000000,305000000,227000000,124000000,187000000,63000000,206000000,141000000,301000000,316000000,129000000,160000000,282000000,172000000,153000000,96000000,78000000,251000000,145000000,217000000,162000000,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,102000000,95000000,12000000,5000000,,10000000,442000000,4000000,56000000,,166000000,173000000,22000000,20000000,7000000,46000000,7000000,34000000,,,,35000000,79000000,128000000,41000000,9000000,38000000,4000000,59000000,29000000,27000000,44000000,55000000,36000000,16000000,7000000,7000000,276000000,15000000,270000000,,45000000,17000000,106000000,48000000,8000000,5000000,81000000,2000000,48000000,71000000,
Nicaragua,2000000,4000000,6000000,6000000,0,0,2000000,,,,,5000000,5000000,12000000,,,7000000,19000000,13000000,,,41000000,62000000,47000000,183000000,84000000,98000000,231000000,61000000,38000000,102000000,1000000,,,,,,,,,,,,,,,,,,,,
Niger,1000000,1000000,,,1000000,1000000,,,,2000000,1000000,9000000,,,,,,,2000000,58000000,6000000,,6000000,13000000,3000000,,3000000,,,,,7000000,,,,,,3000000,,,,,,14000000,,,,,7000000,1000000,,
Nigeria,,1000000,8000000,15000000,2000000,124000000,90000000,56000000,47000000,45000000,15000000,18000000,118000000,7000000,27000000,442000000,107000000,70000000,129000000,87000000,448000000,277000000,645000000,46000000,320000000,562000000,223000000,111000000,58000000,15000000,3000000,3000000,56000000,37000000,91000000,2000000,15000000,1000000,,,38000000,7000000,5000000,56000000,6000000,,14000000,57000000,20000000,81000000,189000000,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,214000000,119000000,83000000,227000000,241000000,340000000,668000000,546000000,283000000,515000000,142000000,86000000,68000000,77000000,65000000,112000000,21000000,11000000,14000000,50000000,251000000,438000000,457000000,440000000,336000000,130000000,144000000,260000000,284000000,648000000,399000000,357000000,290000000,199000000,115000000,84000000,184000000,152000000,163000000,192000000,268000000,141000000,93000000,4000000,6000000,14000000,522000000,552000000,611000000,593000000,205000000,
Oman,1000000,,,1000000,1000000,1000000,2000000,7000000,5000000,33000000,26000000,60000000,11000000,84000000,69000000,180000000,123000000,246000000,82000000,51000000,8000000,68000000,176000000,354000000,119000000,86000000,53000000,35000000,14000000,114000000,49000000,,20000000,51000000,143000000,287000000,290000000,165000000,22000000,,118000000,32000000,36000000,31000000,41000000,164000000,285000000,4000000,66000000,93000000,36000000,
Pakistan,43000000,67000000,77000000,195000000,81000000,229000000,633000000,172000000,689000000,292000000,415000000,571000000,614000000,158000000,372000000,253000000,287000000,221000000,661000000,729000000,867000000,500000000,553000000,787000000,869000000,765000000,277000000,630000000,455000000,995000000,620000000,481000000,377000000,991000000,877000000,386000000,537000000,710000000,709000000,888000000,171000000,406000000,539000000,626000000,489000000,406000000,275000000,637000000,1028000000,1106000000,2580000000,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,6000000,,,,,,,,,,,,,,,
Panama,,,,,0,,,,0,3000000,4000000,18000000,2000000,14000000,,29000000,6000000,5000000,6000000,,2000000,4000000,12000000,5000000,0,8000000,,,23000000,2000000,,,2000000,,,,0,12000000,,,,,0,,,,,,,5000000,,
Papua New Guinea,,,,,,,,,,,,,,,,31000000,,3000000,2000000,,,2000000,5000000,,3000000,,11000000,12000000,6000000,10000000,,10000000,10000000,,1000000,,0,12000000,,,,,,,,,,,,,,
Paraguay,9000000,,11000000,0,8000000,1000000,1000000,5000000,9000000,,0,1000000,8000000,0,,20000000,3000000,,10000000,1000000,18000000,6000000,3000000,1000000,18000000,36000000,4000000,,14000000,,6000000,3000000,1000000,,,,2000000,,,,,6000000,,,4000000,1000000,,,,,3000000,
Peru,175000000,96000000,14000000,18000000,26000000,72000000,63000000,27000000,197000000,71000000,30000000,155000000,159000000,428000000,675000000,610000000,422000000,908000000,669000000,655000000,709000000,869000000,278000000,323000000,359000000,332000000,251000000,598000000,223000000,16000000,96000000,90000000,126000000,47000000,177000000,32000000,136000000,341000000,53000000,102000000,24000000,5000000,7000000,22000000,47000000,368000000,193000000,172000000,2000000,41000000,60000000,
Philippines,50000000,43000000,9000000,4000000,2000000,99000000,88000000,40000000,16000000,26000000,7000000,88000000,51000000,116000000,63000000,127000000,263000000,172000000,232000000,108000000,76000000,42000000,27000000,139000000,59000000,39000000,,26000000,12000000,23000000,28000000,33000000,51000000,48000000,64000000,28000000,31000000,52000000,63000000,,,10000000,5000000,11000000,40000000,14000000,20000000,16000000,10000000,1000000,8000000,
Poland,863000000,877000000,695000000,1003000000,1535000000,1163000000,985000000,756000000,863000000,950000000,967000000,941000000,918000000,1215000000,1149000000,1069000000,875000000,917000000,1075000000,973000000,1023000000,932000000,893000000,453000000,395000000,827000000,1333000000,974000000,893000000,485000000,266000000,160000000,51000000,,24000000,195000000,100000000,1000000,3000000,24000000,159000000,55000000,301000000,378000000,244000000,95000000,443000000,987000000,599000000,156000000,142000000,
Portugal,44000000,139000000,27000000,42000000,43000000,56000000,233000000,267000000,342000000,310000000,364000000,175000000,17000000,17000000,117000000,325000000,65000000,102000000,125000000,5000000,46000000,51000000,192000000,4000000,108000000,152000000,5000000,7000000,152000000,42000000,81000000,977000000,19000000,378000000,432000000,25000000,7000000,0,14000000,3000000,2000000,19000000,,29000000,71000000,172000000,222000000,60000000,149000000,414000000,941000000,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,4000000,3000000,6000000,8000000,8000000,,2000000,38000000,27000000,55000000,29000000,14000000,53000000,46000000,124000000,313000000,304000000,147000000,2000000,48000000,79000000,10000000,5000000,16000000,65000000,11000000,10000000,11000000,201000000,260000000,338000000,79000000,11000000,11000000,11000000,11000000,,,,,,285000000,20000000,
Romania,181000000,40000000,201000000,235000000,426000000,525000000,405000000,439000000,600000000,416000000,555000000,485000000,512000000,549000000,701000000,659000000,289000000,343000000,293000000,639000000,569000000,520000000,492000000,276000000,232000000,319000000,433000000,198000000,174000000,270000000,591000000,60000000,184000000,15000000,29000000,3000000,39000000,61000000,175000000,144000000,22000000,21000000,22000000,24000000,285000000,491000000,61000000,88000000,68000000,60000000,109000000,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86000000,50000000,40000000,40000000,,,,,,,,,,,5000000,100000000,,7000000,19000000,
Rwanda,,,5000000,0,0,0,,,,,1000000,,,4000000,1000000,3000000,,1000000,,,,,,3000000,2000000,3000000,1000000,,2000000,,,,2000000,,,,1000000,2000000,9000000,26000000,14000000,,,,,,3000000,15000000,7000000,13000000,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,11000000,12000000,21000000,,5000000,48000000,254000000,195000000,495000000,397000000,54000000,10000000,101000000,168000000,352000000,471000000,590000000,924000000,1081000000,810000000,1116000000,1822000000,2186000000,1816000000,852000000,1297000000,2768000000,2441000000,1278000000,1407000000,2003000000,1012000000,1068000000,2337000000,1002000000,1022000000,1801000000,2913000000,2690000000,1337000000,81000000,59000000,555000000,159000000,1166000000,150000000,185000000,191000000,217000000,721000000,787000000,
Senegal,0,7000000,,0,4000000,0,1000000,,1000000,19000000,,13000000,,1000000,16000000,,17000000,41000000,20000000,17000000,,,2000000,37000000,4000000,,11000000,20000000,,,,,,,1000000,5000000,,,,,,,,,,15000000,8000000,19000000,6000000,4000000,4000000,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,2000000,2000000,17000000,1000000,9000000,10000000,1000000,1000000,27000000,,,,,,,,,14000000,
Seychelles,,,,,,,,,,,,,,,,,,1000000,,17000000,5000000,,2000000,15000000,,,10000000,,1000000,,0,,,,,,,,,,,,,,,15000000,,,,,,
Sierra Leone,,,,,,,,,,,,,,31000000,,,1000000,,2000000,,33000000,,,1000000,3000000,,,20000000,,,,,1000000,,6000000,15000000,,20000000,,13000000,,,,,,,10000000,,,,,
Singapore,,,,,,1000000,2000000,,7000000,173000000,89000000,176000000,177000000,94000000,273000000,202000000,119000000,189000000,45000000,317000000,441000000,411000000,259000000,278000000,51000000,120000000,74000000,275000000,455000000,138000000,537000000,425000000,151000000,220000000,227000000,298000000,185000000,639000000,805000000,307000000,708000000,267000000,232000000,91000000,384000000,537000000,67000000,384000000,1178000000,1695000000,1078000000,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154000000,30000000,218000000,30000000,,,,2000000,,27000000,,,4000000,,1000000,0,5000000,8000000,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000000,10000000,20000000,22000000,8000000,4000000,17000000,1000000,36000000,2000000,17000000,16000000,2000000,2000000,2000000,,7000000,73000000,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,6000000,,,,,,,,,,,,,,,,,,,,
Somalia,10000000,2000000,2000000,11000000,,30000000,51000000,74000000,5000000,,,0,21000000,206000000,324000000,85000000,175000000,39000000,65000000,45000000,126000000,105000000,62000000,23000000,12000000,42000000,11000000,,,,16000000,,,,,,,,,1000000,,,,,,,,,,,,
South Africa,12000000,,199000000,460000000,250000000,341000000,474000000,282000000,201000000,200000000,462000000,241000000,195000000,288000000,170000000,245000000,454000000,578000000,258000000,129000000,198000000,120000000,47000000,223000000,122000000,24000000,252000000,29000000,18000000,21000000,22000000,36000000,342000000,225000000,221000000,38000000,38000000,11000000,2000000,25000000,10000000,23000000,4000000,2000000,2000000,262000000,680000000,847000000,466000000,134000000,183000000,
Spain,227000000,109000000,73000000,12000000,59000000,421000000,247000000,275000000,129000000,191000000,234000000,597000000,740000000,860000000,561000000,1172000000,843000000,440000000,531000000,678000000,699000000,621000000,531000000,567000000,46000000,317000000,1133000000,1141000000,2048000000,875000000,709000000,101000000,206000000,330000000,893000000,362000000,436000000,216000000,71000000,377000000,346000000,180000000,236000000,162000000,226000000,339000000,291000000,332000000,375000000,275000000,313000000,
Sri Lanka,4000000,,,,0,,,,,2000000,,33000000,52000000,,,,0,15000000,7000000,,20000000,,,,54000000,41000000,30000000,121000000,25000000,6000000,20000000,134000000,24000000,35000000,74000000,59000000,213000000,2000000,68000000,63000000,280000000,151000000,28000000,12000000,26000000,33000000,40000000,31000000,64000000,,5000000,
Sudan,8000000,11000000,21000000,10000000,36000000,5000000,5000000,2000000,14000000,197000000,608000000,94000000,74000000,21000000,6000000,,,26000000,201000000,12000000,12000000,198000000,130000000,26000000,107000000,65000000,9000000,122000000,75000000,15000000,3000000,74000000,6000000,,,3000000,29000000,54000000,,36000000,,107000000,48000000,205000000,299000000,104000000,66000000,33000000,106000000,76000000,14000000,
Suriname,,,,,,,,,,,,,,,,0,1000000,1000000,,,,0,4000000,,7000000,,5000000,2000000,,,,,,,,,,,,9000000,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,7000000,,,,,,,,,,,,,,,,,,,,,1000000,1000000,,,,,,,,,,
Sweden,120000000,62000000,131000000,306000000,378000000,254000000,280000000,314000000,226000000,112000000,100000000,66000000,140000000,199000000,238000000,287000000,209000000,100000000,277000000,271000000,289000000,435000000,166000000,174000000,99000000,98000000,147000000,161000000,125000000,110000000,94000000,55000000,66000000,44000000,279000000,101000000,107000000,195000000,337000000,225000000,205000000,166000000,74000000,63000000,48000000,82000000,126000000,58000000,44000000,46000000,35000000,
Switzerland,256000000,72000000,4000000,50000000,255000000,219000000,364000000,172000000,188000000,157000000,127000000,197000000,119000000,114000000,63000000,132000000,137000000,5000000,204000000,222000000,254000000,272000000,156000000,402000000,361000000,301000000,90000000,142000000,173000000,300000000,433000000,447000000,372000000,105000000,124000000,93000000,187000000,388000000,448000000,499000000,15000000,60000000,56000000,98000000,185000000,164000000,82000000,114000000,16000000,34000000,34000000,
Syria,33000000,11000000,13000000,54000000,,33000000,464000000,853000000,992000000,961000000,558000000,556000000,1409000000,3513000000,3814000000,1234000000,487000000,928000000,945000000,2150000000,2046000000,1438000000,2037000000,2372000000,1900000000,1596000000,1121000000,1265000000,1283000000,623000000,689000000,385000000,312000000,198000000,44000000,43000000,21000000,,20000000,21000000,19000000,19000000,19000000,43000000,19000000,7000000,70000000,,253000000,167000000,167000000,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,,,,,,,,,,,,13000000,7000000,,,,
Tanzania,,,,7000000,2000000,2000000,14000000,1000000,,,10000000,63000000,54000000,131000000,188000000,48000000,,40000000,63000000,359000000,51000000,119000000,6000000,,,,,,,5000000,,,20000000,,5000000,,,,,,,,,56000000,,9000000,10000000,0,,9000000,,
Thailand,30000000,77000000,105000000,73000000,90000000,87000000,109000000,143000000,64000000,133000000,208000000,272000000,116000000,344000000,177000000,72000000,138000000,104000000,313000000,177000000,326000000,299000000,80000000,299000000,382000000,201000000,149000000,566000000,634000000,296000000,245000000,572000000,507000000,184000000,602000000,513000000,701000000,942000000,59000000,164000000,90000000,127000000,158000000,153000000,117000000,63000000,45000000,8000000,13000000,51000000,83000000,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,
Togo,1000000,,,,0,0,,,1000000,1000000,1000000,1000000,,2000000,,15000000,61000000,1000000,9000000,5000000,30000000,21000000,3000000,2000000,,,19000000,0,0,,,10000000,9000000,,3000000,3000000,,7000000,,,,,,,,,,,,,1000000,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6000000,6000000,6000000,,,,,0,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,0,2000000,,,,,21000000,6000000,,,,,,,,,,,,,,,,,3000000,,10000000,1000000,,,,,,6000000,,,45000000,
Tunisia,40000000,1000000,,3000000,4000000,40000000,,,16000000,22000000,47000000,0,4000000,26000000,12000000,16000000,10000000,96000000,14000000,118000000,102000000,56000000,58000000,102000000,114000000,324000000,,56000000,12000000,39000000,4000000,4000000,32000000,,46000000,44000000,53000000,37000000,23000000,11000000,,,83000000,0,,168000000,2000000,,3000000,,2000000,
Turkey,605000000,329000000,329000000,639000000,872000000,391000000,307000000,582000000,403000000,614000000,371000000,941000000,1077000000,762000000,749000000,1064000000,445000000,324000000,964000000,938000000,497000000,687000000,512000000,445000000,521000000,638000000,564000000,1377000000,1596000000,1016000000,1245000000,1206000000,1824000000,2307000000,1833000000,1603000000,1478000000,1511000000,2624000000,1744000000,1161000000,560000000,1021000000,440000000,188000000,1065000000,452000000,614000000,579000000,663000000,468000000,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,22000000,,,,,20000000,29000000,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,
Uganda,,,,,6000000,2000000,15000000,8000000,37000000,15000000,7000000,3000000,19000000,17000000,47000000,124000000,35000000,5000000,,,,,14000000,,,9000000,,31000000,1000000,17000000,,,,,,32000000,,,55000000,39000000,6000000,,22000000,19000000,8000000,9000000,5000000,,5000000,22000000,1000000,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,13000000,13000000,68000000,24000000,27000000,93000000,106000000,240000000,257000000,275000000,196000000,18000000,205000000,439000000,156000000,167000000,316000000,132000000,170000000,240000000,46000000,616000000,564000000,237000000,193000000,570000000,563000000,420000000,479000000,690000000,759000000,419000000,243000000,186000000,213000000,695000000,1246000000,2199000000,2049000000,953000000,744000000,560000000,493000000,
United Kingdom,26000000,32000000,38000000,149000000,130000000,163000000,213000000,1413000000,2798000000,3080000000,60000000,201000000,314000000,256000000,260000000,269000000,182000000,202000000,190000000,242000000,541000000,969000000,933000000,308000000,618000000,331000000,260000000,186000000,264000000,217000000,119000000,935000000,1129000000,1111000000,563000000,650000000,728000000,653000000,890000000,75000000,837000000,1303000000,733000000,769000000,243000000,27000000,337000000,729000000,547000000,386000000,518000000,
United States,219000000,243000000,314000000,433000000,441000000,305000000,194000000,122000000,120000000,120000000,53000000,527000000,667000000,652000000,581000000,333000000,449000000,354000000,325000000,212000000,288000000,296000000,102000000,306000000,354000000,607000000,402000000,1892000000,1667000000,1649000000,328000000,495000000,519000000,1033000000,1088000000,870000000,600000000,608000000,281000000,240000000,348000000,504000000,505000000,593000000,551000000,520000000,551000000,752000000,871000000,929000000,893000000,
Uruguay,17000000,1000000,100000000,0,2000000,8000000,6000000,,11000000,9000000,11000000,15000000,21000000,6000000,5000000,0,39000000,2000000,8000000,8000000,18000000,99000000,15000000,17000000,,8000000,,,11000000,35000000,33000000,65000000,19000000,18000000,10000000,9000000,4000000,19000000,19000000,8000000,4000000,,11000000,,,20000000,8000000,3000000,65000000,10000000,36000000,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,6000000,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,50000000,,29000000,48000000,9000000,,39000000,235000000,20000000,8000000,11000000,129000000,167000000,439000000,252000000,216000000,184000000,257000000,60000000,25000000,358000000,900000000,682000000,238000000,205000000,504000000,95000000,46000000,85000000,118000000,175000000,335000000,54000000,33000000,1000000,5000000,35000000,37000000,8000000,80000000,110000000,105000000,50000000,13000000,9000000,23000000,383000000,785000000,743000000,344000000,365000000,
Vietnam,54000000,100000000,77000000,99000000,246000000,637000000,1144000000,1207000000,1189000000,913000000,1202000000,1275000000,1476000000,814000000,365000000,307000000,42000000,42000000,574000000,1698000000,1080000000,1090000000,532000000,941000000,554000000,28000000,78000000,18000000,32000000,100000000,86000000,,,,,281000000,209000000,111000000,229000000,163000000,7000000,85000000,126000000,28000000,294000000,328000000,44000000,2000000,166000000,66000000,515000000,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
