Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
El Salvador,24.78900256,22.22431787,22.75662814,25.85504671,28.92855631,28.81101161,29.77880975,28.65806225,27.10346876,25.79378783,24.54895174,26.61450809,28.12648286,32.98297158,40.83127253,38.21624752,36.81687778,37.47297399,39.52991775,37.14127596,33.24491708,33.58780302,28.47033675,29.90928478,28.53653526,29.88677134,29.0459614,26.10231783,22.28502252,23.69050802,31.2265498,30.52034816,32.43480215,34.10790169,35.20762248,37.75792651,33.93137679,37.55182519,37.08343021,37.28146247,42.43366299,41.63401544,41.07725751,42.97420697,45.08016685,44.16162585,46.166991,48.29469433,49.6985675,38.67479793,43.64190868,
Equatorial Guinea,,,51.36005727,34.48795181,38.42819828,33.05104378,30.84454734,32.71593865,15.19255184,20.23035403,45.09174707,49.49244204,44.37838866,53.55006447,58.84237269,50.81255324,52.48676943,52.67308934,,,,,,,,39.57717398,57.3969896,74.82913855,81.82523976,68.86681849,69.59248152,77.88544738,36.16086112,37.67941923,104.9936935,104.2142058,160.416697,123.366248,173.4845668,,85.35858328,92.08789912,52.34236068,76.4249751,54.98895555,43.60747208,33.09932917,30.28807233,31.55808998,57.78741095,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95358302,71.50331072,82.86211529,82.93460925,87.38374994,85.79995387,80.09308267,86.72482863,81.76242949,67.02611809,69.97479293,67.56667508,59.79582869,54.94194313,38.3605413,35.94535087,26.13430726,20.43927558,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.35982238,70.67435573,82.15500137,75.6733878,72.89663378,82.59424768,84.59015594,75.34536423,88.2006581,82.30282135,78.28835955,76.68021467,80.1295433,84.21741646,82.9467354,78.130426,75.62248279,58.54985591,71.58579047,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,11.93052082,12.37379906,11.31035708,13.88833685,11.49972184,12.19870164,11.65050057,11.56466569,10.544291,8.846066994,9.17544049,7.618499912,14.40197975,14.10051507,15.72603701,16.27849801,17.86662403,20.50848756,24.03921753,23.97114632,23.72528305,26.6044239,27.41439665,31.57939019,35.4794991,36.58613954,32.02634067,30.83498027,28.90928621,32.48392911,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,39.9103139,40.79655544,38.83196721,48.6381323,50.08992806,54.19520548,47.95321637,47.24770642,51.85185185,53.8606403,51.61626694,57.57432751,55.18561041,58.76439361,54.35555556,43.63441397,42.43788584,46.67478116,47.06637653,50.70407134,52.71933937,57.43232267,49.63622958,49.0369519,43.89556402,44.73983076,39.47457563,42.04204204,51.14638448,60.35527986,67.15656566,60.50440744,54.91465057,59.44874083,59.45217782,58.84730593,58.84538153,58.44001191,58.3042197,61.42001934,70.26341248,68.7253945,63.92405346,68.24655949,70.41595,65.10145206,69.57132373,63.66774737,72.17012527,59.13174867,64.43726144,
Finland,22.24075054,21.38175619,21.43795459,19.40762509,21.19875766,21.04520032,20.63142248,19.78901967,20.23240132,22.27883057,25.86868098,25.1735267,24.42750678,25.20300841,29.88923157,28.53812854,26.03041119,25.84585209,25.06348503,28.87815725,32.51044893,30.6943336,29.04255319,29.10820048,27.51466373,27.76430354,24.7356471,24.89222034,24.61440526,25.267229,24.08415066,22.62224673,25.15571726,27.26481874,29.09483734,28.99108927,30.22666976,31.35779475,30.49618026,29.69318433,34.43700594,32.1391649,31.29359676,31.87911854,33.33902513,37.66840925,40.77338401,40.68842796,43.08235041,35.66294532,39.11507281,
France,12.56917239,12.33881026,12.11688668,12.46708937,13.04945102,12.57413335,13.2487384,13.10404674,13.46149284,14.80200624,15.45646518,15.42743455,15.76583048,16.79488061,21.66071404,17.83799945,20.25753891,20.35828314,19.50563472,20.70172622,22.97630527,23.94200697,24.39732813,23.21655498,24.24975494,24.25975128,20.99988114,21.21796767,21.57090257,22.93393459,22.36885881,22.21796728,21.21455232,19.57890693,20.63768691,21.48161524,21.76726919,23.05170196,23.93377236,24.22165444,27.81843249,27.22364722,25.97898955,25.01614709,25.73927822,26.99286032,28.0690006,28.40466676,29.05361317,25.1517681,27.80927049,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9936989,25.11591397,24.61932225,24.71228468,25.22681524,25.68646839,26.23506896,28.73771866,24.22870491,24.22879547,,,,,,,,,,,
Gabon,32.62720951,31.66281208,30.7683996,45.39366209,35.95148162,37.2972973,39.56952642,48.05390719,49.24551461,54.0508644,37.98881833,52.33111323,72.25788018,57.66602731,43.26069411,47.90224913,46.09929078,51.2605042,46.92136499,37.40304065,31.63017032,40.69556932,39.666919,43.54252109,40.20048837,57.28090636,54.70433528,45.21950723,41.79143678,41.19805316,30.85894113,33.27147925,33.79328923,34.54842303,38.25104682,35.74769716,33.00765586,37.23225371,48.568431,38.1189481,32.66975223,33.04243494,34.34216804,31.08466483,32.02246722,27.70054037,31.81004881,32.88143798,32.00687798,38.51401199,36.18462266,
Gambia,,,,,,,43.57732236,47.18985298,50.9933621,51.09166419,40.90886095,37.18127511,40.75574324,42.3810875,43.7155241,43.61459784,46.35486884,47.5171134,59.88798661,63.25521653,63.59847884,66.75704002,59.63815441,62.48224858,64.78919069,53.91661527,56.09831985,59.28690518,58.45328034,65.27741837,71.58267705,74.93903636,75.82008326,74.97142416,59.00215454,73.04403343,63.16909973,49.80223956,57.62325894,52.84461199,56.84568925,41.29958785,50.80474747,52.34013399,67.13512213,62.83718233,57.02755432,49.23193799,48.28559211,50.12619335,48.7,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.43600563,46.55760055,45.08710801,45.69138277,31.07049608,66.25787428,71.75014789,109.1305079,42.3267816,32.37055068,42.14259388,37.10791533,38.09630847,39.6672117,38.86856912,42.39970181,46.42210967,48.18230095,51.56772941,57.0167148,57.95058282,58.40357734,48.93400862,52.29351303,
Germany,,,,,,,,,,,17.90450691,17.5820688,17.46983688,17.65157514,20.20838986,20.29506153,21.9170789,21.72874133,21.10232456,23.10643538,25.08549182,25.96595767,25.39322751,25.14090359,26.47214088,26.96802244,23.38451331,22.68154281,23.14582989,24.7437008,24.86404118,26.07845693,24.41943703,21.81861041,22.50028055,23.14633487,23.8432,26.10843877,27.20875644,28.52464754,33.07692308,32.80603264,31.17296689,31.80116414,33.50503256,36.10321885,39.89325381,40.16594606,41.83765866,36.95135818,41.35780039,
Ghana,35.42673108,36.45945365,28.47011145,27.44955463,23.86345252,26.71849427,19.61275026,19.90959208,20.79167235,20.33288317,22.69286851,20.23595307,15.21631064,16.39437967,21.8021068,18.42703137,16.04762341,11.55024492,9.687364322,11.16150602,9.154765443,5.323162037,2.982035802,5.988980652,10.77062194,13.58942058,20.13563152,26.18555587,24.06208101,24.34322452,25.85025734,25.52479458,28.76762747,36.41520478,36.76251422,32.92665219,40.09276506,52.991546,46.7281927,49.62676403,67.2461737,64.81283824,54.87299147,56.60810264,60.3670092,61.72229716,40.73029274,40.82908463,44.48471928,42.30174984,41.05486791,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,16.15923139,15.86447123,16.33450492,17.3825857,18.38396856,19.6348842,18.14491905,17.45679038,17.78469355,18.08306097,17.80615254,18.30557927,19.54356222,24.25821757,25.66877036,25.57234327,25.14819107,24.96871779,23.52297859,24.57884891,30.49864893,31.08917294,29.75094414,29.81973075,29.09307677,29.28220716,30.13135852,29.20989159,28.12859826,29.98718186,30.6048576,29.44998511,28.90742878,27.74162742,26.21967554,27.3848276,28.01119734,29.70351088,30.98207449,34.01752499,39.60420281,38.39676687,35.74356084,33.32007039,33.46150564,32.49975803,33.66177189,37.00303447,38.55507109,30.54458839,30.37998176,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,61.12384525,58.77837482,72.64128636,79.37632884,89.54909397,82.95737399,70.91886729,64.62138449,68.72346275,73.47169412,68.82309001,64.96868979,60.37060214,62.78543954,61.72881148,55.1094524,68.08939201,62.1901528,55.26675389,65.56890744,69.71603198,74.28819822,70.14638307,59.65967636,53.95320164,50.37791948,52.87723571,53.7409765,56.80460737,57.40045481,57.48247012,54.47435273,47.45077101,49.8429942,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,14.53622167,13.49493944,13.42252536,15.93284764,18.08944788,19.6109368,19.1342485,19.51152348,18.41664116,17.4303376,17.77836134,18.69709794,18.53614457,20.20473198,25.6650332,23.53328376,27.58344,26.2567285,27.26254426,25.85112784,24.91908513,23.60150989,18.68762184,14.55248486,15.15100296,12.98401607,14.59211949,22.29405493,21.93623877,22.47409714,24.84196453,21.56765026,27.29625964,26.07589705,24.85094775,25.43038631,22.58283566,23.59584313,26.25213334,27.35558273,28.95055351,41.3371271,39.73292195,40.18596436,42.1026349,40.99395895,41.88645735,42.33322802,39.40697228,33.16548112,35.98267999,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07241815,30.70374995,31.07455541,29.78596813,33.44178322,30.58558407,26.07327938,28.08384516,25.86251046,24.52537286,24.34507002,22.85398222,26.92396878,26.03353234,27.86801731,29.40696168,27.98594654,25.18528264,25.81610013,35.11132163,42.61703171,34.67742447,38.63635161,44.77467098,39.40896586,
Guinea-Bissau,,,,,,,,,,,30.1886121,34.31190658,35.63004952,40.72647702,39.24838611,25.94668853,27.93529063,32.60216683,36.05313745,41.52646811,41.84187631,35.71859434,41.28519412,32.25369519,51.28143323,57.70951948,31.83510451,38.95615274,51.16819633,46.18951595,37.03451343,37.79112276,50.11188581,32.71686425,34.30937123,35.14326335,31.83576747,39.88313466,35.84284451,42.81647089,51.57650454,62.95402045,51.22245441,,,,,,,,,
Guyana,56.95681974,52.98179535,44.88330341,46.13342184,53.51901767,57.65517241,60.15946502,59.79308723,55.1468988,55.43521861,57.00149365,54.68888805,58.76856646,68.88957816,66.41876472,74.90526383,91.00431838,78.76767198,63.098529,69.22555027,93.64058143,92.31059005,70.08298755,64.57765668,51.35898588,61.88205292,53.21198618,90.76258457,67.93137146,73.5334049,79.85956328,128.0336285,152.8057271,137.2258563,117.9300129,112.1165977,108.7162219,109.4766045,107.9104203,104.550841,110.6886278,111.4187727,105.4604887,99.79088884,105.6574642,119.206521,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4960447,24.96617704,37.9069165,24.71291342,28.714184,28.89636839,26.44199611,26.62031525,29.69936755,33.41453983,36.1411902,36.00097843,47.86068572,44.00977298,42.93986372,45.0185868,38.94189269,44.19130851,43.91016995,57.32389619,
Honduras,23.029943,21.92588433,22.07607904,24.71964895,24.74835886,26.81608179,30.07546053,30.54673213,31.61719155,30.86826199,34.10788382,30.50615595,28.20672591,33.09589157,44.07926535,39.6797153,38.1676576,39.26325514,40.29541565,41.3724204,44.0568961,37.70172016,28.0523492,29.23302052,32.02771919,29.86674222,28.30510676,25.82781477,28.92660253,34.34294519,39.94576055,37.57508888,36.27659574,43.70399753,49.86140947,48.07902525,51.96700375,51.81748504,54.0787643,55.97826087,66.4199569,64.56138507,65.266821,68.15424292,77.03881531,77.48338889,77.07717876,81.56164347,84.4236886,59.68951935,64.60907995,
"Hong Kong, China",92.66319658,81.41304346,80.55875042,78.32823296,78.46480925,72.28993404,79.47604371,75.99870718,84.85086817,86.20707409,85.50649351,85.26288138,76.55123104,79.19048542,81.97180112,77.8421127,78.78082387,76.89355658,84.65308409,88.46293976,89.37601986,92.72800856,85.42946041,94.28374687,98.82344369,97.38099797,100.4112996,109.5138753,120.881686,118.5575123,121.9841389,127.3800418,132.6815157,128.5497998,132.8347351,147.6494055,138.3606579,131.0086856,123.9640027,123.053081,138.8181991,134.1885657,141.2355145,161.7688767,181.2841787,186.2683804,194.1387745,197.1288223,202.1795325,187.6056048,217.3490043,
Hungary,22.87357896,22.96173943,24.76254324,26.74198616,28.96548533,29.76268049,27.26721387,28.37124112,27.01366115,26.14470816,32.44704524,36.26218314,32.90311029,33.62330597,46.03027522,48.61146015,42.52575952,45.53872387,47.53412187,44.53326832,41.25148572,40.57521874,37.15565222,38.32872027,37.92485303,40.12719874,41.05464732,38.34943777,34.13984243,32.70502713,28.53258463,33.90879972,31.88458278,34.79794498,35.58879436,44.91212988,48.3007893,54.13501699,63.01936094,67.13328775,78.05400195,73.01673383,65.10286128,65.24951631,66.94616477,68.05403491,78.65911889,80.41307231,81.20562055,72.73262093,80.04375485,
Iceland,45.55324627,38.28284785,41.58391429,42.35521121,38.51656562,34.95682415,33.86196368,35.86283079,39.39075372,41.15928827,43.24888899,43.85197677,36.79213482,37.59028944,41.10033549,41.62934812,34.14902644,33.6845239,33.54538669,36.7712374,35.47349243,36.07848332,36.88642579,37.51572847,38.04061149,40.06522904,34.72421585,35.31042687,32.64605485,31.27060333,32.33340811,32.53196733,30.37584751,29.60883881,30.61373781,31.91336294,35.67619812,35.7093935,39.15625515,38.27412562,40.85498668,39.85554111,35.87663267,37.35211801,39.69380183,43.9975246,50.45366492,45.31281076,47.11891975,44.21332004,45.99721303,
India,7.20157126,6.025785934,6.162576241,6.038431541,5.821638365,5.275556825,6.754753871,6.021598039,5.004577357,4.081019909,3.926571385,4.050643136,3.753365939,4.781116397,6.093642415,6.725163558,6.186157728,6.339740846,6.665110307,8.263272072,9.352686249,8.670120898,8.236199289,7.944355799,7.816486673,7.732556073,7.10224385,7.058327116,7.540085412,8.245503236,8.54914821,8.59118811,9.699823676,9.932837071,10.30849686,12.1623946,11.67996623,12.07032933,12.83377846,13.61153873,14.15216756,13.64881753,15.48060936,16.09651564,19.3061274,22.03031292,24.23415203,24.44855293,28.91185738,25.03517793,24.78108169,
Indonesia,11.89320291,12.903225,5.110006865,8.860011478,12.353878,5.42366076,20.88555431,15.94342788,14.72379928,13.9996015,14.97002537,16.06280404,16.11289967,18.63026228,20.46178964,21.02342968,21.52395071,19.19469879,19.70586313,22.55369919,20.21037204,24.02274602,24.05784747,27.86036941,22.07785172,20.44933287,20.48662579,22.39744736,21.09023135,21.4069575,23.73338032,24.10210654,24.95831167,23.76855065,25.36567353,27.64642493,26.4401913,28.13463354,43.21805888,27.42978425,30.45956744,30.76107226,26.39184242,23.13883828,27.54459896,29.9206676,25.6224105,25.39353149,28.75311546,21.3618883,22.97762555,
Iran,,,,,,14.90707693,16.02403653,17.97418802,18.8146082,19.43511245,19.74951658,19.92677374,20.27852015,19.49276854,22.51097628,33.63238726,27.13229859,28.1626557,21.3225397,15.13793134,27.07054568,25.99198805,19.53172269,23.09227436,15.83345061,13.55498061,9.842801002,8.219966488,13.59442319,17.37389164,23.13523882,29.59714905,26.63384872,19.8381198,13.03907655,13.11592286,14.9629922,15.28216666,15.66749751,14.87102072,17.43240419,18.78729278,22.72803329,25.70372003,25.92821501,24.6582347,24.41458613,21.53822451,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,35.27340744,37.65083415,36.83895938,38.61034916,38.81287727,41.51820907,40.8799928,38.72585177,42.83306497,43.84838532,42.67139724,41.18476874,37.89400468,42.56503727,54.28940824,46.29158399,51.45899036,55.54306028,56.81187224,62.77739375,59.83699606,59.48432388,52.59985743,52.44404338,56.79493382,55.48158329,49.59798596,49.88512468,51.24999408,55.28906504,51.97001178,52.52269571,52.81351839,54.97783007,60.44420142,64.63114983,65.60844235,66.59949087,75.26839228,75.35368846,84.01566799,83.73370068,76.27238764,67.17255791,68.33302595,69.40899731,69.30778208,71.25033187,74.38023829,75.3670145,81.99196976,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,11.12644631,11.2221468,16.73949993,16.00508132,16.37365259,31.91992721,29.67336683,37.42762614,47.83863751,50.88816612,51.57155773,53.13795019,50.42187761,56.27579447,58.34301546,67.3156878,68.93273597,65.53856845,76.00336913,71.50595639,59.3359137,59.96386622,57.68682945,53.41123103,55.13357796,58.26915734,52.35455358,57.09892023,48.15975619,45.72076774,45.38367775,45.36947132,44.33651981,48.56626824,47.96475951,36.74986173,35.59810889,34.29977533,32.64045213,36.88949939,37.38203838,35.37435997,37.95898547,37.30747922,41.23762115,42.89958506,42.32053551,43.99207009,41.55197617,32.21338498,34.92204719,
Italy,12.86310994,12.86304733,13.20495895,14.34357656,12.71344222,12.12704916,13.00731327,13.49860296,13.27330419,14.54648545,15.54776946,15.42360536,16.14527863,18.69568282,23.19247912,19.43372932,22.0146531,21.26766202,20.39274582,22.1996839,23.72097807,24.58515039,23.30640756,20.67105708,22.30988649,22.40723186,18.17539438,18.29941161,18.25210372,19.29623148,19.02833367,17.80471595,18.14946893,18.07202987,19.34602238,21.87371817,19.96053917,21.28536923,21.93134659,22.36137823,25.81535497,25.47486513,24.5452276,23.87475263,24.48769234,25.93363448,28.43531805,29.10163551,29.28830866,24.16482911,28.56675564,
Jamaica,38.05084323,34.99795327,34.92223502,34.03866044,38.97770012,36.86635945,35.86928772,36.8053885,42.07263065,43.45723644,37.41671143,40.93886463,41.06733284,41.13029751,45.90589107,45.61221452,37.89126304,28.38235776,37.33076406,50.63205328,51.0402028,55.80659176,48.64242904,43.02751074,61.61030117,65.69387416,45.8865216,46.26743681,47.78635018,52.3979846,51.87699648,51.39145019,63.21978265,55.62829428,57.47725978,60.78138914,55.28183703,51.88356741,,,,,,,,53.52158142,59.38389868,65.9513189,69.1895082,51.18390887,43.2620237,
Japan,10.28796039,10.90163979,9.290796338,9.876335325,9.690881347,9.135002706,9.030612428,9.449839161,9.013474548,8.979946761,9.419438578,8.890618495,8.183560717,9.900248512,14.18739325,12.61528393,12.61539676,11.3316498,9.277507712,12.33400892,14.42772507,13.76157648,13.62390573,12.01796264,12.16783965,10.79809307,7.275468751,7.23355607,7.666958465,8.786600677,9.41546724,8.333848151,7.673007437,6.893257514,7.039958825,7.729213768,9.31102996,9.757912483,9.03278119,8.69144177,9.531086012,9.923818567,10.05820739,10.38293351,11.37007243,12.94643142,14.86263927,15.94466485,17.39928577,12.33446024,14.06981986,
Jordan,,,,,,,,,,,,,,,,,82.66350018,84.62448255,81.47055049,86.87054027,84.19046005,97.15510787,91.4525895,79.46628753,76.66801252,74.38372438,55.4400074,59.75278457,67.11270094,76.06761941,92.72945321,82.75016637,81.41203333,80.15903876,70.46195036,72.86302263,78.16908599,71.46772592,64.24229777,61.14749605,68.47639521,67.1132191,66.60387909,68.3184886,82.43439936,94.20680517,84.56781877,88.3765045,84.71571397,64.9606271,65.91423525,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.33167231,46.73912674,47.1170013,43.54854613,36.00476836,37.44269403,34.85997945,40.11705585,49.09726583,46.9540499,47.04104489,43.04631033,43.90878928,44.72598091,40.47823972,42.75072114,37.14355081,33.81813487,29.21440826,
Kenya,33.6701041,31.12995194,30.12515385,28.96276397,29.21223102,30.69585598,30.87280225,29.37301227,29.29735993,28.08870116,30.66391925,35.18910791,28.72707946,28.669014,40.89752051,34.51158185,31.75563773,31.5930964,38.68802232,31.61102051,35.89983172,33.82030444,31.55827117,28.21277297,32.05400491,30.14650159,29.8930303,26.39754662,27.60376856,30.12334782,31.3283077,28.55606691,26.67049591,33.95485118,34.2258444,39.15404042,32.11150875,31.37072951,28.72798111,27.35953979,31.72147324,33.01525966,30.27469965,30.04545059,32.86674477,35.96983595,36.31194064,37.69921457,41.67450986,36.61019686,37.86519157,
Kiribati,,,,,,,,,,,,,39.40045535,39.30081886,23.80104138,27.81329467,35.70153729,38.19935323,46.2,59.59137642,110.2066604,122.5738148,116.4563455,100.5509642,105.7715284,125.9182736,134.7369789,119.3303872,114.0848638,124.6548957,147.2377132,85.61790964,77.72735929,62.21555055,60.06209227,71.93991926,68.14498157,62.03354703,51.79439429,52.63951461,46.81425974,50.41673756,51.71240265,74.27478056,76.4805778,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",12.59978488,14.93668989,16.50337056,15.7047869,13.34820227,15.91766328,20.12851772,21.91817103,25.29537747,25.14617507,23.8177937,25.57969531,24.19450437,31.8450198,37.89423609,35.41078942,32.00880842,31.21217239,32.15408614,33.6491039,39.96502892,39.66823291,35.75346006,34.07429327,33.64378872,31.38074567,30.57935813,31.20000625,29.27857984,28.73589289,29.02917551,28.98917071,27.74844734,26.13749697,27.37996909,29.92104307,31.33649757,32.99617539,33.29458123,32.37722937,35.70715276,33.47838675,31.6505188,33.10064727,36.72524863,36.56524176,38.29714161,40.4123945,54.18646058,46.02548006,49.60215838,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.76483982,53.65406178,56.36777374,53.75873689,62.14021947,
Kuwait,,,18.68300153,20.76583211,19.05405405,23.09746328,24.3559719,28.44036697,26.07781283,28.91809909,24.11575488,18.66406223,20.66256831,22.16819445,13.8421193,26.01089714,32.55462693,43.44284448,39.8658628,28.81663381,34.2978943,38.47805443,52.36385965,49.35217286,44.64112095,42.74458289,48.01251518,37.1230114,42.93979282,41.36975138,58.07205065,125.7109137,54.2177982,44.28584984,42.33062477,41.964505,39.18636711,39.5915922,51.09332078,39.4368035,30.14693172,35.5387353,36.60914637,34.46414803,32.37997374,28.26685881,24.16694944,28.31711734,25.68327874,28.02857143,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.55123411,36.62884927,47.59207004,41.17504249,40.06839058,42.35898198,56.5576748,46.19024497,58.02600245,56.99652887,47.58290743,37.02243944,43.3394416,45.25154848,51.25980423,57.70917906,79.02980753,84.14540898,92.55712613,78.68080621,89.16336047,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,6.341463599,9.765258427,7.701421778,14.02310854,31.89948681,31.99615679,24.51844519,25.22859516,27.10500318,31.16719275,39.82232928,37.33407722,41.05842399,41.26474597,47.81366775,44.18261464,44.11365492,37.80972118,35.45277068,34.88311455,44.31942718,48.78578286,47.55692454,50.141898,46.99898254,42.60793749,40.89073043,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.02306214,25.48752834,73.06640333,56.98023177,44.39167687,44.87422968,54.25051201,54.65491594,59.61720772,49.59901562,48.67435835,51.10821961,50.62062318,54.64603964,59.57263304,62.23355521,66.34949335,62.38043655,56.46459725,45.36701829,54.20366074,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.57676018,99.91402261,84.21640609,75.85798556,70.80210198,62.40150674,62.32893212,55.25029276,47.55463918,40.95376496,36.75018114,35.9377402,39.95189236,34.94389027,37.35425268,41.68112765,42.60961918,42.14509549,48.19050645,53.46565222,47.83186765,43.78458114,
Lesotho,38.46153846,45.49019608,47.82608696,50.89285714,49.59568733,53.31632653,56.54320988,56.69737775,55.13784461,51.5704584,48.87983707,54.84460695,69.1318328,67.7764566,77.07317073,103.9783002,138.6292835,112.4330756,90.59534081,123.6185018,110.0862838,117.007874,122.8185151,127.4532995,130.8959358,123.9931959,119.3541035,134.3094709,142.877591,140.2476237,123.2332218,147.6527137,136.6061257,128.946584,124.6195257,127.923512,132.3744583,128.4646882,111.9657665,107.3760648,103.3841514,105.597287,126.5942364,113.2176705,129.7830183,120.8668407,119.0875057,118.0038765,121.0069136,115.5748626,113.8854073,
Liberia,38.32108542,52.03322575,72.39585692,56.83474916,51.29364,46.0340859,49.58398127,52.71087592,45.25221618,43.46805638,45.59591417,47.48369024,46.24369077,57.27392221,62.95578306,60.00173058,68.59670132,70.02242779,68.08265315,64.43766673,64.38839245,59.99093571,58.34902111,55.53933895,45.60441691,43.31669265,39.83006869,,,,,,,,,,,71.9837783,39.34927578,41.67043723,25.99393756,31.55393943,27.94659325,44.90291607,51.15520421,51.91131952,83.23529412,190.864416,172.6076555,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12156384,30.76494822,25.4690284,31.54736391,26.11718672,22.41573034,23.89162562,21.84606686,20.88369173,17.20772332,15.49405293,19.9639451,35.19047619,36.66817717,32.11900909,28.30109574,25.46452403,29.35028638,27.46565866,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.67164179,21.03614458,19.92953611,90.35720338,61.39611775,57.97194943,59.16947267,61.58021401,56.4085818,48.64818676,51.02259012,55.30286675,58.42181982,56.98163955,59.1307829,64.64576938,69.26121595,67.43478961,71.69031005,56.05245657,69.6104729,
Luxembourg,69.03692994,75.14137493,74.19143575,72.58163027,73.74609432,75.10344375,70.62348524,66.35301899,66.21326744,65.55172903,71.15377179,79.2957001,72.10927856,71.96438568,76.49827353,82.79111659,77.29223801,77.74234698,77.36205017,81.58985849,83.81993129,84.10066307,85.15138848,84.59577022,93.36715818,97.15197409,88.39980437,90.09142367,90.01568939,89.32921195,88.2280284,89.18946568,84.07229034,82.6593848,83.76979478,85.19089628,90.89930745,103.5905899,111.0522206,115.0149848,128.9914821,129.0103357,121.0742613,113.2269889,128.1542401,130.318831,139.0717036,143.6270522,142.5689399,129.8398614,133.7999697,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,111.1773762,113.2183267,106.9650869,102.7794717,107.5069815,100.4393071,98.04258829,94.44827332,83.97188601,83.48263524,69.71471421,62.69959103,61.14182875,55.21016426,52.38898753,53.83928646,55.85083044,61.77379939,64.63067276,68.29082002,70.57731192,70.9268622,66.84474699,62.55492803,61.45261066,66.02869885,63.45126594,49.59977376,49.81468922,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85737963,25.87934838,53.35242229,54.69418203,48.40959232,42.76810198,38.51699624,50.84982581,56.08545945,52.15374088,63.52256864,56.61154374,58.1555586,54.50040969,60.05865038,61.14278161,64.455616,70.79939395,76.19610403,60.5798105,65.95051452,
Madagascar,16.62452495,19.50334047,18.3835288,19.92631445,19.92784345,19.99999881,23.19806685,21.50406194,22.79017533,23.1115477,21.58562929,21.02564874,18.32323304,18.87873195,20.20715386,20.89013518,17.52470082,20.04897106,24.05740086,30.38712952,29.73785684,22.81624016,20.66598552,17.53413782,17.90882396,20.50791588,15.54690474,22.5059764,23.09889279,22.27095872,28.0271888,26.68871014,24.66727323,24.61532625,29.59885365,31.71145628,26.00428652,29.95999432,29.27742094,32.20958991,38.0051148,32.29216749,22.57384546,32.07349371,47.48388761,45.55925451,45.77413014,52.06714314,57.01813555,52.82337853,,
Malawi,38.40206186,36.16680032,35.01529052,37.49082905,28.25305536,33.25198292,37.31182796,34.90276356,39.15810083,39.59367946,39.15737299,35.4743083,37.94162826,37.58241758,38.95991333,45.89390221,38.87254902,34.62912088,41.11402358,40.83285287,38.80210801,31.49535331,28.84553629,28.32289618,26.42614601,29.89871158,25.04879967,27.80988187,32.5430077,34.51757108,33.42076677,29.30731015,42.45583287,32.22197074,61.74513511,48.08841724,31.8766702,33.5854046,38.10501515,43.29369252,35.33498307,39.12717732,34.15408402,40.5960795,43.19448924,52.18689338,47.10764076,42.4699572,51.3472402,42.11925694,47.2209606,
