"Children out of school, primary, male",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,570037,534996,458505,409969,386759,362622,335339,362838,350520,321728,351641,384103,426911,470522,527386,536750,667838,687755,665019,630352,585515,548180,525188,568033,481748,389503,315814,229552,204714,209561,192112,172679,158848,149918,156957,91481,58388
Mozambique,,,,392008,,,,,,388831,401891,429729,449148,331182,,335932,354093,476905,,524988,,522918,546397,562230,557268,542315,,,738883,697920,650418,592595,713892,,490886,398213,327854,224508,162625,153614,123825,188105
Myanmar,,587434,,435685,670258,,,,626962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,32032,32232,,27959,,,,,,24266,25190,23024,22174,20703,21559,26705,27519,30483,28824,30101,30758,31074,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,228024,226498,,,,173158,,,,,,,,,,,441333,366035,,,,,,,,,,,
Netherlands,,55883,59468,64366,70165,72870,68648,68333,67017,65896,67734,73988,88531,99765,103646,100326,60121,44559,32584,27921,29381,34537,38780,45208,3828,1224,,,,85,67,,,5656,8894,9116,4875,366,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,1606,1079,,,,,,,,223,1152,,,,,,,,1554,3831,,5078,2993,1850,,542,870,2147,4539,1602,3120,2439,963,967,738,545,1032,1233,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,99686,,102672,,,,,,,101275,,111541,114102,120989,115448,121816,119139,122788,131550,123742,116105,107569,105856,103020,111066,,,,80384,73966,62852,37728,35922,27999,23272,31139,30009,24262,,27075,
Niger,,,,337514,349258,,,,,,,,,,,,406626,,,448109,463974,473887,501589,,,,,566503,,601103,625693,608256,585815,565751,544068,569728,573644,575007,553564,520594,478394,420761
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272656,2994309,,,3137330,3128672,3155730,3221330,3631279,4558888,4884551,5054204,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,2590,3543,,3477,3925,,5179,6682,6185,5279,3670,2035,418,,596,2356,2647,2841,2886,1711,681,250,848,659,784,346,1321,3406,3803,2605,2492,2619,2070,
Oman,,,,52655,50141,45481,47847,,44629,44581,,45193,45867,47731,44500,47484,47185,45663,49906,51007,52361,54139,54307,52472,53292,51410,45547,46406,43296,38217,33532,27557,21786,19344,,,,,,684,3087,2247
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3163514,,3372146,2778850,2699154,3043554,2623098,2470039,2209029,1884170,2090372
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,,,,,,,,,,,
Panama,31776,22028,19268,17051,,16034,17925,,15318,17774,18439,20082,20751,21237,19987,17733,15724,14084,15746,13903,14266,,,,,,,,,6683,2449,1321,1202,,1861,1311,1483,1552,1616,5260,1785,4932
Papua New Guinea,,,,,,,,,,,,,,,,,,,,107460,114385,,,,,,,,,,,,,,,,,,,,,
Paraguay,41666,,41895,,,49687,47442,46029,42365,39454,33955,29304,18146,28287,30359,31754,35667,35250,32098,28892,24416,20142,17968,17221,35847,,22429,,,13854,10085,11011,18798,21492,23902,22505,29992,40195,51173,62464,68189,
Peru,198147,,,,,,,,,,,88325,,,,,,,,,,,,,,158505,,,4746,,,,,,11891,11850,8723,9376,36939,53966,39579,52279
Philippines,,,,,,,,,,,,214789,280898,352415,258825,,278143,252069,242248,185310,75591,203175,,,,,,,331624,607312,,609093,617808,592432,646002,708065,822611,849077,843096,798880,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40910,38431,37251,40522,46679,52872,60035,60901,61382,58319,46812,36311,
Portugal,,,,58095,57010,,35154,29243,16759,,19208,16878,,,,,,,,,,8569,,,604,,,,,1773,,2970,2428,,1361,1469,1790,,1941,2633,3089,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27782,31595
Qatar,,848,921,934,1012,,1083,618,178,,,217,,369,649,1360,1715,1933,2446,2692,3111,4637,4901,5149,3606,,,,,2612,2260,2628,163,,,,556,558,587,829,1874,2176
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
