Female agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Puerto Rico,0.400000006,0.400000006,0.400000006,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,,0.3000000119,0.3000000119,0.5,0.200000003,0.200000003,0.200000003,0.400000006,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.400000006,0.400000006,0.400000006
Qatar,,,,,,,,,,,,,,,,,,0,,,,0,,,0.1000000015,,0,
Moldova,,,,,,,,,,,,,,,,,,,,,49.79999924,50.29999924,48.59999847,41.70000076,40.09999847,40.29999924,31.89999962,30.10000038
Romania,39.29999924,38.5,37.90000153,37.79999924,37.5,36.59999847,36.20000076,36.09999847,35.5,34.59999847,34.29999924,33.70000076,37.70000076,40.40000153,44,46.20000076,42.40000153,43.40000153,43.70000076,45.09999847,45.59999847,45.09999847,38.5,37.29999924,32.29999924,33,31.39999962,31
Russia,,,,,,,,,,,,,,,,,,7.900000095,7.5,12.30000019,11.69999981,9.300000191,8.899999619,8.199999809,7.900000095,8,7.800000191,6.900000095
Rwanda,,,,,,,,,,95.90000153,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,13.80000019,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,14.89999962,17.70000076,17.70000076,18.79999924,13.80000019,16.5,15.89999962,14.30000019,,8.699999809,8.5,9.800000191,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,13.89999962,,,,,,,,,,7.599999905,,,,,,
San Marino,5.699999809,5.300000191,5.099999905,5,4.699999809,3.700000048,3.400000095,3.200000048,3.099999905,2.700000048,2.700000048,2.5,2.299999952,2.299999952,,1.600000024,1.5,1.5,1.399999976,1.399999976,,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119
Sao Tome and Principe,72.90000153,78.69999695,63.09999847,67.59999847,69.69999695,,,,,,,35,,,,,,,,,22.79999924,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,1,2.299999952,0.8000000119,0.6000000238,,,,0.400000006,0.400000006
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,24.10000038,23.29999924,19.20000076,19.5
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,71.09999847,,,
Singapore,0.8999999762,0.8999999762,0.8999999762,0.6999999881,0.5,0.400000006,0.6000000238,0.5,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015,0,0.1000000015,0.1000000015,0.1000000015,0.400000006,0.400000006,0.400000006,0,0.5,0.400000006,0.5,0.400000006,,0.8000000119,0.5
Slovak Republic,,,,,,,,,,,,,,,7.199999809,6.400000095,6.400000095,6.400000095,5.599999905,4.599999905,3.900000095,3.700000048,4,3.5,2.900000095,2.599999905,2.400000095,2.200000048
Slovenia,,,,,,,,,,,,,,10.10000038,11.10000038,10.80000019,9.5,12.5,12.10000038,11,9.699999809,9.600000381,9.699999809,8.300000191,9.699999809,9,9.199999809,10.39999962
South Africa,,,,,,,,,,,,,,,,,,,,,16.10000038,7.300000191,10.19999981,7.599999905,7.400000095,6,7.800000191,6.5
Spain,18.39999962,17.70000076,16.79999924,17.20000076,16.70000076,16.5,13.80000019,12.80000019,12,10.80000019,9.800000191,8.5,8.100000381,7.800000191,7.400000095,7,6.199999809,5.900000095,5.5,5,4.699999809,4.5,4.099999905,4,3.700000048,3.599999905,3.299999952,3
Sri Lanka,,51,,,,54.20000076,,,,,,,,42.59999847,46.5,41.5,40.20000076,,48.79999924,,,27.10000038,,,,35.20000076,37.90000153,36.79999924
Saint Helena,,,,,,,,,,,,,,,,,,,3.900000095,,,,,,,,,
Suriname,,,,,,,,,,,,,3.200000048,2.299999952,2.299999952,3.299999952,1.799999952,2.900000095,3.200000048,1.799999952,,,,,4.5,,,
Sweden,3.099999905,3.200000048,3.099999905,3,2.900000095,2.700000048,2.599999905,2.400000095,2.099999905,1.899999976,1.799999952,1.799999952,1.899999976,1.899999976,1.799999952,1.600000024,1.399999976,1.399999976,1.399999976,1.299999952,1.299999952,1.100000024,1,0.8999999762,0.8999999762,0.8999999762,0.8999999762,0.8999999762
Switzerland,5.099999905,5.300000191,5.199999809,5.199999809,5,4.800000191,4.5,4.300000191,4,3.700000048,3.5,3.599999905,3.900000095,3.900000095,3.799999952,3.599999905,3.599999905,3.599999905,3.700000048,3.700000048,3.599999905,3.200000048,3.200000048,3.099999905,2.900000095,2.799999952,2.700000048,2.799999952
Syria,,,,52.20000076,47.5,,,,,47.29999924,,,,52.70000076,29.39999962,60.20000076,,23.10000038,,50.20000076,61.70000076,56.70000076,61.20000076,49.09999847,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,75.09999847,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,84,,,,,80,
Thailand,74.09999847,67.19999695,63.70000076,64.5,66.19999695,64.09999847,68.19999695,64.80000305,67.5,67.69999695,64.5,60.29999924,61.59999847,57.20000076,56.70000076,53.20000076,51.40000153,51.29999924,49.79999924,46.70000076,47.29999924,43.59999847,44,42.5,40.29999924,40.70000076,40.5,40
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,24.70000076,22.20000076,15,19.20000076,20.29999924,17.29999924
Tonga,,,,,3.400000095,,,,,,,,,,,,,,,,,,,4.599999905,,,,
Trinidad and Tobago,8.600000381,9.5,6.400000095,6.099999905,7.599999905,7.5,7.599999905,7.300000191,8.800000191,7.699999809,,6.400000095,5.5,5.599999905,6.199999809,5,4.5,3.900000095,3.400000095,2.799999952,2.900000095,3.099999905,2,2,2,1.700000048,,
Tunisia,29.5,,,,,,,,,22.70000076,,,,,,,,,,,,,,,,,,
Turkey,,,8.5,7.300000191,8.100000381,79,,,78.19999695,77.69999695,75.80000305,77.40000153,72.19999695,68.80000305,71.19999695,71.19999695,71.5,67.19999695,67,67.59999847,60.5,63.29999924,60,58.5,57.20000076,51.59999847,48.5,47.29999924
Uganda,,,,,,,,,,,,,,,,,,,,,,,,75.69999695,,,,
United Arab Emirates,,,,,,,,,,,,,,,,0.1000000015,,,,,0.1000000015,,,,,0.1000000015,,
United Kingdom,1.299999952,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.100000024,1.100000024,1.200000048,1,1.100000024,1.100000024,1.100000024,1.100000024,1.200000048,1.200000048,1.200000048,1.100000024,0.8999999762,0.8000000119,0.8000000119,0.6999999881,0.6999999881,0.6000000238,0.6000000238,0.8000000119,0.6000000238,0.8000000119
United States,1.600000024,1.600000024,1.600000024,1.600000024,1.5,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,1.299999952,1.299999952,1.299999952,1.200000048,1.600000024,1.600000024,1.5,1.5,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,0.8999999762,0.8000000119,0.8000000119,0.8000000119,0.6999999881
Uruguay,,,,,,,,,,,,,1,0.8999999762,1.5,1.600000024,,,1.5,1.200000048,1.100000024,1.700000048,1.299999952,1.700000048,1.799999952,1.5,5.199999809,4.800000191
Venezuela,2.400000095,2,2.299999952,1.899999976,2.200000048,2.200000048,2.400000095,2,1.799999952,2,2.200000048,2,1.799999952,1.700000048,,,,,,,,,,2.299999952,,,1.799999952,1.799999952
Vietnam,,,,,,,,,,,,,,,,,70.40000153,66,65.59999847,65.5,66.30000305,65,63.20000076,61.70000076,60,,,
