High-technology exports (% of manufactured exports),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
French Polynesia,,,,,,,,,13.18382463,15.61604742,17.84834806,13.20768034,8.136345786,13.74926791,3.733640172,3.473536354,11.98067874,13.15453219,11.68271551,2.326796169,16.02319771,9.112511514,4.745152304,
Gabon,,,,,,44.57536645,35.20191456,,27.25823579,25.36491752,39.76999517,39.85282717,5.194285574,2.631713436,4.422446961,4.780240394,13.79811827,10.90424166,32.06755197,18.21266104,17.40172346,2.997716664,,
Gambia,,,,,,,,6.171168816,4.338858457,4.829631045,18.70255222,2.143313688,3.085565543,10.41580031,2.64999614,2.643103422,0.3680959526,5.929461909,1.517782071,2.030848189,14.32911413,1.128796222,,
Georgia,,,,,,,,,1.614980298,2.493796019,4.584843053,23.88641407,10.85046526,38.14310335,41.09937792,24.6503725,38.25046831,22.58551229,16.46626107,7.487338195,2.687853184,3.936402218,1.783145817,
Germany,11.75252746,12.37895986,11.99635284,13.09941007,12.66390554,13.42861136,13.63742308,13.7125196,13.76754279,14.64727685,15.17789508,16.48760158,18.62581366,18.31637506,17.45204025,16.90097477,17.81653651,17.42259934,17.13589881,13.99489116,13.30471851,15.25874061,15.25099045,
Ghana,,,,,2.192211094,,,,0.3627128018,0.4908998758,0.573909485,13.58430801,1.924122616,2.615082671,,3.68325376,,0.1967651738,0.1796177608,1.05180921,1.429704729,3.662918163,2.004343656,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2.422256499,1.992322287,2.393003914,2.877354392,2.290318083,3.614748115,3.787679401,5.8123725,6.019307013,5.791540594,8.475731892,10.19979313,13.74937627,10.25558979,12.00133712,12.56773142,11.84969636,10.57854262,10.96414424,7.365739111,9.31395472,10.85835632,10.19220866,
Greenland,14.99741806,21.98939463,10.43034256,5.618631006,6.063140822,7.084963802,,7.231983278,9.855908323,62.23890789,11.65091015,11.1963115,37.31515479,4.451108034,55.35861441,9.462103373,3.576570526,7.951596669,15.9347139,11.54989314,,,,
Grenada,,,,,,4.353667346,0.6627039151,0.5763323675,0,3.19894693,36.0853363,0.05245991898,30.10875368,28.29610403,8.286849188,1.02333305,0.4835370212,0.1113322842,0.02467450805,39.56243432,11.05681048,,,
