Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Dem. Rep.",3430867,3636019.975,3854491.766,4083519.403,4324647.434,4579157.125,4862511.839,5161472.482,5475207.982,5802068.756,6140903.727,6282833.69,6425372.308,6570538.484,6721175.037,6879148.423,7046452.542,7221571.107,7401391.623,7581582.98,7759497.581,7937043.699,8114553.32,8295368.378,8484028.523,8684291.36,8926776.641,9180666.999,9454427.777,9758952.899,10100179.28,10535535.22,11011846.5,11505032.97,11981563.29,12418184.58,12865874.65,13275169.66,13669080.91,14082633.64,14541965.39,15130703.66,15771229.76,16454846.79,17165702.48,17891660.45,18714837.33,19560253.79,20429167.68,21324432.3,22248283.68,23226619.82
"Congo, Rep.",319596,336275.5492,353052.1927,370656.2922,389106.3414,408427.8307,429070.8777,450669.8286,473335.1953,497210.681,522406.5835,549789.3657,578639.8076,608850.4191,640236.4098,672665.6435,707544.5747,743570.4051,780920.1106,819861.7676,860605.2525,902421.8059,946085.2706,991487.2727,1038436.728,1086798.386,1126891.888,1167950.492,1210042.467,1253272.916,1297747.122,1343329.832,1390130.033,1438493.171,1488883.25,1541601.436,1598097.246,1657197.73,1718054.909,1779443.733,1840541.962,1900800.375,1960599.357,2021485.141,2085700.88,2154813.989,2229206.45,2308577.318,2391151.735,2474287.163,2556042.035,2634924.764
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,457579,477436.0182,498930.6854,521161.7852,543745.7187,566386.1326,593917.801,621785.8239,649916.3902,678253.9216,706798.5543,733545.9492,760430.7649,787918.332,816658.7773,847163.2739,876413.7364,907448.1158,940179.5934,974404.4614,1009958.262,1050294.29,1092217.566,1135633.783,1180414.679,1226454.81,1288436.627,1352466.633,1418471.874,1486361.406,1556089.739,1627364.36,1700314.535,1775471.634,1853615.096,1935274.663,2007581.733,2082742.271,2159749.888,2237146.219,2313805.488,2384618.979,2454213.723,2522839.678,2591021.233,2659166.386,2725579.676,2791696.164,2857711.041,2923874.151,2990353.21,3055437.69
Cote d'Ivoire,609722,719365.0686,801380.0273,889458.6881,983582.6765,1083815.32,1161300.641,1243350.093,1330719.27,1424438.453,1525425.238,1638737.98,1760508.26,1891240.986,2031395.265,2181359.597,2349023.333,2527740.597,2717633.768,2918695.011,3130827.766,3291794.981,3458451.494,3629509.927,3803295.373,3978588.916,4162047.87,4346687.368,4534004.032,4726307.42,4925100.869,5141844.618,5364897.037,5592217.463,5820886.378,6048474.12,6288901.905,6528754.129,6765629.986,6996591.951,7219817.533,7466645.888,7707067.335,7945394.945,8188031.757,8440290.269,8719537.46,9010931.99,9316658.517,9638789.751,9978839.546,10334363.74
Croatia,1250280,1298165.923,1348169.431,1398387.253,1448819.4,1499463.99,1553577.104,1608232.994,1663050.576,1717607.014,1773045.56,1826421.7,1879427.76,1932436.12,1984975.8,2036987.64,2088918.9,2134572,2190843.72,2243172.54,2296798.68,2327362.56,2361671.55,2394679.41,2426346,2458199.91,2485689.132,2511735.48,2537374.286,2559373.698,2583064.2,2444852.96,2430794.94,2531157.12,2544545.1,2562907.48,2473093.14,2522372.4,2489458.09,2525101.92,2460280.62,2475335.52,2482608.24,2489880.96,2496591.258,2505554.52,2514469.68,2522238.624,2531131.164,2538295.332,2541984.66,2548312.494
Cuba,4170441,4266287.851,4374011.782,4486669.424,4600438.394,4712449.601,4821215.255,4927341.157,5032013.641,5137260.238,5244278.617,5407254.34,5572975.356,5738230.529,5898512.272,6050432.575,6191445.401,6323821.676,6448555.18,6567560.125,6682712.596,6772567.808,6858304.536,6944652.987,7037880.956,7142376.415,7252699.035,7375116.847,7504475.214,7633002.867,7754815.434,7835743.755,7908996.166,7975590.255,8037643.443,8096783.502,8161713.34,8222914.442,8281382.002,8338409.853,8394860.628,8421967.008,8448628.104,8473269.924,8493637.32,8508206.952,8507759.599,8501773.594,8491753.629,8479857.874,8467688.905,8461968.323
Cyprus,203987,208335.8966,211763.5274,214804.9469,218034.7796,221893.6653,226565.0204,231929.7365,237831.3763,243983.3359,250164.5234,261213.2137,272407.9864,283774.9003,295379.826,307261.7329,325846.0871,344898.7178,364161.7617,383230.1306,401804.8314,412365.193,422267.0696,432122.5445,442848.7419,455172.7186,463752.6985,473973.7006,485644.9724,498402.9204,511946.8849,524959.0557,538722.0753,553001.0109,567504.4325,582013.3811,595225.6032,608227.3776,621148.6784,634210.871,647552.4651,661568.8427,675783.8223,689966.1163,703799.1555,717052.3553,729779.7113,741895.0475,753515.1336,764831.5908,775985.2422,787273.6445
Czech Republic,5684630,5755978.647,5826307.18,5901903.007,5984778.488,6064766.657,6137482.169,6204409.912,6266304.505,6326368.972,6348794.885,6437055.166,6572632.323,6718465.531,6873458.176,7032685.345,7186075.13,7336195.348,7483593.746,7628374.379,7745352.752,7746724.271,7761514.602,7772397.58,7781274.263,7790568.981,7791420.133,7792254.766,7795244.667,7796600.059,7772749.631,7742216.273,7738227.785,7734354.973,7725224.304,7708571.457,7686092.374,7664315.679,7643571.953,7622294.193,7600285.601,7567837.796,7538529.008,7534462.187,7534924.761,7543600.519,7563340.421,7606396.463,7667891.378,7709208.445,7728259.995,7745235.504
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,3376197,3429213.56,3487254.636,3546322.272,3606520.267,3666723.566,3722086.428,3777552.618,3826785.076,3874313.985,3930042.969,3981360.12,4028247.922,4076867.284,4120201.433,4156474.239,4182933.678,4212030.419,4241231.957,4267800.911,4289151.895,4294366.42,4297640.005,4301113.548,4305281.549,4313449.495,4324260.24,4334785.997,4341940.372,4349596.255,4361726.876,4374463.021,4390358.674,4406421.574,4422743.621,4447268.042,4473781.318,4493690.438,4511323.127,4527563.074,4544013.216,4568426.813,4591174.096,4611830.118,4631935.628,4652907.538,4678435.445,4709485.37,4747554.306,4783397.933,4815111.46,4845522.792
Djibouti,42689,46257.94175,50349.87367,54960.07041,60019.89188,65482.56954,71374.65309,77788.03779,84694.34736,92045.76539,99845.22294,107799.6915,116098.2311,125391.5831,136606.2465,150373.2375,167147.4729,186787.1744,207753.8752,227772.7093,245222.2877,257235.3331,266076.534,274139.4016,284939.3272,300927.8645,322064.2837,348330.682,376871.1234,403533.0542,425372.385,440767.5498,451237.1267,458927.2536,467088.9123,478047.731,492002.1594,508588.8856,526620.2245,544250.8785,560160.6676,574030.2519,586387.3848,597745.3102,608917.6942,620510.5929,632658.6127,645171.6766,658016.5982,671085.4643,684302.4328,698008.7312
Dominica,16462,17790.55652,19219.19278,20678.50404,22195.83648,23792.48571,25622.91558,27550.36322,29527.3168,31475.61833,33328.24716,34761.52324,36049.99461,37260.0483,38501.46765,39863.99232,41350.51512,42976.85304,44666.496,46292.80536,47756.09232,48192.62812,48455.7619,48579.57024,48622.96028,48634.29302,48472.0036,48277.5861,48100.2352,48002.9368,48028.25016,47959.04221,48027.93314,48163.76948,48265.7064,48262.75956,48076.81939,47784.63516,47433.1117,47089.75805,46804.25616,46614.49313,46477.96307,46371.7504,46257.61537,46110.825,45982.284,45826.14376,45663.80364,45526.75816,45437.8442,45463.2529
Dominican Republic,1011473,1067164.195,1137082.485,1209958.85,1285703.741,1364237.859,1448407.785,1535485.434,1625455.76,1718315.396,1814059.996,1915590.383,2020157.014,2127714.453,2238203.866,2351597.887,2468983.301,2589343.881,2712937.908,2840142.278,2971259.088,3070831.367,3172807.832,3277083.84,3383468.377,3491805.639,3585716.599,3680781.652,3777034.504,3874548.981,3973326.245,4088283.082,4204971.617,4322851.932,4441196.657,4559477.332,4706078.752,4853433.787,5001967.225,5152375.182,5305195.944,5456789.664,5610633.232,5766679.796,5924799.487,6084863.208,6236645.536,6390012.259,6544735.518,6700517.738,6857097.744,7003084.224
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,1505063,1573521.959,1646488.571,1722838.532,1802545.667,1885602.122,1970763.672,2059355.12,2151395.143,2246890.793,2345864.41,2453817.776,2565644.811,2681525.252,2801692.619,2926325.896,3077011.54,3233459.885,3395662.717,3563555.556,3737067.624,3910502.26,4089134.823,4272923.237,4461827.433,4655746.693,4847415.026,5043264.981,5242989.093,5446224.253,5652557.378,5837029.249,6023360.711,6209972.254,6394767.567,6576373.736,6750341.106,6920665.947,7090336.237,7263693.162,7443925.419,7651796.458,7867562.006,8089414.961,8314375.428,8540131.52,8764630.846,8989770.803,9215683.084,9442839.557,9671558.438,9888323.595
Egypt,10535500,11008998.58,11466686.23,11938417.14,12424447.6,12924852.86,13356287.36,13798171,14248342.19,14703858.22,15162858.52,15603661.36,16047814.69,16498633.27,16960827.93,17438238.76,17863155.57,18301357.21,18754831.42,19225687.52,19715266.13,20193142.32,20686918.17,21196300.73,21720770.38,22258826.03,22755954.74,23262466.91,23766850.83,24254163.75,24714319.1,25119577.62,25497205.25,25856558.15,26211325.76,26571999.61,27022263.92,27482046.03,27954819.78,28443920.04,28951493.88,29513699.55,30097197.92,30697852.21,31309508.59,31927417.32,32567433.92,33212752.85,33863704.48,34521420.57,35186267.15,35935354.14
El Salvador,1062350,1099624.645,1138367.674,1178960.945,1220557.937,1262509.116,1304007.295,1345528.979,1387218.331,1429378.977,1472181.26,1527985.337,1584758.18,1642098.951,1699470.872,1756436.706,1816668.243,1876489.098,1935685.094,1994047.268,2051456.353,2108093.703,2163793.735,2218952.165,2274147.575,2329882.328,2386208.007,2442971.172,2501069.335,2561679.675,2625518.102,2716367.558,2811190.477,2907803.13,3002968.692,3094144.518,3182723.433,3266686.173,3346635.746,3423882.978,3499552.482,3547351.926,3593323.047,3638376.983,3683640.142,3730020.254,3776775.845,3825293.043,3875592.155,3927491.438,3980855.9,4033134.906
Equatorial Guinea,64280,65637.23,66866.04543,68160.40956,69651.76205,71404.07358,73254.61613,75364.50129,77295.0316,78445.74154,78411.07278,77055.29068,74596.06405,71438.96005,68179.25597,65301.584,62852.33482,60832.1847,59642.38188,59758.36434,61480.61504,65813.80266,71952.3383,79249.99078,86719.33206,93602.6196,101392.0522,108593.6615,115436.5216,122407.878,129907.0382,137463.0246,145465.2825,153900.9403,162711.2368,171850.9352,177570.4272,183432.2948,189443.0747,195610.8521,201938.6628,208538.0246,215304.7401,222206.7395,229201.0259,236258.5363,243849.0267,251520.1137,259315.5917,267300.8573,275516.7414,284572.001
Eritrea,139513,147128.8307,155833.8385,164934.4407,174430.359,184325.0328,193236.2138,202514.9831,212164.5741,222186.3383,232592.71,242031.7663,251789.3607,262012.6607,272904.7307,284605.916,297425.4321,311098.0375,325400.6,339997.4243,354633.0833,368847.0235,382885.8867,397042.7872,411777.9368,427367.1197,442534.3445,458610.6753,474403.7019,488238.4558,499010.61,507304.0284,512678.0033,516914.2455,522616.286,531797.7466,547142.5229,566376.3617,589524.2774,616293.9785,646373.5942,682821.5392,723120.023,766196.183,810501.161,854836.8353,902407.3789,949779.1787,997519.184,1046669.969,1098018.284,1156866.266
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,699199,717069.948,735697.963,754564.797,773670.45,792033.354,809767.5527,828388.2006,847220.4697,866257.9373,884769.7337,901566.7941,919114.7957,935410.1312,951032.6404,966084.7233,979104.5832,992492.5038,1005517.581,1017358.012,1029784.137,1040208.796,1050888.684,1061320.635,1071472.373,1081872.45,1091058.274,1100701.642,1108692.848,1114248.027,1116122.083,1106943.522,1083410.88,1052442.845,1026813.529,1005342.107,988982.0986,976144.8727,965210.9182,956307.8886,950457.1052,946765.2119,943042.9523,939577.0058,936679.8166,934527.8423,932854.2401,931648.9868,931053.2046,930869.1398,930889.2322,931538.52
Ethiopia,1443222,1538298.647,1630263.195,1726787.535,1827779.198,1933182.926,2034673.49,2139903.695,2249669.68,2365148.563,2487031.726,2609266.158,2738496.475,2870320.105,2998290.805,3117917.994,3231426.792,3336116.011,3439691.209,3553866.008,3687875.956,3852699.279,4040638.281,4248874.487,4471681.875,4704608.022,4957207.146,5221343.102,5498418.255,5790813.689,6100140.871,6430951.442,6778426.558,7139656.049,7510373.434,7887224.579,8233937.712,8583447.435,8937039.688,9297126.614,9665526.239,10049254.68,10441296.54,10840996.14,11247283.18,11659426.18,12091614.32,12530388,12976936.97,13433000.53,13899854.59,14420415.64
Faeroe Islands,,7729.96081,8116.2571,8502.34345,8895.13215,9298.99223,9585.20332,9878.975964,10177.79803,10477.31725,10774.27197,11065.67328,11354.62488,11644.94016,11942.78808,12252.61378,12452.02842,12660.8827,12878.69394,13105.89612,13341.05894,13468.7211,13595.49958,13723.55976,13857.82,13997.60702,14177.40903,14366.90354,14524.96836,14597.18916,14549.89452,14408.85498,14149.6914,13842.4672,13585.01311,13447.55258,13896.68011,14475.72638,15158.28191,15889.33836,16621.63391,17164.42036,17704.74182,18230.86205,18731.02763,19197.51498,19394.8475,19544.88708,19666.23396,19788.91625,19934.23608,20101.8473
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,117017,123204.5418,130015.9311,137060.705,144151.148,151143.0107,157272.1494,163221.6191,169066.253,174936.447,180934.5069,186871.4863,192944.8395,199137.1576,205410.219,211745.7711,216991.2799,222209.0738,227604.8257,233461.3429,239945.3239,246860.1732,254410.2109,261992.7907,268771.9353,274169.3467,281238.9102,286909.8817,291817.3058,296957.8293,303090.3629,311662.8566,321318.5334,331753.751,342424.5628,352890.179,360798.482,368510.8043,375867.1609,382689.9713,388877.8594,393543.6287,397500.1212,401197.3869,405278.564,410215.4066,416210.6975,423124.5453,430688.8974,438467.3395,446121.1445,453587.5587
Finland,1687830,2505461.004,2561793.327,2619484.428,2673833.711,2722631.237,2769923.22,2822234.116,2872371.037,2908120.328,2934401.811,2976175.944,3032238.553,3088021.738,3142947.252,3195816.866,3242287.522,3288295.664,3334782.362,3380442.732,3428217.069,3482047.484,3541009.087,3601809.142,3660951.942,3716264.324,3763361.604,3809157.507,3855455.472,3904735.939,3957580.692,3995258.884,4033865.868,4069603.287,4103425.088,4135420.018,4161511.996,4186447.006,4210150.191,4232537.741,4253963.842,4271152.098,4289026.781,4306794.072,4326866.516,4349275.889,4372877.231,4398427.453,4425891.338,4454081.265,4481509.664,4508261.786
France,28278397,29732031.9,30646761.42,31584079.72,32515634.32,33419687.83,34162763.8,34867905.17,35548300.97,36226079.92,36917512.02,37407583.47,37907468.38,38405733.44,38885037.58,39333537.28,39582317.81,39800888.69,40002642.96,40206630.47,40426781.83,40668654.2,40927260.37,41198938.29,41476991.47,41756070.77,42040987.58,42328379.19,42613649.94,42891013.66,43156568.71,43462100.25,43757324.47,44044974.95,44329252.05,44614170.46,45033495.26,45455090.31,45888737.01,46277984.77,46837453.47,47751194.02,48675460.21,49601484.2,50552129.46,51523132.97,52350768.65,53145749.29,53916357.14,54684842.27,55463256.7,56107524.53
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,33638,35616.56915,37682.185,39883.73961,42241.23008,44766.39531,47720.71915,50877.2035,54210.76668,57681.89599,61258.99744,63686.24007,66133.74306,68619.99307,71177.47824,73828.05231,76277.61565,78792.71295,81374.2281,84020.75743,86725.71906,89296.41748,91908.11503,94533.81647,97137.399,99691.38864,101719.3552,103672.2355,105554.1664,107376.5157,109148.7591,110504.6517,111787.5779,113031.1115,114278.5173,115555.513,117383.8211,119255.9396,121111.8317,122871.4606,124477.1608,126182.1735,127743.49,129194.8147,130590.3083,131969.1373,133466.1076,134946.5361,136406.8631,137835.8248,139226.8488,140816.6524
Gabon,84509,91199.7652,98025.41088,104988.2644,112084.4574,119321.97,128565.463,138024.1925,147845.8773,158252.4535,169448.32,184555.6718,200795.1939,218161.8393,236546.6246,255856.6391,276996.4197,299202.5227,322564.5162,347215.429,373281.7516,395225.486,418361.6745,442733.9314,468384.4683,495353.3162,522026.8002,549935.0086,579198.4006,609976.2556,642368.8929,675447.7949,710054.363,745873.6515,782445.6887,819398.7539,853296.4479,887250.1238,921244.8986,955330.2357,989553.2959,1020450.372,1051298.34,1082176.088,1113199.409,1144476.471,1173121.525,1201999.497,1231318.991,1261341.882,1292259.33,1321732.959
Gambia,38461,48190.11607,51022.96981,53764.18681,56551.11159,59505.3685,64796.0916,70368.35791,76285.27488,82615.46059,89420.93848,96763.52224,104718.7572,113228.1122,122165.9984,131438.7486,139968.2788,148812.9009,158115.5992,168095.5035,178947.394,191503.867,205040.3736,219764.8024,235938.2749,253737.8074,274492.001,297126.4644,321128.9524,345688.0824,370151.7711,394611.4357,418787.8548,442962.5075,467676.5351,493392.0341,519070.2474,545722.8986,573521.4992,602644.6455,633236.4088,663565.5145,695453.5931,728766.9589,763265.3257,798768.7904,832858.5745,867846.54,903818.2289,940913.3557,979238.9046,1016080.109
Georgia,1759469,1613362.232,1656600.165,1699996.228,1743221.823,1785661.344,1825808.543,1863610.322,1900576.276,1938615.815,1904782.068,1943500.518,2058124.284,2096168.34,2134460.538,2170430.528,2204836.23,2238742.549,2270787.577,2306645.653,2345408.469,2380015.638,2415670.242,2452548.101,2489267.321,2527012.026,2557497.926,2586706.446,2620532.063,2635532.284,2642924.76,2650005.497,2658942.612,2667699.698,2629172.726,2548832.94,2474248.064,2418052.697,2383617.862,2354419.665,2325704.754,2307439.402,2290509.756,2274282.851,2267262.959,2288321.64,2310023.112,2307368.059,2307281.588,2323944.661,2348495.776,2371335.488
Germany,51889236,52463686.08,53011640.54,53590065.12,54109295.85,54659676.74,55166624.78,55468523.72,55765064.96,56258737.19,56496071.93,56644618.37,56961311.39,57186141.3,57253600.01,57085530.78,56885786.31,56801550.59,56796493.05,56865982.63,57028530.3,57094599.27,57019483.78,56849419.37,56632538.86,56485448.01,56574570.65,56724907.62,57010563.08,57517259.56,58079842.14,58531445.15,59005273.3,59421715.11,59655544.43,59858576.46,59996224.35,60048139.82,60021297.31,60024144.46,60069482.55,60218053.26,60366895.39,60447865.43,60482273.16,60495444.51,60503031.97,60497867.31,60458485.52,60380837.79,60363640.88,60431800.34
Ghana,1581770,1657231.804,1750438.309,1845864.476,1941472.392,2035817.505,2128727.879,2219603.567,2311441.985,2408850.965,2515296.311,2601134.553,2695926.409,2795186.027,2892228.824,2982554.045,3064024.468,3138831.811,3214090.701,3300101.961,3404280.402,3543931.694,3703474.957,3877301.231,4056496.739,4234361.606,4456671.24,4679986.263,4907055.369,5142770.621,5390868.36,5657449.546,5936728.494,6226354.862,6522513.541,6822386.092,7128895.065,7439389.913,7756310.624,8083487.621,8423999.475,8776015.1,9141977.075,9521822.196,9914953.418,10320889.07,10730150.03,11152334.97,11587095.08,12033896.05,12492272.15,12949369.31
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,3572283,3679907.937,3780263.235,3872966.963,3965979.06,4063887.772,4179688.011,4300273.537,4415310.032,4518763.009,4616574.862,4686153.929,4766544.542,4838296.682,4906384.412,5003370.431,5126289.401,5238607.195,5352746.487,5466244.029,5567003.837,5630900.23,5679562.178,5726621.024,5769212.4,5805704.263,5832952.589,5860528.681,5889922.438,5928851.352,5976625.844,6044217.489,6120357.132,6186110.808,6247206.765,6304807.835,6358764.234,6408420.528,6452864.472,6491045.432,6521667.048,6553768.264,6589009.786,6623368.152,6659144.002,6697467.529,6744439.252,6791455.191,6838648.192,6886816.18,6927240.843,6947754.912
Greenland,19013,20232.5364,21539.14,22947.8704,24269.5968,25891.6,27292.464,28796.8644,30408.8176,32060.9348,33753.216,34490.456,35453.166,36128.19,36659.7,36896.944,37143.4938,37090.4092,37110.6744,37584.2016,38212.742,39009.39,39581.355,40234.225,40891.511,41475.252,41894.994,42552.7878,43293.7536,43880.8818,44312.088,44361.483,44330.2496,44378.4816,44748.762,45120.438,45283.9192,45447.696,45611.7684,45694.6842,45859.2,46123.3766,46477.80049,46748.70222,47012.1283,47175.2023,47214.96162,47205.3274,47187.65544,47355.25194,47704.24139,48038.67598
Grenada,27222,27847.72857,28377.3879,28838.82854,29236.0068,29573.00714,29843.84453,30046.801,30195.93133,30310.77436,30405.87316,30390.83964,30378.36067,30344.78594,30254.88595,30092.6652,29824.91773,29480.48792,29176.55965,29074.70098,29278.62056,29842.24594,30718.94787,31722.98615,32586.92685,33124.59792,33252.60384,33046.70176,32656.0674,32305.86515,32157.736,32429.75936,32897.99988,33490.292,34088.19412,34604.31324,35058.72508,35441.65211,35772.61654,36088.51066,36416.95662,36775.7565,37140.82266,37513.7406,37895.03085,38284.85244,38716.5649,39160.76006,39616.17007,40081.09249,40554.53931,41067.5817
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,33785,35262.24312,36845.85563,38546.91495,40330.13783,42167.04228,44201.57674,46295.59702,48445.71178,50652.41803,52916.2128,57914.66285,63085.3888,68438.78515,73994.64051,79768.2016,83511.36875,87390.17788,91411.67854,95585.07875,99914.44716,101883.4527,103893.7004,105957.6963,108094.2717,110311.863,112583.5492,114916.4088,117246.5703,119490.0602,121588.5554,124296.6356,126889.0971,129365.7903,131730.2477,133994.3375,136072.7547,138044.561,140012.7825,142114.8259,144446.5114,146726.6039,149236.6608,151870.5446,154474.6355,156939.072,159252.7601,161428.3809,163505.9233,165551.4858,167616.299,169739.4713
Guatemala,1287739,1354495.671,1416995.725,1481865.696,1549143.29,1618881.115,1678244.302,1739458.554,1802724.867,1868308.888,1936380.344,2002849.697,2071675.799,2142378.39,2214270.214,2286879.288,2353683.28,2420860.231,2489031.004,2559100.25,2631715.381,2722593.138,2816886.415,2914102.571,3013460.701,3114417.097,3220293.689,3328083.063,3438302.848,3551714.746,3668923.773,3790825.97,3916936.478,4047037.798,4180713.132,4317757.493,4458569.636,4603145.98,4752523.299,4908108.296,5070966.568,5242394.384,5421671.267,5608173.919,5800839.789,5998935.885,6205031.421,6416839.602,6635350.659,6861992.571,7097770.897,7346546.08
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,327880,394253.7984,418342.0515,443204.6211,469071.4096,496094.8217,528305.0018,561886.785,596242.5251,630422.6052,663629.1398,700065.1271,735379.9571,769667.0263,803262.3613,836581.3145,874445.3824,912306.0061,951452.5466,993730.0101,1040761.277,1084277.162,1134194.632,1189627.666,1248826.489,1310712.355,1357416.005,1405393.72,1459761.584,1527760.668,1614122.157,1722675.225,1849762.53,1985554.635,2115798.001,2229853.016,2324906.947,2402165.69,2466553.881,2526526.668,2588709.892,2659246.931,2732222.069,2808225.755,2887304.797,2969663.596,3061448.963,3158365.933,3261453.623,3371856.233,3490362.391,3624244.244
Guinea-Bissau,80788,81908.24609,83029.53859,84046.88266,84952.96165,85763.25555,86502.69504,87195.95678,88045.15926,89322.12109,91233.24912,93891.58173,97221.36288,101189.3443,105714.5748,110711.0235,117421.8282,124698.8086,132277.559,139784.8355,146933.2666,158987.4674,170792.1416,182486.5009,194389.9916,206788.9216,221419.1384,236654.2817,252513.085,268970.7132,286006.4705,300520.9372,315582.7286,331162.1395,347205.4903,363670.4248,379064.4756,394842.765,411030.0921,427665.6051,444787.2241,462807.9148,481362.0024,500508.2718,520318.9625,540854.9878,562104.1776,584131.9387,606943.5475,630528.382,654879.8128,679119.5554
Guyana,164865,167282.4429,172077.1431,176936.2457,181925.3029,187068.1642,192445.836,197956.3417,203307.1096,208104.2378,212077.1565,215533.5719,218111.182,220142.5549,222122.6042,224395.593,227089.8839,230081.6917,233022.7177,235397.8828,236847.8573,235755.7883,233817.1543,231275.8831,228490.2388,225738.8399,223079.8415,220490.9742,218105.0498,216063.0593,214456.3377,213372.3062,212776.0963,212509.973,212343.5406,212111.2412,211759.9312,211332.1133,210891.9901,210543.5677,210356.0009,210427.0569,210625.3874,210885.0372,211112.938,211244.2038,211839.1986,212338.2503,212770.2286,213180.9924,213604.5132,214715.36
Haiti,603626,630787.8601,659463.7541,689088.019,719654.712,751151.208,785340.4611,820585.6824,856716.8326,893483.3636,930719.8473,953577.2028,976445.9973,999667.1946,1023722.14,1048998.818,1070284.791,1092666.045,1116341.385,1141525.222,1168333.463,1226953.861,1288638.517,1353022.846,1419502.186,1487585.844,1590151.924,1695655.872,1804193.199,1916007.171,2031302.433,2133035.408,2237404.791,2344498.873,2454443.001,2567299.737,2665949.244,2766783.72,2869394.463,2973205.393,3077752.076,3279073.753,3484104.942,3692707.25,3904830.197,4120460.035,4328514.746,4539532.837,4753939.353,4972406.06,5195489.115,5397254.068
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,454668,482194.2156,511164.4578,541420.4944,572458.7936,603903.9132,636751.419,670055.1872,704162.075,739631.8126,776945.8762,816325.7112,857745.3599,901412.0076,947528.3141,996260.5939,1044932.829,1096306.123,1150251.959,1206530.28,1264958.068,1326252.959,1389746.151,1455539.691,1523798.824,1594632.045,1666804.986,1741359.876,1818203.057,1897203.457,1978215.231,2058803.873,2141173.979,2224869.008,2309290.414,2394003.262,2479200.303,2564620.893,2650628.612,2737808.866,2826647.082,2925851.196,3027232.444,3131014.78,3237429.698,3346682.927,3455170.496,3566537.943,3681005.527,3798820.037,3920122.263,4044146.817
"Hong Kong, China",2619983,2706964.036,2832186.218,2939688.839,3020180.17,3109377.138,3146520.737,3236781.014,3316190.167,3379660.596,3473191.11,3564807.357,3650021.034,3771147.178,3870518.616,4001832.12,4068531.288,4144040.663,4236447.04,4492011.656,4631622.618,4756619.578,4846224.946,4935836.383,5000161.136,5069901.04,5206349.892,5342214.714,5451917.583,5583711.931,5676947.265,5729774.272,5783690.151,5889599.268,6029569.804,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6925900,6977700,7003700,7067800,7071600
Hungary,5581057,5649837.458,5710577.379,5768045.984,5829004.72,5888034.846,5948404.813,6013288.782,6079236.899,6147719.708,6214324.459,6276071.463,6338877.3,6403550.049,6476603.428,6559474.113,6637209.498,6709856.735,6774925.086,6829141.934,6875576.323,6895409.371,6910701.186,6919652.842,6925108.524,6931779.727,6935762.654,6939904.82,6945022.352,6885378.321,6830026.219,6816589.355,6800877.466,6780096.701,6757810.303,6735414.787,6710780.538,6684226.343,6655673.599,6623866.186,6593734.523,6615098.724,6632656.749,6649949.592,6671423.86,6694280.687,6736235.825,6778098.509,6818439.199,6860002.793,6896515.862,6923443.618
Iceland,141326,144626.7874,148214.953,151775.0406,155412.0599,159058.9792,162628.1892,166139.9359,169306.3366,171773.5922,173567.862,175706.3767,179037.1664,182510.6656,185758.0788,188920.2195,191505.8003,193642.5041,195871.1667,198515.4222,201354.5988,204268.9411,207630.2624,211018.5394,213902.4839,216226.4585,218390.2308,221376.3608,225460.2772,228866.4593,231254.595,234404.5002,237828.1481,240722.9055,243286.8453,245080.9284,246822.3993,249270.7452,252377.0075,255875.0963,259836.2321,263675.761,266405.5857,268625.1113,271365.3693,276072.4116,282986.2994,290603.2164,296430.3953,297817.5859,297762.7058,298996.148
