"GDP per employee, (constant 1990$)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Mozambique,2492,2485,2354,2126,2038,1846,1876,1982,2124,2226,2228,2287,2000,2044,2096,2087,2157,2343,2597,2741,2737,3058,3249,3447,3644,3863,
Myanmar,2025,2098,2149,2195,2258,2270,2205,2118,1910,1970,1959,1913,2040,2118,2222,2328,2427,2509,2576,2754,3017,3229,3478,3819,4174,4543,
Netherlands,34895,34530,34314,35544,36245,36303,36718,36903,37491,38130,38545,38744,38858,39183,40061,40403,40865,41336,41864,42727,43436,43380,43194,43554,44946,45613,46430
New Zealand,25117,26378,26435,27457,28476,27690,28386,28374,29201,30335,30059,30150,30374,31694,32013,31922,31994,32332,32658,33851,34002,34374,34942,35333,35445,35171,35102
Niger,1918,1883,1802,1708,1361,1346,1366,1276,1309,1266,1203,1194,1075,1054,1061,1053,1052,1044,1118,1073,1021,1058,1054,1064,1021,1055,
Nigeria,3928,3438,3313,2989,2798,2976,2964,2860,3054,3191,3285,3113,3094,3060,2947,2925,3039,3059,2998,2962,3056,3059,3054,3335,3418,3576,
Norway,31603,31505,31554,32767,34440,35254,35362,35367,35550,36944,38044,39630,41106,41943,43467,44368,45704,46805,46820,47334,48579,49375,49924,50953,52694,53576,53454
Oman,14732,16149,16860,18528,20464,22143,21463,22013,21672,21440,20246,20103,20342,20207,19731,19613,19294,19739,19660,19113,19766,21084,21495,21879,22719,23615,
Pakistan,4020,4209,4392,4705,4756,5129,5464,5468,5791,5912,5938,6509,6731,6682,6805,7123,7414,7105,6999,7129,7524,7533,7484,7682,7834,8378,
Peru,13945,13978,13269,10858,11068,11249,11851,12001,10216,8530,8036,7959,7911,8672,10435,11428,11496,11667,11278,11078,11597,11695,12197,12643,13031,13323,
Philippines,7364,7171,7463,6877,6224,5732,5699,5888,6080,6353,6439,6206,6021,5976,6076,6200,6198,6723,6617,6569,7034,6739,6827,7029,7246,7383,
Poland,11335,10678,10845,11412,11803,11825,12165,12041,12390,12213,11519,11378,12181,12941,13711,14539,15283,16131,16751,18230,19312,19982,20908,21965,22852,23142,23667
Portugal,20129,20516,20959,19986,19866,20508,21316,22089,23171,23857,23435,23794,24453,24455,24949,26070,26593,27282,27829,28399,29004,29115,29192,29084,28825,28974,29140
Puerto Rico,34557,35774,36296,35369,35895,36494,36727,36518,36490,37730,38390,38954,40402,41563,42332,42321,42262,42850,44105,45715,46322,48510,47252,46769,46549,46888,
Qatar,64150,48361,34067,26755,23183,18748,14707,14131,13650,13256,12806,12258,13334,12890,12790,13296,13771,17927,19675,19894,20609,19633,19198,18096,20445,20505,
Moldova,,,,,,,,,,17885,17421,14863,10615,10485,7350,7235,6830,6901,6436,6181,6227,6678,7170,8482,9388,10071,
Romania,7063,6986,6968,6898,7142,7071,7133,6954,6881,6575,5852,5122,4818,5083,5308,5995,6305,6154,5998,6202,6182,6588,8031,8507,9366,9735,10196
Russia,,,,,,,,,,15787,15281,14807,12972,12048,10881,10761,10445,10795,10359,10991,12027,12564,13030,13909,14744,15563,
Saint Lucia,5558,5741,5780,5937,6237,6695,7541,7510,8319,8820,9385,9175,9627,9295,9506,8850,9653,9700,10216,9857,9277,8994,9838,9380,10156,11218,
Saudi Arabia,52476,52142,48339,39454,36340,31432,27609,27041,26388,25914,28348,29828,31024,29871,29105,28369,28646,28797,29063,28460,29257,28624,27840,29183,29844,30805,
Senegal,3128,3016,3414,3400,3138,3164,3226,3260,3336,3170,3217,3203,3153,3092,3016,3098,3079,3097,3197,3318,3337,3405,3339,3481,3598,3702,
Serbia and Montenegro,,,,,,,,,,13650,12432,11665,8491,5845,5948,6230,6594,7318,7366,6625,7199,7684,8344,8887,9716,10519,
Singapore,20302,20763,20967,22138,23627,23847,24671,25901,27375,28592,28191,28066,29015,31872,33978,38886,36093,37226,35705,38350,42892,38678,41085,42654,45787,48203,
Slovak Republic,,,,,,,,,,15768,15498,14378,15247,15545,16806,17754,18555,19868,20688,21327,21884,22457,23508,24047,25436,26656,28209
Slovenia,,,,,,,,,,22137,21162,20394,20180,21139,22350,23028,24368,26044,27114,28165,29091,29731,30319,31226,32465,33662,34994
South Africa,11930,12325,11854,11214,11502,10958,10621,10550,10714,10658,10267,9867,9351,9205,9269,9328,9511,9515,9322,9304,9482,9574,9847,10065,10476,10929,
