Poverty headcount ratio at $2 a day (PPP) (% of population),1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Paraguay,,,,,,,,,,,,,3.54,,,,,20.74,,,21.07,22.05,,19.35,27.97,21.2,17.31,14.44,20.68,15.95,13.56,14.23,13.22
Peru,,,,,,,,,27.06,,,,,,,,28.44,,,10.37,26.29,28.01,24.09,27.62,24.16,22.1,18.92,20.48,17.78,18.2,14.81,14.01,12.74
Philippines,,,,,,,,61.91,,,56.92,,,55.39,,,52.63,,,43.83,,,44.83,,,43.78,,,45.04,,,41.53,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,0.28,,0.22,,0.15,,,0.16,8.48,,,11.32,,0.43,0.44,0.57,0.57,0.58,,0.41,0.57,0.31,0.29,0.25,0.2,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,0.43,,,1.2,,23.25,,,,10.23,,17.24,13.52,13.02,10.3,7.2,5.59,4.92,3.56,1.96,1.67,
Russia,,,,,,,,,,,3.94,,,,,8.26,,,9.01,,,10.54,,5.97,3.67,2.95,1.84,1.49,1.22,0.29,0.08,0.05,
Rwanda,,,,,,,,88.36,,,,,,,,,,,,,,,89.06,,,,,,87.43,,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,40.58,,,,,,,,,,,,,,,
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,81.53,,,79.07,,,,,,,71.29,,,,60.36,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.97,1.14,2.53,0.81,0.59,0.65,0.74,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.84,,,
Sierra Leone,,,,,,,,,,,,,74.99,,,,,,,,,,,,,76.08,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,0,,,,0,,,,1.36,,,,,,,,0.43,0.43,0.14,0.19,0.17,0.12,
Slovenia,,,,,,,,,,0.03,,,,,,0.06,,,,,0.04,,,,0.08,0.02,0.1,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,41.11,,39.9,,,,,42.9,,,,,,35.74,,,31.33,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,51.67,,,,,,49.5,,,,,46.68,,,,,,39.74,,,,,29.13,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.14,
Suriname,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,89.31,,,,,,81.02,,,,,,,,,60.4
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85,,,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,83.65,,,,68.05,49.88,,,36.95,,27.69,
Tanzania,,,,,,,,,,,,,,,91.31,,,,,,,,95.25,,,,,,,87.87,,,
Thailand,,,,44.05,,,,,,,40.96,,37.06,,29.99,,20.49,,14.55,,15.31,17.83,18.05,,13.4,,,,7.63,,4.98,4.58,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,77.48,,,,,,72.82,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.31,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,8.6,,,,13.53,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,25.14,,,,,19.04,,,,,20.39,,,,,12.82,,,,,8.06,,,,,
