"Energe use, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Jamaica,,,,,,,,,,,,2010436,2564289,2916574,2730549,2681745,2431953,2375489,2468760,2555238,2278453,2322060,2288790,2001569,2006199,1724450,1752232,1799297,1834950,2303980,2787603,2794845,2945922,2953037,3011576,3205303,3378398,3378319,3511125,3612091,3828345,3840238,3599617,3742580,3781890,3761105,4205858,4687212,4263672,3250069,3054020,
Japan,80837204,91421290,96191586,110025373,123307183,134637831,147389580,173302373,195902386,226319144,256517271,267528465,285875407,320368660,322140756,305054335,324419709,330191794,333013333,352714403,344522706,336976512,336467940,336770462,362191060,362902655,366993633,371672684,397589944,412521622,439325218,444080153,454512469,457563678,483300031,496261560,507083268,512477282,503272274,512360106,518963661,510795017,510393706,506238240,522489007,520540333,519806641,515192550,495352109,472101200,496849124,458147066
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,492341,539630,614698,649232,753342,968329,990519,1214956,1247511,1522305,1895861,2156428,2341411,2575331,2617411,2807800,2977445,2950793,2971991,3274008,3384035,3801714,3765902,4037452,4301540,4413399,4508763,4662355,4647831,4865681,4817194,5059859,5173340,6218137,6676391,6853651,7208967,7068974,7457979,7204321,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73449162,74946792,78844271,65623289,58138081,52243246,45352614,39494568,39337278,35921509,35679063,34493190,39679186,43040740,50717073,50804971,61503566,66230504,70204504,63324450,75007941,
Kenya,,,,,,,,,,,,5283787,5525681,5673635,5889453,6034437,6328980,6643012,6844210,7092548,7358010,7567303,7709076,7846958,8304259,8666265,9443966,9836827,10085168,10455044,10675095,10869019,11146269,11414594,11560397,12054544,12476609,12662449,12998869,13316470,13725479,14076143,14255742,14675683,15414277,16043211,16788858,17178317,17728316,18774484,19561841,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7112.655,,,,,,,,,,,,,,8000,8000,10000,11000,,,,
North Korea,,,,,,,,,,,,19413512,20153157,20590120,21514833,22259108,23634576,24907818,26751273,28620898,30362776,31177635,32574410,33779732,34606863,35999138,35411343,34107749,34733769,34601986,33222040,31703766,27712983,25488844,23308640,21984959,19330777,18414900,17186228,18411312,19716896,20369450,19565557,20026543,20493688,21331101,21543968,18299646,20163851,19176133,18531387,
South Korea,,,,,,,,,,,,16971178,18470151,21544824,23416592,24459178,27194687,31542574,34572920,39906225,41211167,40468957,43032392,46687178,51171486,53528043,61181054,65987609,74155800,78907943,93086987,99941842,110910810,124403570,132093153,144755748,157276722,171228401,156335464,172887106,188161350,191046231,198666752,202716968,208284180,210176459,213599831,222146519,226946325,229178008,250010247,257589940
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478236,1818311,1810179,1908649,1920888,1858591,1875536,1948231,2113134,2367796,2436486,
Kuwait,,,,,,,,,,,,6119699,6760273,7125881,6810210,6480059,7028953,7591495,8276618,10425228,10451336,10295558,11463475,12177497,12599642,14026723,15188311,16527123,20175370,23564973,9110159,2691602,8882156,12365693,14502075,14872399,14630608,14780172,16874333,18106851,18805435,20067344,20639242,22001125,23469206,26398761,25780210,26388952,27866384,30173104,33399957,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7486182,6787415,4979345,3870335,2794245,2384165,2757197,2593257,2760845,2412495,2402314,2206028,2495649,2688100,2737921,2658350,2694343,2913674,2729963,3009583,2918161,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7877035,7413376,6117962,5289890,4791080,4609358,4525867,4411917,4314825,3938390,3714373,4072469,3992194,4232399,4345077,4416036,4547771,4669844,4484506,4221013,4413740,
Lebanon,,,,,,,,,,,,1847662,1907549,2377751,2444507,2163596,2319524,1813816,2161691,2330047,2473506,2357520,1786217,1935211,1973777,2328771,2583996,2664014,1979466,1961131,1953895,2418332,2450988,3511291,3847386,4410545,4651673,5252337,5161483,5400088,4907333,5258142,5220299,5220432,5270536,5023246,4773651,4207156,5424938,6590084,6451685,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,33000,19000,19000,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,1570165,2197640,2598108,2897819,3664774,3324361,4132989,4684960,5250971,6890470,7410169,8042123,8447687,9181062,9977327,10085046,11008752,10425873,11908649,11330422,13569944,12649257,13473391,14982013,14501699,13411955,14621068,16616483,14761367,18622360,18568509,16141649,29744884,19013810,24386620,23729190,23166081,24471710,23346677,19147757,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16065562,17046677,11024300,9106603,8129707,8736423,9469636,8957891,9391246,7969886,7129208,8259963,8859559,9249793,9384619,8842091,8718971,9452750,9430915,8634709,6925194,
Luxembourg,3304034,3337651,3340464,3391970,3654429,3622100,3499422,3471209,3732861,4041290,4106056,4062171,4162517,4432688,4624132,3770763,3848483,3714239,4016831,3794789,3559439,3113922,2945331,2770028,2969223,3060868,3007084,2944848,3046767,3280746,3410630,3642479,3663940,3714994,3591055,3150910,3203052,3111384,3001726,3124748,3323696,3501974,3638188,3838704,4274678,4388066,4338698,4208341,4207177,3951878,4229279,4150042
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2479194,2428218,2701605,2773401,2475726,2501489,2851753,2586805,2887654,2710170,2666863,2575496,2526854,2767787,2755736,2901268,2913510,3042018,3010686,2811730,2889554,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,6092976,6185341,6150036,6965682,7347092,7976440,8061981,10143979,11862629,11901509,12736179,12885394,14938232,15367383,15492862,17202803,17468375,18350315,20100360,21549080,26344585,29077794,31523011,31381476,33881787,37426595,43357659,41112267,41484177,47109972,49255235,51009433,54618839,58690644,63506554,63715139,69969609,73006305,69857860,72645419,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50896.94,,,,,,,,,,,,,,250000,225000,288000,299000,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,210666,264049,255201,234187,209301,237943,252595,294779,284366,318267,360294,409266,312375,411666,344493,574118,603074,649976,695576,694755,671840,664307,849932,770711,709206,697760,783735,690753,753229,675517,786581,733300,825662,829254,880820,833186,877123,836577,810064,837369,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000,29000,30000,32000,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479878,,,,,,,,,,,,,,1019000,1077000,1173000,1194000,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,42982507,47549685,52568765,55948825,59156285,63303567,68454489,76541884,83965934,95115346,101554443,106285528,100073220,104549208,108603192,105671228,111118275,112488216,117518172,122492736,128045702,129363125,129950134,134258935,129804011,132850400,136838349,141293964,146792764,145123363,146092736,150683157,153584990,159057632,170153952,171413673,175936968,181088720,174639914,178113115,186967905
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9866171,8224334,6819411,5806116,4762260,4387081,3705027,3616490,3230875,2765364,2505169,2661213,2568108,2870200,2931038,3079236,2984050,2935890,2850555,2449370,2602641,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,3130370,3374113,3558805,3791584,3594741,3416409,3823621,3348603,3133204,2710748,2704332,2279368,2233526,2251273,2254322,2396588,2414745,2585629,2525390,2600481,2625014,2924602,3114445,3155928,3251927,3276015,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707404,828948,775129,825097,654495,823140,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,2430242,2646265,2976871,3294042,3423836,3761327,4208781,4434491,4784307,4869974,4856967,5061832,5311447,5480635,5582195,5761981,5905781,6220733,6796783,6941168,7313838,7779868,8080050,8697791,8593076,9074789,9361943,9554120,10190510,10238073,10894372,11079128,11017757,12139933,13069188,13316253,14350182,14988904,15093899,16508206,
Mozambique,,,,,,,,,,,,6896152,6766369,6798334,6742144,6680080,6586526,6693618,6512882,6542665,6720061,6553555,6553497,6483230,6395303,6366768,6300338,6236766,6162150,6097084,5922030,5894403,5969540,6086462,6150552,6284318,6401554,6591989,6657457,6788742,7172677,7546661,7645213,8062522,8374675,8489399,8742363,9237990,9393335,9775862,10197675,
Myanmar,,,,,,,,,,,,7905128,8039932,7917416,8241200,8381779,8691840,8875982,8990598,9167004,9422257,9557061,9755326,9877746,10227248,10991186,11210299,10773484,10654618,10938385,10679411,10501465,10827311,10740471,11417179,11808813,11831343,12079942,12407627,12450611,12841057,12546881,12968499,14063782,14764262,14816755,15014773,15594542,15032859,14245540,13997323,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624667,671123,735086,799542,884977,950116,979561,1018412,968815,978150,1127177,1009627,1076089,1163275,1293512,1293843,1344838,1624507,1575212,1603983,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,3657726,3758482,3872804,3950976,4025444,4098445,4202872,4296344,4440212,4561751,4640360,4768433,4925058,5049247,5095555,5266622,5365084,5490632,5563524,5789168,5976675,6122288,6283940,6506852,6711702,6873088,7095313,7279637,7680188,8107715,8374581,8467445,8706977,8832457,9131620,9118527,9290894,9598582,9961348,10217978,
Netherlands,20971548,21868850,24567230,27143913,28488410,30653131,32455498,34805414,38733275,43305423,49097417,50868882,58392653,61998422,60971073,59021180,65329980,63188017,65004644,68347221,64364961,60827231,54175191,56548168,59827322,60639217,62913123,64345353,63779850,64204568,65685029,69360910,68353966,68936007,69368426,70747683,73431207,71488578,72248348,71457424,73222775,75614408,75705893,78010137,79074722,78823911,76829670,79349595,79550078,78174849,83425868,77549610
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,4107036,4375893,4517259,4980187,5732870,5978830,6209119,6017212,6430091,6678813,7005949,6911907,7694616,8019505,8944651,8752759,9321087,9750611,9462852,8812330,8984838,8905920,9509239,9843703,10491548,11197067,11245495,11304950,11849130,12691160,12868401,13179981,13459857,14240360,14576669,14889706,15455210,16077727,15851418,16541656,17059151,17120777,17119375,16847191,17392539,16846011,16965749,17123879,17413450,17457209,18198112,18000345
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,1240308,1268747,1382420,1446185,1491473,1593144,1745673,1681219,1447745,1533350,1570416,1595946,1659101,1852919,1938759,1956306,1972121,1930221,2041469,2092672,2160776,2239826,2219000,2258457,2338082,2416140,2545418,2520233,2637518,2720426,2768317,2888116,3099826,3271121,3326146,3455178,3077817,3048363,3045660,3137163,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,36070719,37302959,38913600,40084236,41737270,43816411,46059107,48192126,50139666,52459884,54861932,57534187,59210861,59479810,61428010,62145445,64341021,66215940,68469659,70582284,73839652,76683035,77944796,76203731,77539821,80778208,84311966,84447879,87472105,90595506,94633008,97388858,99007379,101751112,106509458,107004783,107673859,111210199,109239174,113053066,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,6826468,6994510,7467258,8004025,8570915,9455349,10170956,10656081,11651337,12288249,13246097,13297897,13749626,14259719,14239229,14596105,15910937,16373526,17657594,18154127,18316506,18065138,17507066,18245111,19306781,19957706,20901218,21092127,20235823,21018592,21002542,21693677,22046827,23471252,22978452,23439685,22724526,24058944,25119642,26311405,26091569,26823281,24911859,27019684,26433097,26759316,27114337,27545596,29801445,28157112,32451747,29874688
Oman,,,,,,,,,,,,226696,86997,96579,149043,238879,377666,744758,555544,843150,1149846,980039,1485922,1368452,2248249,2110488,1987437,2288849,2208968,2564943,4218096,5840836,5450356,5912840,5939400,6096134,6259540,6725261,6784443,7043381,8082923,8419549,8817519,9349874,9602970,10771988,13661551,14604962,15889204,14913414,19999226,
Pakistan,,,,,,,,,,,,17040520,17499870,18368991,19424318,20335182,20589597,21521240,22327357,23585316,24827994,26485020,28151579,29607459,30652682,32277657,33676842,37014779,38791115,41069532,42667886,44167442,47029513,49374292,51346487,53687311,56023290,57450115,58617660,61775436,63486289,64542850,65216710,68246159,72930967,75521102,78760258,83140215,81611231,84072380,84594762,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73462.676,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,1675050,1851214,2030764,2006635,1698762,1671328,1646030,1627958,1730533,1406681,1508143,1655562,1759398,1623064,1556015,1579490,1696229,1578077,1489909,1490878,1608540,1844259,1876564,1973792,1993065,2128742,2243536,2569172,2545699,2578551,2815785,2622902,2649329,2607352,2878025,3093093,3001224,3115981,3429872,3772609,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,1368454,1403768,1519315,1506853,1473950,1567255,1704052,1901709,1929290,2084611,2080573,2123222,2170980,2211606,2257670,2352228,2715653,2903604,3162569,3072102,3172193,3157439,3280285,3585267,3925598,4016070,4367987,4310936,4113201,3850262,3918669,3885031,3964710,4002442,3954072,4075662,4224895,4347922,4475748,4788545,
Peru,,,,,,,,,,,,9128113,9130335,9511160,10061890,10355063,10516652,10897756,10577677,10540884,11257754,11327547,11531882,10603699,10863650,10580084,10775746,11063851,10881513,10043058,9734265,9548813,9286567,9913782,10269724,10971189,11299722,10937913,11505188,12257085,12221668,11795062,11873319,11637853,12874755,13645788,13247519,14334054,15044394,15833750,19397846,
Philippines,,,,,,,,,,,,15312914,15402795,17154684,17202109,18242296,19120119,19923588,20257592,21458315,22405770,22525910,23121601,25150293,22618754,23761699,23760198,24837775,26270927,27623907,28616118,28587572,29897063,29870608,31997610,33540986,34697569,36518834,37623152,38558712,39871503,38201585,38766766,38822150,38642546,38755946,38455549,38514137,40009414,38102413,40476707,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,54176536,56754890,59914878,60939496,63262725,65657527,67825632,70341105,73962159,79364322,83294100,86124428,89045922,92878324,97069201,103045959,108495203,112802222,121974198,125667962,126619988,116502099,123636802,122549037,118524422,124698035,129757731,133175724,132271852,123725527,103104584,101005304,98560590,100943791,96196369,99471563,103475134,102101037,95489760,92986840,89115963,89732580,88855084,91104843,91371080,92376744,97240981,96823686,97892213,93986673,101454479,102623014
Portugal,2984285,3266702,3266292,3566439,3706775,3967327,4034582,4318212,4392955,5079228,5762604,6275803,6432121,6896424,7216759,7687278,8161535,7993534,8762711,9643495,9985699,9915338,11093300,11132028,11154738,10964415,12124301,12449231,13021336,15765424,16739305,16945918,18023931,17762386,18230666,20211413,20044714,21115330,22839632,24513989,24672946,24814552,25823772,25128694,25830836,26467183,24698319,25301558,24430269,24151701,23540988,23146590
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,925933,1018295,1432572,1230990,2082058,1558982,1761419,1621710,2816430,3328477,4001913,4686368,4774886,5387929,5426782,5680835,5862226,6148177,6258933,6167728,6864125,7134412,7428754,7485530,7900903,8297245,9590843,10101914,10776637,10412641,11816769,12093504,13134120,16499204,16808704,18343371,20554418,21374280,23368399,22511553,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,42127461,44040149,47833550,48064857,51803247,55913398,59512476,64126802,63672168,65227187,64752875,64770770,65288831,64726653,64939320,66684509,69480896,69949676,69184202,62222609,51313251,46753392,45575718,43005710,46574344,47699728,44883102,41027445,36250870,36205002,36797904,38121144,39430255,38658336,38652853,39885026,39697939,39551051,34789327,34990152,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879192534,871122201,795667004,751202346,656963742,636646353,630084430,601977963,587949629,608987536,619264629,626014185,623097624,645322728,647392056,651711627,670672799,672590682,688482709,646914985,701523017,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600.85,,,,,,,,,,,,,,76000,79000,79000,83000,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55919.7,,,,,,,,,,,,,,120000,123000,119000,128000,,,,
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29433.902,,,,,,,,,,,,,,66000,67000,70000,70000,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43236.44,,,,,,,,,,,,,,56000,57000,57000,58000,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23455.634,,,,,,,,,,,,,,38000,43000,44000,44000,,,,
Saudi Arabia,,,,,,,,,,,,7358092,6250783,7232863,8093080,8768920,10167738,11355969,17079249,22449665,31100452,42308344,47411250,51837827,45704488,45993621,45945585,54922198,62875506,62881752,59759447,69596292,79230978,80966267,86513236,87545737,93073531,89216032,94786072,96631972,101324807,106656911,116953313,121382420,143705683,145540236,158213832,144109484,154075602,157854656,169298253,
Senegal,,,,,,,,,,,,1241801,1259653,1318904,1355269,1387997,1418362,1454385,1457826,1524151,1560874,1549870,1535184,1538621,1619291,1560700,1633069,1740476,1655045,1644850,1686396,1673614,1779015,1772967,1760918,1864835,1909866,2025117,2138357,2254369,2397830,2591734,2631659,2556382,2735547,2790896,2798179,2999850,3076872,3266631,3381645,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19347983,16479358,14938194,12684015,11657886,13583541,16121560,17092723,16919040,12282970,13312895,14538658,15421106,16124836,17587183,16050951,17064334,16642753,16866135,15243664,15610863,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37590,,,,,,,,,,,,,,256000,228000,243000,205000,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,2730377,3378129,3754056,4004674,3711769,3883124,4100039,5212354,5078863,5131967,5381903,5258759,5887316,6708926,6765935,7179179,7640883,8472960,8477701,11514794,13031509,14790314,18148796,22054439,18810815,19866771,22298642,19925555,18071057,18717806,21207074,20843445,25230106,30792953,22456548,23568461,21730908,23827705,27477723,32773789,
Slovak Republic,,,,,,,,,,,,14258444,14821897,15517996,16245164,16775860,17391949,18299947,19214069,19594082,19848577,19434098,18989909,19194346,20169840,20734346,20677397,21290246,21568110,21551529,21327458,19126767,18093938,17758797,17432417,17777960,18074528,18096695,17553323,17652615,17743064,18593058,18732514,18638915,18353047,18830459,18640418,17848643,18304070,16722558,17813254,16938831
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5709874,5556314,5159051,5407984,5625990,6067889,6321271,6573987,6447842,6429997,6413049,6731651,6830174,6911894,7129376,7292645,7321861,7320629,7739671,7090512,7211353,7241163
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53312,,,,,,,,,,,,,,58000,58000,59000,64000,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,45428940,46194695,49183822,50999168,53971469,55835221,56992882,60217108,62185793,65382380,71922266,78216097,79641890,86407123,86400075,89978794,93238410,97010948,92901589,90956064,94980766,88586054,94937949,98168399,103580898,106152905,108372473,106516349,109056448,109263611,112399195,109907892,117373966,128721939,128193339,127235579,137294337,147725570,144278046,136866931,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,16166663,17140184,18776071,19514031,21610750,22838422,25529282,28806202,32903348,35106123,37977201,42606178,44833885,51572040,55894327,57489453,61719270,60652369,64786234,65783808,67693700,68724640,66870572,68001511,69509219,70910045,72376225,74145744,80060688,88124567,90084864,93439637,95130690,91272857,96337733,100791594,99319286,105592102,110872755,116236508,121969497,125049616,128902858,133245089,139080744,141869601,141742339,143829028,139031435,127455730,127739454,125898220
Sri Lanka,,,,,,,,,,,,3797919,4045504,4133988,3927612,4108939,4136502,4096704,4320767,4486088,4534779,4625043,4893168,4917781,5066213,4995664,5160988,5360725,5437501,5454558,5516182,5599655,5745811,6057617,5817112,5949270,6720477,6964425,7079824,7560546,8326569,8049573,8198521,8682011,8797975,9000817,9083326,9261356,8941904,9088772,9869901,
Sudan,,,,,,,,,,,,7027827,7150024,7366000,7443220,7466991,7475766,7702031,7820841,7896995,8365125,8446105,8825890,9110589,9083398,9468652,9605219,9454905,10045866,10041295,10629388,10608922,10601763,10296180,11934451,11979125,12271154,12536206,12677420,14068145,13340266,14009401,15232549,15429663,15546334,15130516,15597557,15097889,15086466,15868875,16154793,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556005.378,,,,,,,,,,,,,,664000,696000,714000,714000,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308798.7248,,,,,,,,,,,,,,406000,399000,406000,423000,,,,
Sweden,20199532,20620763,21832091,23424479,25079511,26585435,28394177,28562117,31655606,34288398,37650763,36040684,36771388,38841219,36805012,39032858,42355062,41710163,41516935,43372681,40485447,42410888,40608755,41155919,43485828,47231346,49204445,48400375,49390735,47514286,47198124,48694838,46543922,46505622,49699958,50332723,51498737,50175165,51067351,50149029,47555792,50531548,51783589,50617918,52588271,51569035,50206820,50059598,49601270,45406513,51281632,49400180
Switzerland,7451791,7905567,8744820,10645893,10533126,11382642,11638888,12228202,13182739,14325052,15802393,16388901,17078130,18909459,17651393,17182592,17779445,18075918,18813911,19148586,20036160,19655205,19073093,20368741,20867584,22079416,23054011,22455313,22660649,22194594,24319621,24670441,24794239,24176303,24409693,24057661,24524536,25004158,25305193,25349178,25011875,26564112,25892861,26002660,26096273,25946642,27090051,25765341,26777062,26973503,26207849,25516651
Syria,,,,,,,,,,,,2378138,1979511,2058458,2646791,3052917,3457394,3843328,4201560,5448881,4465188,5331626,6395161,7333218,8440817,7832045,8044100,8945535,9265178,9299989,10465307,11402158,10908604,10963552,11439296,12098028,12773287,13869222,15576280,15662222,15764804,15638173,16735357,16542655,17937162,20792054,21629615,22802894,23051834,21232849,21734057,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5307750,5070733,4143179,3232557,2478647,2225079,2148245,2141010,2250846,2238370,2148662,2122290,2128862,2169520,2346115,2340567,2414343,2580843,2471065,2333490,2307909,
Tanzania,,,,,,,,,,,,7576470,7645514,7692944,7667018,7671005,7748086,7750591,7838366,7912076,8015041,8129099,8250489,8420485,8585322,8767560,8981212,9145627,9310802,9515159,9732940,9932458,10060703,10333552,10519404,11021752,11158082,11266306,11933157,12751169,13389944,14202899,14916291,15491193,16197713,17168377,17846918,18342123,18963689,19405652,20078061,
Thailand,,,,,,,,,,,,13689320,14369516,15607354,15940765,17340500,18834995,20054297,20839208,22013230,22002024,22239639,22488162,20660175,22812996,24738397,25985470,28704286,32729978,36616379,41943931,45547980,48527959,51206387,56623585,61924038,69241458,70531759,66132191,70602531,72284396,74385215,82256943,89107426,96291171,99165875,101043244,104886244,107655685,107300223,117428736,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000,58000,59000,61000,,,,
Togo,,,,,,,,,,,,726753,746289,746284,745999,777427,778414,826087,849825,884144,887827,905873,954199,931001,967743,986239,1076291,1139183,1162983,1198890,1263240,1293832,1309652,1315844,1488085,1566256,1756175,1730835,1850104,2115237,2110736,2105747,2181626,2302761,2327027,2371755,2367865,2458068,2562691,2627605,2688962,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25345.564,,,,,,,,,,,,,,57000,57000,57000,58000,,,,
