Youth (15-24) literacy rate (%). Male,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Thailand,,,,,,97.57081505,,,,,,,,,,,,,,,,,,,,98.09989085,,,,,98.21680556,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.48975532,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,83.78623188,,,,,,84.85531785,,,87.62799964,,86.91667539
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,99.84105359,,,,,,,,,,,,,,,,,,,,99.26522396,,,,,,,,,,99.30216329,,,,,
Trinidad and Tobago,,,,,,99.19503606,,,,,,,,,,99.3,,,,,,,,,,,,,,99.4852,,,,,,,99.55965
Tunisia,,,,,,,,,,85.74456952,,,,,,,,,,90.37918,,,,,,,,,,96.39501438,,,97.83990688,98.13430508,,98.21085292,
Turkey,90.75405297,,,,,93.62197998,,,,,95.68403914,,,,,96.57076598,,,,,,,,,,,,,,98.02444333,98.36092715,98.36595745,98.58455882,,99.01895668,99.21415988,99.44670284
Turkmenistan,,,,,,,,,,,,,,,,,,,,,99.80790705,,,,,,,,,,,,,,,,99.77347
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,77.22388361,,,,,,,,,,,85.9575765,,,,87.26584862,,,,89.63518814,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.77623836,,,,,,,,,,99.7373
United Arab Emirates,65.51174306,,,,,,,,,,81.01383075,,,,,,,,,,,,,,,,,,,,93.62514965,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,97.74089442,,,,,,,,,,98.26304688,,,,,,,,,,,98.15317379,,,,,,,,,,98.31210606,98.4888004,98.627738,98.14126394,98.35943326,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,99.85337243,,,,,,,,,,,99.88971
Vanuatu,,,,,75.74416385,,,,,,,,,,,,,,,87.30347,,,,,,,,,,92.10728,,,,,,,94.4268
Venezuela,,,,,,,92.32981989,,,,,,,,,94.52074968,,,,,,,,,,,96.3262226,,,,,,97.97440491,,98.26986295,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,96.91362726,,,,,,,99.02489158,,99.03929951,99.13416076,99.26684431,99.23298201,99.211347,99.25985747
Vietnam,,,,,96.1088751,,,,,,,,,,94.08259846,,,,,,,,,,94.17869376,95.58780842,,,,,,,,,,,97.47777
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,82.80422093,,,,,,,,,,92.82117,,,,,,,96.37194
Zambia,,,,,,,,,,,,,,,,67.2693468,,,,,,,,,72.61559571,,,77.72511848,,,,,70.30841176,,,,
Zimbabwe,,,,,,,,93.82696094,,,,,,,,,,96.54062343,,,,,,,,,,,,,,,,,,,89.59058436
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, United",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
