General government expenditure on health as percentage of total government expenditure,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Jordan,14.29911084,14.31233582,14.23167301,14.24321311,11.8732567,10.90753113,10.93115115,11.17276233,9.58636763,10.15629588,11.60483954,12.07375415,13.34502623,15.59153534,18.61615365,18.61148423
Kazakhstan,11.51014448,13.95046803,14.6862413,14.20498145,9.88471392,9.15282392,8.41232227,8.75089906,8.74270657,10.17525306,9.32793996,10.43691404,7.38153568,8.31591492,11.27785905,11.42313318
Kenya,6.3699785,7.59833587,7.25750851,9.20638569,7.3748051,10.28518738,8.45340294,7.96678493,7.75717125,7.73484553,8.06038096,7.74722659,7.69375479,6.2798267,7.31223237,7.31223237
Kiribati,10.40298507,10.17066667,11.15733333,7.81098901,9.14752475,8.74257426,7.19444444,5.75353535,5.90134529,5.54596774,10.77622951,8.78986486,11.02588882,12.57710682,12.99582077,12.08389831
North Korea,,,,,,,,,,,,,,,,
South Korea,7.09065169,7.71254837,7.97792425,8.22661673,9.22522669,9.71490557,11.61067513,11.19334474,9.39899519,10.58595431,11.27287198,12.06326866,12.27629621,11.86489179,12.17227516,12.35606698
"United Korea (former)
",,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,5.9589554,6.29466537,6.98693752,6.96704374,6.60930693,5.50356608,9.8623318,6.94734957,7.50393717,6.97010574,7.09238029,7.84293209,5.30738182,6.17653124,5.62908286,6.86357293
Kyrgyz Republic,13.86400607,14.11363986,13.14353988,16.52561555,15.65000437,11.9691905,11.86957905,10.66450717,10.21346903,11.39321944,11.92432373,13.33415277,12.7888364,11.52291704,11.66674058,10.71079119
Lao,8.43707645,12.30336995,19.51647571,13.87992059,6.92640786,5.77909441,5.57026872,6.05735527,6.73563533,5.37223051,3.0499547,3.0499547,2.54936761,5.89846313,5.89846313,5.89846313
Latvia,9.940488,9.51392493,9.56854716,9.28074246,8.95555804,8.68143638,9.03247257,9.11084044,9.30922828,10.26265114,10.14995285,11.37362075,11.84795127,10.55217058,9.21084525,9.21084525
Lebanon,9.80191257,9.4532872,9.16830386,10.42681324,9.3808291,7.88167717,10.43860449,10.69018124,9.53741018,11.12534794,11.86639679,9.87967596,10.51267072,10.12226114,9.53162634,9.53162634
Lesotho,6.39327266,6.31348748,5.05544422,6.00703556,5.89137451,6.49150222,9.05042171,7.24883813,8.32129579,8.34595859,6.82901382,8.22961439,11.00060975,11.10334312,10.34516588,13.40605651
Liberia,,,,8.86244495,10.614159,8.97128791,11.47608508,7.17299588,10.56228152,11.95011983,11.12346669,15.19594959,17.25030214,17.2110974,13.83224749,11.1011706
Libya,5.54729744,5.54729744,5.54729744,5.54729744,5.54729744,5.99936505,5.74828128,8.09111071,6.49009083,5.50168238,5.45732234,5.33921558,5.50168238,5.50168238,5.50168238,5.45732234
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,11.57447359,10.80609382,8.38563996,11.49927784,11.63613536,11.58225583,12.4117138,13.86026751,14.9217865,11.53787484,11.89720912,12.87206316,13.11466889,12.85272699,12.63950984,12.63950984
Luxembourg,12.96586,12.75297848,12.72503932,12.75576565,13.3494149,16.92091994,16.35453436,17.01899916,15.44877012,16.34487487,16.24484936,17.09942223,16.53847681,15.41789732,15.44121656,15.44121656
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",13.73815306,14.33476906,16.24381424,19.03847769,15.09826089,14.75568309,12.25880712,13.45024103,16.18716539,16.04829214,14.71651818,15.44230293,13.71163424,13.63276655,12.50785459,12.94059286
Madagascar,8.51761927,10.49830166,11.90805865,10.24084044,12.05684982,15.54588765,15.04362314,13.16844286,11.92170734,11.6365896,11.59169949,12.45209572,14.71074141,14.56569353,14.7031338,14.70287043
Malawi,5.06288928,5.06288928,5.06288928,5.18458524,6.54113803,8.98017671,8.71631432,12.96215697,16.72729587,21.0227587,19.99219356,20.03049522,14.1970651,14.1970651,14.1970651,14.1970651
Malaysia,7.8947271,7.97098032,7.56049433,8.06159449,8.02194519,8.01066787,7.8344849,8.01921186,9.56830086,8.8734919,7.74262832,8.79754916,8.29873556,7.94066501,8.42968815,9.20727659
Maldives,10.06554307,11.22472967,11.1227702,10.90926801,10.33354612,11.32061465,10.43002183,10.16905656,11.86470692,13.81678111,11.61269796,11.38356283,10.51104147,12.21501572,7.90496149,8.57742238
Mali,12.05552931,13.56660965,11.37641915,9.60201817,7.88502994,8.88998762,11.93015396,10.09534884,10.69900476,13.00415468,11.35829585,11.64307446,11.38692234,12.22256329,10.02344594,10.57678707
Malta,9.88931165,9.99380157,10.60971025,10.77963533,10.6905838,12.05382962,11.83551574,13.26367082,12.54706907,13.39678945,14.36002212,14.49763826,13.55317961,12.30760243,12.74490402,13.20069597
Marshall Islands,9.26661654,19.42010712,19.42010712,19.42010712,19.42010712,21.14542673,18.85996531,17.33077757,16.8266018,16.72396158,15.54940985,16.63010502,15.35335194,15.72898984,19.45858501,16.98764625
Martinique,,,,,,,,,,,,,,,,
Mauritania,11.60857455,7.56982139,8.82767289,12.12049086,15.9944478,12.83778306,8.12202673,10.5017503,7.2024611,9.8069664,9.06424153,7.77883807,8.56452749,7.30267176,7.30267176,7.30267176
Mauritius,8.98685391,8.5069038,7.74300316,9.93285122,8.21321508,8.70826783,10.85322069,9.341391,8.81739175,9.74233013,9.38288535,8.81728674,8.85505679,7.94732763,8.32387751,9.81640098
Mayotte,,,,,,,,,,,,,,,,
Mexico,15.04593284,13.29384062,14.15235816,15.80331112,17.27547284,16.6207561,16.60453216,15.67847943,15.53815146,17.41193351,16.50232034,15.90958457,15.49535635,14.95710258,11.91041352,
"Micronesia, Fed. Sts.",11.27001386,11.29721571,11.30898874,8.95258438,9.7097842,10.91982919,12.46224708,12.49504755,13.48151371,13.95904189,19.08097166,18.26963351,18.80408971,19.79571984,18.92255892,20.01776324
Moldova,13.07326328,15.06238209,12.15686715,9.62210295,7.93388063,9.54612546,10.93397746,11.79958571,11.97748142,11.90526971,11.28219846,11.74919328,11.72665465,12.97056248,13.38626066,13.10652633
Monaco,14.26065938,13.03411207,14.83548015,14.67962163,12.51388728,14.24095466,13.81274744,14.57781618,17.72267696,16.64774358,16.25943777,15.55566319,15.01489895,15.79997461,18.52079486,18.82163011
Mongolia,10.68557796,12.67851278,9.93640658,8.7779318,9.95131284,10.70967515,10.86857192,10.69555356,10.07958711,10.30866471,10.55697177,8.34014816,8.53455056,8.58080901,8.83458872,8.04465104
Montenegro,16.86588688,16.86588688,16.86588688,16.86588688,16.86588688,16.86588688,16.86588688,16.86588688,17.74933163,16.89380865,14.34706145,13.5906972,13.5906972,13.5906972,13.5906972,13.5906972
Montserrat,,,,,,,,,,,,,,,,
Morocco,3.7792881,4.41296951,3.89123111,4.15984104,4.13132209,3.97563695,4.42808278,5.03514974,5.04447648,5.13861282,4.73539082,5.93024858,6.90341325,6.54287718,7.2481092,6.59426696
Mozambique,14.04686634,14.04686634,13.65437605,15.03305963,16.12646056,16.99348256,14.75013592,15.53208373,14.97512806,13.84626169,18.2437012,15.19346438,12.77578515,10.50136518,12.18692237,12.18692237
Myanmar,1.48153428,1.23675745,0.88915101,0.66011856,0.77889599,1.15232901,0.99222794,1.46557188,1.13723688,1.2476588,0.77101517,1.19788795,0.92627616,0.91146503,0.97102671,0.97102671
Namibia,12.10170848,12.79244958,13.45685186,13.41613875,13.29452033,13.1264984,10.26963191,11.09028379,11.33979029,10.71741786,12.52955088,11.06464956,13.14365324,12.13108201,12.13108201,12.13108201
Nauru,5.91836735,5.43478261,10,15,12.36842105,11.19047619,14,18.21428571,23.80952381,28.57142857,18.51851852,18.51851852,18.51851852,9.33552502,9.24666667,9.75912686
Nepal,4.58228762,4.50960392,5.78611929,6.50043518,5.73535095,6.4776566,8.33449544,8.90620192,9.45081736,12.15515276,12.7085157,14.96041467,11.32580428,12.4457621,11.05432675,8.96448743
Netherlands,10.48088564,10.99311039,11.33872108,11.07958576,11.02158856,11.36491669,11.49052265,11.9896725,12.69360434,12.93898977,13.27540408,16.14531395,16.08166302,16.10671043,18.36602994,18.45031802
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,13.29194786,13.33841045,13.66280175,14.53592251,14.64569417,15.55525859,15.75410494,17.02631902,16.44307891,16.9706673,17.14556184,17.99958413,17.94530222,18.37172072,19.83634925,20.12918158
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,21.51676943,18.1940523,13.66442953,15.0445905,11.22297993,13.12421369,15.55756568,18.76793846,20.19606136,19.21525283,18.59622665,17.12734146,18.82354639,18.11297538,18.09810916,
Niger,8.99102749,9.26609497,9.89636204,9.33097347,8.58768153,8.43168677,10.10465459,9.88645573,9.38596651,8.96822086,14.78471711,16.08275814,11.48237765,11.90562961,11.12562928,11.12714666
Nigeria,7.05109382,7.05109382,7.05109382,7.05109382,5.40283565,4.21959413,3.2010789,3.11285416,5.11427179,7.83361041,6.41327841,7.05876505,9.19334804,7.74512206,5.9397849,4.40594255
