Income share held by lowest 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,6.141208076,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,5.436028182,,,,,,,
Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,5.17,,,,4.8,,4.42,,4.78,4.53,,,,4.64,4.45,
Uzbekistan,,,,,,,,,,,10.88,,,,,,,,,,3.91,,,,7.91,7.14,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,3.1,,,,,,3.38,,4.76,,,,5.49,,,3.7,,2.87,,,,,3.27,,3.71,4.85,
Vietnam,,,,,,,,,,,,,,,,7.82,,,,,8.02,,,,7.46,,7.12,,7.07,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,6.12,,,,,,7.43,,,,,,,7.18,,
Zambia,,,,,,,,,,,,,,0.66,,3.04,,,4.2,,3.37,,,,,6.16,3.63,,,
Zimbabwe,,,,,,,,,,,,,,,,,,4.631879134,,,,,,,,,,,,
