Urban population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
China,4.108566376,1.282133581,3.066508018,4.654358559,4.470174172,4.485626729,2.02584204,1.80336463,1.837636078,1.960709518,1.97626228,2.74691555,2.45735693,2.283395364,2.065955013,1.766391782,3.772960931,3.539944982,3.468955591,3.420244876,3.297898863,4.8491354,4.917912821,4.775433682,4.535197363,4.484177777,4.559424515,4.584063249,4.504262872,4.345949039,4.203124706,4.725363717,4.477170831,4.298844018,4.183329519,4.04912065,4.17436979,4.054900746,3.901801603,3.724002705,3.566682459,4.363742332,4.179687631,4.013535111,3.873400618,3.763449994,3.662873506,3.533286791,3.435383537,3.346373402,3.24446222,3.026904123
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,5.803957758,5.596329139,5.529338542,5.459151032,5.385196556,5.305659149,4.389805553,4.340413785,4.25740451,4.134598941,3.990293229,3.810689169,3.681387859,3.592659291,3.555815361,3.553794276,3.51319693,3.508813066,3.495689133,3.468447057,3.431140081,3.352775401,3.319066495,3.281539115,3.239828372,3.19520891,2.922984408,2.882201613,2.840997253,2.799719245,2.758792203,2.582841089,2.54411415,2.50911884,2.478829157,2.451539145,2.233604068,2.208440202,2.179956154,2.146948319,2.11112723,2.059307785,2.024000244,1.992592853,1.96639081,1.943340527,1.902974873,1.878478034,1.849925867,1.815973858,1.778202704,1.719510513
Comoros,,8.640415547,8.193064201,7.838242043,7.5727927,7.375703426,4.961646523,5.018351837,5.023756311,4.957925385,4.85836816,4.152589387,4.095578354,4.200313273,4.508599104,4.925581998,5.473156153,5.778062116,5.89184058,5.779107459,5.522291865,5.48284163,5.245048918,5.019922523,4.822292013,4.649075232,4.590857736,4.424446877,4.295302032,4.211143764,4.160762743,2.723777872,2.717933559,2.726382335,2.748362994,2.780068611,2.355144172,2.392042003,2.424800022,2.452165572,2.473610397,2.503071336,2.51898009,2.531666112,2.542149358,2.548224817,2.766354044,2.762927154,2.747984533,2.721027677,2.68453607,2.930546964
"Congo, Dem. Rep.",3.965272293,5.921574991,5.834949071,5.772005461,5.737140353,5.718432858,6.004019624,5.96667598,5.900835902,5.798427356,5.67573821,2.284918502,2.243347279,2.234121421,2.266720576,2.323187269,2.402943603,2.454822942,2.459550558,2.405397469,2.319557307,2.262328848,2.211827988,2.203817654,2.248806643,2.333040412,2.753956843,2.804448856,2.938331974,3.170193014,3.436806441,4.220067627,4.421779754,4.381294147,4.058448633,3.579282136,3.541653296,3.131691711,2.924106734,2.980596735,3.20962521,3.968740015,4.146134503,4.24326923,4.229328002,4.142135619,4.498194169,4.418299014,4.346402831,4.288980413,4.241139573,4.303415929
"Congo, Rep.",4.735928564,4.866744732,4.868498993,4.865929628,4.857748056,4.846255201,4.930689179,4.911286279,4.906881144,4.921004622,4.943233856,5.108905312,5.114495655,5.08924303,5.026487808,4.941089283,5.055223937,4.966282492,4.900939788,4.866289654,4.85001737,4.744612119,4.725065821,4.687340844,4.626560398,4.551967695,3.622718786,3.578719555,3.540495879,3.510300681,3.4871316,3.452170249,3.424581066,3.419886512,3.443018596,3.479542684,3.599193077,3.631436118,3.606472288,3.510802143,3.375926727,3.22149744,3.097517328,3.058223894,3.127249257,3.259945151,3.394126657,3.49857848,3.514369241,3.417719212,3.250764231,3.039464693
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,3.670022881,4.385677244,4.403702153,4.35933425,4.242118704,4.079435,4.74648689,4.585477123,4.424802527,4.267800931,4.122396165,3.714454438,3.599482913,3.550937628,3.582690956,3.667208893,3.394483789,3.479811056,3.543452206,3.575556168,3.583780825,3.91613967,3.913969266,3.898079967,3.867490556,3.826194009,4.930182656,4.850049449,4.765008662,4.6750977,4.584497295,4.478565194,4.385150529,4.32528426,4.307174114,4.311142306,3.668161864,3.675454515,3.630699746,3.520862166,3.36925226,3.014578785,2.87670798,2.757868914,2.666697304,2.596058841,2.46684459,2.396822436,2.337161378,2.288853202,2.248200985,2.153134156
Cote d'Ivoire,9.027726764,11.18664844,10.79663018,10.42777865,10.05886358,9.704110063,6.905309933,6.826880593,6.791017556,6.805806792,6.849554758,7.16532054,7.167613028,7.163066845,7.148965964,7.122547105,7.405128812,7.332622034,7.243570436,7.137503884,7.016082916,5.013557159,4.938794079,4.827668897,4.677026167,4.505931816,4.508001693,4.340680093,4.219141082,4.153878395,4.120053006,4.306713493,4.246529404,4.149870803,4.007665648,3.835347985,3.89804489,3.742965562,3.563924839,3.356778479,3.140651376,3.361620722,3.169185628,3.045476505,3.008103759,3.034315378,3.254949293,3.287231283,3.336553039,3.39915201,3.467124933,3.500782176
Croatia,3.444005994,3.910925364,3.779525505,3.657191558,3.542940763,3.435868614,3.545237682,3.457597596,3.351755523,3.227843892,3.176667214,2.965997414,2.860865007,2.781409778,2.682527732,2.586534685,2.517458994,2.161949878,2.602057171,2.360444643,2.362509877,1.321940283,1.463397428,1.387971164,1.313705809,1.304291623,1.112059962,1.042400271,1.015586016,0.8632778664,0.9213789284,-5.499138657,-0.5766642401,4.045821821,0.5275333527,0.7190457015,-3.567269782,1.973023664,-1.313483498,1.421637402,-2.600600966,0.610053386,0.2933766726,0.292518491,0.2691402562,0.3583770642,0.3551843185,0.3084931544,0.3519453178,0.2826423374,0.1452411542,0.2486234916
Cuba,2.226432464,2.376777387,2.493652256,2.543003409,2.504095188,2.405625598,2.281816587,2.177349971,2.102070681,2.069967945,2.061778531,3.060375319,3.018763834,2.922180601,2.754926922,2.542960762,2.303879581,2.11551557,1.953238172,1.828629472,1.738158503,1.335632477,1.257995186,1.251175003,1.333511519,1.473842789,1.532812815,1.673806551,1.738779196,1.698179068,1.583266825,1.038180188,0.9305068133,0.8384792357,0.7750277012,0.733094821,0.7987230722,0.7470586178,0.7085161678,0.686267022,0.6747155494,0.3223723768,0.3160661259,0.2912420034,0.2400838938,0.1713888839,-0.005258043718,-0.07038411554,-0.1179268506,-0.1401841851,-0.1436074632,-0.06758059588
Cyprus,2.946030442,2.030952399,1.631855046,1.426017741,1.492419698,1.754369238,2.083368761,2.340249618,2.512745375,2.553800818,2.50188672,4.321818957,4.196390796,4.088042684,4.00807549,3.943786032,5.872521014,5.68256577,5.434736698,5.103750264,4.733080483,2.594287086,2.372863272,2.307123556,2.45190554,2.74486769,1.867448461,2.180040353,2.432601121,2.593097951,2.681205218,2.509939117,2.587953724,2.616002187,2.588873039,2.524487922,2.244705964,2.160828958,2.102168262,2.081103237,2.08183142,2.141423124,2.125918671,2.076925412,1.985053538,1.86558329,1.759386545,1.646506447,1.554131456,1.490656458,1.447783527,1.444239165
Czech Republic,1.39520739,0.6654520287,1.214430362,1.28914596,1.394448463,1.327674085,1.191851991,1.084572742,0.9926472368,0.9539661736,0.353856364,1.380615007,2.084324704,2.194537472,2.280756823,2.290126345,2.157652712,2.067521962,1.989276056,1.916164222,1.521825254,0.01770606611,0.1907416466,0.1401189924,0.1141426116,0.119378529,0.01092481858,0.01071163954,0.03836280565,0.01738590997,-0.3063769194,-0.3935992901,-0.05152937403,-0.05006031465,-0.1181231401,-0.2157972509,-0.292037541,-0.2837280852,-0.2710202715,-0.2787627335,-0.2891573921,-0.4278427028,-0.3880327453,-0.05396170576,0.00613925811,0.115074376,0.2613356666,0.5676586006,0.8052126213,0.5373856916,0.2468223258,0.2194141063
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1.748618405,1.606243198,1.678383748,1.67962974,1.683230552,1.655510954,1.498587683,1.479196549,1.294870073,1.234356604,1.42817484,1.29731401,1.170802298,1.199734854,1.057318254,0.87651225,0.6345661101,0.6931978988,0.6908966675,0.6244902559,0.4990334557,0.1215008865,0.07620071551,0.08079179275,0.09685823387,0.1895394713,0.2503151961,0.243115987,0.1649095808,0.1761687223,0.2785025536,0.2915722895,0.3627152078,0.3651999369,0.3697306593,0.5529752125,0.5943999117,0.444030434,0.3916198877,0.3593355144,0.3626747957,0.5358313521,0.4966882387,0.4488981104,0.4350076083,0.4517458207,0.5471446275,0.6614891434,0.8050963726,0.7521555968,0.6608034876,0.6295949482
Djibouti,7.135995521,7.969822761,8.476294735,8.761081886,8.806910965,8.710795466,8.615881422,8.604485585,8.506119884,8.323704099,8.133531312,7.665358034,7.416185555,7.700485345,8.566116858,9.601777899,10.57560409,11.10933697,10.63842229,9.199415575,7.381685332,4.782626313,3.379263022,2.985275285,3.86395284,5.459431279,6.788058125,7.840109965,7.875101718,6.835512185,5.270658211,3.555265324,2.347534263,1.689872746,1.76279213,2.319095324,2.87725223,3.315689444,3.48396522,3.293066214,2.881333477,2.44584496,2.129853875,1.918412313,1.851834895,1.885956657,1.938828415,1.958548647,1.971370956,1.966634117,1.950347582,1.983163839
Dominica,,8.272310445,7.724161934,7.318530523,7.081001662,6.946507901,7.411728673,7.252862853,6.930010842,6.389739676,5.719207569,4.210582059,3.639559315,3.301494725,3.277469988,3.477710698,3.661141063,3.857679041,3.856202102,3.576286684,3.112008942,0.909941915,0.5445190139,0.2551821166,0.08927759936,0.02330466812,-0.3342513858,-0.4018988862,-0.3680330138,-0.2024874543,0.05271904136,-0.1442023382,0.1435422745,0.2824285683,0.2114228228,-0.00610563935,-0.3860104038,-0.6095988053,-0.7383603764,-0.7265017686,-0.6081383746,-0.406263827,-0.2933216363,-0.228784151,-0.2464339139,-0.317836904,-0.2791546183,-0.3401439157,-0.3548811536,-0.3005696653,-0.1954914022,0.05590405721
Dominican Republic,5.576359848,6.474510438,6.346091297,6.212059255,6.071987613,5.928970029,5.986894666,5.838170029,5.694166962,5.555614605,5.422303488,5.445844406,5.314936893,5.187313889,5.062532178,4.942135047,4.871139785,4.759806903,4.662763045,4.582200238,4.51316495,3.296253025,3.266861872,3.23370064,3.194737663,3.151764728,2.653936469,2.616679278,2.581404381,2.549008519,2.517432497,2.852150854,2.814244603,2.76478104,2.700850349,2.628413922,3.164702778,3.083142732,3.014482822,2.962652878,2.922889828,2.817393622,2.780294545,2.743290083,2.705035504,2.665740143,2.463821749,2.429372327,2.392480191,2.352380904,2.309948503,2.106637263
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,4.590395794,4.524521083,4.532848858,4.532835876,4.522668542,4.504727241,4.417392066,4.397176658,4.37236503,4.343085566,4.310656129,4.499113514,4.456474787,4.417592111,4.38379848,4.352393462,5.021117101,4.959388906,4.894621003,4.825985223,4.75424479,4.53645749,4.466759207,4.396477892,4.326022856,4.254388397,4.034327395,3.960810762,3.883808728,3.80307977,3.718550505,3.211390118,3.142338389,3.051106683,2.932366038,2.80034011,2.610954832,2.491896232,2.42207634,2.415563594,2.45099203,2.75421316,2.780777987,2.780818095,2.74295837,2.679041229,2.59479925,2.536295281,2.481936235,2.435001961,2.393272315,2.21651676
Egypt,4.266522676,4.114484141,4.073299088,4.031554994,3.99045804,3.948592373,3.28352012,3.254880978,3.210451528,3.14693614,3.073899574,2.865666984,2.806709452,2.770486181,2.762890018,2.775897948,2.407481848,2.423497775,2.447617383,2.479588148,2.514598969,2.394979113,2.415847045,2.432514449,2.444229064,2.446964254,2.208825234,2.201434158,2.145058789,2.029651623,1.879449289,1.626473034,1.492132114,1.399542088,1.362732954,1.366641687,1.680310047,1.687180425,1.70567076,1.734480317,1.768737398,1.923274233,1.957752795,1.97606165,1.972914873,1.954327747,1.984771173,1.96210948,1.940985218,1.923624116,1.907585109,2.106573732
El Salvador,3.372646475,3.355090915,3.462648224,3.503812373,3.467458439,3.379302276,3.234095514,3.134517085,3.051331265,2.993952673,2.950508362,3.720494279,3.648173372,3.554344347,3.434167915,3.297020721,3.371702995,3.239834218,3.105878742,2.970505915,2.83835803,2.72341239,2.607895914,2.517204703,2.45702031,2.42124732,2.388773487,2.350949373,2.350338275,2.394479185,2.461508234,3.401728234,3.43125199,3.378980715,3.220350515,2.991009682,2.822579557,2.603881278,2.417951788,2.281969429,2.185981732,1.356629088,1.287602537,1.246028434,1.236373388,1.251223134,1.245703096,1.276438219,1.30633884,1.330244579,1.349593546,1.304711941
Equatorial Guinea,5.360969345,1.929953792,1.854823069,1.917259517,2.164410724,2.484692212,2.558634406,2.839509423,2.529332027,1.477751601,-0.04420434103,-1.744192692,-3.243547978,-4.32443656,-4.670302557,-4.312406069,-3.822820989,-3.266908077,-1.975257587,0.1942743176,2.841275262,6.810766062,8.917434868,9.660336455,9.006953908,7.638153482,7.993633704,6.861833292,6.110774228,5.863794824,5.946037275,5.65358655,5.65824806,5.637170116,5.566792567,5.465036868,3.273985786,3.247833081,3.224294829,3.203865515,3.183676456,3.215739506,3.193302375,3.155378706,3.099125331,3.032723704,3.162259276,3.097367065,3.052285928,3.032900968,3.027356361,3.233790661
Eritrea,5.589268163,5.816549331,5.748169934,5.675776421,5.597750701,5.517510907,4.7212664,4.690052859,4.654839172,4.61541254,4.577250654,3.978008483,3.952388453,3.979995818,4.072993666,4.198271008,4.405807259,4.49445504,4.494894317,4.388100344,4.214564464,3.929830099,3.735501119,3.630705236,3.644016439,3.715919323,3.487466725,3.568357194,3.385700286,2.874527453,2.182343256,1.648312743,1.053748875,0.8229017051,1.097052476,1.741572549,2.844608066,3.45494851,4.005709494,4.440818528,4.765356836,5.485588001,5.734167937,5.786303527,5.621452308,5.325784116,5.41554429,5.116345647,4.904186655,4.809756501,4.789332834,5.220785997
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,2.402079265,2.495068995,2.564626582,2.532149709,2.500485249,2.345749684,2.214372994,2.273465131,2.247906977,2.222175768,2.114470992,1.880670886,1.92768962,1.757404788,1.656330803,1.570315147,1.338692774,1.358099628,1.303823419,1.170666818,1.214012161,1.007225361,1.021471394,0.9877842806,0.9519737398,0.9659537791,0.8454829071,0.8799713754,0.7233874338,0.4998054895,0.1680488861,-0.8257617325,-2.148834689,-2.900030543,-2.465363541,-2.113245762,-1.640693646,-1.306522038,-1.1264365,-0.9266725204,-0.613688818,-0.3891898086,-0.3939303976,-0.3682049993,-0.3088267519,-0.2300092423,-0.179245863,-0.1292841457,-0.06396967171,-0.0197714747,0.002158433909,0.0697248863
Ethiopia,5.418088538,5.852261094,5.806443979,5.752129499,5.683891115,5.606615184,5.116753018,5.042546668,5.002257099,5.005744061,5.024908425,4.797909461,4.834002173,4.701452054,4.361883611,3.912307506,3.575830139,3.188348846,3.05744431,3.265432475,3.701464342,4.372334338,4.762865582,5.025145133,5.111047504,5.077786236,5.230004813,5.191216124,5.170579293,5.181235428,5.203904929,5.281063196,5.262250745,5.19195989,5.062058669,4.895911913,4.302004992,4.157127327,4.036877144,3.950098296,3.886017286,3.89329118,3.827029311,3.756612282,3.679171725,3.598836271,3.639721459,3.564455271,3.50169688,3.454070263,3.41639731,3.676657699
Faeroe Islands,,5.154164806,4.87653069,4.647272587,4.516235217,4.440185425,3.031455666,3.018827044,2.979982478,2.900397435,2.794840897,2.668675225,2.577731997,2.524662529,2.525582361,2.561169578,1.614425091,1.663360288,1.705717554,1.748790108,1.77842037,0.9523623447,0.9368783149,0.9375221628,0.9735647863,1.003669363,1.276339638,1.327741205,1.094192814,0.4959862195,-0.3245242511,-0.974079735,-1.815013209,-2.195161476,-1.877399185,-1.017008288,3.285284557,4.082323342,4.607383902,4.710129773,4.505675355,3.213356339,3.09938455,2.928337154,2.706550551,2.459946212,1.022659548,0.7706283782,0.618943117,0.6218842647,0.7316663949,0.8373056558
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,5.209388913,5.376851538,5.38110737,5.276694003,5.043845854,4.736409104,3.975126132,3.713116325,3.518176395,3.413208034,3.371237726,3.228601603,3.198320072,3.15894794,3.101522627,3.037731445,2.447080557,2.376154464,2.399219215,2.540560379,2.739457195,2.841099545,3.012589179,2.936901913,2.554620922,1.988277307,2.545855329,1.996364315,1.695977578,1.746219865,2.044084849,2.789102716,3.051093139,3.196003292,3.165839878,3.010552207,2.216268007,2.115045009,1.976575461,1.798940146,1.60401213,1.19266268,1.000330378,0.9258303882,1.012110018,1.210776082,1.450921274,1.647495245,1.771944476,1.789931295,1.730521295,1.65977846
Finland,2.429632845,2.273391471,2.223478031,2.226998382,2.053577415,1.80854896,1.72208223,1.870920977,1.7609023,1.236910298,0.8996683193,1.413561601,1.866190678,1.822952851,1.76303034,1.668175036,1.443638052,1.40902895,1.403802312,1.359926813,1.403363454,1.558015716,1.679126104,1.702451926,1.628694841,1.49957428,1.259365186,1.209543615,1.208111306,1.270100875,1.344274245,0.9475476944,0.9616809409,0.8820333713,0.8276490037,0.7766887294,0.6289569296,0.5973935399,0.5645917664,0.5303430001,0.5049465183,0.4032385983,0.4176246642,0.413394288,0.4649819141,0.5165757166,0.5411828911,0.5825882105,0.6224610629,0.6349123445,0.6139154281,0.5951697651
France,2.377330552,2.978792689,3.030201367,3.01261939,2.906784218,2.742415281,2.199109058,2.043051035,1.932557895,1.888693688,1.890671968,1.318743157,1.327469718,1.305860917,1.240278175,1.146798228,0.630497768,0.550674238,0.5056285174,0.5086392966,0.5460562905,0.5965146745,0.6338725153,0.661613264,0.6726364642,0.6705997395,0.6800188644,0.6812726724,0.6716859138,0.6487709096,0.617230349,0.7054664135,0.6769715627,0.6552254402,0.6433506619,0.6406755603,0.9355019977,0.9318260343,0.9494893685,0.8446651096,1.201681366,1.932090146,1.917093381,1.884575063,1.898431369,1.902582045,1.593572932,1.507150585,1.439577793,1.41526605,1.413419574,1.154917047
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,4.845697906,5.611618793,5.637648121,5.678127591,5.742804792,5.806099308,6.39079141,6.404928743,6.346458109,6.206382733,6.016737241,3.885779217,3.771057384,3.690483481,3.659251509,3.656232046,3.264075039,3.244099496,3.223809744,3.200526581,3.168660351,2.921088514,2.882795902,2.81682885,2.716884402,2.595283975,2.013830104,1.90167395,1.798990599,1.711724917,1.637021813,1.234590266,1.154282712,1.106266001,1.097549882,1.111244391,1.569804107,1.582284858,1.544241147,1.442442524,1.298347829,1.360443257,1.229758479,1.129718765,1.074354827,1.050308211,1.12794828,1.103110162,1.076338862,1.042124184,1.004130682,1.135409798
Gabon,4.350701805,7.62102199,7.217441728,6.862183698,6.540409389,6.257279912,7.461274457,7.09907631,6.874138417,6.802120297,6.835641904,8.540317843,8.433429088,8.295171642,8.090816324,7.847195143,7.938729676,7.711609675,7.518248884,7.36422539,7.238808053,5.712295184,5.68898558,5.662267479,5.632048892,5.598180594,5.244764994,5.208117707,5.184497452,5.177495153,5.174270712,5.021313257,4.996566386,4.921468324,4.78682947,4.61463318,4.053617838,3.901990825,3.759897501,3.63311712,3.519654782,3.074572454,2.978184396,2.894799537,2.826430958,2.770908258,2.472086372,2.431825207,2.409952754,2.409019431,2.421596525,2.255161849
Gambia,4.357511568,6.415229394,5.712198044,5.233165315,5.05372863,5.09216762,8.517875135,8.24984139,8.073622922,7.971690741,7.915802869,7.891522096,7.900816679,7.812622206,7.597628677,7.316019047,6.287486366,6.127400153,6.063658758,6.120588545,6.255958339,6.781612676,6.829890277,6.935099025,7.101232931,7.273125585,7.862064078,7.923573392,7.768490894,7.369410921,6.837624136,6.398846,5.946290475,5.61206548,5.429175931,5.35271665,5.073516639,5.007210975,4.968408835,4.953228848,4.951611396,4.67837637,4.693669494,4.678972394,4.625170238,4.546581915,4.179231912,4.115105247,4.061336426,4.022279248,3.992458354,3.693183011
Georgia,2.762000797,2.716608854,2.644706449,2.585862345,2.510899126,2.405382395,2.223407862,2.049271383,1.964150323,1.981707776,-1.760661885,2.012313601,5.730428802,1.831605205,1.810286122,1.671160853,1.572768634,1.526111207,1.421237508,1.56676495,1.666520307,1.464748431,1.486972343,1.515074355,1.486089343,1.504916873,1.19918205,1.135601612,1.299195054,0.5707792194,0.2801000812,0.267554692,0.3366814992,0.3288035194,-1.454732066,-3.103366019,-2.969904632,-2.297399199,-1.43431021,-1.232517305,-1.227115724,-0.7884687553,-0.7364031887,-0.7109621378,-0.3091413314,0.9245281585,0.9438889118,-0.115002303,-0.00374766479,0.7195996657,1.050900123,0.96782656
Germany,1.139574262,0.9297063403,1.039028569,1.085217635,0.964229958,1.01202682,0.9231880428,0.5457572905,0.5331877506,0.8813759615,0.4209755533,0.2625872722,0.5575304667,0.3939294335,0.1178938653,-0.2939839591,-0.3505174537,-0.1481884231,-0.008904262195,0.1222735686,0.2854356727,0.1157854293,-0.1316498408,-0.2987023305,-0.3822295243,-0.2600663971,0.1576554955,0.2653799587,0.5023165748,0.8848501145,0.9733583594,0.7745481082,0.8062684109,0.7032916041,0.3927359759,0.3397627315,0.2296911837,0.08649380349,-0.04471163234,0.004743446702,0.07550457822,0.2470260626,0.246866974,0.1340400092,0.05690512642,0.02177483782,0.0125414106,-0.008536566132,-0.06511734767,-0.1285140317,-0.02848479767,0.1128510663
Ghana,6.799101703,5.555517106,5.471759672,5.30814997,5.049893157,4.745081048,4.46271005,4.180404537,4.054295923,4.127829012,4.324075814,3.355710213,3.579417995,3.615676523,3.412876286,3.075257112,2.694924222,2.412145852,2.369379147,2.640887756,3.108021655,4.020317714,4.403479776,4.586779606,4.518037633,4.291284548,5.116955427,4.889304597,4.737886597,4.691792491,4.711451214,4.826670272,4.818504263,4.763284413,4.646874684,4.494946353,4.394697501,4.263259188,4.171794157,4.131662964,4.126129678,4.093773115,4.085422859,4.070956544,4.04578262,4.012584306,3.888763232,3.859135118,3.824309565,3.783535231,3.738288673,3.593685965
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,2.932538953,2.690591117,2.422722448,2.373187973,2.438734443,2.809651066,2.844202858,2.639942017,2.316023172,2.141477257,1.495912997,1.700943946,1.494110577,1.397456475,1.957447322,2.427031223,2.167357671,2.15541308,2.098194022,1.826526691,1.141232972,0.8604820348,0.8251509187,0.7409914391,0.6305355826,0.4682391742,0.4716498468,0.5003011089,0.6587663864,0.8025675538,1.124585946,1.251842177,1.068613696,0.9827859561,0.9178044442,0.8521564869,0.7778777407,0.691130343,0.5899464792,0.4706424142,0.4910166255,0.5362885522,0.5200947646,0.5386923248,0.5738526194,0.698887664,0.694688156,0.6924846945,0.7018805914,0.5852701782,0.2956986047
Greenland,5.626464693,6.161433613,6.257972374,6.335339396,5.599926733,6.469418528,5.269202835,5.365588609,5.446611277,5.29056856,5.143739708,2.160694642,2.752990979,1.886088916,1.460461204,0.6450670117,0.6659893394,-0.1430198519,0.05462238426,1.267914398,1.658522832,2.063336618,1.455578767,1.635982753,1.620448492,1.417442551,1.006943284,1.557902624,1.726299485,1.347036498,0.9778775726,0.1114086295,-0.07043137027,0.108742407,0.8309076224,0.8271535056,0.361667033,0.361014135,0.3603635902,0.1816209489,0.3593861222,0.5744073196,0.765488366,0.5811705612,0.5619122093,0.3462762091,0.08424463037,-0.0204070971,-0.03744337699,0.3545409808,0.7342581066,0.6986124162
Grenada,2.400696915,2.164349581,1.884122377,1.613006471,1.367836703,1.146096512,0.9116580775,0.6777594434,0.4950991526,0.3796047549,0.3132547189,-0.04945504325,-0.04107004243,-0.1105829763,-0.2967014676,-0.5376229512,-0.8937251374,-1.161559169,-1.036298288,-0.3497220994,0.6989161909,1.906746249,2.895462021,3.216187446,2.686965807,1.636495477,0.3856929045,-0.6211309157,-1.189109585,-1.078187267,-0.4595753513,0.8423456179,1.4335362,1.784374379,1.769550507,1.502722356,1.304618053,1.086322675,0.9294957966,0.8791850646,0.9059957076,0.9804329935,0.9877868606,0.9990575941,1.011270949,1.023432895,1.121322169,1.140768467,1.156214325,1.166734428,1.174300363,1.257132602
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,3.538902936,4.184528546,4.393035497,4.513292315,4.522295686,4.45399008,4.712153392,4.628639852,4.539696646,4.454314339,4.372280249,9.026082481,8.55185896,8.145051184,7.805296676,7.513228378,4.585782645,4.540011976,4.499034917,4.464348364,4.429756354,1.951524801,1.953872533,1.967165819,1.996380945,2.030773984,2.038413361,2.050937807,2.007417198,1.895403396,1.74096588,2.202808275,2.064252217,1.933052148,1.811227888,1.704128729,1.539216269,1.438683505,1.415718284,1.490164184,1.627391214,1.566174181,1.696235555,1.749510476,1.70014337,1.582774168,1.463497307,1.356895589,1.278763575,1.243302081,1.239519416,1.258730696
Guatemala,4.697966761,4.545245911,4.51097572,4.476295498,4.440016329,4.403317847,3.601294763,3.582570033,3.572544657,3.573434852,3.578674449,3.375058643,3.378682966,3.35587647,3.300626554,3.226525734,2.879332237,2.814148996,2.777053561,2.776225195,2.798013778,3.394891617,3.404738096,3.392973961,3.352724659,3.295285389,3.343055639,3.292391828,3.258151011,3.245252227,3.246785537,3.268556005,3.272590835,3.267536796,3.249663219,3.22543307,3.209183677,3.191197304,3.193571954,3.221289396,3.264285224,3.324689348,3.362578222,3.382104216,3.377753641,3.357940265,3.377838147,3.356524016,3.348579366,3.358634555,3.378291478,3.444950514
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,5.996965943,6.136447509,5.930454258,5.773215917,5.672345408,5.601206512,6.290669047,6.162660759,5.934712622,5.574289073,5.133307273,5.344990036,4.921394462,4.55706739,4.272339908,4.064233663,4.4266113,4.238563017,4.201434649,4.347573683,4.62421716,4.096111209,4.500926931,4.771754814,4.856392919,4.83664701,3.501212428,3.473459514,3.795563308,4.552992363,5.498820529,6.508719264,7.117882324,7.084101925,6.353375884,5.250362433,4.174434406,3.269068594,2.645128516,2.402351475,2.431413913,2.688333384,2.707224858,2.743765709,2.777059085,2.812520823,3.043964227,3.116646288,3.211820845,3.329041123,3.454216409,3.764021445
Guinea-Bissau,3.384029942,1.501843117,1.359676048,1.217833887,1.072294093,0.9492946837,0.8584912212,0.7982392631,0.9691893644,1.439931748,2.117023059,2.872132646,3.484973925,4.000298764,4.374931391,4.618064312,5.884940556,6.012847825,5.900113638,5.520191649,4.987416327,7.884686299,7.162189317,6.622893187,6.319020469,6.183216318,6.835888867,6.654288985,6.486272017,6.313943158,6.14119337,4.950299164,4.89034357,4.818724113,4.730869288,4.633123525,4.145827975,4.078131146,4.01788063,3.967516503,3.925442596,3.971607752,3.930749372,3.900453489,3.881788714,3.87091852,3.853600402,3.843967755,3.830890461,3.81223852,3.789355743,3.634546089
