,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.5366167,569.2028149,643.678378,636.3992983,662.4974918,699.4531917,640.732601,565.8390447,555.3912167,573.0951011,597.0185266,609.5337212,592.6874501
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11388.64924,9794.283456,8064.543464,8030.503848,7950.863386,8693.260686,8972.591947,9654.568365,10022.69877,10277.88239,11080.90698,11575.04167,12609.70868,12790.52776,13778.26103
Ethiopia,329.265223,365.8784338,370.4193212,383.0563435,376.2833804,381.5383395,393.0582355,379.922778,373.7005048,391.7197392,399.0142136,405.7035371,409.3624098,414.6451771,427.5143609,444.8429802,450.9312292,450.6184139,464.4900464,480.1018996,478.7168704,489.3195393,497.4469397,502.1835629,499.9693113,489.3251461,496.1336672,490.1515277,480.1488462,493.3209347,505.3373718,515.2061583,504.4375337,520.6383278,465.9464352,461.2235495,463.6550721,363.9479901,462.940675,429.0000297,463.771162,437.2430386,552.3150079,593.2216421,595.5548479,607.5394627,645.5955165,668.6855657,668.7356066,722.9120024,725.365166,723.3864419,737.7065571,687.3085133,
Fiji,,,,,,,,,,,,,,,,,,,,,3138.093916,3291.411138,3459.582498,3945.647802,3917.403778,3916.066235,3987.400544,4026.786604,4108.411491,4625.520417,4464.193938,4323.735695,4311.699445,3999.424068,4322.822817,4481.564199,4059.108641,4124.276851,3931.193316,4071.171031,5168.685332,5193.985797,4883.219889,4672.209635,4749.869028,4753.348771,5016.638806,4777.109036,4763.243167,4677.893126,4571.947917,4655.64017,4890.597299,4919.45118,
Finland,5138.987957,5610.603087,5851.4698,5669.202535,6156.61927,6602.231007,6729.869428,6681.553647,6587.082588,7041.398865,7674.23812,8204.47355,8352.144302,8575.428826,9005.588763,9495.158422,9676.210085,9816.392278,9984.844211,10958.17304,11804.03026,11970.41599,12670.62574,13382.69373,14088.83426,14010.71989,13736.21698,14014.74301,14095.85104,14954.91637,15760.83794,16047.43957,16480.27018,16761.85234,17155.82983,17376.70414,17643.17641,18207.57507,19159.54276,20292.72015,19883.32013,18218.00242,17314.84434,16795.1279,17454.76067,18221.53219,18587.82511,19899.68974,21073.69182,21585.59555,22740.68581,22913.4139,23459.3081,23785.892,24612.93364
France,6042.439479,6378.31921,6698.774053,6807.828592,6849.357047,7065.805225,7583.174707,7906.204828,7944.496923,8201.318924,8605.420172,8961.260914,9450.260314,9816.737138,10360.44592,10698.95832,11154.22073,11578.38502,12014.40963,12798.14456,13362.59794,13881.05339,14395.3364,15083.84221,15379.36785,15194.86232,15824.80018,16200.73968,16660.06944,17148.09453,17400.37236,17536.92256,18003.64881,18167.68854,18323.23662,18616.54326,19052.09616,19401.20597,20166.04799,20833.59972,21295.81409,21395.33293,21647.04008,21216.00358,21585.66348,22016.31676,22122.52471,22567.63329,23370.91529,24105.4887,25044.53849,25439.41395,25583.10581,25663.46396,26168.95865
Gabon,,,,,,,,,,,6596.224356,7086.036017,7807.376257,9204.075774,10293.65405,11276.43538,10467.94283,12234.37757,12413.98736,13478.74982,14431.80346,14892.86227,17457.7292,18706.95499,21120.6658,20538.31772,28766.36759,21743.16949,15000.48314,14598.16213,15745.30752,14105.59718,14269.25604,14025.98179,14144.6104,14011.6961,13180.74143,12668.5335,12383.61197,12309.79496,13046.28109,13201.87764,12871.21568,12960.68018,13640.4596,13470.1322,13291.73736,12621.98427,12316.62908,11116.75263,10438.82725,9984.542075,9650.083985,9561.590527,9257.115338
"Gambia, The",,,,,,,,,,,760.4625032,680.1424039,635.2811663,804.9938269,729.0934242,898.3326096,919.7043415,890.3155958,914.9398975,904.1696224,923.1764765,899.0355855,874.1297199,922.7302469,943.542737,1014.443083,995.3144075,1011.806509,935.0851383,872.7568552,887.842509,894.1569448,974.154044,964.2339249,928.0886578,904.0815626,934.6567045,913.9889051,918.562408,919.3619691,912.5096366,890.3198427,889.9108748,871.68468,829.518958,772.7434142,787.3571127,787.6037648,834.1332309,925.469889,953.8587901,963.2357119,890.6397266,937.3552884,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4616.255025,2769.082225,2502.547949,2634.72324,3344.917158,3697.031866,3664.176598,3713.706372,3885.834688,3981.786272,4236.266081,4224.295506,5787.521021
Germany,,,,,,,,,,,,,,,,,,,,,13545.79058,13967.36914,14508.88975,15090.26692,14996.97064,14887.67955,15626.91791,16114.4001,16625.0955,17366.30159,17553.42607,17466.27829,17298.53201,17657.99198,18094.5848,18400.92282,18883.52716,19128.12007,19736.55697,20342.22546,21278.59594,22129.12928,22482.16514,22164.45875,22625.80025,22945.9118,23071.69671,23423.66137,23865.47339,24317.21311,25061.34024,25319.45925,25257.92996,25188.58261,25609.71551
Ghana,,,,,,476.1518583,575.6892871,596.5750036,633.5040524,505.0782583,372.108784,456.2842998,661.2859063,527.6273255,680.3559748,314.189371,677.0260739,675.7896892,844.6953171,828.7025024,1041.434394,1129.462258,1431.941325,1296.195012,1239.411912,1078.126014,1064.846239,957.5561237,1181.227335,1190.356209,1139.627266,1129.954861,1181.152575,1042.000917,1079.172759,1014.21814,1093.750123,1091.425156,1136.061691,1151.591493,1153.169845,1155.56486,1195.393714,1194.327605,1166.887482,1224.156119,1224.666968,1127.330921,1205.241052,1220.758419,1392.200688,1372.606855,1449.276543,1440.343102,
Greece,,2928.171309,2839.202368,3081.433862,3168.186989,3314.982556,3583.85251,3809.188889,3962.457616,4081.88932,4156.21798,4588.490495,4643.567376,5095.190532,5493.133568,5991.488649,6313.783629,6626.256349,7040.972531,7686.171389,8239.79303,8842.958661,9697.452386,10434.82265,9692.804044,10216.36813,10792.37994,10969.01259,11600.51412,11823.66551,11771.31654,11479.41903,11285.14022,11107.47618,11272.43772,11501.33196,11515.04063,11222.6821,11678.23797,12070.46386,12003.67219,12280.41809,12252.57535,11929.41941,12046.75182,12189.20279,12383.99441,12748.92224,13103.87138,13483.11345,13982.3855,14592.54034,15089.19883,15786.65627,16490.49922
Grenada,,,,,,,,,,,,,,,,,,,,,3015.475964,3049.464949,3081.831961,3121.637386,3181.828702,3237.475062,3278.313241,3346.982542,3567.211587,3402.893733,3539.526035,3326.067803,3547.600699,3706.697311,4052.005231,4360.156565,4466.327892,3660.183293,3822.753024,3976.593448,4202.686948,4318.454258,4528.683664,4456.172519,4483.22191,4692.14581,4796.368118,5011.172639,5410.163044,5566.161459,5896.240224,5961.623428,6099.71624,6140.707997,
Guatemala,2274.804696,2279.287587,2320.188797,2315.618016,2273.500996,2187.506156,2240.020399,2288.58242,2381.840629,2463.939823,2492.782825,2575.445735,2567.687449,2646.31287,2662.168968,2699.526764,2805.754824,2815.237155,2951.562481,3090.525904,3151.931323,3184.248081,3406.234721,3484.918669,3513.162609,3551.906612,3565.722763,3707.034609,3764.091275,3930.557448,4067.209687,3958.756678,3810.186922,3703.770894,3604.094352,3531.622199,3478.392564,3404.54575,3445.046204,3477.979245,3500.201144,3491.932487,3447.152996,3508.594115,3546.324962,3607.872656,3663.590685,3654.146695,3743.091849,3823.792657,3859.466837,3828.82164,3782.924593,3804.811009,
Guinea,,,,,,,,,,2688.640828,3066.504798,3218.025454,3093.701656,3142.28843,2806.517761,2865.410576,2851.38073,2748.713991,2728.026448,2637.498323,2319.104441,2373.714111,2335.21929,2310.494849,2379.544474,2398.358817,2560.132278,2434.226256,2516.406977,2463.246028,2545.543869,2464.100731,2474.173728,2297.451899,2163.186384,2107.265182,2146.411152,2146.250576,2252.838312,2233.22659,2196.486339,2157.70947,2188.242201,2206.929882,2129.685014,2261.17299,2322.975588,2392.089793,2542.752484,2553.33467,2546.121766,2720.616189,2853.024067,2887.813134,2933.589997
Guinea-Bissau,,,,,,,,,,,480.3688605,471.9309575,467.6833433,546.7275375,587.2684001,630.1153175,568.0631992,640.6815971,661.2582578,729.7720638,690.0551401,678.395527,625.4893784,632.425543,663.8212539,761.4637526,719.1351611,705.9288214,651.1994497,655.5967699,505.3727262,635.6962603,631.3520004,632.2690319,654.8164367,628.9383358,634.5641351,619.7777018,603.5866861,639.0389112,641.8409262,643.8607495,454.2530407,541.027748,623.2337289,631.5311957,666.9740931,671.3166613,492.0333473,543.1353085,762.4011596,576.668433,548.0861353,582.7541967,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3733.181638,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,1768.000275,1817.842701,1769.330975,1794.141,1844.717263,1871.200409,2106.665826,2141.459747,2272.082747,2339.14251,2611.871107,2557.223405,2328.62959,2277.795983,2283.331191,2264.739518,2199.272396,2119.817595,2160.361308,1944.638973,1950.35009,1905.386381,1780.794355,1898.428337,1711.772241,1912.453159,1872.996166,1882.291738,1931.096207,1933.864149,2069.287642,,,,
Honduras,1764.039448,1755.484965,1655.796915,1725.4231,1529.656292,1506.87315,1721.252766,1696.846389,1765.953935,1806.64458,1719.18246,1709.509529,1704.971675,1655.066785,1694.966064,1802.144258,1819.142769,1805.036144,1876.247982,1837.085278,1847.766781,1999.344288,2074.667449,2077.173285,1861.034665,1959.741361,2097.843103,2135.827941,2250.14729,2336.458746,2303.310263,2404.659561,2445.539413,2344.717017,2298.244711,2349.987474,2341.45949,2383.871571,2380.871742,2445.057246,2365.745291,2305.164635,2362.030296,2330.275943,2168.688373,2213.885652,2283.86661,2332.235774,2332.873967,2163.784353,2239.655549,2258.045669,2294.024276,2291.674841,2313.307624
"Hong Kong, China",,,,,,,,,,,3264.235872,3355.643071,3663.944187,4360.388794,4799.477217,5458.515105,5875.427791,5821.100415,5955.756691,6528.33981,6988.342209,7475.320262,8043.130726,8797.709004,8639.018285,8655.968399,9555.903193,10715.74258,11741.6442,12339.39566,13326.3987,14195.96669,14460.72652,14970.49176,15968.70095,16080.84693,17412.23811,19354.21605,20756.39855,21176.4827,22003.35454,23192.33352,24495.76749,25617.34508,26623.33257,26885.07348,27157.186,27917.89856,25487.06871,25357.56145,27236.15247,27021.0532,27159.81784,27655.80709,29643.87967
Hungary,,,,,,,,,,,,,,,,,,,,,5725.251421,5871.911194,6419.391103,6880.012419,7054.375062,7235.409186,7501.25276,7987.388605,7885.664506,8523.089496,8502.617221,8779.379666,9080.711844,9197.585351,9475.473335,9554.433056,9768.989786,10155.71198,10330.55107,10325.55051,10086.90075,9017.964177,9035.047651,9541.325306,9407.88894,9533.654746,9595.193612,9999.803331,10403.44328,10822.46862,11382.94974,11948.43222,12522.60709,13016.20923,13641.62674
Iceland,6282.280423,6119.133629,5893.735272,6664.584876,7151.832403,7788.528919,7795.131337,7617.530407,8168.762994,8216.420704,8252.304733,8084.756415,8527.769799,9308.469029,10139.5627,10730.0616,11483.56953,11297.48355,10450.70113,10514.05432,11124.61062,12813.77119,12914.24299,13845.05156,14912.34575,14675.39923,14753.6556,16258.27327,17065.5029,17721.72106,18557.96472,19150.4565,19347.10598,18679.37645,19232.19421,19644.07246,20626.21933,22196.79524,21919.45161,21703.97648,21735.33844,21508.71404,20617.9496,20589.62738,21181.28598,20976.73464,21888.33024,22837.78995,23999.39111,24719.54744,25794.62665,26309.36249,25497.94144,26351.55511,27913.49488
India,741.902554,726.2894555,771.847208,798.7308135,809.5039429,808.1656914,798.6342563,802.3324133,843.9111159,849.3306069,870.3672191,894.4364459,918.9377546,983.9775724,1023.176979,992.7881311,966.1395566,1018.072756,1061.0537,1152.437034,1154.43247,1186.970189,1158.855047,1163.066122,1126.212928,1178.52825,1204.23224,1252.114722,1316.092822,1284.752208,1349.833243,1391.919171,1427.25629,1456.034914,1518.806341,1580.840002,1632.731809,1702.01663,1784.517347,1841.315486,1897.211992,1866.609493,1896.813035,1932.866438,1976.037888,2103.859121,2180.872147,2244.098697,2367.840716,2593.221632,2643.850741,2724.292655,2847.068155,2989.766991,
Indonesia,,,,,,,,,,,1098.518965,1113.685691,1061.712245,1026.085152,1068.094496,1018.746051,1055.970402,1017.830323,1119.399489,1180.768564,1279.187467,1364.433253,1514.275218,1693.673546,1715.736391,1733.784199,1863.452753,1978.188753,2067.058785,2066.56968,2082.793123,2075.142261,1960.391859,2095.919561,2245.642344,2213.989004,2317.184132,2416.485954,2610.867215,2792.848447,2917.41614,3123.352382,3313.175976,3466.983721,3575.542914,3695.108164,3907.014378,3958.075147,3604.029196,3595.568357,3771.861051,3826.473137,3975.575946,4121.021815,4064.211176
"Iran, Islamic Rep.",,,,,,2661.350508,2570.164808,2664.947986,2746.24222,2877.860941,3269.311762,3200.373123,3392.556147,3472.138413,3586.031398,4012.602163,4172.58683,4359.143109,4738.598522,5042.631193,5796.847017,6546.952197,7149.460176,7796.70215,7394.78688,7066.904919,8271.193035,7005.400506,6608.932251,6322.430258,5432.893242,4554.196419,4779.639792,4984.572846,5218.651663,5205.995292,4583.20623,4280.992536,4073.983664,3985.590254,4419.727761,4620.394036,5059.05958,5141.708366,5505.12764,5258.01263,5373.139529,5416.023715,5693.852101,5816.089969,6045.525961,6014.863187,6358.090006,6398.133757,
Iraq,,,,,,,,,,,,,,,,,,,,,2003.474632,2098.508903,1897.611723,2137.543729,2141.673652,2222.806053,2827.238653,2755.993853,3284.502735,3655.985348,3386.128744,2032.931659,2115.874232,2811.537832,2622.227501,2380.488439,2628.355604,3026.086163,3002.716775,2712.937907,2538.240686,929.825033,1147.941807,1651.814013,1655.627245,1343.386304,1975.398092,1339.988175,2129.725299,2642.918327,2445.348872,2469.414999,2274.878582,1229.617835,
Ireland,4478.958134,4613.432438,4590.268195,4756.596008,4824.849491,5045.019216,4948.366904,4873.754223,4880.510096,5141.409316,5379.741043,5638.537585,5819.203203,6069.946177,6281.638561,6377.555452,6392.847439,6712.04829,7256.026478,7661.177781,7752.422147,7952.454508,8431.722686,8823.767168,8973.89719,8982.19745,9144.434399,9701.23371,10309.06288,10635.5232,10615.11826,10832.81701,10726.10404,10537.99503,10768.10022,10984.21919,10981.18026,11271.82063,11739.28685,12447.04822,13462.47869,13663.6854,13988.88678,14283.13463,15059.63813,16485.43628,17773.66642,19647.90857,21023.07795,23189.97039,24947.55436,26140.25704,27219.00392,28246.98448,28958.08182
Israel,4620.096771,4936.312565,4464.862439,4265.297343,4837.786592,5320.149694,5780.753538,5717.202598,5873.222893,6291.46943,6526.058826,7106.11001,7521.296716,7917.666106,8339.541924,8700.16339,8406.827853,8419.782425,9775.520851,10888.43819,11455.26019,12247.3878,13086.87224,13975.91274,14236.7572,14493.28177,13937.531,13494.13625,14014.99536,14346.81519,14014.89421,14580.02362,14705.84793,15009.82767,14692.6479,14710.4683,15152.29759,16194.22048,16275.13449,15911.14178,16537.60362,17163.10985,17677.55107,17996.44812,18824.27202,19659.54545,20328.50923,20508.69061,20780.06989,20962.86787,22236.90018,21600.7833,20945.72357,20715.37316,21241.82577
Italy,4273.951741,4615.603529,4779.675978,5076.697741,5259.24278,5560.472969,5759.545743,5960.807144,6194.008221,6571.306494,7103.059376,7639.766031,8065.476661,8466.92322,8611.100236,8822.395416,9306.297586,9886.68132,10486.83185,11064.56624,11592.50753,11718.61428,12004.20352,12733.20062,13336.2788,12943.36409,13736.56787,13973.4947,14419.00823,15191.21209,15725.39489,15790.58458,15866.83461,16030.78297,16481.3916,16972.17772,17405.09321,17925.97235,18629.15933,19169.57081,19531.77577,19781.6744,19887.23408,19585.19291,19980.72609,20538.17421,20723.74841,21129.23125,21509.15653,21867.76898,22487.21248,22831.64737,22895.84114,22923.65762,23174.32489
Jamaica,,,,2234.54106,2444.259983,2647.304668,2882.149507,3178.299174,3204.544018,3262.775071,3393.698971,3526.051739,3577.397352,3759.277054,3884.8502,3951.145031,3916.079328,3850.716191,3830.525032,3924.792402,4409.880997,4497.872753,4880.955591,4854.187262,4676.515414,4452.064698,4352.93107,4274.063849,4232.314405,4026.156289,3728.649693,3761.416754,3743.26275,3912.620501,3798.23656,3619.37936,3620.058612,3966.014586,4015.020159,4244.026469,4445.568259,4418.69293,4585.126298,4742.854075,4714.074622,4681.964792,4611.753573,4560.769297,4680.152337,4541.354787,4520.838236,4579.564407,4588.358986,4584.389872,
Japan,2391.684715,2594.21518,2847.460132,2995.733821,3111.918524,3303.571978,3497.611012,3709.445998,3845.81663,4148.789819,4631.871655,5154.487622,5550.805866,5974.903417,6598.978472,6879.469798,7539.241858,8304.908766,9286.265396,10321.31364,11325.5846,11686.5119,12496.55578,13359.79285,12973.67397,13166.80075,13530.83322,13966.45225,14597.96655,15290.26418,15519.06179,15845.01288,16148.4818,16271.96965,16664.58108,17434.24148,17870.04363,18467.77589,19669.33175,20635.44924,21640.19114,22287.7145,22395.6124,22356.32106,22500.46918,22876.63837,23608.37719,23942.3742,23582.29657,23463.75299,23970.56282,23947.58216,23759.97642,24036.44137,24659.93202
Jordan,,,,,3185.815615,2621.858866,3424.021506,3489.316288,3957.062122,4202.431339,4187.208069,4581.040676,4454.606993,4615.388165,4875.122991,5230.816,5214.416154,5307.230053,4962.867793,4870.974916,4249.227752,4022.478188,4069.890639,3802.376548,3645.761713,3272.972491,3580.11553,3382.928555,4001.926081,4227.32913,4428.933696,4244.90508,4461.693629,4572.388458,4968.591457,5058.060463,5363.523161,5272.317111,4958.15202,4062.90325,3538.227234,3407.904561,3383.643361,3411.548117,3601.885985,3783.083807,3764.326662,3891.053672,3912.245683,3892.021624,3901.836943,3905.215645,3922.480687,3742.015699,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718.119402,7087.176307,6362.042776,6352.1357,6252.903259,5876.734698,6091.626646,6519.555709,7192.938595,8493.496344,10169.14856,
Kenya,1096.476351,1263.234479,1150.299737,1059.557926,1106.952948,1122.38219,1155.874179,1183.438027,1173.434117,1100.523168,1158.731534,1110.536012,1176.152846,1182.078273,1222.859456,1242.85052,1327.736376,1337.510493,1255.218743,1294.891249,1134.335328,1156.827492,1205.585758,1160.683413,1229.119522,1180.993437,1143.485382,1174.699974,1237.382791,1251.023224,1260.591349,1236.983007,1236.792441,1194.651171,1194.948435,1149.14411,1236.604591,1266.332468,1306.910527,1332.894731,1350.7587,1335.805867,1279.559115,1257.644919,1260.743853,1280.939581,1301.440796,1304.749986,1285.487302,1253.309761,1267.716073,1257.291655,1216.066512,1217.741785,
Kiribati,,,,,,,,,,,,,,,,,,,,,2161.557049,2077.978228,2284.002516,2720.0604,3881.536873,4029.227574,2903.654369,2725.596192,2715.176971,2421.209757,1291.277753,1310.848728,1421.765506,1263.217428,1340.837943,1260.702624,1245.492219,1174.021438,1349.514374,1199.725074,1191.757506,1239.806804,1187.476117,1175.762812,1241.25551,1275.49841,1280.754475,1320.685497,1353.165716,1443.647748,1432.16137,1424.61217,1405.110808,1423.857285,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,410.7934743,446.046299,492.0214764,536.7848653,580.9190536,635.6185011,700.4113966,774.3460719,856.4112327,935.763117,1011.843249,1079.583432,1131.026583,1263.950283,1415.652693,1503.365157,1562.901539,1689.256675,1737.930437,1768.575499,1788.475774,1668.709991,1721.677121,1586.311796,1534.494673,1454.913636,1396.907679,1312.76145,1306.200294,1387.825813,1378.952731,1419.143055,1420.418808,1428.689253,
"Korea, Rep.",,,,1448.609181,1441.385515,1513.575557,1528.339637,1591.575533,1593.161518,1571.551288,1544.148136,1578.831662,1568.328701,1667.286857,1753.835267,1797.577516,1972.892431,2035.426032,2213.4463,2473.209958,2621.30979,2787.859738,2870.107813,3131.610438,3359.168884,3458.244299,3757.704773,4082.757471,4473.581308,4787.234168,4556.590401,4725.198938,5007.29642,5456.969094,5887.0567,6193.516777,6741.890022,7419.790437,8142.149852,8689.018915,9591.267715,10395.73943,10809.26592,11395.64003,12321.32439,13269.6907,14115.32816,14550.82477,13264.8461,14570.19874,15702.27007,16160.21836,17133.16046,17595.13714,18420.60912
Kuwait,,,,,,,,,,,,,,,,,,,,,64639.94447,64336.2816,63452.62068,54963.35213,45986.37728,38648.10736,39619.91562,37457.94209,36595.43048,39803.02804,29583.91099,25125.40774,23297.03006,21287.55573,20708.91861,19946.50787,19705.26035,19883.27146,19587.31337,22448.7715,16421.50999,21862.50117,25301.33227,30996.76708,30135.60857,30567.17963,30505.54863,28782.79902,28025.92132,25350.95465,25135.36948,24518.01876,23137.10582,26098.34276,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3493.179797,2762.620183,2513.966488,2693.484387,3181.559304,3259.57997,3266.863317,3389.278255,3516.763222,3463.051536,,
Lao PDR,,,,,,,,,,,,,,,,,,,,,999.2557744,1017.309053,1035.096009,1001.832921,999.1704494,979.0698621,919.7938694,901.6342359,829.2576691,877.751478,892.1051393,969.0185794,1005.273005,990.7581472,1013.199824,1126.045605,1144.335918,1084.351067,1122.117809,1289.749395,1309.414905,1315.281389,1347.925118,1324.966087,1360.393562,1371.76774,1409.87074,1432.54352,1220.65744,1277.009865,1257.347442,1263.803147,1423.894869,1412.359955,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6926.146307,7011.693584,7051.905514,7216.414419,7835.253239,8117.502219,8424.003922,8998.110537,9558.114874,10215.86602,10810.79957,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3638.214615,3484.558563,3402.8073,3467.581528,4699.129079,5334.190843,5752.720708,6053.782845,6261.481826,6174.898198,5657.047594,6030.484182,6085.020394,
Lesotho,,,,,,,,,,,596.8668247,609.8249766,662.9260877,694.7292011,720.9851298,727.3193315,688.5936146,761.8819272,733.1712697,724.1992619,712.1050183,718.7417746,725.7681111,878.4841105,920.1552999,798.3796832,836.3085956,940.970818,1203.437013,1005.933074,1229.463516,1210.752482,1198.415715,1206.10367,1170.148561,1209.450517,1305.077623,1319.765684,1351.224972,1313.243998,1317.860557,1251.32906,1221.869074,1358.938797,1432.560452,1497.279555,1582.686245,1695.847745,1840.969701,1822.395009,1833.901733,1838.14479,1772.814713,2004.578656,
Liberia,,,,,,,,,,,,,,,,,,,,,1981.797308,2040.25845,2015.40853,2123.676968,2009.332099,1605.543579,1689.226774,1653.125965,1753.959558,1778.194034,1693.025232,1739.429302,1824.143704,1606.663908,1674.059758,1630.827756,1515.469464,1426.351792,1339.513186,959.0424614,551.5930576,547.5708025,338.7904973,218.4908386,171.4224644,170.554977,186.9803365,332.1647898,372.5620495,408.841862,472.4369509,486.8204626,494.058089,342.4664229,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10334.85007,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7650.854299,7072.875421,7553.268426,7876.320241,8306.872343,8842.168916,8675.111302,9160.768384,9644.4201,10239.25112,11152.77727,12394.41282
Luxembourg,10978.63861,10215.45913,10806.04342,11113.14242,10913.23805,11334.30283,11840.42553,12480.35725,12511.6967,12480.146,12888.32058,13291.35936,13361.24319,13417.7424,14537.67087,14594.84845,14587.97459,14454.43626,15077.96633,16673.81016,16819.63506,17098.16592,18014.82564,19294.05791,19944.75786,18445.76827,18794.82786,19070.17385,19763.88198,20280.62027,20382.12093,20235.04559,20424.94627,21027.27773,22331.524,22957.12774,25160.03701,26037.19102,28190.47596,30727.20354,32032.85845,34509.09955,34587.42412,35493.45375,36420.0852,36330.50883,36964.36017,39692.85413,42080.9794,44766.67121,48217.27164,48223.82044,48592.05664,49261.34243,50751.13218
"Macao, China",,,,,,,,,,,,,,,,,,,,,7004.746869,7437.572097,8036.848908,8682.907955,9389.797261,10148.92747,10974.04384,11890.27512,12773.52836,13613.02528,14291.10587,14958.79887,15587.18323,16028.89709,16799.46296,16665.39156,17245.79629,19152.35872,20110.13077,20730.37731,21867.14017,21615.45247,23164.06572,23873.36268,24460.47559,25260.86638,25316.58571,24944.31967,23836.33015,22980.09024,24224.40535,24684.79679,26853.03114,30419.52601,37956.20099
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5522.235028,5337.009123,4935.235475,4892.12622,4846.685899,4710.566031,4761.022889,4759.852405,4887.939166,5110.222174,5270.72647,5188.765288,5092.702353,5252.852656,
Madagascar,,,,,,,,,,,1260.007589,1274.254408,1301.801875,1264.431826,1267.606419,1235.920706,1240.509404,1258.368306,1319.956605,1334.413119,1381.627178,1394.529606,1383.737025,1315.325306,1293.846495,1267.609129,1167.951205,1172.722665,1146.075322,1207.188201,1175.188552,1056.537136,1018.183961,1012.893533,1002.020316,996.3614589,976.7358214,946.5270953,943.9507518,953.0357408,916.4171844,937.0662321,879.4937436,872.7209685,846.50111,842.3432382,845.3175089,853.7656268,858.1969086,810.9666793,822.8821215,833.7307671,727.0414367,758.5269647,750.5642189
Malawi,,,,,421.4724819,428.9049548,437.3914876,453.2775259,447.8775123,451.3805592,457.5864552,458.8599189,465.9873468,448.8554546,457.7284842,492.7460551,527.4204051,545.692769,512.630791,525.3567447,470.9287527,515.0713615,562.2412795,579.3908399,608.6740468,612.2854608,632.2096999,647.6738469,664.0713038,709.9247843,707.2318141,701.0172256,698.9535892,713.1956411,715.1863754,741.9549425,741.0653863,717.3623152,680.5965289,684.5737566,682.275912,686.0258787,602.4777203,668.8543651,819.0577676,828.0967725,810.9392149,835.3194239,827.1552518,832.0973054,838.9891497,756.4434513,749.8738764,770.4556547,803.3509059
Malaysia,,,,,,1715.305927,1744.199696,1718.335724,1654.679795,1776.070246,1829.295999,1910.082611,1962.544244,2046.589977,2109.92628,2206.852753,2315.667068,2330.611946,2436.067247,2505.936837,2571.758861,3083.640709,3299.907518,3573.627987,3755.62696,3762.841498,4115.523475,4295.425467,4468.939835,4751.738205,5009.627942,5206.468481,5362.949168,5549.620128,5795.826004,5688.129709,5658.840875,5840.297707,6161.556208,6555.391572,6924.156964,7290.065375,7818.344028,8271.449177,8788.501553,9335.192801,10071.78521,10496.4156,10240.99557,10851.94209,11405.5024,11335.00712,11601.39643,12130.75121,
Maldives,,,,,,,,,,,,,,,,,,,,,626.648753,671.0448964,720.6983514,782.9363503,852.1386385,917.4035107,987.8971278,1066.904221,1188.492561,1276.425479,1467.516316,1588.883678,1491.435624,1676.510137,2056.142255,2247.107219,2374.56484,2496.740003,2621.142738,2764.867074,3103.247238,3225.868079,3310.690059,3395.622173,3499.906598,3617.262667,3866.962956,3970.234191,4201.83673,4085.328399,4530.144554,4463.650358,4652.605241,5153.898543,5085.686426
Mali,,,,,,,,,,,786.3923408,758.1040128,724.9195733,750.4488813,592.4293702,614.8236715,617.4219915,590.8607228,622.4397994,617.532665,669.8305641,696.9656376,708.7822357,634.9893413,658.3758365,685.1328925,721.252384,746.3296781,766.3892899,796.2168331,818.608906,763.5946322,713.8549804,745.5990131,757.1658249,729.4374249,861.8042742,858.5469565,829.8650359,874.4412743,863.8947851,874.6612289,916.6157197,948.5920392,921.5094931,912.991718,991.966322,973.2509105,1105.330765,1119.293065,1046.71917,1162.512474,1130.203346,1183.741451,1182.766308
