Dependency ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Latin America and the Caribbean,76.96231903,80.57808719,84.94043171,87.78554034,86.23772361,82.48658311,77.3433333,72.94594028,68.32559772,64.92797561,60.15576121,56.36108599,52.8442916,51.44026939,52.00142335,54.29226152,55.77862913,56.85172819,58.73417239,61.23372144,63.96178044
Latvia,54.48911155,49.41613528,45.37827794,46.77300821,47.41570539,47.78242003,46.91653088,45.45293077,45.66471321,52.19162388,49.61279055,45.06015632,45.510115,49.69485785,55.94288754,61.11435593,62.19570039,60.42725979,61.53250287,66.12677379,73.98510893
Least developed countries,78.49636563,81.11627112,83.90503667,86.99206279,88.80395193,90.36841997,91.19038717,91.28750581,90.06901841,87.85325394,84.01144282,80.02435464,76.01524529,74.44354831,75.05022501,77.24303332,78.39782018,79.22360803,80.57752869,82.68616677,85.18632907
Lebanon,69.36881863,74.88311881,85.00608537,90.72049635,87.4519685,80.47891426,78.39341077,72.61410813,67.90758938,62.03854954,59.44854049,53.06905481,47.24236981,44.13508253,46.41394524,51.11268936,53.60063417,54.47457262,55.16458425,57.52371948,61.68209658
Lesotho,81.53206961,85.31533298,89.0417069,90.61000503,92.3196639,93.9916091,94.82612038,94.50879815,96.1534393,95.26652862,87.55021396,81.50085149,76.24904759,73.6011925,74.12175164,76.26724099,74.90458112,71.59664537,69.22481472,69.05426005,70.20418153
Less dev. reg. - China,73.76753738,76.79180959,81.21998532,85.17386631,84.81274471,83.02284078,80.61828867,77.96598941,75.03413992,72.16736856,67.36393324,62.99097822,59.09053692,57.82995267,58.50111474,60.50223091,61.83878994,63.01492132,64.70169189,67.15786431,70.08748359
Less dev. reg.-least dev. c.,68.28857633,74.13015601,79.41749243,82.99695978,81.81202962,80.01555509,74.35086195,68.14303157,64.51722993,62.87417768,58.87262671,53.90341939,50.40811313,50.32446748,52.40789569,54.53486629,55.061456,57.00370741,59.34717276,61.44423338,64.03868457
Less developed regions,69.42071389,74.91796872,79.9329524,83.45766692,82.60815989,81.18590913,76.23109776,70.69945077,67.37397857,65.78420337,61.9158362,57.18443991,53.77963931,53.60390937,55.4183227,57.24864521,58.85848892,61.07315182,63.55063755,65.98071895,68.92319859
Liberia,79.77257818,79.85722908,85.36949088,91.91017894,96.60289988,91.6377911,89.56672237,89.20117849,92.30720653,91.39202611,89.32899587,87.02700156,83.90267042,81.86576576,81.47363708,83.53485487,84.55729416,84.56090719,84.02435472,84.5208751,85.39340641
Libya,86.59018901,89.21022009,89.12489451,88.01859384,91.38677702,94.47474508,96.76256678,97.75090067,83.89965983,68.65169366,55.06820811,51.81038312,52.54407571,53.74211173,53.5266391,52.670001,50.97456562,51.15819787,54.49911024,59.64347462,65.43600096
Lithuania,55.66049353,53.31078768,51.07873627,55.37703884,56.29110137,54.81052306,50.44508263,46.58755644,46.2699095,51.80946192,51.2046028,47.07229828,44.93015329,46.89490317,52.29117361,59.80730564,64.32480063,64.71567669,64.27552133,65.07563478,69.90097038
Luxembourg,40.52403846,40.97230047,45.05211268,49.50245103,50.39979784,46.41302133,44.65359488,40.00964513,39.98433871,47.25750411,49.28045756,48.41172369,46.29453343,46.57413182,49.71474642,55.16838546,60.41381716,63.79843164,64.19024891,63.84704322,64.21805529
Madagascar,70.22656304,76.30413074,84.38784761,91.88538855,94.31216762,97.07937452,97.46811895,93.24239117,91.06374905,90.94118055,93.28612666,89.92560621,83.63597451,79.72028183,79.86611136,82.29711296,83.05813417,82.8154948,82.77364897,83.26348837,83.52339045
Malawi,94.70867209,93.45325502,93.0384257,92.70342482,95.65670152,98.24692643,99.49516816,100.8366912,97.24164241,92.6875635,95.76660824,99.2834423,96.1837166,92.91641094,92.42698905,94.92085122,95.49713552,94.16283616,92.67270314,92.77874857,93.28325627
Malaysia,83.85318878,86.93667078,93.88541741,96.61143796,91.40922706,83.66763041,74.50743913,72.7888319,68.72816655,66.23819776,59.59221369,55.5101766,51.32504603,50.68299885,51.56003449,54.06847973,55.91456018,56.58124084,57.14835425,58.19507401,60.50197642
Maldives,60.77998383,70.22039882,79.37320583,87.31800832,85.10970587,85.11793539,87.98332975,94.12512851,98.45424205,95.05131272,76.40297279,58.17163876,46.02764068,42.96462215,45.52533137,48.5509278,48.31607471,47.08942445,47.0846976,50.46980793,57.94453478
Mali,75.31870903,75.4618802,76.42193102,78.7683436,82.98219938,83.82539075,86.04481437,88.59884798,91.29693536,93.96740669,92.68420055,88.52939897,86.49231178,86.33204952,86.31965144,86.57163584,86.36767873,86.41841856,86.81342738,87.37918131,88.28653691
Malta,67.64,79.09022989,77.97356322,69.52696629,56.11606187,50.11229885,46.95546957,48.92878511,48.35070648,50.33287041,47.68600973,44.13958301,42.92900594,48.04891618,54.4508348,62.54506433,65.53332131,64.31065867,64.74278997,68.34714246,73.93305284
Martinique,73.31240188,81.39880952,86.7823765,95.32828283,86.07594937,84.86055777,60.01255899,54.06143879,48.53832284,53.70030327,53.59489117,53.81613769,51.94136425,53.36157931,57.36144914,64.81581757,73.35829038,78.13253667,79.76993834,76.94254579,76.72922167
Mauritania,82.44937346,81.70012499,84.31950248,87.54660109,90.87191942,91.43749882,91.11690868,90.26141212,89.30776027,86.32390501,81.50917222,76.27207517,72.09575707,70.45198507,69.73345667,70.55524191,70.86151207,71.23948934,71.95686702,72.98728739,73.97433022
Mauritius,92.11298649,94.40654284,95.86189871,95.53536111,85.91646181,73.24073641,63.9448422,55.72238859,49.98521811,48.51929354,46.66259954,45.35409144,42.17466871,43.32507052,46.9573353,52.55240413,56.28671049,59.5852734,61.70183026,63.58980452,65.27647835
Mayotte,62.5356613,82.01895827,94.15891663,102.8064993,106.8507911,112.9336493,113.3961011,106.7966296,98.43371932,95.45614992,90.95185461,81.88196537,69.88402161,61.46125712,59.85205523,62.32823636,62.94418704,62.09186092,61.27555526,61.34471622,63.00113711
Melanesia,78.86365115,81.62272964,83.88883717,91.2799989,84.25648245,83.17519046,85.25654901,81.40614984,77.07879748,75.39764118,74.5882537,73.08712288,69.69932773,66.82718274,66.40188424,68.13113541,69.65373948,70.11101107,70.14943008,70.11352767,70.72256969
Mexico,83.74273895,90.88192646,96.08689761,100.5829112,100.0693985,98.47804734,92.97207412,84.34423609,73.60128131,67.87343069,62.19956599,57.40782114,52.66539795,50.41499768,50.71752304,52.77532137,54.34080282,57.0676305,61.24745416,64.79818873,67.17149279
"Micronesia, Fed. Sts.",63.09411726,74.07415318,85.49031538,87.53229339,86.1273908,82.90002754,78.96409828,71.60303579,66.85033172,66.47926086,60.7407743,56.82333088,53.4899478,52.84090486,54.27599781,57.16194165,59.15720994,60.64621295,60.56519567,60.64376191,62.21784553
"Micronesia, Fed. Sts.",79.22765143,88.11910818,94.97054427,101.4598823,96.38925442,105.8819674,102.5676807,95.75722809,90.3578588,88.39031589,78.20133111,72.66873925,67.29810718,64.40273038,65.79676082,69.01370565,70.06904004,68.13038076,64.12697447,62.0451336,64.35199491
Middle Africa,80.86830954,81.66134316,83.17839289,85.67943658,87.80654356,90.30754192,92.61568915,94.9806659,97.2729453,99.05946087,97.36365219,94.92404443,90.52080144,88.7660802,88.4384861,90.60272481,91.27601838,91.28501439,91.61647571,92.66534818,94.1205042
Mongolia,82.09262288,83.78200136,85.0778432,86.31646402,86.99624998,86.93575034,84.99862158,82.38443154,83.26841781,74.37403156,61.84328982,48.16684652,42.13128763,41.73576686,44.80895568,48.38219586,49.54608617,48.85080179,48.97452447,51.92938396,57.37930021
Montenegro,77.16319135,70.97719213,75.17897499,71.43635859,64.87319086,58.83914878,53.35551858,49.4183586,50.11530854,48.37949967,44.98457163,48.57341982,47.06223947,48.48627882,52.50024818,58.45575123,60.98746501,61.07652718,61.17413333,63.35152006,66.73565199
More developed regions,52.79042061,53.50712183,55.89611958,55.22751752,53.52713449,51.12333906,48.71034795,45.94872046,45.35151962,49.75442401,48.5012369,47.80403051,48.05376632,52.41339359,57.7901089,63.39657296,66.73970053,68.37893731,69.93205065,71.98142554,74.38723253
Morocco,89.24577368,89.52822358,89.84855423,96.8968687,105.4830676,102.3448795,86.36769424,82.80728456,76.47587891,71.55722145,62.15522885,55.0631292,50.21169129,50.04907418,52.66509705,55.75347541,55.20631435,53.84107848,53.82192605,55.94727201,60.06997369
Mozambique,79.67177446,80.28020831,81.7481955,83.987623,86.12560603,87.54535184,87.73965393,91.01679374,98.5947852,89.28967117,88.0206819,89.6222523,89.25569455,88.66228876,87.29016965,89.08896056,90.19899424,90.31587411,89.89645423,89.55453923,89.5846946
Myanmar,59.85573597,68.78524916,78.42988749,85.01986411,83.42286097,82.44903128,80.04974034,76.9117559,69.76303002,63.51418371,54.97748828,50.32883777,47.16456463,47.34019138,49.44961534,51.62796511,51.89946028,52.29548464,54.07176137,56.96535208,60.56750711
Namibia,74.45447135,79.32290551,82.23603503,84.79254155,86.8770209,90.74669766,99.6101642,101.3485217,88.23269793,85.12546932,79.81486137,73.78933127,66.80745523,64.70646522,65.35816598,66.99255757,66.90359704,65.65144831,64.60222741,64.66193066,65.6463547
Nepal,74.03254803,73.81898977,74.65353699,78.58617851,80.75097837,82.05126314,83.124798,83.74501204,83.4460256,82.6650491,80.00896223,74.67080557,66.62248172,60.60319115,58.75346,60.03482154,59.66750682,58.60753597,58.41921735,59.6706832,61.4903518
Netherlands,57.24831161,60.12057272,61.67353547,58.35406448,57.11199489,53.47012226,47.75016831,42.22748403,40.89023725,46.18602131,47.38212741,48.14756604,49.21029407,54.21380102,58.94289155,66.09753876,72.81954307,77.35929287,77.4807591,75.22873397,73.64926682
Netherlands Antilles,69.54264183,82.45155868,84.46369842,80.73894383,70.55281588,61.70789994,55.77387985,51.73412853,47.52459674,51.2974337,51.344944,48.24405874,44.74875966,46.43596528,49.2124115,54.32194415,60.17546689,65.01078773,72.07694004,79.65002225,87.31648304
New Caledonia,66.84915941,66.84817583,70.40234923,73.71514724,73.98905291,72.56090171,68.9292088,63.40184386,57.28568784,55.578564,54.82091088,51.36955401,48.76703173,48.17858225,50.20133272,53.80219631,56.62274021,58.5540233,60.26345335,61.7087839,63.52303415
New Zealand,59.64467005,65.15270164,68.49315068,66.34553629,64.80351045,60.75511266,55.92065645,50.45716567,48.45408204,52.8706052,52.74106207,50.6860192,49.68920961,53.07179164,57.63372901,63.56940534,67.85494213,69.34057219,68.85527478,68.56303895,69.69368132
Nicaragua,84.11291656,91.66958553,99.32896032,106.560522,102.0440803,98.42895922,98.74891561,99.31084168,95.79567138,89.99589789,80.51169789,72.12298592,64.15867574,59.80190544,59.95585483,60.5186803,59.69906441,59.09132231,59.54994725,61.23744249,63.89321106
Niger,101.4504018,93.70869834,90.45403238,91.81945052,96.97296748,99.74585931,100.9045119,103.1255502,104.5117021,103.3843509,102.4034368,103.8320205,108.822911,112.3245398,114.6753596,114.2245904,115.5354399,117.0686633,118.3930229,118.8471895,118.6800671
Nigeria,80.49502021,82.04696416,83.76785614,86.30006669,86.69789806,88.10835117,90.13939494,94.23933972,94.44394629,91.80324518,88.09551141,85.66141547,83.47117551,82.48613452,82.63366009,83.80859871,84.0290922,83.89601197,84.25782212,85.36115454,86.72562007
Northern Africa,80.00323911,83.70530019,89.18277066,91.65755521,94.13026904,91.86791436,87.97632704,86.18342694,83.41987308,77.30340449,68.40084997,60.52213397,56.48651368,56.36434141,57.10909593,57.9142661,57.89439852,57.96946993,58.98571101,61.43889624,64.87690707
Northern America,53.10139915,60.36951872,64.64191195,63.79917729,58.81413391,51.90699002,46.97636938,46.08123284,47.11422198,52.1437768,50.85188971,49.19543039,49.05652455,52.51794599,57.67043112,63.60433885,66.98863612,67.35689911,66.68148961,66.68932448,67.61146416
Northern Europe,49.28432018,51.09022511,51.78573738,51.72721792,54.48143898,54.77708704,51.69568707,47.94363427,47.668804,54.04016561,52.80792593,50.99057485,51.01485603,55.3738714,59.7666686,64.28640396,67.64248856,68.981589,68.57724301,68.33441541,69.59793784
Norway,49.18642492,53,55.67375887,54.83870968,56.10242064,55.97914051,53.8282409,50.34184918,48.6988765,54.84736332,53.98207144,51.86285591,51.02167075,54.10854531,58.29558074,63.3446022,67.21982419,70.16358901,71.02441862,70.42955025,70.406921
West Bank and Gaza,101.3502254,97.43780432,93.53183639,93.25977573,92.70157471,96.51436054,103.133926,99.84056823,99.29798875,99.47797455,100.8053389,95.72989934,90.12465877,84.97011588,83.84600216,86.58370779,88.04206837,87.55296375,86.75715798,86.43238756,86.87690258
Oceania,57.6521737,63.43081056,66.48799353,66.29084838,63.36917866,60.98545634,58.09372459,55.04691704,52.86672241,56.16068267,55.62152439,54.34967371,53.82273467,56.27207729,59.74300034,63.83262843,65.99600273,66.20011531,67.26029133,67.62393192,68.63098683
Oman,82.61478006,89.66323526,95.7559516,101.177897,102.1805222,98.58078437,91.37908752,89.09551168,84.93490322,73.23094471,63.68735793,57.35602178,51.49628653,49.10066707,50.84520798,53.83645811,55.47991046,56.0615173,56.04596905,58.48889047,63.27603659
Pakistan,71.25709695,74.08520682,75.56175204,79.34920733,84.77305117,90.09419553,91.94417623,88.81965755,88.05275869,88.31054646,81.64545568,73.49292509,68.60474858,67.14232684,67.6572902,68.95149794,68.58075023,67.79026702,67.793584,68.95523715,70.97315876
Panama,78.82369648,84.39834119,88.64239392,91.83273334,91.88761813,87.94198558,80.61661718,72.22491602,65.66352728,62.72318357,59.79124473,57.11787399,55.39118465,54.7685001,55.37972787,57.55369259,58.99232623,60.2545119,62.16157089,63.54123345,64.67197424
Papua New Guinea,76.25000123,78.80968673,81.21779823,90.89357429,83.78600158,84.14638933,87.58346568,82.72828351,78.02398034,77.11104367,77.03246255,75.75858382,72.26492898,68.95985771,68.25188439,69.82413432,71.35600559,71.7747777,71.67310699,71.33218411,71.61885822
Paraguay,98.93661707,101.5993514,103.5417812,102.7162093,97.5508529,90.49482879,85.32740235,82.74664535,82.24336277,80.7158153,74.1826148,68.32977286,63.15762754,61.19004666,61.69132785,63.37103458,63.4648429,62.7530848,62.03697657,62.75070315,64.90153131
Peru,81.29518914,83.59856648,87.26903314,90.44328953,89.81361191,87.29698839,82.95363844,77.37408836,72.25546005,68.02486905,63.73630006,59.57880967,55.99340997,54.33489388,54.2180997,55.11684706,56.06920624,57.085338,58.3710724,60.27027902,62.13334308
Philippines,88.63741933,92.77604638,94.9636466,96.05423954,92.58160509,89.08229013,85.63532207,81.09434562,77.64662979,74.50498508,70.25153779,65.07620484,60.67875824,58.72266838,59.37275001,60.7228713,61.12747598,61.13360607,61.47380651,62.70013764,64.35645299
Poland,51.81442918,56.34485544,63.36357605,59.62500272,52.91019151,48.75275476,50.05945786,51.0694446,51.16197843,51.24868444,46.00736433,42.01468263,39.40447777,43.96624295,52.2438049,59.7752228,60.56266588,59.22792023,61.21728546,67.86068699,76.99847247
Polynesia,93.75030039,96.12145737,98.09666181,101.3700207,97.10121926,88.99841853,79.63949695,72.82240321,71.24279747,70.53131856,68.79691911,64.59505557,60.84333601,57.53473945,57.6246452,60.87341225,64.81402401,67.1315058,66.37780286,64.71339595,64.89385548
Portugal,55.81351807,54.41523119,57.30825289,57.46191338,59.47375637,58.34045649,56.41105627,52.03801296,47.21718032,48.41650723,47.63891764,48.49777062,49.34638777,52.2242771,55.5268639,60.25569803,64.68050903,68.90356089,74.55943894,80.64466958,84.22966897
Puerto Rico,88.06237219,88.83149873,90.23119505,77.95653991,73.1311433,64.61529751,62.78458885,59.22683781,55.12719806,55.56196336,53.85505471,52.19557979,51.50996086,54.41642412,59.26157777,64.76130921,67.64394578,68.47875605,68.99744811,71.47655245,74.48843313
Qatar,83.69421122,75.19939804,71.04772061,61.31899079,61.98158025,54.49817287,50.28194872,39.72566052,40.26205466,38.37342738,37.17530735,23.79347226,20.45241468,21.86459159,23.5342064,25.68041135,26.70164165,27.97441729,30.73721846,35.81921531,42.63816666
"Korea, Rep.",82.28553721,76.97091592,79.86343723,85.91094888,82.61013854,70.68122998,59.9986149,51.60766883,43.15099209,40.56486027,39.24187073,39.60228178,37.43880203,38.22279204,43.50028715,53.18962863,61.6831376,68.98882938,75.09277981,78.62135743,86.80406207
Moldova,54.0650347,53.61985483,59.67378365,65.48470246,60.9569458,53.97474528,51.08327919,51.54119507,54.84009201,55.29645471,50.57462653,42.97930005,38.41495989,42.14550982,50.92130338,57.0136713,57.72373981,54.85796569,54.67468591,58.61164519,65.44284717
Romania,50.0505829,50.25947068,52.53275474,50.78349856,51.11584854,51.65894195,56.51453106,49.53078334,48.76344105,48.08781813,46.80100495,43.79113038,43.02526406,45.29874726,50.11639583,54.42704824,53.54566274,57.52963238,61.94202326,69.63622285,74.61250585
Russia,52.61977026,48.50103499,55.32120201,55.89195294,50.32710586,45.56930673,44.75502304,45.51033714,46.51683982,49.95449777,44.01079539,40.59983106,38.65301631,43.82523798,50.65692844,56.95275454,58.24943858,56.92529036,58.71595692,63.44839476,70.12433145
Rwanda,94.32637076,94.6429384,96.52357832,99.14276832,101.6998245,102.7692744,94.50450964,100.3375207,107.0609572,108.1617668,93.9953282,82.25900766,81.22612276,83.42599316,85.09535461,85.78095426,83.86641396,82.03231566,81.91153451,83.62372027,86.74300908
Reunion,76.35700156,88.31790554,93.27341275,95.34245057,95.33372535,82.91930081,69.90412616,61.12577524,56.33472047,55.42699918,52.90291369,51.86294865,50.77966126,51.9328528,54.10552274,57.41298632,61.58989542,64.15165966,64.47572775,63.97110101,64.09281039
Saint Lucia,73.9662769,76.514499,94.60582719,106.202785,119.8065584,105.0828356,94.61310165,84.65570401,76.71567361,74.4050228,66.13914349,55.08106231,48.35771248,46.64120315,48.54056766,51.4949898,53.71011941,54.71378741,55.82943421,58.0631983,62.19301347
Saint Vincent and the Grenadines,112.639168,117.7717569,113.9191602,119.3152654,118.9103032,111.1042018,96.30781955,81.90070722,76.88143385,69.75038095,62.27882764,55.52185855,49.78618421,47.84973539,49.43122515,53.36314588,56.57044152,56.86913931,56.88493371,58.25681543,59.91274562
Samoa,96.00613335,100.1641231,101.1882713,105.2905253,97.41730227,88.71598265,77.87001161,73.9261827,80.25431242,77.21299046,81.59153322,84.32620607,77.21164226,66.98783376,64.38433313,72.36673738,81.34703405,82.0277179,76.07384946,69.09239054,66.50658305
Sao Tome and Principe,57.34171531,57.34199741,57.12737394,76.74915728,104.7584331,102.7844586,103.9104082,103.4287972,102.6327815,96.66876758,87.17575401,85.04795276,79.17948607,73.7317152,70.0329526,69.99897535,69.43513845,68.01181779,66.78406853,68.07175789,70.70556219
Saudi Arabia,82.61027369,84.64273005,86.98948709,89.21042093,90.59088634,89.23861852,88.59481857,80.46929115,78.72596167,78.33561057,68.6640791,59.51693413,53.62414333,51.49634871,51.91648521,54.64531371,56.94006529,58.83656243,60.11791312,61.91182176,63.08869929
Senegal,81.42576419,78.37171036,78.62367311,81.42823254,86.52366292,90.44645882,96.10649188,97.93486433,96.90896614,95.53038871,92.26158623,88.17006618,84.2106605,82.38468883,81.8117498,81.83407377,81.14503456,80.71377335,80.93823237,81.74343633,82.68921984
Serbia,53.70964158,53.54069772,54.43467238,52.36515975,48.04583612,49.10725826,49.06681766,46.0811305,46.59766424,50.31718272,50.48885712,49.64525568,46.94292118,48.94563244,53.83826909,57.85653763,59.16080854,60.08154895,62.0594011,65.52873214,69.36044503
Sierra Leone,73.40957827,71.28098817,69.78561112,69.6526376,72.67815329,75.96022293,79.42528786,81.67302092,82.05996922,80.4775863,79.14884999,80.67536167,82.86366065,83.2589472,81.2017736,80.84648922,81.06062436,81.46969584,81.96526449,82.5285766,83.03300117
Singapore,74.29794521,76.68703327,82.24633628,85.74685301,72.25091636,57.94896958,45.82465759,41.11233422,35.82057807,39.94602698,40.75391253,39.02091523,34.7339371,36.90897183,45.5951845,60.07172657,73.97564545,81.98535791,82.10246854,79.04160694,79.37723469
Slovak Republic,53.94069013,59.61236694,63.04226919,62.6106945,55.52489114,53.69548786,55.17512419,52.61409284,52.05556148,50.38990083,44.91814153,39.88096042,37.81490777,41.4412529,48.6444252,54.67701865,56.3501058,56.32265583,59.62857056,67.20352875,74.77373096
Slovenia,51.15579973,52.0244538,52.66522376,52.02791926,49.70739753,51.12068208,50.17898162,45.8014435,43.72040357,44.36425045,42.70160476,42.29742827,43.33001595,48.51399962,56.48597139,63.1152177,66.50096207,68.35332427,71.40563827,77.25471165,82.45374702
Solomon Islands,80.07028112,80.77945084,82.88148722,92.55617978,93.80794102,104.3498149,103.0399331,101.9094556,92.64743961,87.36194604,81.59824495,76.96666567,71.77437456,68.25117501,66.80082239,67.30699763,67.27302208,67.14609823,68.00009125,69.09687367,70.42613601
Somalia,77.86100387,82.53852967,88.49357968,92.75968018,93.62652524,94.81582816,96.12724487,91.99559167,89.52101476,85.42960199,88.39531903,90.13326166,90.83469208,90.43441255,89.73922204,90.91258819,92.55595872,94.16898825,95.29589201,96.25775446,96.27538433
South Africa,72.44175465,76.79290629,80.39265784,83.42179538,82.72700022,81.47091567,80.03884814,76.65461174,72.05556969,64.87913002,59.40158261,55.59127249,53.64392289,55.27172284,57.47268343,59.97804627,59.31361443,57.67589804,56.57005726,56.4308901,57.08686961
South America,74.81150998,77.90740555,82.27397755,84.56353986,82.23400338,77.66411681,72.76368155,69.46589425,66.12868558,62.7274912,57.92581111,54.38300644,51.27212513,50.05383468,50.63484983,53.12975135,54.88549521,55.89359727,56.96250574,59.55165507,62.66846281
South-Central Asia,69.24989899,73.33263013,78.15430456,82.32661951,81.04331536,79.53562848,78.12345702,76.54498243,74.61281057,71.99004314,66.59540796,61.30378999,56.27414932,54.28053161,54.32231605,55.61617135,55.92839707,56.06813621,56.91635911,58.86973131,61.45515853
South-Eastern Asia,72.80981484,75.25649977,80.83538798,86.71736231,87.23147887,84.30277683,80.00064678,73.6847668,67.63340001,63.56087189,58.01817661,53.39277938,49.41202503,48.53509437,49.77234645,52.58105038,54.20603841,55.44851207,56.63073064,58.66893128,61.17036335
Southern Africa,73.33734715,77.6792548,81.41461,84.50825783,84.00586411,83.01555303,81.99464389,78.99937249,74.46364895,67.54117017,61.83120961,57.71807546,55.34120191,56.59928781,58.66314548,60.96417046,60.04012861,58.30557197,57.71625909,57.64589324,58.45900864
Southern Europe,53.09637286,52.09506802,53.44986312,53.31331675,54.99215047,55.36264467,53.14385892,47.48011467,44.07805732,47.48423525,47.85802974,48.4995211,49.35318956,52.99367201,56.7310213,61.11716066,65.1546736,70.08013683,75.99281139,81.90659693,85.01884227
Spain,50.81761231,52.25130276,53.56849756,54.06500009,58.06707677,58.06370442,55.9756607,50.85240989,45.86550968,46.93814403,46.19955143,45.52952255,47.28640432,51.51659102,55.17926817,59.31495924,62.78251162,67.90503264,75.60649731,84.6764066,89.07166994
Sri Lanka,88.31216154,83.70765754,83.65903872,79.13981689,75.38304713,69.44317781,66.25088077,63.11622445,58.58706244,55.14315082,49.21153672,45.81442596,47.09753313,53.12198739,57.11017819,60.25219638,61.70684081,63.06073651,62.38534257,64.16344867,68.43386119
Sub- Saharan Africa,81.94066897,83.43459331,85.26495112,87.66480863,89.48588213,91.15788242,92.38044579,93.23520068,92.89781651,91.04852322,88.53403808,85.984871,83.47167347,82.83462161,83.40940355,85.0198686,85.47437064,85.52095643,85.97477875,87.09505072,88.51989261
Sudan,88.60147343,88.78550206,88.80529934,88.13813426,89.07712266,90.19317188,90.92195855,90.31750203,88.21587484,86.1907422,83.25973588,79.03382133,73.38534627,70.04798723,69.7601695,71.7905145,72.36887876,71.98251111,71.63245003,72.08683108,73.30979851
Suriname,83.62068966,90.76923077,105.7142857,108.1285444,108.2068578,105.5211322,77.99061134,65.78190115,59.90312313,59.7001964,56.97120392,55.93931659,53.93253149,51.28225499,50.65503541,53.81136333,56.84492123,57.81752541,58.14201866,57.69776099,59.12510709
Swaziland,83.75207347,88.28951085,91.75060269,95.61419326,99.1612565,102.4660816,105.7278453,106.267236,102.6858639,101.2385,90.34531149,82.06916429,73.00876485,71.09407165,72.9607355,75.66517635,74.37085875,71.08278337,68.4038651,67.71146925,68.78807328
Sweden,48.52719845,50.55848261,48.55233853,47.49756573,49.15537808,51.56895311,50.99156724,48.62941103,48.94079337,57.02942446,55.34379004,52.80003546,53.36906819,60.04745843,65.30381574,69.36999691,71.53542878,72.01814609,71.48298311,71.28366963,72.04902765
Switzerland,47.75456254,49.97265684,49.7857556,50.51286499,51.42855362,50.68193652,46.64256675,41.79741584,40.81555251,47.85212086,48.5835583,47.2981263,47.9771648,51.48165347,56.4813104,63.50864543,70.21224461,74.15267106,74.34981452,73.76631303,74.59490485
Syria,82.13101195,90.7394089,97.79213668,103.2253725,102.937946,104.1888894,106.7790759,107.6575874,103.7139731,91.65256854,77.41932919,66.70561399,61.2413304,62.47101669,62.32890798,60.96592065,59.22477325,59.45617497,61.33524418,64.19211001,67.25815835
Tajikistan,61.04459188,62.1869044,78.80641999,100.5959049,105.4158202,98.7474786,88.69179057,85.3294529,87.14798996,90.45899049,84.88080773,76.43583596,66.51062573,62.47181229,63.59482656,66.55147853,66.68180317,64.22063679,62.59819899,62.7667278,65.03018525
"Macedonia, FYR",76.12893858,73.7006237,71.957981,67.79060464,60.59400673,57.2077185,53.85494428,49.54109476,48.84271125,49.97483217,47.73366705,44.85247596,41.89428481,42.89354756,47.72123243,53.66339654,56.66835167,58.09821723,59.74046839,63.96542673,69.80801302
Thailand,82.32751364,82.36026356,87.30056468,91.82024465,90.74962228,84.99556054,75.43799654,61.49540031,51.84178954,48.62787731,45.96021692,42.94440613,41.19486715,43.14972832,47.60204247,53.46248912,57.49827477,60.25514372,62.01517348,63.38292451,64.73731265
Timor-Leste,77.79605263,78.43592722,78.38513755,79.53427353,80.24506874,80.5488297,72.42927919,72.58934663,71.91492034,78.41174999,107.6730864,95.92946862,91.20248153,88.73725412,95.64312411,101.1854271,101.4818534,98.76418836,96.87665706,96.6456233,98.9945958
Togo,83.20106589,84.96315511,86.15612422,87.79575957,90.33215644,94.040022,97.33748475,98.20695498,95.83084717,91.24448859,85.71707154,80.67731378,75.80006176,73.41239103,72.87261789,74.06092413,73.87159154,73.1721044,72.971218,73.78252385,75.15239697
Tonga,102.4125349,101.8941286,101.5715467,99.94430723,96.28295923,99.03708606,88.82715446,80.9058946,76.92075926,81.69571221,79.36975784,76.66470139,76.31440989,76.9726543,72.72405787,70.57009906,71.61454497,75.80136359,76.85692966,75.59267769,73.9026289
Trinidad and Tobago,78.81355932,84.94845361,87.68748601,84.78575864,85.85922259,74.168349,64.84469913,63.93139934,64.47281718,59.07327602,47.16075531,39.34192307,37.85867005,41.21871637,45.98220346,51.18841246,54.50549404,54.98482999,56.46017662,60.48340434,68.42455014
Tunisia,78.86474048,81.87648456,89.3931184,98.14750991,99.44214715,88.9328598,83.68511889,78.40110458,73.46867302,66.79612749,57.08411561,47.76767804,42.01598925,42.64210666,46.73830761,51.25674582,52.39272202,52.43780809,53.29826168,57.45138547,63.82101377
Turkey,75.68254489,78.5418031,83.9869281,87.50132177,83.98557182,83.80502096,79.91648062,74.73617068,66.27693137,60.93130553,55.86729525,51.8591086,47.8435968,46.40535841,47.61043871,49.92646723,51.18183905,52.26786427,54.36302037,57.60519203,61.16377814
Turkmenistan,62.09651138,64.41728952,79.66160954,94.91340609,97.18822467,90.69387301,82.62052702,78.64541065,78.24204279,77.36576795,68.34826945,58.45433972,49.60569025,49.04999742,49.98271675,51.67080208,51.80771184,51.12259928,51.68489984,53.69481305,56.5333672
Uganda,84.78376581,91.3272087,93.79917744,96.17436244,97.39565128,99.43014944,100.6100707,101.1101442,102.6066501,107.0175832,109.3565131,108.0958719,105.1442017,103.9423772,103.8286336,104.0884616,103.2402996,102.7408061,103.2317323,104.2543382,105.3530844
