"Total GDP, PPP",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ireland,5947998673,6023298642,6099551575,6176770540,6254965735,6334151839,6414340660,6495544068,6577776968,6661048404,6745376397,6830770129,6917246294,7004815701,7093495207,7183297266,7274235899,7366325209,7459580883,7554017186,7649648462,7866361914,8052227869,8242907737,8437379382,8636863824,8841485478,9050173588,9264210624,9483723492,9707599039,9937177316,10140698784,10347995317,10559134915,10774181192,10994553048,11219011574,11449013676,11683286241,11921900169,12164933502,12369870675,12573704870,12809536836,10739979632,8978308645,9858699604,8078245715,7472940395,9149700030,10063134602,10715886204,10631279625,10580377609,10610561444,10685989476,10739646869,10840520378,10940229257,11017870111,11110867858,11245172932,11290223867,11296241445,11363113936,11376058436,11462282189,11580444722,11708247056,11809014996,11882220598,11946802415,11966557811,12021791342,12097540224,12217575845,12359843407,12475397883,12563394414,12538633951,12526689057,12542728625,12478331845,12481597949,12516599082,12558708961,12559020234,12539768944,12550502043,12573499643,12598364866,12600698372,12653973050,12732011296,12779501556,12857794133,12953515343,13049861632,13135157742,13170747531,13238456379,13336260900,13419496667,13524534667,13633421568,13768175225,13875794843,14006548067,14154656240,14291291665,14422659167,14525292694,14598294915,14418052619,14094955124,13943153021,13809127014,13698795055,13795347752,13690998104,13528807502,13458066384,13389050658,13320034933,13251019208,13182003483,13535709074,13903217810,14310410588,14631333709,15038526487,14679644717,14310410588,14772815946,15204164227,15625160150,15038526487,15468149375,15450895444,15576849142,15761466207,15602730039,15513009597,15502657238,15376703540,15571672963,15866715188,16637965915,17509289444,17355063539,17860126027,18374757315,18886293590,19073357926,19623247897,19398615928,19363726228,19028660780,19764018606,20900687312,22002040492,22678960566,23684494059,24610875197,25055276728,25310877281,26782135236,29022574258,30843395534,31693913533,32864555865,34937709458,36553311830,38081555869,40190023475,40746187610,44171714585,47437631107,48758700902,50365031230,51922414412,52997669553,52864285293,55045563771,56744941212,56564678224,59190027570,62389609901,66268599765,72002436770,73054945876,75171892928,77111834149,81632217146,89645187337,97186123255,108547984677,116814542484,128930030692,141441785704,150777141440,161774559017,170235248147,178909472934,190876362271,199713145934,206835295579,200375905242,189978259212,190091469818,194364683356,196528561835,190176967766
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142483526,142099279,145442645,143630807,144195661,148178334,152804529,155389796,148742983,151785803,156181421,160556126,163428495,169992651,171320493,185107851,189716976,192265396,194898868,175020125,164507939,161631876,169945934,175591573,182736119,192296637,185723457,201294601,204222969,211184309,210162583,199786773,201486679,207906559,222361653,231471638,242485945,251462154,255105632,256618139,282795406,310636815,319252100,325763160,313585484,300764747,289410064,285227240,293246164,304368417,305656877,313829204,310367369,317737761,324346336,328739778,324730348,321992702,314398790,320831474,333874723,341418985,343366351,358070714,380013260,394261722,408047159,424564644,450566100,467341396,486838612,503428277,527297702,568767651,568187245,575582627,597858530,621324283,653685006,678970741,671224286,661873417,669410682,688241141,702279262,723035184,878004824,968625170,1090720107,1171354116,1220744522,1233495293,1237256955,1260057690,1302336900,1353714832,1458734460,1589467808,1812993722,2070470797,2187197259,2306934327,2440883207,2591149169,2720511577,2875693854,3011225718,3219110202,,,,,,
Israel,206346543,206395234,206443936,206492650,206541376,206590112,206638861,206687621,206736392,206785175,206833970,206882776,206931593,206980422,207029263,207078115,207126978,207175853,207224740,207273638,207322548,208529607,209743694,210964849,212193115,213428531,214671140,215920984,217178104,218442544,219714345,220993551,222280204,223574349,224876028,226185286,227502167,228826715,230158974,231498990,232846807,234202472,235566030,236937526,238317008,239704521,241100112,242503829,243915718,245335828,246764205,250241321,253766018,257341215,260967485,264644195,268371910,272153646,275987557,279876700,283819212,288474671,293206222,298016043,302905079,307872998,312923319,318057038,323273851,328577377,333966020,339444776,345013400,350672970,356424576,362270676,368213772,374253660,380936309,387756410,394718555,401826014,409080694,416488791,424053759,431777664,439664045,447719409,455948920,464144113,472509712,481043477,489753585,498646868,507862297,517264281,526998003,536929438,547430769,558153334,569101607,580281707,591698271,603356003,615262892,627420605,639840564,652526236,665484415,678718695,692239370,715996581,730331179,744977854,774475048,781078942,787737452,794454428,801228257,839359711,879305920,921154405,964992474,1017705511,1073299456,1131929557,1193761045,1258972160,1327742848,1400271872,1476762980,1557432656,1659169415,1806320935,1963778784,2173572645,2322105609,2446419089,2568864344,2774549415,2940931324,3102702226,3264656153,3458816239,3670405718,3903588298,4159320880,4424270014,4706100418,5005882788,5324759270,6426768140,6605734829,6761306608,8293544734,9559010750,10417178018,11206841667,11973139838,13608988966,14642513949,16321666659,17918288700,19798951823,21718993726,23772963758,24103229349,24796355575,28649827039,32198682624,34680743103,38434077055,43201884954,45458519012,48796546093,50877432631,51871783150,52074789916,54692073214,58014095741,61817435415,65121792649,66477689826,68776749458,69171390159,71497887341,74984459663,80400094817,82142025406,83237270936,87672945328,90696620401,96645759346,101073147593,110997038488,119620306367,126142738777,131034342523,135549678834,139983881654,152958021911,152791487702,152261768542,156267318709,165248270965,175388286809,185557303811,196967286792,205641016504,208277650814,218589048994,228068583593,234679263723,241104403429
Italy,32204546774,31896882777,33060736059,34126642905,35729682684,34683669913,35658421999,35139670826,37304523637,37542179555,34749891966,33784461645,34556047889,35660760759,36223895631,34807792247,34376209318,34828554119,37509725166,37416829074,37434914261,37112104854,37805647894,38390754527,39558979050,39350194525,40651609177,40327188778,40115137829,40136402919,39915608173,41496590993,42247196470,42642394956,43284397372,44796929709,40862426885,40000590763,41013193488,40897740934,42434004846,43605545791,44016048698,42089880352,42361660208,43028194139,42908819653,44383760333,44536343468,44552197848,42394191130,42803055270,42391346897,41693770822,39314152752,39987286194,40386562155,43489576608,45484762061,44338447025,44479297696,48557051014,50337235735,51737831925,51240735436,54342227779,51025506944,51772496022,52248027443,53973949520,57011241067,57057204327,56461815123,56769792296,60964509167,59959500323,58150306641,59421462424,62887138886,63095601213,64969984508,67086716508,69092478954,70425741246,68824498817,71497367374,75422631994,76926820505,76539676978,74293937873,76783597787,79192597013,79151933360,81648753855,82540776628,83895548436,85254908794,86363932150,87274198015,88919998253,91468820449,93719420304,96606695191,99856998728,103751587843,107942582768,111765549414,116265115912,118856768267,121908064331,123319770808,125918655960,131047231392,136565877913,150183851766,153057081638,171310986163,182208700965,198501306127,171231625726,154226776267,157321330670,166307949855,168872771922,168994531639,178272496119,179616513062,182120114428,194098835101,200609252618,190886051678,194179238374,202784388417,202550115930,205682961122,223546298226,230270640244,241338814196,243780791902,260663406795,254548219863,250460795586,251597953410,237955030214,202392649989,158437113154,199576171169,228828901967,243349877767,251786660921,264142516083,281980007210,297060457869,316910834181,332111342036,352417355295,368276471821,388308513724,407269087215,432700075425,462563772491,497979881617,528939652043,558613272527,575143469192,592116001032,629130391535,668283274015,718111143041,762388670406,802731796808,818735716614,847228081291,913029331783,952451057657,925956939692,991589127595,1012702195592,1057774015075,1124535989937,1163209950853,1178000766504,1193408233402,1208783018380,1269545380634,1310693750545,1340590987055,1393749742833,1472632387552,1535957478330,1564824223998,1579561457548,1599410577351,1586973890758,1634666431861,1722706799858,1737604741074,1792558254966,1844757977931,1897684070657,1976517516771,2029134594821,2053595732187,2057156442696,2074923692701,2079125636323,2129187661846,2166166507700,2137737490368,2017920347497,2052895110495,2058894604641,2014945776292,1971922511502
Jamaica,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,659345119,653688818,648081023,642522921,637010879,631546106,626128197,620756749,615432902,610153173,604918722,599730659,594585588,589484641,584427438,579415053,574444206,569515987,564631445,559787380,554986247,550224899,545504384,540825707,536185801,531587018,527026343,522506091,518023296,513580233,509173989,514480661,519842055,525259299,530733519,536264563,541853551,547500332,553206019,558971725,564796025,570682559,576629899,582639147,588711401,594846496,601045525,607309577,613638481,620033323,626495184,636089326,645829821,655720274,665761782,675957997,686308776,696819092,707490113,718324304,729325445,740493462,751833477,763346748,775037161,786906012,798955922,811190857,823613495,836226537,849032710,862034762,875235466,888638965,902246741,916064345,930093314,944336555,958796999,973480338,988388206,1002349165,1017765527,1031879815,1047458405,1063120698,1078867055,1094697839,1110613411,1126614139,1142700386,1160290971,1176553592,1194329771,1221331923,1247447097,1275623105,1302880850,1332281014,1360730535,1391407286,1426074560,1485211416,1534026035,1578894669,1626700739,1693966599,1755774161,1826881029,1898125802,1981232991,2078813627,2163072191,2247700869,2324177088,2400588174,2483456539,2557406986,2653805444,2716305827,2762784822,2802380427,2855597900,3369464737,3830665219,4344423609,5023693594,4709272790,4586253414,4468403327,4367495488,4760704548,5181238191,5936782579,6630223718,7308842696,8015890981,9128379406,9183022447,9595928278,10142837109,10476714096,10724208803,11043637481,11820978878,12679664267,13092503535,13453893954,14055892307,15070147532,16878504424,16917468434,17423086871,18948580195,18201310982,18153088663,17031919972,16673267419,16793882928,16475033837,15617928584,16062364049,16257498676,16850287283,16907346938,16280205698,16661783902,18029660867,18604127402,19900548930,21010626647,21116481049,21623313379,21927404145,22269003162,22552087956,22134283365,21756167824,21631979375,21580810363,21796664101,22158632020,22365085014,22851407087,23016800076,23287415832,23952833670,24293002503,24093278767,23345888369,23003795969,23343411549,23196068471,23273477977
Japan,,,,,,,,,,,,,,,,,,,,,31691763732,31839612591,31988151448,32137383486,32287311902,32437939907,32589269683,32741306557,32894051689,33047510452,33201684021,33356577813,33512193019,33668535099,33825606336,33983410088,34141950816,34301230833,34461253546,34622023472,34783542961,34972101876,35130656789,35336292688,35549108819,38039966423,36820450112,37637512007,37188211624,39106606418,40382301016,38855898420,39622491966,39364612607,39362959801,40584609591,43318264095,45055540797,42671550141,44318542814,48169769843,45607847282,48375458199,48253190503,53661825029,53950695162,50565621113,51176322317,60290778709,55282940335,57142541534,58693985794,55149762736,58503518912,58443251848,57117262265,64429961624,66253303491,66334199015,65744059044,66230482526,69301128245,71197965940,71865679192,69291081074,75104749943,85881310812,88129645888,89011442638,98380763860,92021562280,101476286599,100487611340,99875424384,102031603438,105620100523,105713552302,106526250955,114628441059,117622247824,108408475439,108800137972,117474837452,128507994374,128292053206,130655667305,139468556428,145274967251,155527206736,181074128592,187273036211,189804224756,188896295998,191838490988,183313121032,94093142901,102262684002,110372966289,124596027636,130848244752,141065248780,153054352926,171556756306,182857414469,192029341584,205987493221,220595445092,236407721651,249835239188,272156273365,306752781181,345970282471,378765069159,413189913126,462699468638,492264583385,547046440493,608576102320,685542279533,771517150646,1047895226406,1097550142101,1189680885335,1284263038793,1271525190788,1279332755754,1332907353799,1394624496092,1493383164439,1597824149940,1634367757414,1722154252322,1795989171353,1863752299529,1958191116448,2093115559039,2163474912641,2264257438908,2439299525804,2584404128451,2743379759485,2850297161394,2890369287867,2913673236125,2959853835766,3041946796610,3150012722237,3232648486251,3202509848683,3233067296665,3345746582998,3399431795831,3452820934949,3555561351966,3683590761335,3773408862954,3876234825677,3997621608378,3989575957693,3799871881552,4000599475553,4003058746797,2555610092710,2615689863557,2718301985985,2836934087210,2914959288649,3033070872959,3218160716231,3371107299574,3542281017792,3662381497770,3700844509491,3714219874698,3758085015197,3835574421959,3968161109047,4037400226173,3916950298269,3910021629267,4021506828116,4028383854369,4038352426218,4108989573705,4207299408555,4287985887800,4360463643748,4453227785820,4405055712732,4162256366267,4355477629581,4334520895369,4404887573329,4478990811934
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5630786943,,,,,,,,
Jordan,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,248330391,250325736,252337564,254365992,256409977,258470788,260548547,262642196,264753024,266881152,269026702,271188602,273368162,275565506,277779550,280011620,282263062,284531571,286818488,289122710,291446829,293788503,296150347,298530000,300930098,303348264,305785885,308244370,310721316,313218126,315736229,318273191,320831734,323409409,326008957,328629224,331270353,333932489,336617106,339321698,342049076,344798057,347568792,350362786,353178846,356017122,358879140,361762316,364670935,367601023,370555506,375761061,381040527,386394854,391823571,397327617,402910864,408571401,414311687,420132741,426035597,432021299,438090905,444245484,450487671,456815468,463234676,469741722,476342507,483035026,489820440,496703198,503681266,510757509,517933182,525211244,532589615,540072987,547659258,555354944,563156206,571069673,579093241,587228303,595478082,603845870,612329522,620932352,629655881,638501649,647473111,656569975,665793838,675148252,689219557,703584972,718248392,733217811,748499375,764099346,780024106,796282329,812878538,829819491,847114336,864770185,882794289,901194039,919974583,939150752,958723217,978704821,999103795,1019925975,1041182394,1062884391,1085035634,1107650461,1130735475,1154302853,1178359482,1202920833,1227991319,1253584020,1279712372,1306384153,1333610237,1361404800,1389779265,1418745273,1448314690,1656967584,1819640024,1965973822,2117067648,2046594030,2879649073,3037573372,3433291619,3766639618,4047372507,4871702331,4933204432,5185650652,6127477657,6974167913,7431306490,7898476770,7521281036,8420151141,7746896882,8044139858,8340045233,8747142391,9455273287,10025008043,12346219758,13018313716,15611202498,16928916691,19978859593,20817696842,22336110016,22847999963,24911287936,25858353765,28242977912,29047615983,28840770749,25953948136,25130224775,24341265789,28270925163,30660221951,32955456917,35399807792,35815560134,36350010113,36733720495,37297053056,38289326503,39779252379,41599279923,42962627910,46415456712,49651952750,53956687105,58904652650,63772667213,67790202823,69667984389,71481371713,73168890852,75173550599
Kazakhstan,2448938934,2451492063,2454047854,2456606309,2459167432,2461731224,2464297689,2466866830,2469438650,2472013151,2474590335,2477170207,2479752768,2482338022,2484925971,2487516618,2490109966,2492706017,2495304775,2497906243,2500510422,2539464595,2579026460,2619203512,2660007091,2701446186,2743531171,2786271287,2829677180,2873759645,2918528326,2963994302,3010170127,3057063228,3104687782,3153055501,3202175550,3252059919,3302722137,3354174554,3406426913,3459494655,3513389243,3568122283,3623708373,3680160896,3737491974,3795716785,3854849267,3914902081,3975891001,4037829055,4100732429,4164616037,4229494995,4295384625,4362300454,4430258219,4499275426,4569368268,4640551578,4712845129,4786264208,4860827499,4936552337,5013456289,5091558792,5170877915,5251433623,5333242826,5416327680,5500705600,5586399313,5673426753,5761811234,5851571221,5942730629,6035310219,6129331024,6224817906,6321790727,6420274988,6520294750,6621870767,6725029539,6829796110,6626352349,7819364465,7591052491,7123368761,7159234802,6617952058,7311482782,8361805179,9594469330,8960038462,9959101761,9882393339,10238437232,10964235152,10827249994,11199353491,12281707539,11539370167,12878302093,11503543491,11095554343,10759735112,11858424535,12424954836,13379790213,12475083542,13602668730,14421330540,13897718172,14434734377,12951463531,11476501913,7090230951,6168857611,6250741983,5774012891,6764015437,7862391386,10052275503,12677496585,14364933585,15101512834,16026685771,16362097981,17257849166,17574180985,17461975521,18285209987,20146667342,23246970188,25056286284,27384433607,27558222090,28937893982,27987552979,27714652159,27444410578,27176807814,26911810378,26649397913,26389545668,29590621323,33738377488,37188023051,40651152381,40909282816,44135209852,47037760312,50628204787,56508574293,63715378466,66893616812,73920665313,75027978268,84173024270,91056481254,95607688142,95365791520,109686591004,117777246949,125092351679,131935054580,140808174066,143834569524,155995029607,161180688307,163077059020,177834689748,182262420486,181826313376,189161296505,192254169182,195625430096,193318741663,192301583432,192845170908,196348742437,201346530838,202517152958,203063185006,210219482763,211806176877,214985605617,216854100247,209090960927,184704049677,173647487321,157215792873,138205677104,127740985427,128132047246,130175253193,127852057242,131128881809,143278262702,161762623697,177368803882,194219841315,213111626934,235612662041,260739332913,283671784263,292818967426,295898192421,315868621507,336647682658,352261090300,371711847930
Kenya,1853280000,1858811845,1864360203,1869925121,1875506651,1881104840,1886719740,1892351399,1897999869,1903665198,1909347438,1915046639,1920762851,1926496126,1932246513,1938014065,1943798833,1949600868,1955420221,1961256944,1967111089,1972982708,1978871853,1984778577,1990702932,1996644970,2002604745,2008582309,2014577715,2020591017,2026622268,2032671522,2038738832,2044824253,2050927838,2057049641,2063189717,2069348121,2075524907,2081720130,2087933845,2094166107,2100416972,2106686495,2112974732,2119281739,2125607572,2131952286,2138315939,2144698586,2151100286,2157521093,2163961066,2170420262,2176898737,2183396550,2189913759,2196450420,2203006593,2209582336,2216177706,2222792763,2229427565,2236082171,2242756640,2249451032,2256165407,2262899822,2269654340,2276429019,2283223919,2290039102,2296874627,2303730556,2310606948,2317503866,2324421371,2331359524,2338318386,2345298020,2352298487,2359319850,2366362171,2373425513,2380509937,2387615509,2394742289,2401890342,2409059732,2416250521,2423462774,2430696555,2437951928,2445228957,2452527708,2459848244,2467190632,2474554936,2481941221,2489349554,2496780000,2517698668,2538792599,2560063260,2581512132,2603140708,2624950494,2646943008,2669119781,2691482357,2714032292,2736771156,2759700533,2782822018,2806137220,2829647763,2853355284,2877261432,2901367873,2925676283,2950188355,2974905796,3050264537,3127531573,3206756156,3287988544,3371277615,3456676853,3544239620,3634020356,3726074599,3820461515,3977593904,4141187912,4311511651,4488839851,4673461835,4865676697,5065797537,5274147847,5491068541,5716911670,5952042069,6196844636,6451715162,6717067624,6993334721,7280962680,7580421709,7892197983,8945760633,10499549315,9894733469,9459181009,10246545842,10854399052,11417778848,11937437522,11979478428,11596830397,12559363581,12114082424,13117605101,13688419281,14508938374,15220692393,17040126341,17771752665,17781210462,18933506293,17973122374,19141547155,20103779328,21149799795,22186644644,22104064081,22994099040,25104491211,27361693271,28389362502,29976744439,31105345469,32252297736,32692727406,33270791348,34693012159,37179604673,39381753025,41822467448,43786049728,45630348973,46272642242,45905617517,46070778643,47281960237,49364825553,51410988396,51549962395,53279807710,54401166995,54671887870,57114167717,57440729955,59109529635,62126252327,65799339405,69961701738,74854155522,75997363023,78076006596,82576514847,86190498258,90120037908,95158974720
Kiribati,10368080,10375670,10383266,10390867,10398473,10406086,10413703,10421327,10428956,10436590,10444230,10451876,10459527,10467184,10474847,10482515,10490189,10497868,10505553,10513244,10520940,10559269,10597648,10636668,10675149,10714271,10753445,10792671,10831948,10871869,10911250,10951277,10991356,11031488,11071672,11111910,11152200,11193140,11234133,11275181,11316282,11357438,11398648,11440511,11482429,11524402,11566430,11608514,11650653,11693449,11736301,11778608,11821573,11865197,11908276,11952015,11995207,12039061,12082973,12126943,12171576,12215662,12260413,12305223,12350092,12395020,12440615,12485662,12531378,12577154,12622990,12668887,12715455,12761473,12808164,12854916,12901730,12949219,12996157,13043771,13091448,13139187,13186990,13235471,13283400,13332009,13380683,13429420,13478840,13527706,13577256,13626872,13676553,13726299,13776732,13826609,13877175,13927807,13978506,14029895,14080728,14132252,14183844,14235505,14287859,14339655,14392147,14444708,14497338,14550038,14603435,14656903,14710441,14764050,15231697,15714025,16212177,16725978,17255918,17803244,18367004,18949248,19549783,20169180,20808026,21467812,22148329,22850223,23574162,24320831,25091959,25886268,26706578,27553760,28426430,29327667,30257218,31215968,32204825,33224728,34277997,35364355,36484833,37640495,38833952,40064907,41334530,42644025,43994636,45389388,46827958,49153328,51562191,54111784,56853630,59817800,63034945,66518675,70267403,74266739,78504379,82973023,87696442,92718481,98108457,103923358,110222492,116991962,124109888,131380252,138652888,135476545,151843794,183609482,266769621,281037291,205807769,196304399,198385490,175400909,97453450,94068104,103612603,93452483,100675882,96030809,97515243,94534258,111778488,102204891,104390192,99897202,103072242,106643728,111864043,110802300,117635062,124271617,138025338,138335517,151585881,152732722,153677472,159929232,165061150,164832550,157462793,169362632,174086526,172980349,172151554,176889856,181058222,185486518
"Korea, Dem. Rep.",4186059475,4181195598,4176337373,4171484793,4166637850,4161796540,4156960855,4152130789,4147306335,4142487486,4137674237,4132866580,4128064509,4123268018,4118477100,4113691749,4108911958,4104137721,4099369031,4094605881,4089848267,4088160237,4086473426,4084786891,4083101570,4081416522,4079732681,4078049110,4076366742,4074684641,4073002805,4071322166,4069641789,4067962602,4066283675,4064605933,4062928448,4061252141,4059576089,4057901211,4056226584,4054553125,4052879915,4051206951,4049535150,4047864507,4046194106,4044524858,4042855849,4041187079,4039519455,4037852974,4036186727,4034520712,4032855833,4031192088,4029528570,4027865279,4026204015,4024542074,4022881254,4021221553,4019562070,4017903701,4016245548,4014588504,4012931673,4011275945,4009620428,4007966010,4006311800,4009305254,4012299634,4015297573,4018297273,4021299591,4024303619,4027310213,4030318464,4033329229,4036342480,4039358190,4042376331,4045396001,4048418051,4051442454,4054469183,4057498211,4060529512,4063563058,4066598825,4069636784,4072676911,4075720042,4078764423,4081811754,4084861146,4087912572,4090966867,4094023142,4097081373,4120575028,4144203012,4167966932,4191866671,4215903849,4240078350,4264391809,4288844997,4313437797,4338171868,4363047992,4507044547,4639042999,4886074802,5762380340,5683532614,6338386242,6883017894,7387395551,6474868415,7034359575,6506429477,7015941000,7108287673,7157100482,7475254380,7851364029,7960105987,7589642801,7233398063,7321617575,7383677191,8993944928,9049333070,9940888456,10951936117,12201347777,12967149608,11822085974,13472454393,13798749642,13861211799,14207294325,13731741670,6514171561,6712590328,7207252663,7895545783,8629849450,9225864339,7568732949,8003599431,10311612263,10950697057,11721938327,12554119319,14022033922,16258994712,16135000800,17558152316,18849391680,18835473486,19010197800,19578759670,20493722735,20832692376,21790993330,22761387823,22972584432,24361980120,25053712741,26175101061,27154714124,28241756928,29797653006,30394935180,31372287684,30496651556,34391509796,32651309960,36400036365,38915768778,38812925213,40710840950,39781887000,40084619922,41341405568,43005088743,44801219606,41817308112,40379773140,36303414505,34233839188,34461608235,31393634916,30700177949,27402829290,28502070905,31256074098,29464700265,31578117192,31988792000,32928352750,33272310030,34764057624,34892281365,33419979552,34435995124,34101172922,33912425060,34148031853,34198951959,
"Korea, Rep.",7703900000,7694948665,7686007731,7677077186,7668157017,7659247213,7650347761,7641458650,7632579867,7623711401,7614853239,7606005370,7597167781,7588340461,7579523397,7570716578,7561919992,7553133627,7544357471,7535591512,7526835739,7522060843,7517288480,7512519447,7507753740,7502990559,7498230697,7493474151,7488720123,7483969404,7479221198,7474476296,7469734693,7464995596,7460259792,7455527277,7450797260,7446070526,7441347071,7436626108,7431908417,7427193213,7422481275,7417772600,7413067184,7408364245,7403663781,7398967344,7394273376,7389582651,7384894391,7384268852,7383643287,7383017688,7382392046,7381766351,7381141363,7380515536,7379890397,7379265168,7378639841,7378015171,7377390384,7376764708,7376140423,7375515232,7374889890,7374265146,7373640989,7373015895,7372391369,7367395012,7362402575,7357412546,7352426431,7347444225,7342464421,7337488519,7332516514,7327546905,7322581187,7317618609,7312659167,7307703605,7302751174,7297802615,7292856437,7287914125,7282974933,7278039597,7273107376,7268189330,7263275105,7258363959,7253456625,7248552364,7243651174,7238753053,7233858730,7228968201,7224080000,7262047758,7300216022,7338583580,7377153634,7415926450,7454903034,7494083652,7533470809,7573064782,7612867351,7760134015,8128869994,8484795889,8917120702,10463815250,10293181267,11447797600,12397688759,13271308662,11591714079,12608731065,11676953882,12606199090,12788292426,12864677266,13365729367,13964921771,14084028298,13357690205,12664045623,12779020914,12848195657,15602166597,15649549418,17138562017,18680999681,20601932238,21673479378,19561937838,22069458977,22532082511,22562587586,23053350172,22213549275,10544784699,11540838044,12499911876,13550676018,14685417447,15566903640,14526457877,15745363748,20785372649,21625741437,23652931009,24174994876,27052643794,28065527271,28433559392,28409538412,29717479804,29929197731,33760986207,36438503084,38123071803,42864202913,45289419611,50434610331,57829946143,63143046695,73001367721,84739738530,104189650564,117282061725,133508977112,152386750249,166413272796,182711306848,189890525407,171513277994,183443098038,198072410811,223073097899,246405310963,263513664265,306389490613,352900552955,401643302328,436472573956,484201216839,538083004669,577748345453,627564080878,695630040787,769193360515,814058597355,853729707413,820762757414,893770776284,950832456042,987650511783,1068083091708,1105799637689,1156110277916,1193465502512,1239148393822,1301087318870,1286657013081,1298164967330,1384143500845,1405029459339,1433108416492,1472165085428
"Korea, United",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26381962277,23461912793,17514653780,13171882031,13164100683,14229910956,15475212174,16668159306,15258268153,11786368788,12465449182,15676324653,15861009693,14936940996,14811671698,15412923387,15862299622,16685325304,17568516421,,,,,
