Stomach Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Portugal,,,,,,17.96,17.35,17.77,17.91,17.81,17.38,17.75,18.19,18.44,19.85,20.72,20.53,19.69,20.99,19.34,19.41,19.79,18.42,19.34,18.77,17.43,17.22,17.4,15.69,15.69,15.67,14.63,14.32,13.95,13.94,12.92,11.95,12.15,12.22,11.97,11.9,11.39,11.12,10.44,9.65,9.97,9.51,9.1,8.71,8.97,8.62,8.2,7.65
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Romania,,,,,,,,,,18.62,21.4,22.26,22.75,21.39,18.31,18.18,15.99,15.76,15.36,16.29,14.98,14.2,13.76,13.23,13.4,13.23,12.65,12.55,11.93,,11.09,9.6,9.11,8.87,8.49,8.25,7.94,7.74,7.52,6.99,6.9,7.18,6.83,6.81,6.81,6.88,6.75,6.75,5.98,6.08,6.41,6.27,5.94
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.57,21.75,21.61,21.27,20.42,19.66,19.28,18.95,18.68,18.21,17.84,17.12,16.71,16.01,15.6,15.02,14.17,13.7,13.46,13.03,12.56,12.13,11.49
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Singapore,,,,,,,,,,,,,,18.6,17.52,17.87,14.37,15.99,16.05,16.31,11.3,12.2,16.57,15.41,14.72,15.46,12.95,16.04,12.39,13.38,13.58,12.43,13.39,11.65,11.18,10.52,7.97,12.55,11.94,9.51,9.44,8.84,7.32,9.51,7.72,8.2,7.28,6.89,6.95,5.7,6.38,5.56,5.12
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,6.89,7.24,6.81,7.26,6.79,6.44,5.86,5.98,6.05,5.34
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14,11.94,11.29,10.05,9.87,8.38,10.91,9.13,10.46,7.96,9.19,8.24,8.83,7.79,7.77,7.7,6.09,5.82
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,3.55,3.21,3.71,3.64,3.74,3.65,3.35,3.14,2.95
Spain,,15.44,16.67,15.87,16.7,17.89,17.08,16.95,16.29,16.86,18.08,18.36,18.07,19.26,18.43,17.39,17.45,16.79,15.37,15.44,14.96,14.3,14.18,13.51,12.95,12.74,11.66,10.87,10.78,10.14,9.13,8.73,8.52,7.85,7.92,7.52,7.56,7.35,7.05,6.79,6.51,6.22,5.95,5.66,5.66,5.45,5.03,5.11,4.65,4.67,4.44,4.39,4.03
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Sweden,,20.64,21.54,21.78,19.68,19.36,18.35,17.5,16.87,15.38,14.63,13.65,12.59,13.13,12.71,11.57,11.09,10.81,10.52,9.63,9.6,9.62,9.51,8.54,8.33,8.15,8.03,7.61,7.09,7.28,6.89,6.16,5.83,5.37,5.16,5.49,5.24,4.68,4.73,4.17,4.46,4.1,4.06,4.02,3.75,3.26,3.42,3.43,2.78,3.05,2.91,3.04,2.78
Switzerland,,28.88,26.41,27.04,24.34,22.36,22.99,20.21,21.79,19.74,18.43,17.92,18.43,15.87,15.51,15.13,14.08,14.29,13.64,11.49,11.96,10.73,10.27,10.68,9.69,8.88,7.91,8.01,7.67,7.22,7.2,5.91,6.4,5.26,5.73,5.22,5.04,4.83,4.87,4.02,4.03,3.99,4.26,3.57,3.67,3.09,3.21,3,2.79,2.75,2.53,2.46,2.24
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.15,12.81,,,12.65,12.36,13.14,12.13,14.28,12.81,11.94,12.13,9.66,10.77,6.87,7.41,7.79,10.19,10.8,9.11,10.23,11.79
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
Thailand,,,,,,,,0.35,0.45,0.96,1.63,0.6,1.37,0.73,0.73,0.78,0.78,0.91,0.54,0.59,0.58,0.59,0.87,0.77,0.92,0.95,0.55,0.69,0.66,0.82,0.83,0.81,0.8,0.84,0.63,0.59,0.48,0.62,,,0.6,0.7,0.47,,0.64,0.66,0.49,0.32,0.47,0.59,0.82,,1.21
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Trinidad and Tobago,,18.48,17.71,10.21,15.65,15.22,16.53,15.79,21.19,,15.27,14.14,13.82,16.58,,,18.82,14.73,20.12,,14.17,16.22,12.98,14.49,10.72,11.55,10.18,8.62,8.53,5.18,9.11,7.28,5.71,8.33,8.69,6.67,8.45,6.09,5.68,4.62,7.34,5.06,7.03,5.25,7.73,5.7,5.04,4.54,4.96,4.83,3.94,3.4,3.81
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95,14.03,,,13.56,13.4,13.33,13.1,13.02,12.6,12.87,12.55,11.98,11.31,10.66,10.32,9.92,9.98,9.6,9.6,9.21,8.7
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
United Kingdom,17.79,17.58,16.84,16.2,15.88,15.6,15.32,14.61,14.57,14.18,14.02,13.34,13.03,12.77,11.86,11.75,11.63,11.03,10.85,10.44,10.41,9.72,9.74,9.37,9.08,8.75,8.74,8.2,8.13,8.01,7.46,7.12,6.71,6.55,6.55,6.21,5.71,5.75,5.65,5.26,5.05,4.82,4.66,4.23,4.25,4.02,3.62,3.73,3.54,3.27,3.12,3.1,2.86
United States,9.36,8.84,8.53,8.16,7.77,7.27,7.1,6.77,6.52,6.22,6.04,5.66,5.51,5.36,4.9,4.79,4.64,4.36,4.23,4.02,3.8,3.69,3.62,3.44,3.39,3.3,3.09,2.99,3,2.9,2.81,2.76,2.74,2.67,2.63,2.51,2.38,2.35,2.32,2.32,2.36,2.25,2.21,2.18,2.1,2.12,2.01,1.9,1.93,1.86,1.82,1.74,1.69
Uruguay,,,,,,20.19,19.44,19.59,17.92,20.28,17.9,,,18.13,16.13,15.44,16.75,14.25,15.2,16.27,14.34,13.06,15.27,14.14,13.06,12.17,10.93,10.19,11.71,,10.1,9.8,9.38,8.18,7.15,6.87,7.85,6.24,8.2,6.93,6.12,,,5.54,6.12,5.67,5.81,5.49,4.87,4.79,4.2,5.59,5.225
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.94,11.84,,,10.82,11.25,11.77,11.36,10.39,9.89,9.43,9.52,8.98,7.05,7.27,6.88,6.55,6.09,5.46,6.04,,5.99
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
Venezuela,,,,,,25.61,28.04,25.53,23.76,25.72,24.03,25.59,22.55,23.29,25.39,24.16,23.63,22.07,21.23,21.35,16.68,18.13,17.25,17.65,16.42,16.63,16.17,14.7,14.11,13,14.1,12.05,12.36,13.96,,10.67,9.62,10.87,9.82,9.25,11.05,,9.49,9.05,9.5,,8.6,7.86,7.99,8.17,7.43,7.03,7.8
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
