Median age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
LATIN AMERICA AND THE CARIBBEAN,20.044,19.641,19.16,18.756,18.857,19.346,20.042,20.922,21.98,23.193,24.506,26.02,27.737,29.568,31.418,33.267,35.088,36.846,38.575,40.185,41.683
Latvia,30.504,30.572,32.06,32.819,34.115,34.802,35.029,34.699,34.591,36.164,37.972,39.235,40.04,40.924,41.788,42.995,44.586,46.532,47.73,47.395,46.142
Least developed countries,19.512,19.166,18.741,18.255,17.869,17.646,17.505,17.467,17.589,17.921,18.431,19.1,19.891,20.756,21.698,22.76,23.92,25.155,26.434,27.724,29.03
Lebanon,23.178,22.504,20.92,19.193,18.86,19.394,19.903,20.78,21.882,24.281,25.712,27.282,29.154,31.043,32.835,34.568,36.388,38.223,39.992,41.011,41.72
Lesotho,19.776,19.058,18.334,17.953,17.761,17.525,17.381,17.408,17.249,17.441,18.242,18.967,19.765,20.584,21.442,22.205,22.965,23.773,24.666,25.683,26.771
Less developed regions,21.627,20.848,20.25,19.366,18.976,19.384,20.077,20.83,21.597,22.722,24.054,25.427,26.813,28.062,29.387,30.824,32.351,33.765,35.033,36.163,37.185
"Less developed regions, excluding China",20.548,20.086,19.555,18.931,18.664,18.86,19.224,19.704,20.288,21.061,22.093,23.212,24.462,25.773,27.141,28.57,30.028,31.46,32.825,34.14,35.41
"Less developed regions, excluding least developed countries",21.907,21.07,20.451,19.514,19.124,19.617,20.43,21.304,22.178,23.452,24.952,26.49,28.041,29.432,30.911,32.512,34.213,35.77,37.139,38.334,39.384
Liberia,19.221,19.196,18.431,17.603,16.99,17.328,17.538,17.672,17.517,17.442,17.702,18.05,18.519,19.142,19.978,21.098,22.334,23.641,25.005,26.485,27.967
Libya,19.047,18.472,18.352,18.401,17.413,16.815,16.521,16.302,17.871,19.906,22.132,24.143,26.207,27.838,29.319,30.79,32.514,34.207,35.883,37.53,39.139
Lithuania,27.782,28.021,28.262,29.653,30.749,31.31,31.844,31.869,32.678,34.031,35.933,37.815,39.846,41.246,42.157,43.077,44.357,46.023,47.362,48.006,47.48
Luxembourg,35,35.625,35.228,35.261,35.357,34.913,35.008,35.828,36.42,36.667,37.34,38.28,39.299,39.967,40.291,40.496,40.788,41.272,41.773,42.059,42.108
Madagascar,20.942,20.218,19.21,18.024,17.388,17.11,16.942,17.29,17.425,17.532,17.48,17.714,18.399,19.33,20.475,21.718,22.999,24.317,25.716,27.164,28.603
Malawi,17.117,17.118,17.053,16.985,16.676,16.509,16.354,16.106,16.669,17.242,16.959,16.57,16.825,17.504,18.301,19.136,20.077,21.269,22.555,23.89,25.285
Malaysia,19.799,18.652,17.645,16.948,17.499,18.552,19.667,20.326,21.473,22.353,23.582,24.722,26.303,27.956,29.646,31.461,33.25,34.901,36.494,37.956,39.323
Maldives,24.662,22.912,21.247,19.688,18.818,18.882,18.549,17.276,16.346,17.039,18.954,21.69,24.363,27.007,29.529,32.067,34.612,36.687,38.363,39.476,40.512
Mali,19.775,19.897,19.692,19.475,18.924,18.49,18.122,17.697,17.308,16.995,16.992,17.384,17.632,17.944,18.455,19.245,20.359,21.651,22.922,24.177,25.455
Malta,23.654,21.957,23.095,23.625,26.282,28.795,30.038,31.692,32.973,35.04,36.438,37.576,39.021,40.677,42.459,44.201,45.866,47.396,48.754,49.844,50.523
Martinique,21.945,19.897,19.199,17.921,19.101,18.984,23.444,25.974,28.309,31.197,34.012,36.709,38.723,40.572,41.337,42.174,43.349,44.769,46.216,47.401,48.377
