,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Myanmar,1.0371347,,,,0.990736,1.1128486,1.3476273,1.3232636,1.4597346,1.4300035,1.6167309,1.7313133,1.7887562,1.7750797,1.7225961,1.703448,1.7468533,2.1246849,2.3097463,1.8627143,1.8533675,1.9546723,1.9378217,1.9129653,,
Namibia,,,,,,,1.7234043,1.6658292,1.6110588,1.5652698,1.5631503,1.5562303,1.0967149,1.6297402,1.568662,1.5145635,2.4180384,2.3525679,2.289605,2.2353137,2.1727062,2.1097884,2.0401914,1.9729132,,
Nepal,0.379702,,,,0.4770229,0.4638385,0.4508064,0.438586,0.426524,0.4140467,0.7232614,0.7907898,0.9290427,0.9428243,0.9141811,0.886356,0.8211834,0.8448707,0.9284381,1.1462915,1.1125826,1.0782286,1.0463973,1.0127322,,
Netherlands,1.6430513,,,,1.5809346,1.5083893,1.4851075,1.267138,1.1991821,1.0544535,1.0580384,0.8929156,0.7923212,0.7788658,0.7540865,0.7010288,0.6700221,0.627358,0.7066837,0.620689,0.6991839,0.5319596,0.4658371,0.5261262,,
New Zealand,0.7465051,,,,0.7246381,0.6511062,0.6424871,0.6405166,0.6332383,0.5610363,0.5541492,0.5256795,0.5034627,0.5018829,0.4969533,0.4754217,0.465821,0.4277701,0.4151057,0.3757085,0.4115177,0.4015231,0.3942296,0.3891575,,
Nicaragua,5.4606991,,,,4.90333,2.0335348,1.4121445,1.0334277,1.0094074,0.920346,0.7711554,1.068699,1.028593,0.9892693,0.8980568,0.8645327,0.8416138,0.7177331,0.7000661,0.6830044,0.6673724,0.6509566,0.6318754,0.5265916,,
Niger,0.1114386,,,,0.180088,0.2164185,0.20812,0.1998935,0.1918206,0.1839868,0.3769612,0.3602691,0.3443052,0.3291335,0.3148087,0.3013279,0.289558,0.2801684,0.2715885,0.2452625,0.2380695,0.231026,0.224132,0.2177167,,
Nigeria,0.3592531,,,,0.3734059,0.3202249,0.3119643,0.2452122,0.2383462,0.2433959,0.2634416,0.2560104,0.2982445,0.2893639,0.3254364,0.271345,0.3971246,0.3857884,0.376228,0.3658622,0.3585703,0.3514916,0.3424989,0.3331953,,
Norway,1.7134296,,,,1.9383628,2.299755,1.8781437,1.6491174,1.4666095,1.4996094,1.374999,1.3434852,1.4619669,1.2082155,1.2944417,1.1169303,1.0974786,1.083484,1.0920944,1.0219731,1.9137582,0.6421522,0.7430945,0.7205279,,
Oman,6.6424366,,,,5.4177962,5.6095201,4.7746802,5.3950548,5.0455795,4.7572013,6.2164015,5.9797079,5.8193884,5.6884455,5.5430266,5.4458972,5.3378576,5.0364504,4.9288133,4.7130372,4.7045295,4.6946478,4.579823,4.4659976,,
Pakistan,1.773269,,,,1.7242663,1.775691,1.7797401,1.7829789,1.7598045,1.700558,2.4669169,2.3366272,2.2379301,2.1691579,2.0882465,2.1639963,2.1201338,2.056281,1.9689491,1.9149569,1.8188238,1.7347717,1.6923318,1.6494507,,
Panama,1.5209422,,,,1.5458055,1.1857821,1.2633889,1.1089245,1.0608203,1.0287933,1.0537673,1.0262901,1.0015643,0.9640141,0.9458898,0.9225349,0.8999736,0.8795768,0.8572445,0,0.8241207,0.8182886,0.7953409,0.7502103,,
Papua New Guinea,0.2146922,,,,0.1774693,0.2282156,0.2230434,0.2187791,,0.2102134,0.1930357,0.1834617,0.2060703,0.1991647,0.193557,0.1919425,0.1860062,0.1273353,0.1237152,0.1164702,0.1134508,0.1103547,0.1077831,0.1051147,,
Paraguay,1.0051842,,,,0.982813,0.9516544,0.9215414,0.8937688,0.8667579,0.8415729,1.4447685,1.738706,1.6964209,1.6502342,1.5892452,1.5356858,1.4208875,1.3762672,1.3336436,0.9303531,0.9398903,0.9484145,0.9206324,0.885386,,
Peru,1.7683756,,,,1.3763797,1.5050509,1.4326159,1.2584139,1.2204105,1.1898869,1.8349896,1.9435852,1.9845641,1.9217626,1.7759227,1.7272138,1.5390954,1.5856269,1.464367,1.2700444,1.2444761,1.5388417,1.5119125,1.4356332,,
Philippines,0.5537948,,,,0.4778954,0.4522897,0.4319422,0.4171761,0.4086129,0.3866925,0.5305036,0.5208491,0.5181601,0.5239598,0.4876628,0.4717386,0.45668,0.4432189,0.4330875,0.4138787,0.4137236,0.4078037,0.3989883,0.3880673,,
Poland,1.7472881,,,,1.9211193,1.7323429,1.7022343,1.5161897,1.4593659,1.4442624,1.732989,1.5676841,1.53475,1.5270332,1.5351368,1.3686772,1.2960017,1.0611883,1.0639144,0.9376691,0.9224165,0.8528436,0.8165962,0.8101865,,
Portugal,1.5660533,,,,2.1942276,1.8339671,1.7569648,1.6756716,1.4208127,2.527975,2.1516293,2.1276357,2.0132524,1.8464684,1.7565745,1.7353349,1.6915343,1.6632715,1.6976289,1.6652622,1.6818932,1.6309836,1.6206031,1.616886,,
Qatar,2.9176875,,,,2.7097806,4.0689984,3.9337566,2.788844,2.716354,3.3245641,3.63335,3.8263395,3.8292966,3.7634936,3.6201374,3.5549455,3.2690803,2.9977897,2.682586,2.3025926,2.0086353,1.7442191,1.51336,1.3342359,,
Romania,1.6667807,,,,1.7773356,1.0713862,1.6947067,1.461372,1.6917696,1.6840278,2.4945133,2.5835247,2.5531876,2.494466,2.3814418,2.3919219,1.5574355,1.7237202,1.748095,1.7397403,1.7967213,1.5333487,1.5294756,1.5367663,,
Russia,,,,,,,,2.5589327,2.0393024,1.919942,2.4924071,2.2695263,2.5557014,2.3851083,2.0815818,1.9741476,1.8992946,1.9001217,1.856729,1.9651388,1.951895,1.9245354,1.9391234,1.9414459,,
Rwanda,0.1868617,,,,0.1866894,0.1881181,0.981733,1.0593446,1.1542048,1.2213471,1.9528109,1.5851354,2.2353346,1.7411258,1.5728419,2.0485116,2.019447,1.9703617,1.4612835,1.2380581,1.2048465,,0.7496295,0.7268554,,
Sao Tome and Principe,,,,,2.8800576,2.8214902,2.7719561,2.7023612,2.6372612,2.5716942,2.5059629,2.4356507,2.362106,2.2919924,2.2238001,,,,,,,,,,,
Saudi Arabia,1.6253164,,,,1.6850308,2.8937978,3.717111,3.2814271,3.1822791,2.9358645,3.0762545,2.9963208,2.8812762,2.7793478,2.6702477,3.1449227,3.0261315,2.8759546,2.7782012,2.6730648,2.6041803,2.8001202,2.6906846,2.6182964,,
Senegal,0.3853438,,,,0.5086674,0.5923388,0.5750542,0.5584523,0.5424066,0.4097098,0.4950604,0.479908,0.4644099,0.4415586,0.4290196,0.3766102,0.3701873,0.3490807,0.4144993,0.3892252,0.3981214,0.3857801,0.3743158,0.3622613,,
Sierra Leone,0.2186926,,,,0.2563644,0.3174785,0.3168659,0.5058764,0.3191372,0.3214808,0.450833,0.9673842,1.0054486,0.3649453,0.2339128,0.2283906,0.3517833,0.74049,0.7135043,0.6876043,0.6663276,0.5480579,0.5354446,0.5235483,,
Singapore,4.2149426,,,,3.7852443,3.6001671,3.4656963,3.3395083,3.2918413,3.1956273,3.7181148,3.4857517,9.2542362,9.0993869,8.9903223,8.1644573,7.2617136,7.272035,7.902989,7.5776776,7.4416066,7.1552356,6.8142468,6.3949358,,
Slovak Republic,,,,,,,,,1.3079349,1.9093692,2.0538787,1.8498554,1.7904149,1.9009151,1.859211,1.5947496,1.4316383,1.1782605,0.8259074,0.7466724,0.7489964,0.6380496,0.6364907,0.628578,,
Slovenia,,,,,,,,1.7735224,1.4324706,1.8012258,1.3429512,1.4855089,1.4629342,1.43301,1.4529612,1.4036268,1.2479974,1.372789,1.1445302,0.9922292,1.1812482,1.0753392,1.15716,1.1602817,,
Somalia,2.554031,,,,1.822907,1.8093006,,,,,8.5630491,8.4246289,8.2537356,8.0450967,1.7407081,1.6984297,,,,,,,,,,
South Africa,1.2020983,,,,0.9939295,0.816763,0.7404535,0.6665057,0.6395956,0.6150857,2.1850026,2.1145151,1.5953604,1.4946672,0.5308179,0.4685971,0.4236399,0.3698176,0.3351376,0.3252786,0.3245814,0.5842636,0.3437536,0.3318626,,
Spain,2.1884804,,,,1.8053307,1.6893562,1.5655981,1.2505268,1.2742571,1.3066356,1.7187958,1.6986587,1.6184223,1.5754599,1.5008543,1.3397615,1.1898538,1.3371785,1.1464583,1.0898951,1.0516118,1.0280679,1.0026034,0.9795374,,
Sri Lanka,0.3431707,,,,0.3304389,0.3250971,1.5998929,1.575378,1.5493668,1.5327228,3.3186781,3.1052535,3.084263,2.8491312,2.8094553,2.6236207,2.6802385,3.1230083,3.0007216,2.9404643,2.4439003,2.5266776,2.557325,2.569643,,
Sudan,0.7509867,,,,0.8192816,0.8099141,0.7998328,0.9957988,0.9843755,0.9428056,1.4763999,1.1108211,0.9845618,1.1063019,1.0738979,1.1387596,1.151405,1.1206429,1.0092312,1.0375582,1.0249639,,1.0001273,0.969499,,
Suriname,1.6338659,,,,2.8796667,2.8348809,2.7980027,1.3835371,1.3724255,1.3775671,1.2213066,1.194487,1.1697026,1.1451171,1.1236983,1.2262282,1.2029313,1.1808947,1.0441,0.5691482,1.1177082,1.098379,1.0780444,1.0584191,,
Swaziland,,,,,1.5214499,1.1017449,1.0661937,1.0375798,1.0122151,0.9874385,0.9577217,0.924287,0.8890975,0.8549291,0.8247647,,,,,,,,,,,
Sweden,1.4479072,,,,1.3166517,1.3689433,1.331072,1.5080916,1.5312356,1.5354579,2.1682587,2.1490203,1.9564121,1.9697007,1.9463714,1.9559364,1.5029117,1.4966681,1.3506028,0.5868285,0.5958275,0.5078547,0.3568553,0.3520917,,
Switzerland,0.5511359,,,,0.4499852,0.5750685,0.563196,0.7849692,0.8835617,0.9896393,0.796966,0.6940688,0.6682116,0.6617762,0.6932035,0.6928277,0.6606316,0.6743423,0.6639106,0.0965,2.6160468,0.5438308,0.5360699,0.52422,,
Syria,15.6527824,,,,12.9167583,12.5293252,11.9008427,11.293865,10.6930683,7.9582037,12.5148296,12.0961589,9.4997216,9.2219988,8.8476833,8.6129094,8.4495998,8.137859,7.872492,7.2922777,6.9490511,6.4380091,6.1819503,5.9558471,,
Tajikistan,,,,,,,,0.1454572,0.1483949,0.1558957,0.966883,1.3457969,0.5720518,0.5503759,0.5332592,0.3581525,0.3397677,0.3246255,0.3100955,0.4942296,0.5164595,0.6518021,0.6275699,0.6048733,,
Tanzania,0.3865711,,,,0.337638,0.3263118,0.3149062,0.3491595,0.3366975,0.3534303,0.2462942,0.2389408,0.2325015,0.2224952,0.2166273,0.2111303,0.1650485,0.1608099,0.1564821,0.150276,0.1461933,,0.1384283,0.1347296,,
Thailand,0.837044,,,,0.8925095,0.8808291,0.8783766,0.8775953,0.9182719,0.9082658,1.2891064,1.1831727,1.0008009,1.1183464,1.1209165,1.2144136,1.1726097,1.1803395,1.1848434,1.1406303,1.1286698,1.12048,1.1018402,1.0936515,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,0.2819954,0,0.2525698,0.2428006,0.2342862,,
Togo,0.2827881,,,,0.4091634,0.527344,0.5116656,0.4959417,0.4779871,0.4659298,0.439307,0.4230715,0.4047405,0.3865996,0.3702402,0.3573053,0.4543324,0.4390363,0.3831089,0.3490252,0.3760556,0.3635849,0.3515737,0.3400308,,
Trinidad and Tobago,0.4489629,,,,0.4531968,0.4375999,0.4467501,0.4266382,0.4104345,0.3957799,1.3202935,1.2737771,1.2442981,1.3034207,1.2952129,1.2733085,0.4497246,0.441768,0.4276511,0.3067441,0.4464171,0.4419752,0.5852703,0.581165,,
Tunisia,1.655113,,,,1.702821,1.4414907,1.3956097,1.3514924,1.3088296,1.2663944,2.0568772,1.9808543,1.5608063,1.5254718,1.4933181,1.4609606,1.4287649,1.3976798,1.3748851,1.3488039,1.3214472,1.3179536,1.2915451,1.266624,,
Turkey,3.4572406,,,,3.7865803,3.7146866,3.8009313,3.2989664,3.3514429,3.6930777,3.0958726,3.1154987,3.6067748,3.5116769,3.5191095,3.5812644,2.8228441,2.7821153,2.8023384,2.5221022,2.494671,2.4902715,2.4499096,2.3794147,,
Turkmenistan,,,,,,,,1.8696432,1.8269358,0.9726717,0.7025044,1.1365277,1.1408724,1.1583499,1.096041,0.7938362,0.9144805,0.8792539,1.4050432,1.2189422,1.1858296,0.9769302,0.9533392,0.9314175,,
Uganda,0.2998413,,,,0.5212944,0.7570522,0.7341004,0.8305406,0.80809,0.6735801,0.5631003,0.5479743,0.4815871,0.4182695,0.4072566,0.4818878,0.52503,0.5085234,0.536086,0.4614192,0.3815956,,0.356452,0.3445177,,
Ukraine,,,,,,,,1.6945582,1.5021519,1.392171,2.0863738,1.9003521,1.8695588,1.875528,1.8051364,1.7960173,1.8167531,1.7962912,1.7530463,1.1782654,1.1750385,0.9279403,0.9308801,0.9311688,,
United Arab Emirates,5.9910199,,,,4.7818848,6.9249215,6.5256639,5.1226317,4.8105005,4.9122573,5.4212093,4.6636709,4.3426815,4.0420922,3.7645988,3.5383264,3.3007646,1.9427108,2.2220078,2.0783227,2.0201359,1.9366729,1.8680483,1.8124763,,
United Kingdom,1.2046221,,,,1.0999375,1.0610728,1.041355,1.0187056,0.9503529,0.9027981,0.8194229,0.7739218,0.7597448,0.7566927,0.749331,0.7252713,0.7219831,0.7106066,0.7120608,0.6812762,0.7118559,0.5850708,0.5139539,0.5080181,,
United States,1.7830609,,,,1.747355,1.6879372,1.6311829,1.4540974,1.3636858,1.2680507,1.189885,1.1265442,1.0796716,1.1079069,1.0804976,0.9838309,0.9550165,0.9794441,0.983657,0.9725552,1.0095868,0.964312,0.9924842,0.9723782,,
Uruguay,2.3516642,,,,1.9441827,1.783526,1.7692986,1.7633286,1.7456607,1.7370848,1.8177964,1.806467,1.7524,1.7611328,1.7399577,1.5983411,1.5975085,1.5895117,1.5874279,1.5807841,1.5696761,,1.5797344,1.5793413,,
Uzbekistan,,,,,,,,0.539508,0.543504,0.2637222,0.5402206,0.5796805,1.0417381,1.1699722,1.0627222,0.8669355,0.7623871,0.7365514,0.7128803,0.7140997,0.8334693,0.7689887,0.738548,0.7096295,,
Venezuela,0.8247422,,,,1.0858171,1.047308,0.9832255,0.9766365,0.9425743,0.9099401,0.9344394,0.8903815,0.8624157,0.8317034,0.8049272,0.7795311,1.0044992,0.9698837,0.9399131,0.7098338,0.6890331,,0.9265421,0.9040245,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,0,7.0737074,6.7227148,6.2994516,5.9360854,,
Vietnam,3.7931595,,,,4.1256654,3.3796005,3.2648515,2.6279129,2.5667555,2.0470192,1.7750616,1.7300945,1.5341592,1.4134033,1.379528,1.3840759,1.3357351,1.3108059,1.2810923,13.359579,1.1634101,1.1363531,1.1119254,1.0853671,,
"Yemen, Rep.",2.9041424,,,,2.4300387,4.7948682,4.5058734,2.1383408,1.9991346,2.0225942,1.9487011,3.0095575,3.7934548,3.4270489,3.3092629,3.1911195,2.789056,2.9470308,2.8254542,2.6972765,2.6275208,2.5182535,2.4145069,2.3162346,,
Zambia,0.6466341,,,,0.5899175,0.5357427,0.5180954,0.5007135,0.4863441,0.4692843,0.6540758,0.6362013,0.6182201,0.5996696,0.5843748,0.5715044,0.5601561,0.5499771,0.4588459,0.3703697,0.3634254,0.3566543,0.3491001,0.3413352,,
Zimbabwe,1.2237693,,,,1.2803328,1.0864492,1.0478913,1.0825223,1.0508084,0.9153086,1.4070669,1.3142076,1.2049302,1.1995789,1.2004585,1.2093719,1.1858594,1.1274527,1.000545,0.988285,1.0129154,1.0176184,1.0233219,1.0327854,,
