"40-59 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Togo,191000,207000,224000,243000,294000,324000,355000,416000,482000,547000,657000,767000,903000,1075000,1300000,1570000,1863000,2165000,2462000,2754000,3034000
Tonga,5000,6000,8000,8000,11000,12000,14000,14000,12000,13000,14000,16000,17000,17000,19000,20000,18000,21000,24000,26000,31000
Trinidad and Tobago,102000,117000,133000,139000,147000,148000,157000,173000,189000,219000,263000,312000,340000,358000,373000,398000,425000,418000,388000,335000,295000
Tunisia,532000,595000,632000,674000,753000,839000,964000,1029000,1131000,1375000,1651000,1975000,2306000,2595000,2919000,3276000,3601000,3749000,3637000,3397000,3155000
Turkey,3408000,3999000,4131000,4446000,5336000,6108000,7093000,7843000,8659000,9739000,11526000,13831000,16234000,18956000,21525000,23699000,24941000,25672000,26033000,25780000,25872000
Turkmenistan,233000,257000,261000,271000,317000,358000,423000,425000,441000,532000,658000,853000,1015000,1152000,1273000,1410000,1615000,1796000,1851000,1879000,1846000
Uganda,653000,749000,866000,1033000,1216000,1387000,1502000,1686000,1948000,2206000,2413000,2607000,3025000,3752000,4767000,6071000,7600000,9356000,11351000,13627000,16294000
Ukraine,8147000,9576000,9697000,10188000,11443000,11616000,13747000,13245000,12569000,13114000,12538000,13129000,12915000,12471000,12000000,12067000,12437000,11938000,10693000,9125000,8000000
United Arab Emirates,10000,12000,12000,18000,30000,69000,125000,215000,321000,427000,617000,787000,973000,1353000,1795000,2102000,2165000,2148000,2149000,2260000,2444000
United Kingdom,13305000,13937000,13927000,14065000,13617000,13043000,12911000,12707000,13530000,14174000,15074000,16256000,16789000,17226000,17119000,16784000,16777000,17175000,17612000,17600000,17548000
United States,35444000,38565000,42166000,45255000,46675000,46594000,46841000,48644000,54581000,63737000,74634000,83315000,86738000,87343000,86213000,86303000,89202000,93284000,96359000,98510000,100397000
Uruguay,467000,514000,551000,594000,640000,656000,673000,672000,668000,677000,716000,750000,777000,816000,849000,860000,891000,919000,928000,943000,937000
Uzbekistan,1396000,1507000,1432000,1413000,1653000,1927000,2381000,2433000,2456000,2831000,3456000,4516000,5365000,6112000,6705000,7461000,8655000,9740000,10261000,10203000,9749000
Vanuatu,6000,6000,8000,8000,10000,12000,14000,16000,19000,22000,26000,31000,38000,45000,51000,61000,71000,82000,95000,105000,115000
Venezuela,754000,870000,1024000,1193000,1415000,1672000,1964000,2339000,2852000,3511000,4270000,5151000,5942000,6612000,7394000,8110000,8909000,9642000,10136000,10515000,10759000
Vietnam,5461000,5859000,6146000,6429000,6817000,7332000,7414000,7581000,8282000,9851000,11980000,15885000,20767000,23954000,25763000,26445000,27792000,29622000,30268000,30530000,29437000
Virgin Islands (U.S.),4000,5000,6000,7000,10000,12000,17000,21000,25000,27000,31000,32000,30000,28000,23000,20000,18000,19000,21000,20000,18000
West Bank and Gaza,140000,130000,130000,138000,132000,153000,175000,199000,226000,273000,347000,449000,558000,691000,824000,966000,1170000,1395000,1694000,2014000,2304000
Western Sahara,2000,3000,4000,6000,10000,10000,19000,25000,28000,36000,48000,77000,111000,147000,183000,212000,234000,245000,245000,237000,232000
"Yemen, Rep.",613000,637000,668000,705000,727000,738000,807000,915000,1091000,1663000,2001000,2387000,2815000,3334000,4075000,5119000,6478000,8024000,9513000,10828000,12178000
Zambia,296000,346000,398000,458000,524000,608000,703000,821000,962000,1102000,1238000,1287000,1347000,1515000,1827000,2196000,2658000,3174000,3784000,4510000,5330000
Zimbabwe,390000,435000,503000,566000,646000,731000,804000,956000,1105000,1306000,1423000,1303000,1128000,1187000,1599000,2347000,3315000,4258000,4854000,5095000,5224000
