Aid received per person (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Egypt,6.393914825,4.110814318,6.39402691,6.861277486,7.597658733,3.863873435,2.984015601,0.9875530608,0.750307261,0.2821325217,4.758473773,3.774302429,3.724061964,23.09128919,35.05698164,62.49173201,59.26585479,62.89492681,62.85722726,35.77091296,30.86035465,28.1434311,30.73033508,30.13222963,35.81073072,34.96038512,32.16471578,32.42944823,27.47763702,29.53089776,106.6880823,93.3324816,63.3461534,41.36292075,44.08091541,32.64527266,34.72596176,31.26780191,30.22606263,24.37887182,20.26004481,18.96105843,18.70305497,14.21723466,21.31635723,13.9374015,11.90457081,14.768999,22.22237884,12.52593529,7.302787659
El Salvador,0.2596376972,2.581049501,2.097318989,4.337671661,4.205238526,4.456396655,6.236993177,4.423512042,3.846383199,3.492098234,3.974508546,3.320402702,4.609222966,5.646450475,7.108088642,8.822226812,6.874246395,10.21930599,12.25782568,12.96811782,20.69470732,35.35282094,45.54359962,59.64924035,52.94375684,69.06279724,66.42482363,82.14486441,79.99707105,83.73815809,65.12474962,54.48094303,73.42380789,71.53593084,53.87176852,51.62032099,51.93387509,47.70253239,30.78207114,30.97396184,30.2442383,39.81208935,38.95806993,31.97957302,35.8944213,33.79217597,26.82037183,14.4356508,38.06919441,44.7972485,45.76946882
Equatorial Guinea,,,,,,,,,,,,,,3.849422777,63.66976668,9.150436535,1.83780094,3.810422413,2.738899334,12.22596181,41.84384945,43.96671767,55.68141932,40.84976324,50.97020439,54.72853241,62.17256544,156.1798577,136.2263786,155.1645622,161.0914528,160.864706,154.6106847,127.281077,69.46180535,75.4756207,67.39248799,51.45125993,45.20130563,39.96023817,40.87397671,24.64654362,36.34369775,36.59097306,49.42403619,62.74074891,41.8839299,48.70049197,48.43528952,46.23301498,120.9450015
Eritrea,,,,,,,,,,,,0.01582255114,,0.3102121851,1.046367717,0.7658126123,,0.9416375699,2.121077835,1.726880141,1.895579492,2.210982949,1.728797072,1.686740124,1.64526542,,0.3466939954,0.6740706588,0.6564535621,,1.424819404,,0.3140684776,21.28883105,48.38259633,46.16026818,48.26516327,36.97577056,48.80312601,42.00136445,48.2662118,74.41364175,56.81719529,76.46122301,61.34297345,77.84394431,27.07800553,33.00364422,29.00038221,28.18557402,30.55765144
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0.680608424,0.9079722476,1.139328451,1.027471281,0.6431415573,0.8214220594,0.9721209862,1.033183094,1.541314545,1.373881443,1.370194986,1.577675588,1.544239257,2.103912853,3.620351429,4.003463216,4.173349999,3.394622957,4.050850833,5.474836687,5.958852809,6.734641668,5.341200142,8.782927765,9.035135944,17.24081813,14.77231072,14.21106783,21.17447352,15.5513826,20.87899676,21.83790446,22.47252132,20.19972595,19.23063913,15.36564239,13.88377092,9.562390394,10.61807483,10.06923474,10.47944554,16.39032463,19.1826067,22.97736387,25.20964027,25.95919434,26.75969123,32.91908756,41.89867891,47.03702163,42.49824601
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2.745534693,2.480737442,25.66638913,10.15591508,7.636858498,9.398881188,8.6283994,5.800107394,12.4473094,17.16763459,13.37034511,20.01388181,15.58453042,26.29266242,26.26338371,33.57415622,39.41691558,38.55938011,43.19094434,49.40643104,56.46178087,61.84274799,52.41979532,47.32581431,44.28682788,44.27408624,58.56360511,49.17985081,74.47910974,58.93120413,68.06793064,60.94426205,85.19658891,81.08813334,53.03470567,57.2422391,59.62689544,56.02869516,45.98562481,43.21332661,35.87452785,31.82454159,42.1640109,62.54442771,80.03887184,80.40819254,67.20641124,60.8308481,53.63592291,83.29002033,88.77290056
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,139.74235,151.8433827,176.2310542,172.5956557,178.3137311,171.6539693,232.3694243,412.5662687,299.2166023,552.6836822,580.0620028,602.9979642,637.0792044,981.3775562,1055.341566,942.4494176,1080.929292,1078.275003,1014.985251,988.311957,1387.503502,1611.046677,1770.599431,1509.226771,1328.979492,1561.534914,1605.997612,1607.227197,1738.844803,2089.593045,1835.246989,1635.264636,1616.12944,1505.147046,,,,,,,,,,,
Gabon,0.04117496891,1.146615233,5.37256937,8.207608008,29.82965381,25.94245636,26.65269443,29.41332188,25.80767939,35.88835671,44.87031798,43.94806273,48.60359797,69.30873424,42.44088529,101.4415107,55.55437409,43.27494322,67.31663463,55.20156409,81.41907679,61.41497717,85.40635335,85.01870251,97.81259948,76.52964815,96.04781264,97.37504069,121.3066797,146.7758983,141.2527286,148.7134117,68.91027743,98.34582441,171.2880563,132.0118051,112.9568106,33.81178946,37.82888035,39.44941509,9.439201343,6.752878682,55.52748789,-8.02286783,29.66140469,44.08603013,20.79170221,35.9501755,42.78395653,52.25669604,69.08173764
Gambia,1.449178128,3.741849049,6.5423534,12.92413633,6.336411255,10.37977775,8.601892896,7.065644769,13.40534883,8.219705793,2.856127484,7.471974803,10.00430513,12.77101218,19.55156125,14.94118303,19.55272026,37.15743035,57.97445596,56.36787803,83.58394756,103.2142239,68.04046128,57.28520884,70.40279924,62.51463967,125.8859503,122.1438859,93.798184,106.3218731,100.667494,99.41553175,105.2867817,79.7541056,62.91473588,40.33980268,31.13161612,32.58182185,32.09680632,27.15263159,38.27045897,39.57552517,47.6368697,44.39921062,41.66401345,40.2014261,48.43403722,61.10508201,57.42289471,75.80271315,69.54432843
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04342521558,4.175643788,21.33534239,36.47358894,44.16138572,67.0197786,53.37629093,46.46892341,54.87703537,38.28395537,66.42121102,72.16892357,53.13359052,72.5794873,66.97468587,80.97771714,86.62382645,202.5024523,205.667906,140.4037909
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,0.4360654614,0.4268244662,0.7813830815,2.433889691,2.656767689,5.919687186,7.786750954,5.555583503,7.484315726,8.400380003,6.807329985,6.378424854,6.387558572,4.33461397,3.747344771,12.50773104,6.071723419,8.752552787,10.72325374,15.77406276,17.46911114,12.85078339,11.96845414,9.035967203,17.13330283,15.12822634,27.09108155,30.01897247,41.10998604,49.74285778,37.83575327,57.74331757,39.14064822,38.85752832,32.99817486,38.14989568,37.28396395,27.64509038,38.3756722,32.47438137,31.21078564,32.63097763,34.11492913,47.71505093,67.17310504,53.17469112,56.07617599,51.30280578,56.17779026,66.39495086,69.38964751
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,0.5342565286,19.86939898,29.7593282,29.7638588,37.05593894,29.09752727,32.08749492,35.41872807,66.95836648,66.11836801,77.36984244,279.2830346,344.7066838,239.251664,192.6563004,204.4336484,151.3664307,143.4511435,170.6998174,133.1438633,80.132774,182.7555305,108.023921,117.6680866,87.88685557,61.45091337,101.5253468,162.526349,108.0300007,99.26045079,105.4846128,152.652384,511.0284813,259.5184254,222.9897067,319.1191925,459.2831686,323.868041
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,3.801434783,3.315717366,2.129206635,2.639549854,2.622941767,2.977142766,2.160311902,3.47614582,3.219646118,3.273863181,4.03290424,3.496052515,4.71282699,4.493921954,4.308602013,6.348519257,10.19039982,9.401899816,10.6325296,9.686325841,10.31765296,10.43963495,8.599874667,9.980702304,8.410707248,10.40016433,16.5447576,28.85952495,27.58054903,30.0764932,22.56719082,21.51222286,20.94459895,22.21009181,22.29195638,20.80838286,18.77141783,25.22631509,21.76598415,26.71146461,23.41618181,20.35154935,21.14767603,20.39744181,17.5029529,20.17668419,37.15332311,34.01342721,39.15243806,26.76286801,27.34880407
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0.04518808978,0.7041706665,2.79494102,6.295770998,3.761089429,6.283709209,3.698328453,2.018570343,1.511836815,3.275831074,2.467707341,2.276044383,1.132865224,2.638540422,4.638267793,5.684809615,2.420866051,5.240797241,13.69683296,12.74570641,20.12103482,23.78946978,25.27167765,14.20513124,25.0487035,22.93442424,33.34865306,42.7088733,47.96825396,65.95191518,50.62702995,62.05337294,69.16948829,59.70727022,49.41404704,54.97780307,38.18474493,47.76905485,44.29871867,28.88840425,18.32707251,34.09330056,29.50167206,29.08638357,31.33310182,21.91905544,18.42654718,24.33211762,34.3442015,21.95832753,21.81015249
Guinea-Bissau,,1.359733425,,,,,4.712077003,0.8575766901,,0.117359282,,0.179197748,,0.01543917505,15.02263849,29.90867481,34.45550595,52.02123479,63.5438268,64.91428176,69.61326894,74.89403055,72.32319535,70.80813164,60.06095541,61.25466298,73.71954212,115.9772285,103.2143669,115.3012483,124.2752251,108.7494012,101.3374082,87.46566096,158.0775392,104.496922,157.477777,106.2087665,80.28753713,43.07659943,65.3445156,47.98969052,46.55974366,114.4208793,56.9728538,48.27830766,62.35793541,85.8873564,92.02363256,98.74538447,91.95340095
Guyana,13.51341702,16.28859642,14.06465006,10.12474009,8.12898633,10.91425208,13.17859504,16.79677384,21.87691207,25.55500963,23.55918517,22.51314066,16.93342013,10.93287566,16.31906871,13.48808575,29.17208484,15.22660893,36.00712086,44.14338598,53.71651889,84.70981409,50.51061475,40.01651351,30.37578164,35.74868686,40.07972994,37.39562869,36.77644561,60.3724248,232.1738207,178.8380091,124.1544191,146.6804799,108.0583358,117.7094394,194.5156998,362.5522958,127.1667912,119.1667487,158.013698,152.50358,97.3291726,129.6487499,195.1480552,200.9152613,232.9481599,170.4512124,221.2411752,230.208509,203.0635142
Haiti,2.518421451,3.338579915,1.222629379,0.8062687272,0.9335583424,1.472116384,0.9566346282,0.7960523002,1.281009638,1.090126889,1.639189714,1.272381928,1.37976421,1.569989381,2.70546748,10.92364091,13.42195783,16.11927175,16.71426967,16.31527458,18.27064608,18.23826568,21.16342616,21.61380334,21.11981595,23.2706034,27.61534755,31.84328515,20.74692441,28.08640529,23.49373891,24.37468464,13.60388237,15.93126251,77.65230708,91.68056795,45.73137898,39.69242735,48.78430032,30.93454096,24.0371408,19.37344595,17.43319606,23.44469924,32.40984066,45.53098009,61.35580289,73.0179978,93.67593463,113.5069591,306.6911085
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,2.385560607,3.083106416,2.808857263,4.325241885,5.242221333,5.477866143,4.53435748,4.594820216,7.461146726,7.210499588,7.570098742,5.551691167,5.859356442,5.08871393,8.757751041,16.28930633,12.19668101,16.99015522,26.96578551,27.44802226,28.2497712,29.09726847,40.85582391,47.73408277,69.62210231,63.81171214,64.17645309,56.52652497,69.56322153,53.30826623,91.72867097,60.0177885,72.28703406,63.38288147,53.75236344,72.17450309,62.38910876,50.78649059,53.0571148,133.9192179,72.09377836,103.5200634,65.01248548,59.57783663,97.56896206,100.309002,84.69358282,64.86265402,77.27645315,61.2153978,75.54742278
"Hong Kong, China",1.895562011,1.616110603,0.5778772843,1.593148002,0.07989499515,1.181244615,0.6804595168,0.7118298055,0.3471217819,0.3338595719,0.3561505431,0.8973376511,0.7008439228,0.2145416824,0.2376447787,-0.2555137171,0.5931828243,0.4516002356,0.5034815212,2.415968517,2.150856195,1.836632326,1.506315889,1.642625956,2.547286908,3.753528096,3.343228469,3.468383865,3.927073708,7.143610847,6.689455693,6.270862309,-6.723558314,5.129639044,4.452066143,2.880070174,2.051122679,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1.629205127,1.349360527,1.452318705,2.053336901,2.501877704,2.587024606,2.44599153,2.649247639,1.745295253,1.671625879,1.488894882,1.768988588,1.058683605,1.312005151,2.024994565,2.573860376,2.730659695,1.508418231,1.691301855,1.993369049,3.1273811,2.757974115,2.235212502,2.444704009,2.174212272,2.024140901,2.482196269,2.069272855,2.326490099,2.068031767,1.600999423,3.067831337,2.662283605,1.575219741,2.448695415,1.793089503,1.926114431,1.640354446,1.575056902,1.431679198,1.302630673,1.616699279,1.614659281,0.6599054561,0.6892485048,1.64536796,1.196416501,1.184585697,1.777760156,2.070304168,2.291627607
Indonesia,0.9035678226,1.207737531,1.633115968,1.092223119,0.6588614596,0.4116309172,0.7762087643,2.093187095,2.899049216,2.848697106,3.929310265,4.820529386,4.007140311,4.800399441,5.047551822,5.120355382,4.852379759,3.645796446,4.381548091,4.877150931,6.271779101,6.299577362,5.716144252,4.603037933,4.071960086,3.577639959,4.135419038,7.118948668,9.158414173,10.12958877,9.307826412,9.733062046,10.33649031,9.98172604,7.880463363,6.525515486,5.293363362,3.928149699,6.034181593,10.07859161,7.746183445,6.775144745,5.956588833,7.985828116,0.587115608,11.14806249,5.733856695,3.888295668,5.237769549,4.408029089,5.805246844
Iran,1.2332321,5.750521723,2.435252335,1.150322311,0.1749359978,0.8546254227,0.4405043861,1.214826647,0.3083865085,0.6104750861,0.7309326621,0.2566176945,0.2940622377,-0.1206210721,0.2849415007,-0.2280962565,-0.3983560621,0.9809625552,6.612750366,0.1541464895,0.7999680428,0.2184337654,0.06910111417,1.106408873,0.2857733859,0.3533543446,0.5555634876,1.416108498,1.569751572,1.708342246,1.940019482,3.449164813,1.852187873,2.417654929,2.204437425,3.121636698,2.69831701,3.2302097,2.602916331,2.508777961,1.987532766,1.742177802,1.703840858,1.914880316,2.768773398,1.562840433,1.641067962,1.432901049,1.361059137,1.259688168,1.638286508
Iraq,0.1964790414,0.08982745071,0.2804510322,0.6456764268,1.565431576,1.263687641,0.4669448699,0.4505861098,0.2444738501,0.4426964527,0.8042479458,1.579422099,2.122380913,1.203632,0.3707124866,8.30218564,0.5182075087,5.638299424,4.800429411,1.288308451,0.6628342313,18.30438976,0.4217935489,0.8642397534,0.263020083,1.651086319,2.059551613,5.488640719,0.5540534551,0.6154275747,3.467586095,29.53402285,7.180241265,8.530996316,12.46814843,15.91869559,16.23252001,9.993877045,5.145091718,3.255197432,4.188183909,4.920255767,4.432744037,87.20048312,172.8367386,799.2151874,312.642001,314.2237181,327.5357664,89.77264405,68.42253163
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,49.7913927,49.13043478,46.40209333,47.76796974,38.77171717,47.92430745,42.25941423,25.74499089,22.11559044,19.16927355,21.23739072,23.53209514,27.11880559,56.75411836,34.82084691,135.3053546,182.0945372,220.7030169,243.8130081,312.9107237,230.0567303,195.2502528,212.711486,327.6443362,301.9740322,467.3753839,450.5954873,286.2897688,279.3921657,263.7804338,294.3969957,353.4976763,403.2344329,240.6709751,229.1498426,60.52119026,389.4518623,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,6.108061721,7.506849106,2.021066898,2.305790208,5.607954545,5.731511333,5.410525868,8.80624592,7.192661426,5.617977528,11.69532671,8.80445203,9.672406828,13.02211532,11.97714853,12.68086526,16.02894794,58.57789146,58.10923361,58.72011252,71.20196087,81.58720058,80.45787219,74.59099083,72.93929298,75.84981591,71.04994469,81.52266169,110.1225315,113.2301255,66.25819533,48.81051236,40.85581071,44.24793052,43.44354839,23.00867007,28.10499996,7.263041649,-8.736391609,3.30579974,20.73104881,9.176712063,2.483147351,31.32178462,14.93736794,13.96492809,10.49405785,31.93286692,55.38655587,52.26288717
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,104.6090047,102.9669375,86.66196722,82.70028177,71.20651643,61.12588652,64.08453427,41.84866272,33.65176305,33.78310647,53.10344828,40.86167494,66.90302593,121.5313446,178.1874159,271.6464088,305.4991553,226.5453165,233.6046302,696.0804302,722.6639156,550.8841033,383.090585,347.8038158,274.9029044,229.7352496,230.6559767,227.1574139,161.3568521,110.7558901,300.2082019,264.9675599,113.9217787,79.25895978,91.74210802,128.5220501,117.2010927,105.9760339,89.71375125,92.66958658,115.2100052,91.39196746,111.7804684,256.738962,113.9905482,130.9156426,103.4079827,113.0748852,127.5099361,125.1682164,157.8419051
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.777909486,0.7342253253,0.9399636345,3.309682608,4.099110489,7.98888463,9.205212833,14.81358596,11.72126262,12.7112842,10.56645984,12.61327518,19.71021702,17.83522849,15.11055402,11.38614007,13.61517605,21.39913369,18.48574587,13.71843796
Kenya,2.604425302,7.56210542,5.692466139,6.240186216,6.164058744,7.58892898,5.641176578,3.615188005,5.780735952,5.13545983,5.096727625,5.734593737,5.947203958,7.579638077,8.969573158,9.255444637,11.04602735,11.06599251,16.28505861,22.24167107,24.26854725,26.51781738,27.60079387,21.71859262,21.56672661,21.70724153,21.72682442,26.36554123,38.002604,46.75398637,50.38090513,37.80758733,35.2658878,35.37779832,25.39627181,26.68480536,21.10628923,15.49916773,13.98182474,10.19199102,16.40509711,14.69096108,11.9294103,15.47094641,19.02589624,21.31711466,25.90792116,35.3947257,35.52061247,45.01017531,40.19901719
Kiribati,0.4914004914,6.26435984,7.561179393,9.502742352,6.367595851,9.598214286,13.58891005,30.78722283,27.08018103,28.69987089,44.5807771,51.0589711,83.26213531,116.2003083,107.4432715,106.5913371,74.83161957,112.6600704,191.9297053,159.1580155,329.7762478,258.2919639,248.7549076,270.4552728,187.8487946,185.0769231,201.3579525,270.3677282,232.9359422,246.2901407,281.4392094,270.6285964,357.3785061,209.100456,200.5565181,198.581193,163.2007752,196.7056816,213.4796818,252.7749503,212.7127723,145.295149,239.5951668,213.6838785,184.8492223,304.278819,287.1683024,283.6610797,280.7359218,276.8624971,229.240753
North Korea,,,,,,,,,,,,,,,,,,,2.979015576,,,,,,,0.2943236453,0.2856923684,0.8505177682,0.4622466918,0.4188274374,0.3837521047,0.4211826535,0.5090306312,0.664930973,0.2636063859,0.6191751943,1.160221614,3.962525141,4.672445397,8.84545062,3.201698953,5.096298776,11.38082207,5.589133213,6.828299562,3.687367033,2.288289756,4.135600376,8.546264954,2.690796202,3.238283843
South Korea,9.998742929,8.907519462,8.934823487,9.661005558,6.167711754,7.728356116,7.790815825,8.56530462,8.059918197,10.82602126,8.604141215,9.955572212,10.98520612,8.310035765,7.284892526,7.033247357,6.078830651,6.550313084,4.4366902,3.561037992,3.636029798,8.531622033,0.8615165539,0.1931846655,-0.9114982923,-0.2185953046,-0.4271076146,0.2585688515,0.2229898749,1.212600283,1.212997737,1.25104003,-0.0709983281,-0.7969402579,-2.569680337,1.264054288,-3.270730368,-3.4741263,-1.088210513,-1.181972242,,,,,,,,,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.6454924,349.0550099
Kuwait,,-0.5397345855,-7.359246983,-2.633459009,-2.030981703,-2.643508431,-2.688081718,-2.448267596,0.01558375176,0.473722743,0.4647198005,0.6287083003,0.6778134428,0.419019623,0.383108929,0.3131663682,0.170238235,0.4325956588,0.7563127981,0.8940046672,7.443918246,6.502045032,3.870508377,3.256938352,2.69283435,2.416647198,2.701791408,1.749843598,2.928754352,2.265364402,6.15992723,5.790239704,,,,2.59842215,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66846791,21.03526911,38.42661292,62.42215595,49.79042434,51.02205945,50.20968757,58.49309974,43.83268006,38.00529817,37.19117559,39.67640236,51.2018336,51.88858327,59.51057795,52.11449396,67.65374998,58.20964836,69.8195635
Lao,15.66690204,23.71026134,14.00587224,15.99050909,19.60111999,28.52291452,28.27536998,29.56211959,23.41264236,25.44827828,25.72823272,26.17466595,23.50687825,25.92110666,20.06396877,12.60418423,9.110589992,10.13566668,22.56176477,16.96165724,12.62924885,10.57938512,11.34310353,8.568883645,9.570027507,10.05001982,12.0287313,14.24382396,18.50247078,34.61679728,35.31855394,32.40693933,36.67548376,43.89302592,45.78898461,64.00476152,67.44349995,65.53274584,53.78604508,56.38086774,52.78104817,45.26603502,50.66312515,53.93380327,47.62614797,52.48081072,62.26234993,66.78372758,82.29656554,68.54878886,66.73070044
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,7.029875135,6.511018921,4.536392966,3.916889166,1.378492628,3.602701028,3.730753058,3.763232009,8.087866926,3.834296893,8.107825147,2.400705895,5.78228726,4.363227633,51.11389365,5.171249732,14.03909646,48.58132795,83.37505964,44.2373253,106.5719424,162.067892,66.13345442,44.15051292,26.87135036,28.56022965,21.57901023,35.0633567,49.97504194,40.58365224,96.8941504,41.38713661,35.18925765,43.19344058,67.76742545,55.23864747,66.29582296,72.43943458,93.3490772,52.56321556,53.44532776,52.17592981,52.54485972,135.7872512,66.47003708,56.87465761,199.8898341,236.759445,256.7534975,138.2633745,105.9538078
Lesotho,1.831858844,4.778012831,6.722113714,6.27617158,6.180253762,10.16425609,13.16901815,14.18314162,13.29197157,12.91390957,9.418766287,15.71609729,12.86125825,12.67690101,18.35726514,24.76958976,24.19920733,30.3235783,39.7914192,50.73618829,71.11553526,76.74309015,66.84583909,74.89490167,67.75867835,61.98729187,56.19438069,67.63887742,68.92841319,83.57845787,84.8779601,73.87415453,84.24724766,82.6986131,65.63507986,62.77406186,56.42289454,49.11490239,32.17844439,16.03650243,18.67223931,27.71265516,38.20399441,38.871825,47.89433934,32.67091113,33.86139269,61.15012953,67.59386522,56.94674439,118.0066669
Liberia,8.890992134,23.51421573,67.54886786,28.41342407,12.79635263,27.98926721,29.32705382,19.3149297,11.97173702,11.68386891,8.953397186,8.615848702,8.484685176,6.574895019,9.028397851,12.06896864,15.5050661,18.57826707,25.76965898,43.15711649,50.48019907,54.39605497,52.59086868,55.13871678,59.88150336,40.91776249,43.59511108,35.29640392,29.32646401,27.84745172,53.47191338,75.37218693,58.22277416,60.24354486,31.07961971,58.77042344,78.35071007,32.08627285,28.33320542,34.6555818,23.67865584,13.09157023,18.41071106,35.20760437,68.95222686,69.90959105,78.59751494,201.7113209,341.9444247,133.6234326,355.337168
Libya,31.77158852,26.20838668,22.09212264,17.37095223,11.90976242,4.861379819,1.184223771,1.142608969,3.752158991,3.807595106,2.156469408,1.620272542,3.267333805,5.436611582,4.794955351,0.6285482563,2.70963729,2.356549698,1.847893687,1.173016115,3.960169768,1.458138371,31.82714801,1.479198246,1.251300517,1.358511778,2.704686057,1.504655965,1.320798713,2.301708301,1.924115559,1.693847759,0.727277565,0.6240990521,0.8427375016,1.223034344,0.7752950285,0.8038656648,1.100921144,0.9154077538,,,,,,4.11979183,6.364381993,3.222618164,12.06578618,6.556312191,1.343800078
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",10.38203558,6.852091887,,5.405462697,,,1.567766716,0.6160453409,0.7169154082,0.285355553,0.8366700532,0.9453322252,0.353940538,0.4746028168,0.1197375353,0.08057660619,,,,0.08228183999,17.99130894,0.03964305394,2.759540537,2.06136234,1.586395076,1.417912967,1.16424977,0.4339241934,1.041880624,0.9470702525,0.6394057419,0.3247693461,0.3440190957,0.4672982115,0.739973361,-10.06460422,0.7904982115,0.875805863,1.197791273,0.7541975809,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.707517655,53.36065683,40.13274363,53.40845687,49.56646364,52.65498363,138.3335216,124.5289536,122.6144861,135.2598955,131.0422676,129.5794129,111.5249479,100.4605277,98.10920533,99.73574,93.5788122,90.83439817
Madagascar,0.5192360294,0.2850626047,0.9319161485,1.510947076,8.46321135,8.816368676,8.071071453,7.200619082,7.82082053,7.143406911,7.321815713,6.970313423,7.916778592,7.394287047,8.598586598,10.9582694,7.953089863,7.6363321,11.09079508,16.35309224,26.66406783,26.3734771,26.50460138,19.50293879,15.76147901,18.87054899,30.81393157,31.97276063,27.81818161,31.69989802,35.18953959,39.16367302,30.19276269,29.26399458,22.63806972,22.80484601,26.18165681,59.58231301,33.29697807,24.04619017,20.84055789,23.36491062,22.88761444,32.43761816,72.74780096,51.04672283,42.41523384,47.10493056,43.10538444,22.06105599,22.69402856
Malawi,1.180059491,2.281287456,3.14291577,4.349636808,8.396485339,8.53150013,7.782265417,7.18939263,10.94544838,6.243318231,8.114704896,6.752517037,7.513388351,5.958735605,8.064945119,11.85998652,11.24962006,13.91661915,16.74814497,23.35572678,22.62536984,21.31964948,18.3072961,17.13184011,26.02409971,15.47276053,25.38699868,33.93558832,43.59026911,46.10425661,53.33821133,57.34426468,59.60093074,51.0552768,48.11012177,43.92640147,48.80938136,33.32162368,40.94473676,40.89078593,39.72924516,35.512016,31.95611768,42.66219402,40.53702803,44.71406589,54.77695933,54.74485857,65.94948573,53.41188967,68.64377655
Malaysia,1.627428444,2.243568753,2.505188047,1.414661202,1.849902487,2.317780691,2.85960149,2.08662108,3.167823319,2.896376175,2.416275282,3.772701824,4.36955665,3.83463272,5.752038739,8.040455022,4.992741438,5.483289232,6.050927554,9.215300568,9.729923241,10.08270199,9.263413211,11.78851426,21.25889247,14.50688885,11.81122096,21.72587355,6.012767276,7.893322272,25.7291048,15.46362491,10.60711712,4.833192674,3.273374911,5.216977522,-21.49751999,-11.04193977,9.037091272,6.317207792,1.950466688,1.281055102,3.539418999,4.256951984,11.95015969,1.001906457,8.978688901,7.398208918,5.618135229,5.11495866,0.07253261388
