Contraceptive prevalence (% of women ages 15-49),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Dominican Rep.,,,,,,,,,,,,,,,,31.8,,,,,42,,,45.8,,,50,,,,,56.4,,,,,63.7,,,69.2,64.7,,69.8,,,,61.3,72.9,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,33.6,,39.9,,,,,44.3,,52.9,,,,,56.8,,,,,65.8,,,,,72.7,,,,,,,
Egypt,,,,,,,,,,,,,,,,24.9,,,,,31.4,,,,30.3,,,,37.8,,,47.6,47.1,,,47.9,,,51.7,,56.1,,,60,,59.2,,,60.3,,,
El Salvador,,,,,,,,,,,,,,,,21.6,,,34.4,,,,,,,47.3,,,47.1,,,,,53.3,,,,,59.7,,,,,67.3,,,,,72.5,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,3.3,,,8.1,,,,,14.7,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,40.9,,,,38,,,,,,,,,,,,,,,,,,,43.9,,,44,,35,,,,,43.1,,,,
Finland,,,,,,,,,,,,77,,,,,,80,,,,,,,,,,,,77.4,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,64,,,,,71,78.7,,,,,,,,,,81.2,,,,,,74.5,,,,,,81.8,,,,,71,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,9.5,18,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,47.3,,,,,53.4,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,77.9,,,,,,,70.1,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,12.9,,,,17.2,20.3,,,,,15,22,,,,25.2,,,16.6,,23.5,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,77.2,,,,,,,,,,,,,,,,61.3,,76.2,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,54.3,,,,,,,,54,,,,,,,,54,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,18.1,,,,,25,,,,23.2,,,,,,,,31.4,,,,38.2,,,43.3,,,,,,,54.1,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,6.2,,,,6.5,,9.1,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,10.3,,,,14.2,
Guyana,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,38.2,,,,,,,,37.3,,,,,34.6,,34.2,,42.5,,
Haiti,,,,,,,,,,,,,,,,,,18.9,,,,,,6.9,,,,6.7,,10.2,,,,,,18,,,,,28.1,,,,,,32,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,26.9,,,34.9,,,40.6,,,,,46.7,,,,50,,,,,61.8,,,,,65.2,,,,,
"Hong Kong, China",,,,,,,,,,,,,49.6,,,,,71.9,,,,,72.3,,,,,80.8,,,,,86.2,,,,,86,,,,,86.2,,,,,79.5,,,,
Hungary,,,,,,,,,,,,,73,,74,76,,73.1,,,,,,,,,73.1,,,,,,,80.6,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,13.6,,,,,,,,,,35.3,,,,,,,,44.9,,,,,40.7,,,,,,48.2,46.9,,,,53,,56.3,,54,,,
Indonesia,,,,,,,,,,,,,,8.6,,,26.3,,,31.2,,,,,,38.5,,47.7,,,,49.7,,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,,60.3,56.7,57.9,,61.4,56.6,60.63,55.9,
Iran,,,,,,,,,,,,,,,,,,36,23,,,,,,,,,,,48.9,,49,64.6,67.8,70,72.8,73.7,72.9,,,73.8,,73.3,,,78.9,,,,,,
Iraq,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,13.7,,,,,,,,,,,43.5,,,,,,49.8,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,75,,89,64.8,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,38.3,,,54.9,,,,51.4,,,,,,54.6,,,,62,,,,65.9,,,,,69.1,69,,,,,72.3,,,
Japan,,,,,,,,,,,,52.6,,59.3,,60.5,,60.4,,62.2,,,,,57.3,,62.8,64.5,56.3,,57.9,,64,,58.6,,58.6,60.4,54.1,,55.9,,,,52,54.3,,,,,,
Jordan,,,,,,,,,,,,,26.1,,,,25.2,,,,,,,,,26.5,,,,,40,,,,,,,52.6,,,,,55.8,,,,,57.1,,59.3,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,,,,66.1,,,,,,,50.7,,,,,
Kenya,,,,,,,,,,,,,,,,,,,7,,,,,,17,,,,,26.9,,,,32.7,,,,,39,,,,,39.3,,,,,,45.5,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,36.1,,,,21.5,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,,,,62,67.3,,,,,68.6,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,24.5,,,34.9,,44.2,,,54.5,,,57.7,,,70.4,,,77.1,,,79.4,,,77.4,,,80.5,,,79.3,,,84.5,,80.2,79.6,,,80,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,39,,34.6,,,,,,,49.8,,50.2,,,52,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,47.8,,,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,20,,,,,32.2,,,,,38.4,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,62.7,,58,,58,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,23.2,,,29.1,,,,,30.4,40.6,38,,,37.3,,,,47,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,10,,,,,,,11.4,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,19.4,,25,18.8,,,,27.1,,,,,39.9,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,13,,,,21.9,,,,30.6,,,,32.5,,41,,,,,
Malaysia,,,,,,,,,,,,,,,33,,,,,,,,,,51.4,,,,48.3,50.1,,,,,54.5,,,,,,,,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,42,,,,,39,,,,,34.7,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,6.7,,,,,8.1,,,,,8.2,,,,,
Malta,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,85.8,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,22.7,,,,,,,,,,,,,,,27.2,,,,,,,,,37,,,,,,,34,,,,,,44.6,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,4.1,,,,,,,,,8,,,,,,9.3,,,,
Mauritius,,,,,,,,,,,,,,,,45.7,,,,,,,,,,74.6,,,,,,74.6,,,,,,,,,,,75.9,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,30.3,,37.8,,,47.7,,,,,52.7,,,,,63.1,,,66.5,,68.4,,,70,,,74.5,73,73.7,70.9,,,72.5,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,23,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,,,62.4,,,,,67.8,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,,,59.9,,67.4,,,69,,66,,,55.2,,,
Montenegro,,,,,,,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,,39.4,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,19.4,,,,25.5,,,35.9,,,,,41.5,,,50.3,,58.4,,,,,,,63,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,16.5,,,,16.2,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,16.8,,,,,,32.7,,,,37,,34.3,,,,41,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,28.9,,,,,,,,43.7,,,,,,,55.1,,,,
Nepal,,,,,,,,,,,,,,,,,2.4,,,,,6.8,,,,,15.1,,,,,24.1,,,,,28.5,,,,37.3,39.3,,,38.3,,48,,,,,
Netherlands,,,,,,,,,,,,,,,,75,,73,,,,,76.9,,,72,,,76.2,,,,,78.5,,,,,71,,,,,67,,,,,69,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,70.1,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,48.7,,,,,60.3,,,68.6,,,,,,72.4,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,8.2,,14,,,,,,11.2,,,,18,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,6,,,,13.4,,,,,15.3,,,,12.6,,,,14.7,14.6,,,
Northern Mariana Islands,,,,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,73.8,,,,,,,,,86.5,,,,,,,88.4,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,23.7,,,,,31.7,,,,,,,,24.4,,,
Pakistan,,,,,,,,,,,,,,,,5.4,,,,,3.3,,,,,9.1,,,,,14.5,11.8,,21.9,,17.8,13,23.9,,17,,27.6,,32.1,,,26,29.6,27,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,32.8,,,,21,,,,
Panama,,,,,,,,,,,,,,,,,53.9,,,60.6,,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,,,52.2,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,,,,,,32.4,,,,,
Paraguay,,,,,,,,,,,,,,,,,,28.6,,37.7,,,,,,,,44.8,,,48.4,,,,,,55.9,,61.8,,,,,,72.8,,,,79.4,,,
Peru,,,,,,,,,,,26,,,,,,,,31.4,,,41,,,,,45.8,,,,,,59,,,,64.2,,,,68.9,,,,70.5,,71.3,,72.4,73.2,74.4,
Philippines,,,,,,,,,15.39999962,,,,,,,,,,36.2,,,,,,,,43.6,,36.2,,,,,40,,50.7,48.1,47,46.5,49.3,47,49.5,48.8,48.9,49.3,49.3,50.6,,50.7,,,
Poland,,,,,,,,,,,,,60,,,,,75,,,,,,,,,,,,,,72.7,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,76.3,,,,,,,,,,,,,,,,,78.8,,,,,,,,,67.1,,,,,
Puerto Rico,,,,,,,,,,,,,,,61,,64.6,,,,,,70.4,,,,,,,,,,,,,,77.7,,,,,,84.1,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,,,,43.2,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,57.3,,,,,,63.8,,,,,70.3,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,66.8,63.4,65.3,,,,,,,,83.8,,,79.5,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,21.2,,,,13.7,,,,13.2,,,,,17.4,,,36.4,,51.6,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,54,,54,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,42.7,52.2,,,,,,47.3,,,,,,,,,,47,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,41.5,55.5,,,,,,58.3,,,,,,,,,,58,,,,,,,48,48,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,42.6,,24.5,,,,,,,,,,,28.7,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,30.7,,,38.4,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,20.8,,,,,,,,23.8,,,,
Senegal,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,11.3,,,,,,,7.4,,,,12.9,,10.5,,,,,,11.8,,,,,,
Serbia,,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,,,,41.2,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,4.3,,,,,5.3,,,8.2,,,
Singapore,,,,,,,,,,,,,,60.1,,,,71.3,,,,,74.2,,,,,67,,,,,65,,,,,62,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,79.8,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,70.6,,,,,,,,,,,,,,,,,,,,,,,,,78.9,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,6.8,,,,,,34.6,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,14.6,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,49.7,,57,,,,,,,,56.3,,,,,59.9,59.9,,,,,,,
Spain,,,,,,,,,,,,,,,,,,47.1,,,,,,,,59.4,,,,,,,,,,81.1,,,,71.7,,,,,,,65.7,,,,,
Sri Lanka,,,,,,,,,,,,,,,43.2,,,48.6,,,,,54.9,,,,,61.7,,,,,,66.1,,,,,,,70,,,,,,,68.4,,,,
Sudan,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,8.7,,,9.9,,,,,,7,,,,,,,7.6,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,42.1,,,,,,45.6,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,,,,,,,27.7,,40.1,,,,,50.6,,,49.3,
Sweden,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,75.2,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,71.2,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,39.6,,,,,,,45.29999924,46.6,,,,,58.3,,,53.9,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,25.3,24.6,37.9,28.5,37.1,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,20.4,,18.4,,,25.4,,,,,28.2,26.4,,,,,34.4,
Thailand,,,,,,,,,,,14.8,,,26.3,,36.7,,,,53.4,,59,,,64.6,,,67.5,,66.2,,,,73.9,,,75.2,72.2,,,79.2,77.8,,,,73.8,71.5,,,79.6,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,22.6,,,26.7,,,,8,,10,,,,19.8,,,22.3,
