Homicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
United Kingdom,0.431208,0.2895968,0.2723135,0.3724395,0.3575165,0.2915442,0.297879,0.3612198,0.5277764,0.5003631,0.2687136,0.3910621,0.4629403,0.2492946,0.3900627,0.4134717,0.5750295,0.5606481,0.537014,0.529083,0.6488765,0.5558084,0.5053799,0.7407808,0.7944497,0.8341004,1.092962,0.9473084,1.002836,0.9692271,0.8833916,0.4724992,0.6283721,0.6641339,0.6788825,0.5943882,0.5952386,0.8297696,0.6045386,0.4986575,0.455331,0.5595073,0.5029953,0.6604509,0.484529,0.4122885,0.3011336,0.4112176,0.4178285,0.3321249,0.3427009,0.1757528,0.2916406,0.2488385,0.2510214,0.1990788,0.1979304,0.1522959,
United States,3.10282,2.871524,2.986176,2.804991,2.762631,2.814822,2.886197,2.812471,3.067923,3.038387,2.99231,3.05123,3.337564,3.248677,3.333558,3.473561,3.704315,4.196444,4.637568,4.53533,5.339207,5.60825,5.226746,5.868201,6.255884,6.268022,5.69371,5.661073,5.228645,5.563362,5.796782,5.363645,5.227493,4.858429,4.577025,4.539725,4.501184,4.579364,4.451967,4.322657,4.210311,4.422714,3.984538,3.834527,3.597857,3.421783,3.181391,3.155351,2.70615,2.666901,2.482591,3.000264,2.439533,2.403506,2.502255,2.42035,,,
Uruguay,,,,,,3.287716,2.830485,2.928309,3.317969,4.754247,4.734152,,,2.223024,2.625394,3.461731,4.701575,4.947875,3.452858,3.31303,4.752293,2.846272,3.294601,2.157183,2.417847,3.060592,2.997704,1.703428,1.034394,,1.703605,3.179146,4.055967,2.880681,2.831996,4.202144,3.560082,3.065554,3.50241,4.006341,6.434812,,,3.760196,3.948389,5.516961,4.639705,4.477513,4.714261,4.574492,4.112658,4.131611,,,3.944401,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.454375,4.84832,,,5.821015,5.844367,5.095616,6.026767,8.857143,8.714346,6.976155,8.078929,5.976312,7.379514,8.054767,7.676507,7.060391,5.595038,4.983646,7.016208,6.544445,5.563333,3.848075,3.7759,3.789214,,,
Venezuela,,,,,,7.06175,5.838557,4.150884,7.538236,6.885729,6.247394,10.15877,8.995675,10.81907,11.09906,12.74015,13.49506,9.929699,9.026558,12.57435,10.04992,9.550589,7.878011,10.78471,10.57232,8.669885,9.545096,8.699926,9.120914,9.499753,11.44659,8.342461,10.90432,11.49578,,9.365754,7.843776,5.714551,6.273623,7.979363,8.285916,,5.080739,7.812958,8.828415,,8.760154,7.474363,6.406959,10.06628,11.98059,13.69868,14.16337,16.3639,11.80291,11.83956,,11.39363,
Czechoslovakia,,,,1.584548,0.7306809,0.9100485,1.07739,0.9199682,0.5915641,0.5938316,1.080709,1.001083,0.8793021,1.191335,0.7852535,1.302904,0.8197965,0.7088066,1.131276,0.8908763,1.317575,1.058402,1.729139,1.000791,1.134398,1.438265,1.076759,0.9499744,1.465061,1.483934,0.8841068,1.273688,1.436072,1.534193,1.290374,1.408521,1.449825,1.368306,1.265796,1.218696,3.004157,2.890929,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,0.4210715,0.3106094,,,,,,,,,,,,,,,0.4599357,0.7738078,,,,,,,,,,,,,,,,,,
West Germany,,,0.6266477,0.7558879,0.7297596,0.664633,0.6218426,0.5283807,0.549938,0.774489,0.7667299,0.6781478,0.973727,0.830888,0.9454077,1.035338,0.9312539,0.9829915,0.8749032,1.037913,1.0081,1.080188,1.039709,0.8961159,0.9438532,1.01945,1.037849,0.7859114,0.9634923,0.9242637,0.9232917,1.001921,0.9771047,0.8993267,0.9743536,0.9584542,1.102038,0.9817865,0.8658402,0.9329366,0.7730197,,,,,,,,,,,,,,,,,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.211231,8.29317,7.634999,6.62675,5.143938,5.591201,6.562315,7.476796,8.537258,,,,,,,,,,,,,,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,4.262125,4.682971,,,,,,,,,2.685699,2.991361,1.881641,2.657733,2.831607,2.45624,2.083139,2.17467,2.241078,2.174684,1.829538,1.766646,2.199821,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.564464,3.047163,2.87587,2.619104,2.816696,2.267263,,,,,,
