Total expenditure on health as percentage of GDP (gross domestic product),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Italy,7.2,7.3,7.6,7.7,7.7,8.0,8.2,8.3,8.3,8.6,8.9,9.0,8.6,9.0,9.4,9.5
Jamaica,4.1,4.7,6.0,5.1,4.7,5.5,5.1,4.9,4.6,4.8,4.1,4.2,4.9,5.2,4.9,4.8
Japan,6.9,7.0,7.0,7.3,7.5,7.7,7.9,8.0,8.1,8.1,8.2,8.2,8.2,8.5,9.5,9.5
Jersey,,,,,,,,,,,,,,,,
Jordan,8.3,8.6,9.3,9.3,9.4,9.7,9.9,9.7,9.3,9.3,8.7,8.2,8.4,8.5,9.6,8.0
Kazakhstan,4.6,4.4,4.7,4.8,4.4,4.2,3.5,3.6,3.7,4.0,4.1,3.9,3.4,3.9,4.5,4.3
Kenya,4.3,4.1,4.1,4.5,4.2,4.7,4.6,4.5,4.4,4.3,4.4,4.5,4.4,4.2,4.8,4.8
Kiribati,9.4,9.2,9.4,7.0,8.9,7.9,8.9,8.8,9.6,10.4,10.1,11.0,13.6,12.5,13.0,11.2
North Korea,,,,,,,,,,,,,,,,
South Korea,3.8,3.9,3.9,4.1,4.3,4.5,5.1,4.9,5.2,5.3,5.7,6.0,6.3,6.5,6.9,6.9
"United Korea (former)
",,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,3.8,3.5,3.7,4.4,3.7,2.5,3.6,3.6,3.2,2.8,2.4,2.3,2.1,1.9,3.8,2.6
Kyrgyz Republic,6.9,6.3,5.5,6.9,6.0,4.7,4.8,5.4,5.4,5.6,5.8,6.4,6.6,5.7,6.4,6.2
Lao,4.1,4.6,6.3,6.4,3.7,3.3,4.0,3.9,5.1,4.4,4.0,3.9,4.0,4.5,4.3,4.5
Latvia,5.8,6.1,6.2,6.3,6.4,6.0,6.1,6.2,6.1,6.5,6.3,6.8,7.0,6.6,6.6,6.7
Lebanon,10.7,10.7,11.5,11.4,10.4,9.9,9.3,8.6,8.2,8.3,8.1,8.1,8.4,7.7,7.4,7.0
Lesotho,8.1,7.9,7.1,7.0,6.8,7.0,7.7,7.1,7.1,6.9,6.3,7.0,8.5,8.8,9.4,11.1
Liberia,,,,5.2,5.2,5.1,5.3,4.8,5.1,5.1,5.2,6.9,11.7,11.9,12.2,11.8
Libya,3.5,3.3,3.2,4.0,3.6,3.3,4.0,4.9,3.7,3.1,2.5,2.4,2.8,3.0,3.9,3.9
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,5.4,5.6,5.7,6.1,6.2,6.5,6.3,6.4,6.5,5.7,5.8,6.2,6.2,6.6,7.5,7.0
Luxembourg,5.6,5.7,5.6,5.7,5.8,7.5,7.4,8.3,7.7,8.2,7.9,7.7,7.1,6.8,7.9,7.8
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",8.5,8.8,9.2,10.1,8.7,8.8,8.5,9.4,9.3,8.7,8.1,7.8,6.9,6.8,6.9,7.1
Madagascar,2.8,3.2,3.4,3.2,3.2,3.7,3.8,3.8,3.5,3.6,3.7,4.0,4.1,4.5,4.2,3.8
Malawi,4.9,4.7,5.2,5.5,6.5,6.1,5.1,4.8,6.3,7.8,8.2,9.0,7.0,6.6,6.7,6.6
Malaysia,2.9,2.9,2.7,3.0,3.1,3.1,3.6,3.6,4.2,3.9,3.6,3.9,3.8,3.8,4.6,4.4
Maldives,6.0,6.3,6.3,6.3,6.5,7.1,5.4,5.2,6.3,6.5,8.2,7.4,6.8,7.8,6.4,6.3
Mali,5.2,7.8,7.0,6.2,6.0,6.3,6.4,6.3,6.3,6.3,6.0,5.9,5.8,5.6,5.5,5.0
Malta,5.8,6.2,6.6,6.6,6.6,6.7,7.2,8.1,8.4,8.9,9.3,9.3,8.7,8.3,8.5,8.6
Marshall Islands,18.1,21.8,22.8,20.9,20.4,22.6,19.5,18.3,16.2,16.4,15.9,16.6,17.0,16.6,18.9,18.0
