"Energy use, per capita (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
France,1.699542094,1.744664899,1.860524775,1.982962873,2.084690313,2.109459068,2.12262326,2.247890514,2.359811226,2.536688301,2.951561745,3.02788888,3.170731002,3.385361862,3.253088122,3.058462982,3.247481813,3.17263814,3.369234971,3.495777617,3.476236941,3.378547948,3.279196722,3.346065952,3.446327675,3.594936023,3.630391546,3.699358866,3.662878463,3.793418982,3.84190934,4.040528842,3.953003486,4.002691245,3.835735361,3.973845462,4.18098319,4.03581311,4.140963252,4.120952973,4.13501201,4.242844125,4.22479826,4.270582919,4.301043074,4.283718417,4.191468058,4.116148208,4.113621539,3.916691059,4.030516521,3.842635168
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,1.983254528,1.902477479,2.554038352,2.710517651,2.179212216,2.035765173,2.161431306,2.389098828,2.056745158,2.012839838,2.191902954,2.190144783,2.184250506,1.971777531,1.711587156,1.690755352,1.582311266,1.652666418,1.411168128,1.271635143,1.271269894,1.315524534,1.3467936,1.185504122,1.244669727,1.278699535,1.22997938,1.289499599,1.225419311,1.184191524,1.29308206,1.306868795,1.301606699,1.291322309,1.352704291,1.324938877,1.396994459,1.371708807,1.394108618,1.417600433,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06395635982,,,,,,,,,,,,,,0.07394763275,0.07182388783,0.07367867952,0.08357646964,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.585594752,2.079052503,1.776767826,1.54832339,0.9636385141,0.7869537389,0.8115476268,0.7255223321,0.6773362601,0.6249365525,0.6493823416,0.5859948933,0.5838739959,0.624936589,0.6438885673,0.6513189031,0.6892933151,0.7613993711,0.6853933891,0.7018053414,0.7002948706,
Germany,1.952533904,1.994320558,2.124825831,2.281287506,2.341158953,2.378350342,2.387709836,2.388410774,2.561520774,2.772008183,3.860864936,3.895264726,4.017337385,4.240061862,4.158271626,3.984974239,4.314581637,4.336087404,4.483880847,4.685296728,4.562295973,4.399499823,4.257864407,4.26826347,4.446684875,4.598141301,4.589229312,4.616370276,4.629264479,4.514858952,4.420645095,4.302553334,4.190114635,4.121914002,4.0877159,4.119871163,4.245936172,4.203397142,4.177369915,4.079708972,4.09412484,4.209826906,4.10424558,4.13556051,4.159426348,4.101617724,4.135783284,4.025569865,4.068953992,3.871738436,4.003264295,3.758409943
Ghana,,,,,,,,,,,,0.3362506061,0.3457254078,0.3566037102,0.364540812,0.3688183303,0.3619450782,0.3777772617,0.3707233761,0.3665893311,0.3683588356,0.3743105442,0.3722818069,0.3049536353,0.3148779609,0.3381147323,0.341255107,0.3596282727,0.3425583317,0.3595587433,0.3576613649,0.359821776,0.3622074871,0.3689265942,0.3734656087,0.3807331701,0.3840595405,0.3938165526,0.4033925068,0.4060697567,0.4036537547,0.4164283642,0.4146891865,0.3974845442,0.3913658064,0.3802490651,0.4087335924,0.3990817264,0.3850493566,0.3689505827,0.3821951725,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0.289057068,0.3224905782,0.3501012579,0.3678114303,0.4335593423,0.4787558566,0.5471970016,0.6077021559,0.652081597,0.7255256154,0.872783728,0.9840420762,1.134786493,1.322763942,1.256348735,1.298204363,1.386100466,1.469549429,1.525443536,1.597925925,1.553781616,1.505279387,1.537277697,1.599084032,1.652821737,1.766753269,1.673819251,1.791805188,1.902903093,2.093114246,2.110934614,2.107633441,2.135932325,2.089715779,2.130124272,2.13255247,2.185426923,2.257731635,2.364566936,2.363534199,2.48099974,2.557434152,2.577528843,2.643512677,2.68558172,2.724028849,2.710932631,2.699663256,2.706980292,2.608921487,2.440492287,2.348194887
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4415217983,,,,,,,,,,,,,,0.7222683129,0.7689761909,0.7861253724,0.7836080799,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,0.4885025069,0.4902204059,0.4983970945,0.4987143395,0.5350111043,0.5580360337,0.5774563437,0.5773365126,0.5978638535,0.5389562458,0.5114564213,0.4902230192,0.462121427,0.4764808581,0.4739322075,0.4444807521,0.4608149357,0.4687548496,0.4740375688,0.4949106989,0.5048723657,0.516669003,0.4990282366,0.5138490056,0.5317755418,0.534243979,0.5465430331,0.5803061301,0.6231048246,0.6273068116,0.6251045699,0.6149521315,0.6146120006,0.6275434986,0.617668623,0.6091375894,0.638335194,0.595795468,0.6639685988,0.7127625691,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07340905188,,,,,,,,,,,,,,0.06414014173,0.06361067343,0.06449338298,0.06670453612,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527065169,,,,,,,,,,,,,,0.644039675,0.6633299162,0.6681624597,0.6666062277,,,,
Haiti,,,,,,,,,,,,0.3137935796,0.3177394009,0.3203378923,0.3279123635,0.3334655348,0.3469313617,0.3504736733,0.3581206613,0.3645354199,0.3662163939,0.2979816067,0.3017131818,0.3031410892,0.2988440354,0.2942591412,0.2238332237,0.2257983704,0.2286526839,0.2281597278,0.219017395,0.2142547016,0.2180157543,0.206494911,0.1859556824,0.2149391519,0.2419842471,0.2501426616,0.2456766671,0.2444602099,0.2325289453,0.2336181892,0.2584341214,0.2443921198,0.2483267001,0.2765043924,0.279367339,0.2890301904,0.2848425875,0.2630881585,0.2289835326,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,0.5027429118,0.4999185321,0.5045117878,0.4975870519,0.4963268484,0.5007265809,0.5135765216,0.5104418297,0.511309154,0.5156250345,0.4969948679,0.5216885726,0.4961989201,0.4922983537,0.4735581076,0.4715990947,0.4826854213,0.4911266076,0.4969296938,0.4866892288,0.4775181958,0.4846621159,0.4824244815,0.4882023258,0.5065359377,0.4968588154,0.5307449594,0.5576643533,0.4800611281,0.4808098099,0.5079994996,0.5217671873,0.5517659336,0.5713883824,0.5809928505,0.568986668,0.6553716472,0.6364091734,0.5977130233,0.6009429087,
"Hong Kong, China",,,,,,,,,,,,0.741963266,0.760612814,0.7475792154,0.8054912095,0.813399229,0.8941460823,0.9977755961,1.078838565,0.9183852973,0.9140082163,0.9931803449,1.080652864,1.153427999,1.155613665,1.204836516,1.368983999,1.46664234,1.63967997,1.655330449,1.517708125,1.545338839,1.840092923,1.763722759,1.777611757,1.729977583,1.627403931,1.530141155,1.988065009,2.401152199,2.009293773,2.106680965,1.956563218,2.021738278,1.888114248,1.858726149,1.943909379,2.070195065,2.026242745,2.132216543,1.951342143,
Hungary,,,,,,1.426768402,1.448314232,1.476511667,1.507141948,1.607780013,1.73032702,1.835908374,1.880208557,2.039431828,2.101207113,2.173637556,2.312371157,2.428535379,2.673598493,2.637640983,2.647043979,2.629960675,2.630769877,2.594833716,2.697030257,2.795702542,2.78691742,2.894201979,2.86447433,2.875389905,2.772046488,2.647693331,2.419692052,2.483604043,2.410784315,2.50513764,2.573760881,2.530078171,2.501775666,2.490757243,2.448233376,2.512007665,2.520156699,2.580221712,2.588002291,2.734504834,2.713618604,2.658032793,2.635779983,2.480320873,2.566705697,2.513825895
Iceland,3.082711563,2.916706232,3.028298369,3.279602269,3.306815957,3.444551345,3.639770926,3.594361789,3.92413444,3.553476685,4.231992095,4.378310318,4.403969647,5.268965745,5.132197074,5.071635341,5.085581002,5.602870166,5.710710084,6.515059694,6.560998168,7.178869364,7.076207988,7.254286281,7.531269963,7.334901928,7.60556378,7.857454883,7.882473773,7.983037508,8.195710014,7.954343922,7.792562544,8.267126742,8.208434672,8.42159062,8.873655714,8.952649671,9.407999358,10.6705398,11.0231646,11.36358117,11.42379566,11.30596053,11.53168718,11.72926931,13.69021535,15.5221494,16.86846831,16.90490394,16.88249943,17.98331034
India,,,,,,,,,,,,0.2761217606,0.2761455639,0.2771124611,0.2820512758,0.2856943834,0.2905215634,0.2916175167,0.2859034402,0.2923457576,0.2930534133,0.3014999474,0.3064030812,0.3094564482,0.3157240297,0.3247810482,0.3295396806,0.3349725696,0.3454849341,0.3547153301,0.3624954196,0.3694176458,0.3764849441,0.3775613792,0.3846793552,0.3984347313,0.403723171,0.4119770565,0.4145993372,0.4326554888,0.433831508,0.4335588651,0.4386033752,0.4426284243,0.4622422889,0.4730317293,0.4898312648,0.5100644864,0.5257377146,0.5590562902,0.5656384984,
Indonesia,,,,,,,,,,,,0.2887276355,0.2930665582,0.2989052139,0.3023106048,0.3067422091,0.3130015178,0.3395978146,0.3550301569,0.3630599768,0.3693926452,0.3800413545,0.3808692454,0.3794614124,0.3860354828,0.3915905529,0.423517285,0.429120431,0.4327999155,0.4492862966,0.5349866915,0.5518965942,0.5660535839,0.6120798676,0.6036320273,0.6560538245,0.6702605144,0.683332216,0.659497196,0.6821664244,0.7269529709,0.737197306,0.754294265,0.7445200575,0.7884741072,0.794143377,0.8063241892,0.7944581342,0.7955639707,0.836149861,0.8665018972,
Iran,,,,,,,,,,,,0.5645093378,0.539526783,0.6659150103,0.7703127358,0.8124574892,0.8972606569,0.9738118288,0.913046569,1.000053065,0.9868214727,1.07126829,1.207271224,0.9930611099,1.112308115,1.156934471,1.122136499,1.103579366,1.089840976,1.239941132,1.263639772,1.370829179,1.417816278,1.503555478,1.644582315,1.693918669,1.605423377,1.763415151,1.76230904,1.963188561,1.882135313,2.006461922,2.041245967,2.078754695,2.251866962,2.467833272,2.547631123,2.661023907,2.819203221,2.910785337,2.816767718,
Iraq,,,,,,,,,,,,0.3985744074,0.4012612045,0.4216075836,0.4438496783,0.5172764045,0.6202767853,0.6221172978,0.6869476309,0.7937806161,0.7004695669,0.6776045717,0.6867750768,0.8068250229,0.8035077719,0.8805233778,0.9692989424,0.9375476073,1.102697949,1.169543106,1.083237841,0.8772302402,1.260299188,1.560212121,1.719311239,1.652619208,1.55315902,1.754396543,1.260291396,0.9406157711,1.06674825,1.080081554,1.09395529,1.032467366,0.9997399635,0.9734757443,0.7562720642,0.7645198868,0.9428019982,1.045080946,1.180264928,
Ireland,1.318812487,1.396466152,1.412729677,1.453962105,1.522194973,1.511904911,1.629591872,1.767425106,1.881149354,1.974588853,2.023631076,2.24532344,2.194513065,2.238471783,2.26808988,2.083994921,2.110191937,2.203821522,2.178720976,2.534338644,2.413156353,2.392953953,2.356894257,2.336185267,2.346151919,2.438732341,2.504319587,2.607889082,2.59347809,2.655035917,2.842244422,2.833828537,2.777823366,2.818132961,2.945601392,2.94681201,3.136457907,3.253814262,3.43068137,3.545371161,3.60837034,3.747931519,3.704763569,3.596080441,3.588298247,3.479163271,3.464668439,3.463176259,3.37930507,3.229942664,3.217686299,3.011987297
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,1.870109156,1.756331004,2.368436852,1.732933373,2.032764399,1.832148033,1.786487683,1.849399187,2.005813524,2.017273079,1.840735339,1.958317043,1.793922046,1.828539072,1.788996693,2.102245871,2.278479286,2.451745835,2.488923417,2.46252382,2.326412002,2.582815733,2.636863904,2.740569365,2.798570604,2.803605235,2.883230295,2.887950595,2.739605388,2.901714422,2.974995341,2.865817504,2.952253763,2.828592892,2.669083419,2.89147015,2.885649782,3.130975263,2.87576213,3.005364132,3.133008615
Italy,0.7948205667,0.8906802529,1.007045241,1.119729533,1.221731677,1.316464235,1.431075877,1.551519173,1.69842756,1.832499918,2.026217475,1.949148723,2.050737877,2.175587546,2.212206692,2.106078748,2.264057187,2.204179807,2.247565517,2.340042035,2.3184273,2.26593109,2.206542734,2.203864188,2.253718924,2.284811298,2.311548072,2.407256353,2.462796778,2.566108925,2.583888077,2.645673237,2.627338106,2.611990438,2.578472576,2.799413408,2.796157444,2.834388075,2.912932306,2.957316458,3.012218919,3.021248651,3.016165867,3.11472633,3.128308384,3.137385229,3.084926123,3.024803871,2.941635988,2.738843472,2.81463883,2.717428501
Jamaica,,,,,,,,,,,,1.060564088,1.331985811,1.491030141,1.375000927,1.332213115,1.193470136,1.153486504,1.186728667,1.214385556,1.068191749,1.07388429,1.040311804,0.8932385755,0.8799504364,0.7461598373,0.7501635414,0.7654628605,0.7787090477,0.97013769,1.166361088,1.161594442,1.215794049,1.209753541,1.224216864,1.292460887,1.346016363,1.333160002,1.37326048,1.403141018,1.478474522,1.474299286,1.375214352,1.425364665,1.433565824,1.419070706,1.579309076,1.751704911,1.58665972,1.205694094,1.130155793,
Japan,0.8739103148,0.9629071127,1.003752254,1.136484868,1.260474547,1.361587239,1.476997495,1.720549744,1.938456833,2.193610127,2.458357094,2.531088536,2.66704675,2.964208218,2.924245711,2.725159326,2.876800853,2.899904218,2.898338814,3.044052844,2.950135346,2.864277438,2.840614442,2.823857839,3.017806162,3.005305456,3.020722624,3.044226716,3.242641025,3.35067434,3.556223787,3.58357464,3.658666406,3.674147861,3.867606941,3.956198312,4.032118606,4.064344656,3.981269472,4.045480505,4.090515181,4.017294804,4.004815458,3.963718818,4.089581382,4.073946241,4.068745429,4.032163465,3.878907112,3.701072104,3.898370613,3.584390755
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,0.3128265884,0.3303401948,0.3637407464,0.3714757319,0.4162110497,0.5160915764,0.5088377331,0.6011338736,0.594247544,0.6979848693,0.8361953954,0.913835469,0.9533836123,1.009418803,0.989943646,1.023250729,1.046185875,1.000947422,0.972510144,1.032810095,0.9545937941,1.018407179,0.9641497357,0.994240659,1.025396901,1.020428458,1.011132598,1.014128638,0.9930201902,1.014211777,0.9796022369,1.004338825,1.001808675,1.175451229,1.233741292,1.237791403,1.273219181,1.221526525,1.260858664,1.19138763,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.492853071,4.555897511,4.796144202,4.018469396,3.612138081,3.303267587,2.911344322,2.575670593,2.610078605,2.406248948,2.397202335,2.321470744,2.67038999,2.886892826,3.378214018,3.354121194,4.017717827,4.277298034,4.479042266,3.934788875,4.59514931,
Kenya,,,,,,,,,,,,0.453259115,0.4573107697,0.4528177307,0.453129864,0.4474555165,0.4521997813,0.4572749505,0.4538022108,0.4528624898,0.4523118959,0.4477705211,0.4390768007,0.4302572181,0.4384978664,0.4409147975,0.4632187808,0.4654414196,0.460635609,0.4612767619,0.4552827404,0.4483898752,0.4450971216,0.4416312562,0.433901814,0.4395342766,0.4425648182,0.4374691741,0.4377252671,0.43714801,0.439163317,0.4388346856,0.4329385593,0.4341237192,0.444187621,0.4504675558,0.4594532687,0.4582687546,0.4610095774,0.4757588201,0.4828572199,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,,,,,,,,,0.08849753313,0.08696786537,0.1069129942,0.1157370874,,,,
North Korea,,,,,,,,,,,,1.325812241,1.340458868,1.336040264,1.365162261,1.384954252,1.446303836,1.50293469,1.593849179,1.683557279,1.761249329,1.780720835,1.829789376,1.865099455,1.878643758,1.92293966,1.86312163,1.768856498,1.776058608,1.743954407,1.649292079,1.549080776,1.332082836,1.205428296,1.085566493,1.009832438,0.8771210514,0.8265689196,0.7639778509,0.811118394,0.8612219002,0.8824277721,0.8410020883,0.8545004704,0.868472915,0.8983051461,0.9020830974,0.7622119335,0.8357612549,0.7911540302,0.7611604655,
South Korea,,,,,,,,,,,,0.5206551049,0.5552319618,0.6348874397,0.6766654345,0.6932677078,0.7585898351,0.8662686477,0.9351867781,1.06320203,1.080976996,1.045088371,1.094247877,1.169811526,1.266432857,1.311768931,1.485553953,1.587194444,1.766665873,1.861914653,2.171428935,2.309832717,2.540155509,2.823759987,2.971523924,3.210160069,3.454733048,3.726082626,3.377524229,3.708670785,4.002751659,4.034170893,4.171743144,4.235712572,4.335730969,4.366123624,4.415774229,4.57110414,4.636383276,4.659794396,5.0599119,5.174670845
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8695505882,1.068869132,1.063366249,1.120450305,1.126870356,1.089584237,1.090722148,1.123933601,1.209313585,1.344212858,1.372142503,
Kuwait,,,,,,,,,,,,7.544128542,7.766447316,7.656112744,6.865926998,6.149504675,6.297876592,6.439309374,6.659268211,7.965985033,7.590135683,7.121508696,7.571582939,7.686309498,7.59032411,8.051696159,8.27331616,8.530938164,9.947593047,11.3100108,4.363757115,1.325256868,,,,9.135879664,8.986197578,8.803947077,9.567613525,9.749453618,9.689597411,9.985800074,9.971534668,10.34477611,10.71905311,11.66015802,10.96357935,10.78060215,10.93506507,11.40205707,12.20432143,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.704814629,1.520614526,1.102747265,0.8568944141,0.6188666918,0.5227973423,0.5957127733,0.5521797547,0.5789148668,0.4984081894,0.4904283031,0.4461038199,0.5000599114,0.5330041838,0.5363529688,0.5149246504,0.5163159206,0.553047225,0.5132763645,0.5590591273,0.5356487821,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.957787598,2.796887173,2.340157241,2.06371109,1.900662583,1.854830636,1.841863291,1.813476041,1.790369702,1.647529661,1.565274538,1.729278122,1.707069627,1.820118933,1.878693058,1.919588335,1.987707326,2.051686657,1.978958507,1.871983924,1.971292644,
Lebanon,,,,,,,,,,,,0.7307566811,0.7343539468,0.8920609516,0.8976168881,0.7824122542,0.8317757646,0.6486866161,0.7736901311,0.8347509483,0.8850899472,0.8397694332,0.6316705018,0.6786382705,0.6871994468,0.8070650959,0.8945945151,0.9234727941,0.6861614509,0.6755781215,0.6627030103,0.7991682917,0.7828669168,1.080464053,1.143390975,1.273629256,1.314352341,1.460057264,1.41636685,1.463425395,1.311304538,1.382665295,1.349436113,1.326524405,1.318279298,1.239566975,1.165027723,1.017481557,1.301907526,1.570192924,1.526087988,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01367851389,0.01597481208,0.009110258583,0.009021294052,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,0.7549244025,1.012753662,1.14743331,1.226382411,1.486120843,1.292369086,1.541074997,1.674527661,1.795764899,2.249582109,2.303848988,2.378348253,2.380153104,2.475919746,2.591647464,2.539747049,2.70218342,2.503723572,2.802682643,2.614033724,3.068814318,2.804731961,2.929871273,3.196431444,3.036999302,2.758149081,2.953109183,3.296114859,2.875036129,3.559871379,3.482916116,2.970331007,5.368083591,3.36361097,4.226663771,4.026169809,3.846235622,3.979385718,3.727912884,3.012969244,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.344582429,4.602068122,2.979448741,2.472864512,2.222966063,2.40732363,2.629276383,2.505607757,2.645920034,2.261449425,2.037186644,2.372671698,2.553871499,2.677835566,2.731587957,2.589719896,2.568874588,2.800302048,2.808395484,2.585663354,2.106958702,
Luxembourg,10.52340669,10.53401821,10.41454092,10.46581302,11.15005034,10.92639517,10.48060618,10.36197257,11.11466726,11.97419259,12.10615294,11.86308959,12.00957011,12.64856042,13.02388959,10.5049812,10.66856744,10.27855755,11.09600367,10.45811286,9.774650556,8.526037374,8.057809999,7.576207121,8.112675479,8.346926421,8.163548751,7.942948078,8.158433525,8.699936356,8.931858059,9.412090439,9.342614904,9.346484685,8.912465099,7.711006424,7.732638059,7.41777089,7.067873793,7.258837331,7.617914279,7.931541815,8.15417269,8.499665656,9.331422522,9.433495715,9.179767983,8.767504943,8.609796378,7.938957337,8.342546548,8.027160542
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29844717,1.262872288,1.396708827,1.426394931,1.2670858,1.274005289,1.445181963,1.304494618,1.449331561,1.354287325,1.327397813,1.277480252,1.249522934,1.364908308,1.355476211,1.423509734,1.426030461,1.485416925,1.466821338,1.367061639,1.402312863,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,0.5448443155,0.5396804692,0.5237203925,0.5791684404,0.5967066946,0.6330361233,0.6253525761,0.7689862445,0.8784771116,0.8603965303,0.8982589354,0.8860717764,1.000850019,1.002311906,0.982871505,1.060580996,1.045901192,1.066874623,1.135303179,1.183458639,1.408215911,1.514146129,1.600050261,1.553119689,1.635157458,1.761491755,1.990572779,1.841745448,1.814095017,2.01196477,2.055331274,2.080716334,2.179506703,2.29345858,2.433178835,2.396541458,2.586567658,2.654580895,2.499440864,2.557845693,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2319041891,,,,,,,,,,,,,,0.8591419577,0.7620918575,0.9618628076,0.9850464026,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,0.6959563925,0.8730335593,0.8444771674,0.7754639134,0.6879877195,0.7781662273,0.8228654266,0.9503420572,0.907525962,1.005122456,1.12951201,1.2558101,0.9450902204,1.245235078,1.023899397,1.678113884,1.750653875,1.871376952,1.9832688,1.961642714,1.878080212,1.838861208,2.330470738,2.094659198,1.914532453,1.872241318,2.088645546,1.82973172,1.985525622,1.77132286,2.001335783,1.85191265,2.071498462,2.066583929,2.181127534,2.050122045,2.144292874,2.030773152,1.956718866,2.012930444,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5580357143,0.5572957703,0.5746025666,0.6096747766,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4532388846,,,,,,,,,,,,,,0.8261809361,0.8662758103,0.9363789197,0.9473160568,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,0.8042841369,0.8632652182,0.9259689867,0.9565190476,0.9822611361,1.021530075,1.074244831,1.169266178,1.250375864,1.382964662,1.444208958,1.48053148,1.366684796,1.400088299,1.425703609,1.359270893,1.400201402,1.388570385,1.421594396,1.452943578,1.490223937,1.47804166,1.458316318,1.480394361,1.406742645,1.415434721,1.433742882,1.456609777,1.49007477,1.451820252,1.44175856,1.468158041,1.478163548,1.512300163,1.597933401,1.589588365,1.610838263,1.636928249,1.558820515,1.570343239,1.628734763
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.669418561,2.21919428,1.838611755,1.567102834,1.289187872,1.19373138,1.010164003,0.9882051723,0.8844997401,0.7582574056,0.6883111495,0.7328217852,0.7088231243,0.794437883,0.8132884786,0.8564896019,0.8322502733,0.8207908292,0.7984508588,0.6869441158,0.7306557269,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,1.625320223,1.703091103,1.745193222,1.808398433,1.672867348,1.558187647,1.717347513,1.487038054,1.379514943,1.184575921,1.17267059,0.9802177633,0.9522121675,0.9511503468,0.9436802963,0.993870287,0.991879286,1.051558999,1.016181141,1.034209704,1.030492604,1.131749288,1.186677203,1.183114812,1.199238916,1.188684257,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.128705889,1.321930107,1.234356537,1.311374238,1.038164125,1.303488575,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,0.1547311238,0.164370493,0.1804897359,0.1949870729,0.1978524698,0.2121851734,0.2317844382,0.2383513311,0.2508391878,0.2488881234,0.2417819827,0.2453269529,0.2506487249,0.2520162412,0.2504230171,0.2525124568,0.2531328061,0.2610732481,0.2795812195,0.2800992127,0.2897952373,0.3029566973,0.309488301,0.3279264881,0.319105932,0.3321219658,0.3378708098,0.3402139197,0.3582605006,0.3555721559,0.3740017063,0.3761510815,0.3700920407,0.4035593265,0.4300139709,0.433724727,0.4627419275,0.4785507237,0.4771337479,0.5166659301,
Mozambique,,,,,,,,,,,,0.7134763462,0.6846869701,0.6724747775,0.6511668067,0.6289935433,0.603776667,0.5968539525,0.5648629291,0.5524321516,0.5532963194,0.5267435338,0.5147575282,0.4989801402,0.4845198507,0.4774489215,0.4707221664,0.4666421403,0.4620613177,0.4557511156,0.4371445174,0.4250539862,0.4169206854,0.4097361152,0.399143353,0.3944103261,0.3900320315,0.3909286261,0.3849237615,0.3827664108,0.3940889273,0.4037491237,0.3981877416,0.4088290817,0.4136400418,0.4087334466,0.4106140017,0.4235409622,0.4206052505,0.4276665678,0.4359701361,
Myanmar,,,,,,,,,,,,0.2948841689,0.2926167724,0.2811519287,0.285659539,0.2837973767,0.2877054784,0.2874328259,0.285020834,0.2846499176,0.2866966494,0.285080715,0.2854104237,0.2835773325,0.288237796,0.3042312001,0.3048726073,0.2879897882,0.2800822396,0.2829262233,0.2719600775,0.2634859319,0.2678364238,0.2620524251,0.2747641011,0.280273354,0.276847607,0.2786466317,0.2822961074,0.2798098429,0.2856255641,0.27682702,0.2843389676,0.3067769327,0.3204728136,0.319870106,0.3221689397,0.3323940625,0.318153625,0.2992674119,0.2918357796,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4263353629,0.4437106453,0.4717972087,0.4985095379,0.5359105751,0.5585714076,0.559151011,0.5649749609,0.5233912505,0.5159457106,0.582099557,0.5116159456,0.535809638,0.5693010313,0.6218954197,0.6106913213,0.6229031804,0.738270659,0.7025678857,0.7024879461,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
