Homicide 15-29 all,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Totalt
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.498712,6.814428,,,5.036423,4.618133,5.111666,6.007559,9.115904,8.86588,9.042423,12.78875,11.97195,14.20904,15.22054,15.34022,13.44962,12.13128,11.26751,11.74687,10.55538,9.96523,9.311506,7.535289,7.104461,6.583229,,,230.292003
United Kingdom,0.4454532,0.4665508,0.6204942,0.4522401,0.470477,0.3404899,0.3835345,0.4908926,0.6169829,0.5099527,0.6225128,0.7601368,0.6627664,0.7943075,0.7176988,0.7163796,0.8391564,1.009366,0.917254,0.866855,0.9663962,1.387141,1.24636,1.972997,2.269049,2.165341,2.186917,2.130497,1.766802,1.50421,1.322941,0.9156143,1.386937,1.331273,1.164569,1.038331,1.181125,1.383885,1.374465,1.8179,0.9512631,0.8475419,1.281296,1.96209,1.487649,1.526061,1.302483,1.0187,1.10238,1.165434,1.57951,0.6023915,0.773741,0.7269479,0.8056751,0.7204001,0.8209134,0.7149187,,62.6056474
United States,7.372231,7.07045,7.609122,6.968571,7.129323,6.751265,7.263514,6.958968,6.948882,7.114448,7.40174,7.169141,7.353582,7.358763,7.90115,8.687858,9.437445,11.14653,11.93486,12.83434,13.48539,14.86967,15.40135,15.56066,16.12061,15.33853,13.85993,14.01012,14.52636,15.79631,17.07095,15.96876,14.83584,13.17335,12.89347,12.83673,14.87226,14.46131,15.90044,16.96688,19.52791,21.3833,20.95775,21.7803,21.06349,19.02318,17.00381,15.97547,14.3126,13.24199,12.44408,13.80284,12.98785,13.12154,12.52991,13.17963,,,,722.696753
Uruguay,,,,,,8.128842,7.37237,8.302925,7.091076,6.910861,6.583609,,,5.352698,7.828691,4.962834,5.818017,7.090745,5.610994,4.085731,4.719968,4.411461,5.434799,5.043639,6.1365,3.196118,3.201764,3.221823,2.063121,,3.506433,4.1144,2.88253,2.50188,2.949839,2.01413,2.796155,3.821944,3.534555,5.575347,4.765353,,,6.350153,5.921995,4.91448,6.771633,7.079053,9.428793,8.151238,7.426194,8.279675,,,7.022456,,,,,232.376822
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.948837,4.555499,,,3.923311,3.307107,2.678484,3.699248,6.928142,6.726226,6.674259,5.950382,4.482128,5.138454,5.076273,5.069911,3.53978,3.756013,2.960588,3.227235,2.63325,3.154163,1.939461,2.681569,3.037247,,,,97.087567
Venezuela,,,,,,8.362773,8.43472,6.686371,14.12306,12.43721,13.53935,14.46714,19.95194,22.25815,17.67953,16.02618,14.42423,13.68479,15.22781,14.61528,14.19337,14.2972,14.54865,16.34724,18.01566,15.13163,16.63781,17.6415,18.63686,19.8612,24.49599,20.32286,23.42835,26.02861,,18.1264,15.49017,14.71148,17.74738,25.69829,27.25214,,28.50747,32.21724,34.43588,,32.27419,26.16706,25.44689,35.5605,57.64913,57.99717,65.47262,74.16084,60.04523,62.67287,,75.87912,,1259.017534
Czechoslovakia,,,,2.189722,1.250459,1.827226,1.733414,1.825481,1.097874,1.307213,1.280694,0.9184992,1.064605,1.202188,1.494095,0.9964991,1.497572,1.571527,1.401499,1.504388,1.154757,1.362309,1.008081,1.628403,1.08859,1.680263,0.9075254,0.9550269,1.596263,1.2095,1.366323,1.121348,1.235409,1.401579,0.7654632,1.285775,1.144174,1.429544,0.9721028,1.420089,1.800631,2.38859,,,,,,,,,,,,,,,,,,53.0847016
East Germany,,,,,,,,,,,,,,,,,,,,,,,,0.7616072,0.6411931,,,,,,,,,,,,,,,0.4185486,0.8481528,,,,,,,,,,,,,,,,,,,2.6695017
West Germany,,,0.850957,0.9425495,0.6737257,0.9973313,0.9146457,0.8448945,0.9388807,1.13024,0.9607033,1.267601,0.9402095,1.117065,1.082495,1.180982,1.417598,1.416669,1.100795,1.704884,1.737591,1.632921,1.831405,1.667441,1.461773,1.515499,1.45631,1.440391,1.4063,1.317839,1.22414,1.562402,1.41364,1.367471,1.450996,1.306851,1.172612,1.165488,0.9401933,1.014087,1.015344,,,,,,,,,,,,,,,,,,,48.5829205
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.44874,9.759492,9.528031,8.396945,6.56707,6.980396,8.556585,11.6344,13.33183,,,,,,,,,,,,,,,,,,,85.203489
Yugoslavia,,,,,,,,,,,,,,,,,,,4.122551,3.439691,,,,,,,,,1.9675,2.199241,1.888786,2.171422,2.198409,1.87335,1.897798,1.597412,1.69932,1.759067,1.678539,1.836669,1.802976,,,,,,,,,,,,,,,,,,,32.132731
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.581348,3.054611,3.138377,2.580815,2.783592,3.139321,,,,,,,18.278064
Totalt,19.8727718,30.4311757,34.1729692,92.8734081,88.2468609,180.5096261,181.4167537,193.1112366,212.8197457,180.0215129,176.0644606,177.8657785,177.2275288,187.5286403,188.1325233,169.2318974,186.7138915,201.5094383,209.6315015,163.5451283,159.930271,158.1789214,155.8972611,127.0177346,175.4872573,166.7267338,165.831089,202.1810423,134.4055879,170.889838,326.1112857,430.8220324,262.7580475,188.966431,223.6499941,349.2466321,378.7398351,389.3277455,408.7986525,483.9675107,512.7880296,494.6712568,698.1719327,733.8686356,801.7705075,566.9586959,588.5002562,588.985922,593.3343623,556.537111,612.292502,625.5099828,620.6539918,467.6220308,492.2411182,560.4352428,423.5589659,171.3266568,53.5355177,18272.62347
